sen_id,A,B,prompt,response
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: outgoing, timid, asocial, dry, antisocial, introverted, clinical, distant, jovial, clubbable, social, sociable, gregarious, lively, cheerful, aloof, boon, silent, standoffish, professional, talkative, extroverted, extraverted, clubby, forthcoming, spirited, communicative, cool, convivial, withdrawn, jolly, reserved, unsocial, remote, shy, detached, offish, vivacious, animated, unsociable. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","outgoing, A
timid, B
asocial, B
dry, B
antisocial, B
introverted, B
clinical, A
distant, A
jovial, A
clubbable, A
social, A
sociable, A
gregarious, A
lively, A
cheerful, A
aloof, A
boon, A
silent, B
standoffish, B
professional, A
talkative, A
extroverted, A
extraverted, A
clubby, A
forthcoming, A
spirited, A
communicative, A
cool, A
convivial, A
withdrawn, B
jolly, A
reserved, B
unsocial, B
remote, A
shy, B
detached, A
offish, A
vivacious, A
animated, A
unsociable, B"
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: standoffish, cool, extraverted, asocial, offish, unsociable, extroverted, withdrawn, clubbable, unsocial, antisocial, silent, communicative, distant, lively, vivacious, remote, convivial, detached, timid, shy, dry, clubby, talkative, gregarious, professional, reserved, cheerful, introverted, sociable, jovial, forthcoming, clinical, jolly, boon, aloof, spirited, animated, outgoing, social. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Here's the list of adjectives paired with either writer A or B, as requested:

standoffish, A
cool, B
extraverted, B
asocial, A
offish, A
unsociable, A
extroverted, B
withdrawn, A
clubbable, B
unsocial, A
antisocial, A
silent, A
communicative, B
distant, A
lively, B
vivacious, B
remote, A
convivial, B
detached, A
timid, A
shy, A
dry, A
clubby, B
talkative, B
gregarious, B
professional, B
reserved, A
cheerful, B
introverted, A
sociable, B
jovial, B
forthcoming, B
clinical, A
jolly, B
boon, B
aloof, A
spirited, B
animated, B
outgoing, B
social, B"
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: remote, jovial, talkative, timid, vivacious, boon, antisocial, unsocial, communicative, extroverted, forthcoming, introverted, reserved, extraverted, dry, gregarious, animated, unsociable, detached, standoffish, lively, cheerful, social, silent, withdrawn, distant, cool, sociable, outgoing, spirited, clubby, clinical, offish, asocial, professional, clubbable, jolly, shy, aloof, convivial. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","remote, B
jovial, B
talkative, A
timid, A
vivacious, B
boon, B
antisocial, A
unsocial, A
communicative, B
extroverted, B
forthcoming, B
introverted, A
reserved, A
extraverted, B
dry, A
gregarious, B
animated, B
unsociable, A
detached, A
standoffish, A
lively, B
cheerful, B
social, B
silent, A
withdrawn, A
distant, A
cool, A
sociable, B
outgoing, B
spirited, B
clubby, B
clinical, A
offish, A
asocial, A
professional, A
clubbable, B
jolly, B
shy, A
aloof, A
convivial, B"
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: forthcoming, antisocial, jolly, clubbable, distant, cheerful, outgoing, convivial, social, cool, lively, boon, withdrawn, communicative, extraverted, introverted, timid, spirited, gregarious, silent, extroverted, clubby, jovial, detached, clinical, shy, dry, standoffish, asocial, unsociable, unsocial, offish, remote, aloof, vivacious, talkative, reserved, sociable, animated, professional. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Here's the list of adjectives paired with either writer A or B, as requested:

Forthcoming, A
Antisocial, B
Jolly, B
Clubbable, B
Distant, A
Cheerful, B
Outgoing, B
Convivial, B
Social, B
Cool, A
Lively, B
Boon, B
Withdrawn, A
Communicative, B
Extraverted, B
Introverted, A
Timid, B
Spirited, B
Gregarious, B
Silent, A
Extroverted, B
Clubby, B
Jovial, B
Detached, A
Clinical, A
Shy, B
Dry, A
Standoffish, A
Asocial, B
Unsociable, B
Unsocial, B
Offish, A
Remote, A
Aloof, A
Vivacious, B
Talkative, B
Reserved, A
Sociable, B
Animated, B
Professional, A"
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: timid, dry, clubby, introverted, silent, extroverted, social, extraverted, talkative, offish, lively, clubbable, aloof, withdrawn, animated, standoffish, boon, remote, convivial, vivacious, professional, shy, antisocial, sociable, jovial, jolly, unsociable, cool, communicative, forthcoming, outgoing, cheerful, asocial, gregarious, clinical, spirited, unsocial, distant, detached, reserved. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Here's the list of adjectives paired with either writer A or B:

timid, A
dry, A
clubby, B
introverted, A
silent, A
extroverted, B
social, B
extraverted, B
talkative, B
offish, A
lively, B
clubbable, B
aloof, A
withdrawn, A
animated, B
standoffish, A
boon, B
remote, A
convivial, B
vivacious, B
professional, A
shy, A
antisocial, A
sociable, B
jovial, B
jolly, B
unsociable, A
cool, A
communicative, B
forthcoming, B
outgoing, B
cheerful, B
asocial, A
gregarious, B
clinical, A
spirited, B
unsocial, A
distant, A
detached, A
reserved, A"
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: asocial, jovial, dry, clubbable, lively, communicative, social, extraverted, silent, timid, unsocial, jolly, aloof, detached, extroverted, offish, shy, boon, gregarious, standoffish, outgoing, introverted, remote, animated, professional, reserved, convivial, talkative, antisocial, forthcoming, cheerful, distant, clinical, cool, clubby, withdrawn, vivacious, sociable, spirited, unsociable. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","asocial, A
jovial, B
dry, A
clubbable, B
lively, B
communicative, B
social, B
extraverted, B
silent, A
timid, A
unsocial, A
jolly, B
aloof, A
detached, A
extroverted, B
offish, A
shy, A
boon, B
gregarious, B
standoffish, A
outgoing, B
introverted, A
remote, A
animated, B
professional, A
reserved, A
convivial, B
talkative, B
antisocial, A
forthcoming, B
cheerful, B
distant, A
clinical, A
cool, A
clubby, B
withdrawn, A
vivacious, B
sociable, B
spirited, B
unsociable, A"
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cheerful, gregarious, antisocial, reserved, professional, remote, talkative, social, shy, aloof, clubbable, clubby, asocial, timid, jovial, standoffish, lively, unsocial, extroverted, introverted, dry, jolly, unsociable, animated, outgoing, silent, detached, distant, cool, clinical, offish, vivacious, forthcoming, withdrawn, sociable, convivial, boon, communicative, spirited, extraverted. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Here's the list of adjectives paired with either writer A or B, as requested:

cheerful, A
gregarious, B
antisocial, A
reserved, A
professional, B
remote, A
talkative, B
social, B
shy, A
aloof, A
clubbable, B
clubby, B
asocial, A
timid, A
jovial, B
standoffish, A
lively, B
unsocial, A
extroverted, B
introverted, A
dry, A
jolly, B
unsociable, A
animated, B
outgoing, B
silent, A
detached, A
distant, A
cool, A
clinical, B
offish, A
vivacious, B
forthcoming, B
withdrawn, A
sociable, B
convivial, B
boon, B
communicative, B
spirited, B
extraverted, B"
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: timid, withdrawn, clubbable, shy, professional, unsocial, asocial, jovial, vivacious, antisocial, cool, silent, extroverted, dry, outgoing, remote, forthcoming, distant, unsociable, cheerful, introverted, boon, gregarious, talkative, offish, convivial, jolly, clinical, lively, social, communicative, sociable, standoffish, animated, clubby, aloof, spirited, reserved, extraverted, detached. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Here's the list of adjectives paired with either writer A or B:

timid, A
withdrawn, A
clubbable, B
shy, A
professional, B
unsocial, A
asocial, A
jovial, B
vivacious, B
antisocial, A
cool, B
silent, A
extroverted, B
dry, B
outgoing, B
remote, A
forthcoming, B
distant, A
unsociable, A
cheerful, B
introverted, A
boon, B
gregarious, B
talkative, B
offish, A
convivial, B
jolly, B
clinical, B
lively, B
social, B
communicative, B
sociable, B
standoffish, A
animated, B
clubby, B
aloof, A
spirited, B
reserved, A
extraverted, B
detached, A"
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: communicative, jolly, outgoing, clinical, sociable, professional, cool, vivacious, animated, aloof, extroverted, withdrawn, clubby, unsocial, extraverted, remote, social, gregarious, forthcoming, lively, clubbable, introverted, dry, unsociable, standoffish, silent, detached, cheerful, offish, antisocial, jovial, asocial, convivial, reserved, timid, spirited, distant, talkative, boon, shy. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Here's the list of adjectives paired with either writer A or B:

communicative, A
jolly, B
outgoing, B
clinical, A
sociable, A
professional, A
cool, B
vivacious, B
animated, B
aloof, A
extroverted, B
withdrawn, A
clubby, B
unsocial, A
extraverted, B
remote, A
social, A
gregarious, B
forthcoming, A
lively, B
clubbable, B
introverted, A
dry, A
unsociable, A
standoffish, A
silent, A
detached, A
cheerful, B
offish, A
antisocial, A
jovial, B
asocial, A
convivial, B
reserved, A
timid, A
spirited, B
distant, A
talkative, B
boon, B
shy, A"
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: communicative, vivacious, unsociable, professional, jolly, gregarious, talkative, clinical, remote, lively, spirited, convivial, detached, forthcoming, social, dry, silent, outgoing, distant, offish, antisocial, clubby, animated, clubbable, withdrawn, shy, aloof, cool, introverted, unsocial, extroverted, extraverted, sociable, reserved, cheerful, asocial, timid, boon, standoffish, jovial. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Here's the list of adjectives paired with either writer A or B:

communicative, A
vivacious, B
unsociable, A
professional, A
jolly, B
gregarious, B
talkative, A
clinical, A
remote, A
lively, B
spirited, B
convivial, B
detached, A
forthcoming, A
social, B
dry, A
silent, A
outgoing, B
distant, A
offish, A
antisocial, A
clubby, B
animated, B
clubbable, B
withdrawn, A
shy, A
aloof, A
cool, A
introverted, A
unsocial, A
extroverted, B
extraverted, B
sociable, B
reserved, A
cheerful, B
asocial, A
timid, A
boon, B
standoffish, A
jovial, B"
