sen_id,A,B,prompt,response,date
51,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: fastidioso, cercano, ininteligible, atractivo, dificil, magnífico, inaccesible, gentil, afable, inalcanzable, cortés, desabrido, arisco, hostil, estupendo, cordial, adverso, desagradable, descortés, arrebatador, contrario, dulce, simpático, fascinante, incomprensible, atrayente, encantador, adorable, desfavorable, accesible, seductor, desapacible, intratable, molesto, adversario, cautivador, rival, agradable, enemigo, amigable. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","fastidioso, B  
cercano, A  
ininteligible, B  
atractivo, A  
dificil, B  
magnífico, A  
inaccesible, B  
gentil, A  
afable, A  
inalcanzable, B  
cortés, A  
desabrido, B  
arsico, B  
hostil, B  
estupendo, A  
cordial, A  
adverso, B  
desagradable, B  
descortés, B  
arrebatador, A  
contrario, B  
dulce, A  
simpático, A  
fascinante, A  
incomprensible, B  
atrayente, A  
encantador, A  
adorable, A  
desfavorable, B  
accesible, A  
seducor, A  
desapacible, B  
intratable, B  
molesto, B  
adversario, B  
cautivador, A  
rival, B  
agradable, A  
enemigo, B  
amigable, A",02/10/26
52,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cautivador, encantador, cordial, enemigo, desapacible, desfavorable, desagradable, simpático, afable, fastidioso, magnífico, accesible, arrebatador, hostil, agradable, estupendo, incomprensible, atractivo, inalcanzable, gentil, descortés, ininteligible, fascinante, cercano, seductor, amigable, dificil, adorable, contrario, adverso, atrayente, inaccesible, dulce, desabrido, cortés, rival, intratable, arisco, molesto, adversario. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","cautivador, A  
encantador, B  
cordial, A  
enemigo, B  
desapacible, B  
desfavorable, B  
desagradable, A  
simpático, A  
afable, B  
fastidioso, B  
magnífico, A  
accesible, A  
arrebatador, A  
hostil, B  
agradable, A  
estupendo, A  
incomprensible, B  
atractivo, A  
inalcanzable, B  
gentil, A  
descortés, B  
ininteligible, B  
fascinante, A  
cercano, A  
seductor, A  
amigable, A  
dificil, B  
adorable, A  
contrario, B  
adverso, B  
atrayente, A  
inaccesible, B  
dulce, A  
desabrido, B  
cortés, A  
rival, B  
intratable, B  
arisco, B  
molesto, B  
adversario, B",02/10/26
53,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: agradable, accesible, magnífico, simpático, cautivador, adorable, afable, amigable, incomprensible, fascinante, gentil, encantador, desabrido, dificil, cortés, atractivo, enemigo, inalcanzable, arisco, desagradable, fastidioso, rival, descortés, cordial, hostil, desfavorable, adversario, contrario, adverso, inaccesible, molesto, atrayente, dulce, intratable, arrebatador, ininteligible, estupendo, cercano, seductor, desapacible. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","agradable, B  
accesible, B  
magnífico, B  
simpático, B  
cautivador, B  
adorable, B  
afable, B  
amigable, B  
incomprensible, A  
fascinante, B  
gentil, B  
encantador, B  
desabrido, A  
difícil, A  
cortés, B  
atractivo, B  
enemigo, A  
inalcanzable, A  
arisco, A  
desagradable, A  
fastidioso, A  
rival, A  
descortés, A  
cordial, B  
hostil, A  
desfavorable, A  
adversario, A  
contrario, A  
adverso, A  
inaccesible, A  
molesto, A  
atrayente, B  
dulce, B  
intratable, A  
arrebatador, B  
ininteligible, A  
estupendo, B  
cercano, B  
seducor, B  
desapacible, A",02/10/26
54,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: incomprensible, arisco, desfavorable, magnífico, cordial, atrayente, encantador, descortés, adverso, fascinante, molesto, dificil, intratable, desabrido, amigable, ininteligible, simpático, adversario, agradable, contrario, accesible, cortés, afable, cercano, enemigo, inaccesible, hostil, atractivo, arrebatador, desapacible, desagradable, fastidioso, gentil, rival, cautivador, estupendo, adorable, dulce, seductor, inalcanzable. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","incomprensible, B  
arisco, A  
desfavorable, B  
magnífico, A  
cordial, B  
atrayente, A  
encantador, B  
descortés, A  
adverso, B  
fascinante, A  
molesto, B  
difícil, A  
intratable, B  
desabrido, A  
amigable, B  
ininteligible, A  
simpático, B  
adversario, A  
agradable, B  
contrario, A  
accesible, B  
cortés, A  
afable, B  
cercano, A  
enemigo, B  
inaccesible, A  
hostil, B  
atractivo, A  
arrebatador, B  
desapacible, A  
desagradable, B  
fastidioso, A  
gentil, B  
rival, A  
cautivador, B  
estupendo, A  
adorable, B  
dulce, A  
seductor, B  
inalcanzable, A",02/10/26
55,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: descortés, desfavorable, atractivo, simpático, accesible, estupendo, adorable, cortés, adversario, cautivador, cercano, afable, arisco, desabrido, arrebatador, inaccesible, contrario, adverso, molesto, dificil, magnífico, desagradable, rival, fascinante, enemigo, dulce, ininteligible, desapacible, gentil, inalcanzable, fastidioso, seductor, intratable, atrayente, cordial, hostil, agradable, amigable, incomprensible, encantador. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","descortés, A  
desfavorable, B  
atractivo, A  
simpático, B  
accesible, A  
estupendo, B  
adorable, A  
cortés, B  
adversario, A  
cautivador, B  
cercano, A  
afable, B  
arisco, A  
desabrido, B  
arrebatador, A  
inaccesible, B  
contrario, A  
adverso, B  
molesto, A  
difícil, B  
magnífico, A  
desagradable, B  
rival, A  
fascinante, B  
enemigo, A  
dulce, B  
ininteligible, A  
desapacible, B  
gentil, A  
inalcanzable, B  
fastidioso, A  
seductor, B  
intratable, A  
atrayente, B  
cordial, A  
hostil, B  
agradable, A  
amigable, B  
incomprensible, A  
encantador, B",02/10/26
56,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: molesto, rival, amigable, desfavorable, gentil, afable, ininteligible, magnífico, fascinante, encantador, desabrido, estupendo, contrario, accesible, arrebatador, desapacible, incomprensible, cercano, cautivador, adorable, atrayente, dificil, adverso, intratable, adversario, dulce, agradable, cortés, desagradable, cordial, hostil, arisco, fastidioso, inalcanzable, atractivo, enemigo, inaccesible, descortés, simpático, seductor. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","molesto, B  
rival, A  
amigable, B  
desfavorable, A  
gentil, B  
afable, B  
ininteligible, A  
magnífico, B  
fascinante, B  
encantador, B  
desabrido, A  
estupendo, B  
contrario, A  
accesible, B  
arrebatador, B  
desapacible, A  
incomprensible, A  
cercano, B  
cautivador, B  
adorable, B  
atrayente, B  
difícil, A  
adverso, A  
intratable, A  
adversario, A  
dulce, B  
agradable, B  
cortés, B  
desagradable, A  
cordial, B  
hostil, A  
arisco, A  
fastidioso, A  
inalcanzable, A  
atractivo, B  
enemigo, A  
inaccesible, A  
descortés, A  
simpático, B  
seductor, B",02/10/26
57,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: enemigo, dulce, accesible, cautivador, desagradable, arrebatador, adorable, arisco, estupendo, magnífico, hostil, afable, cercano, fastidioso, rival, simpático, cortés, molesto, agradable, contrario, inaccesible, descortés, intratable, encantador, desfavorable, seductor, atrayente, desapacible, incomprensible, ininteligible, inalcanzable, fascinante, adverso, amigable, atractivo, cordial, dificil, gentil, desabrido, adversario. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","enemigo, B  
dulce, A  
accesible, B  
cautivador, A  
desagradable, B  
arrebatador, A  
adorable, A  
arsico, B  
estupendo, A  
magnífico, A  
hostil, B  
afable, A  
cercano, B  
fastidioso, B  
rival, B  
simpático, A  
cortés, A  
molesto, B  
agradable, A  
contrario, B  
inaccesible, B  
descortés, B  
intratable, B  
encantador, A  
desfavorable, B  
seductor, A  
atrayente, A  
desapacible, B  
incomprensible, B  
ininteligible, B  
inalcanzable, B  
fascinante, A  
adverso, B  
amigable, A  
atractivo, A  
cordial, A  
dificil, B  
gentil, A  
desabrido, B  
adversario, B",02/10/26
58,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: simpático, cautivador, intratable, afable, gentil, rival, inalcanzable, hostil, desabrido, adverso, dificil, arisco, seductor, adorable, encantador, inaccesible, ininteligible, desapacible, arrebatador, cordial, incomprensible, fastidioso, agradable, molesto, enemigo, atractivo, estupendo, cercano, atrayente, contrario, fascinante, desagradable, desfavorable, cortés, dulce, accesible, adversario, descortés, magnífico, amigable. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","simpático, A  
cautivador, B  
intratable, A  
afable, B  
gentil, A  
rival, B  
inalcanzable, A  
hostil, B  
desabrido, A  
adverso, B  
dificil, A  
arsico, B  
seductor, A  
adorable, B  
encantador, A  
inaccesible, B  
ininteligible, A  
desapacible, B  
arrebatador, A  
cordial, B  
incomprensible, A  
fastidioso, B  
agradable, A  
molesto, B  
enemigo, A  
atractivo, B  
estupendo, A  
cercano, B  
atrayente, A  
contrario, B  
fascinante, A  
desagradable, B  
desfavorable, A  
cortés, B  
dulce, A  
accesible, B  
adversario, A  
descortés, B  
magnífico, A  
amigable, B",02/10/26
59,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: enemigo, gentil, dulce, descortés, intratable, ininteligible, adorable, amigable, hostil, accesible, simpático, seductor, fascinante, desagradable, molesto, cercano, arisco, cordial, desapacible, cortés, adverso, encantador, estupendo, afable, desabrido, cautivador, dificil, rival, atrayente, desfavorable, arrebatador, adversario, contrario, agradable, magnífico, inalcanzable, fastidioso, incomprensible, inaccesible, atractivo. A: Menos mal que no lo he visto B: Menos mal que no lo ví","enemigo, B  
gentil, A  
dulce, A  
descortés, B  
intratable, B  
ininteligible, B  
adorable, A  
amigable, A  
hostil, B  
accesible, A  
simpático, A  
seductor, B  
fascinante, B  
desagradable, B  
molesto, B  
cercano, A  
arisco, B  
cordial, A  
desapacible, B  
cortés, A  
adverso, B  
encantador, A  
estupendo, A  
afable, A  
desabrido, B  
cautivador, B  
difícil, B  
rival, B  
atrayente, B  
desfavorable, B  
arrebatador, B  
adversario, B  
contrario, B  
agradable, A  
magnífico, A  
inalcanzable, B  
fastidioso, B  
incomprensible, B  
inaccesible, B  
atractivo, B",02/10/26
60,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: molesto, simpático, gentil, dificil, atrayente, rival, seductor, ininteligible, dulce, enemigo, inaccesible, inalcanzable, intratable, desfavorable, cortés, arrebatador, encantador, accesible, desabrido, incomprensible, agradable, cordial, fascinante, hostil, contrario, fastidioso, cercano, adorable, adverso, arisco, amigable, desapacible, descortés, magnífico, atractivo, cautivador, estupendo, desagradable, adversario, afable. A: Sí, fuí yo B:  Sí, he sido yo","molesto, B  
simpático, A  
gentil, A  
dificil, B  
atrayente, A  
rival, B  
seductor, A  
ininteligible, B  
dulce, A  
enemigo, B  
inaccesible, B  
inalcanzable, B  
intratable, B  
desfavorable, B  
cortés, A  
arrebatador, A  
encantador, A  
accesible, A  
desabrido, B  
incomprensible, B  
agradable, A  
cordial, A  
fascinante, A  
hostil, B  
contrario, B  
fastidioso, B  
cercano, A  
adorable, A  
adverso, B  
arisco, B  
amigable, A  
desapacible, B  
descortés, B  
magnífico, A  
atractivo, A  
cautivador, A  
estupendo, A  
desagradable, B  
adversario, B  
afable, A",02/10/26
