sen_id,A,B,prompt,response
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: desabrido, molesto, atractivo, inaccesible, ininteligible, arisco, magnífico, arrebatador, cautivador, contrario, fastidioso, fascinante, agradable, atrayente, accesible, descortés, afable, adverso, enemigo, desplacible, seductor, cortés, inalcanzable, adversario, encantador, gentil, cordial, dulce, estupendo, rival, incomprensible, cercano, desfavorable, desagradable, simpático, hostil, adorable, amigable, dificil, intratable. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Desabrido, B, Molesto, B, Atractivo, A, Inaccesible, B, Ininteligible, B, Arisco, B, Magnífico, A, Arrebatador, A, Cautivador, A, Contrario, B, Fastidioso, B, Fascinante, A, Agradable, A, Atrayente, A, Accesible, A, Descortés, B, Afable, A, Adverso, B, Enemigo, B, Desplazible, B, Seductor, A, Cortés, A, Inalcanzable, B, Adversario, B, Encantador, A, Gentil, A, Cordial, A, Dulce, A, Estupendo, A, Rival, B, Incomprensible, B, Cercano, A, Desfavorable, B, Desagradable, B, Simpático, A, Hostil, B, Adorable, A, Amigable, A, Difícil, B, Intratable, B.
"
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: hostil, amigable, incomprensible, magnífico, desplacible, arrebatador, inaccesible, fascinante, desfavorable, dulce, adversario, rival, ininteligible, adverso, simpático, cautivador, cercano, cortés, gentil, agradable, atractivo, contrario, cordial, descortés, desagradable, afable, accesible, intratable, inalcanzable, adorable, molesto, desabrido, fastidioso, atrayente, enemigo, estupendo, dificil, seductor, encantador, arisco. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Hostil, B
Amigable, A
Incomprensible, B
Magnífico, A
Desplazible, B
Arrebatador, A
Inaccesible, B
Fascinante, A
Desfavorable, B
Dulce, A
Adversario, B
Rival, A
Ininteligible, B
Adverso, A
Simpático, A
Cautivador, B
Cercano, A
Cortés, B
Gentil, A
Agradable, A
Atractivo, B
Contrario, A
Cordial, B
Descortés, A
Desagradable, B
Afable, A
Accesible, B
Intratable, A
Inalcanzable, B
Adorable, A
Molesto, B
Desabrido, A
Fastidioso, B
Atrayente, A
Enemigo, B
Estupendo, A
Difícil, B
Seductor, A
Encantador, B
Arisco, A"
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: enemigo, dulce, seductor, hostil, arisco, inalcanzable, atractivo, encantador, simpático, cordial, desfavorable, afable, contrario, amigable, intratable, accesible, descortés, desplacible, cercano, gentil, fastidioso, atrayente, dificil, adverso, adorable, incomprensible, estupendo, fascinante, inaccesible, magnífico, ininteligible, agradable, arrebatador, adversario, rival, desagradable, cortés, cautivador, desabrido, molesto. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Enemigo, B
Dulce, A
Seductor, B
Hostil, B
Arisco, A
Inalcanzable, B
Atractivo, A
Encantador, A
Simpático, A
Cordial, A
Desfavorable, B
Afable, A
Contrario, B
Amigable, A
Intratable, B
Accesible, A
Descortés, B
Desplazible, A
Cercano, A
Gentil, A
Fastidioso, B
Atrayente, A
Difícil, B
Adverso, B
Adorable, A
Incomprensible, B
Estupendo, A
Fascinante, B
Inaccesible, B
Magnífico, A
Ininteligible, B
Agradable, A
Arrebatador, A
Adversario, B
Rival, B
Desagradable, B
Cortés, A
Cautivador, B
Desabrido, B
Molesto, B
"
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: rival, arrebatador, arisco, inalcanzable, enemigo, desfavorable, adorable, desabrido, descortés, simpático, inaccesible, accesible, atrayente, cercano, estupendo, encantador, seductor, incomprensible, fascinante, molesto, afable, adverso, intratable, cautivador, cordial, desplacible, adversario, cortés, ininteligible, dificil, amigable, desagradable, hostil, magnífico, fastidioso, gentil, contrario, atractivo, dulce, agradable. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Rival, B.
Arrebatador, A.
Arisco, A.
Inalcanzable, B.
Enemigo, B.
Desfavorable, A.
Adorable, B.
Desabrido, A.
Descortés, A.
Simpático, B.
Inaccesible, A.
Accesible, B.
Atrayente, B.
Cercano, B.
Estupendo, B.
Encantador, B.
Seductor, B.
Incomprensible, A.
Fascinante, B.
Molesto, A.
Afable, B.
Adverso, A.
Intratable, A.
Cautivador, B.
Cordial, B.
Desplazible, A.
Adversario, B.
Cortés, B.
Ininteligible, A.
Difícil, A.
Amigable, B.
Desagradable, A.
Hostil, A.
Magnífico, B.
Fastidioso, A.
Gentil, B.
Contrario, A.
Atractivo, B.
Dulce, B.
Agradable, B."
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: desagradable, cercano, arisco, inaccesible, cautivador, rival, desabrido, afable, contrario, encantador, molesto, gentil, desplacible, accesible, adverso, atractivo, incomprensible, agradable, inalcanzable, fastidioso, adorable, magnífico, seductor, amigable, simpático, descortés, fascinante, intratable, desfavorable, ininteligible, enemigo, atrayente, adversario, hostil, cordial, dificil, arrebatador, estupendo, cortés, dulce. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Desagradable, B
Cercano, A
Arisco, B
Inaccesible, B
Cautivador, A
Rival, B
Desabrido, B
Afable, A
Contrario, B
Encantador, A
Molesto, B
Gentil, A
Desplacible, B
Accesible, A
Adverso, B
Atractivo, A
Incomprensible, B
Agradable, A
Inalcanzable, B
Fastidioso, B
Adorable, A
Magnífico, A
Seductor, A
Amigable, A
Simpático, A
Descortés, B
Fascinante, A
Intratable, B
Desfavorable, B
Ininteligible, B
Enemigo, B
Atrayente, A
Adversario, B
Hostil, B
Cordial, A
Dificil, B
Arrebatador, A
Estupendo, A
Cortés, A
Dulce, A"
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: dulce, rival, atrayente, desagradable, enemigo, desabrido, dificil, adversario, descortés, hostil, adverso, amigable, cordial, arisco, gentil, ininteligible, cercano, contrario, afable, encantador, estupendo, arrebatador, intratable, inalcanzable, molesto, fascinante, incomprensible, fastidioso, seductor, inaccesible, cautivador, desfavorable, adorable, desplacible, magnífico, accesible, cortés, agradable, atractivo, simpático. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Dulce, B
Rival, A
Atrayente, B
Desagradable, A
Enemigo, A
Desabrido, A
Difícil, B
Adversario, A
Descortés, A
Hostil, A
Adverso, A
Amigable, B
Cordial, B
Arisco, A
Gentil, B
Ininteligible, A
Cercano, B
Contrario, A
Afable, B
Encantador, B
Estupendo, B
Arrebatador, B
Intratable, A
Inalcanzable, A
Molesto, A
Fascinante, B
Incomprensible, A
Fastidioso, A
Seductor, B
Inaccesible, A
Cautivador, B
Desfavorable, A
Adorable, B
Desplazible, A
Magnífico, B
Accesible, B
Cortés, B
Agradable, B
Atractivo, B
Simpático, B
"
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: magnífico, fastidioso, atractivo, simpático, desplacible, incomprensible, seductor, fascinante, accesible, desfavorable, molesto, inalcanzable, rival, cortés, encantador, ininteligible, atrayente, contrario, arrebatador, cercano, cordial, hostil, adorable, agradable, estupendo, adverso, desagradable, gentil, dulce, amigable, intratable, enemigo, inaccesible, descortés, arisco, desabrido, adversario, afable, cautivador, dificil. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Magnífico, B
Fastidioso, A
Atractivo, B
Simpático, A
Desplazible, B
Incomprensible, A
Seductor, B
Fascinante, A
Accesible, B
Desfavorable, A
Molesto, B
Inalcanzable, A
Rival, B
Cortés, A
Encantador, B
Ininteligible, A
Atrayente, B
Contrario, A
Arrebatador, B
Cercano, A
Cordial, B
Hostil, A
Adorable, B
Agradable, A
Estupendo, B
Adverso, A
Desagradable, B
Gentil, A
Dulce, B
Amigable, A
Intratable, B
Enemigo, A
Inaccesible, B
Descortés, A
Arisco, B
Desabrido, A
Adversario, B
Afable, A
Cautivador, B
Difícil, A"
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: arisco, afable, desfavorable, gentil, estupendo, descortés, desplacible, desabrido, dulce, cercano, seductor, cordial, adversario, enemigo, dificil, accesible, intratable, magnífico, cortés, atrayente, adorable, cautivador, contrario, incomprensible, amigable, encantador, fastidioso, rival, simpático, arrebatador, desagradable, hostil, fascinante, agradable, molesto, atractivo, ininteligible, inaccesible, inalcanzable, adverso. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Arisco, B
Afable, A
Desfavorable, B
Gentil, A
Estupendo, A
Descortés, B
Desplazible, A
Desabrido, B
Dulce, A
Cercano, A
Seductor, B
Cordial, A
Adversario, B
Enemigo, B
Difícil, B
Accesible, A
Intratable, B
Magnífico, A
Cortés, A
Atrayente, B
Adorable, A
Cautivador, B
Contrario, B
Incomprensible, B
Amigable, A
Encantador, A
Fastidioso, B
Rival, B
Simpático, A
Arrebatador, B
Desagradable, B
Hostil, B
Fascinante, B
Agradable, A
Molesto, B
Atractivo, B
Ininteligible, B
Inaccesible, B
Inalcanzable, B
Adverso, B"
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: fastidioso, desplacible, enemigo, molesto, adversario, simpático, magnífico, seductor, inalcanzable, inaccesible, adverso, desagradable, atractivo, hostil, amigable, atrayente, cautivador, afable, dificil, descortés, desabrido, incomprensible, gentil, encantador, arrebatador, adorable, intratable, rival, contrario, cercano, arisco, ininteligible, desfavorable, estupendo, accesible, fascinante, dulce, agradable, cortés, cordial. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Fastidioso, B
Desplazible, B
Enemigo, B
Molesto, B
Adversario, B
Simpático, A
Magnífico, A
Seductor, B
Inalcanzable, A
Inaccesible, A
Adverso, B
Desagradable, B
Atractivo, A
Hostil, B
Amigable, A
Atrayente, A
Cautivador, A
Afable, A
Difícil, B
Descortés, B
Desabrido, B
Incomprensible, B
Gentil, A
Encantador, A
Arrebatador, A
Adorable, A
Intratable, B
Rival, B
Contrario, B
Cercano, A
Arisco, B
Ininteligible, B
Desfavorable, B
Estupendo, A
Accesible, A
Fascinante, A
Dulce, A
Agradable, A
Cortés, A
Cordial, A"
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: ininteligible, cautivador, desplacible, cortés, rival, atrayente, adversario, hostil, arisco, adorable, agradable, cercano, desagradable, fascinante, contrario, atractivo, inalcanzable, simpático, estupendo, adverso, amigable, gentil, enemigo, afable, incomprensible, inaccesible, dulce, desabrido, cordial, desfavorable, seductor, intratable, molesto, arrebatador, dificil, descortés, encantador, fastidioso, accesible, magnífico. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Ininteligible, B
Cautivador, A
Desplazible, B
Cortés, A
Rival, B
Atrayente, A
Adversario, B
Hostil, B
Arisco, A
Adorable, A
Agradable, A
Cercano, A
Desagradable, B
Fascinante, A
Contrario, B
Atractivo, A
Inalcanzable, B
Simpático, A
Estupendo, A
Adverso, B
Amigable, A
Gentil, A
Enemigo, B
Afable, A
Incomprensible, B
Inaccesible, B
Dulce, A
Desabrido, B
Cordial, A
Desfavorable, B
Seductor, A
Intratable, B
Molesto, B
Arrebatador, A
Dificil, B
Descortés, B
Encantador, A
Fastidioso, B
Accesible, A
Magnífico, A"
