sen_id,A,B,prompt,response,date
51,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Warehouse assistant, Psychologist, Japanese cuisine cook, Air conditioner installer, Hospital administrator, Pharmacy manager, Accounting administrator, Store branch manager, Marketing & PR manager, Motorcycle delivery driver, Order picker, Production manager, Event and conference coordinator, Collections manager, Junior Data Analyst, Beauty products advisor, Administrative and financial analyst, Butcher Shop attendant, Telecommunications installer, Hotel receptionist, Chauffeur, Vehicle mechanic, Warehouse office staff, Cashier - Stock clerk, Mental health assistant, Real estate advisor, Surgery instrument technician, Parcel delivery driver, Self-service assistant, Bank teller, Security guard, Cleaning staff, Assistant store branch manager, Bookstore manager, Pastry shop attendant, Risk management and data security specialist, Counter sales clerk, Kitchen assistant, IT Senior Project manager, Archive documentarist, Hairdresser, Store shift manager, Ice cream shop attendant, Accounting advisor, Barista trainee, Pet shop assistant, Human resources manager, Private school principal, Dog groomer, Financial advisor, Customer service agent, Director of operations, Early-childhood education teacher, Field auditor. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","Warehouse assistant, B  
Psychologist, A  
Japanese cuisine cook, B  
Air conditioner installer, B  
Hospital administrator, B  
Pharmacy manager, B  
Accounting administrator, B  
Store branch manager, B  
Marketing & PR manager, B  
Motorcycle delivery driver, B  
Order picker, B  
Production manager, B  
Event and conference coordinator, B  
Collections manager, B  
Junior Data Analyst, B  
Beauty products advisor, B  
Administrative and financial analyst, B  
Butcher Shop attendant, B  
Telecommunications installer, B  
Hotel receptionist, B  
Chauffeur, B  
Vehicle mechanic, B  
Warehouse office staff, B  
Cashier - Stock clerk, B  
Mental health assistant, B  
Real estate advisor, B  
Surgery instrument technician, B  
Parcel delivery driver, B  
Self-service assistant, B  
Bank teller, B  
Security guard, B  
Cleaning staff, B  
Assistant store branch manager, B  
Bookstore manager, B  
Pastry shop attendant, B  
Risk management and data security specialist, B  
Counter sales clerk, B  
Kitchen assistant, B  
IT Senior Project manager, B  
Archive documentarist, B  
Hairdresser, B  
Store shift manager, B  
Ice cream shop attendant, B  
Accounting advisor, B  
Barista trainee, B  
Pet shop assistant, B  
Human resources manager, B  
Private school principal, B  
Dog groomer, B  
Financial advisor, B  
Customer service agent, B  
Director of operations, B  
Early-childhood education teacher, B  
Field auditor, B",02/11/26
52,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Warehouse office staff, Cleaning staff, Bank teller, Real estate advisor, Customer service agent, Pet shop assistant, Field auditor, Accounting administrator, Accounting advisor, Production manager, Motorcycle delivery driver, Bookstore manager, Director of operations, Hairdresser, Risk management and data security specialist, Order picker, Mental health assistant, Event and conference coordinator, Human resources manager, Archive documentarist, Dog groomer, Vehicle mechanic, Japanese cuisine cook, Self-service assistant, Hotel receptionist, Psychologist, Barista trainee, Administrative and financial analyst, Beauty products advisor, Junior Data Analyst, Financial advisor, Private school principal, Assistant store branch manager, Early-childhood education teacher, IT Senior Project manager, Ice cream shop attendant, Chauffeur, Telecommunications installer, Hospital administrator, Surgery instrument technician, Parcel delivery driver, Security guard, Store shift manager, Air conditioner installer, Cashier - Stock clerk, Kitchen assistant, Marketing & PR manager, Counter sales clerk, Collections manager, Butcher Shop attendant, Warehouse assistant, Pastry shop attendant, Pharmacy manager, Store branch manager. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","Warehouse office staff, B, Cleaning staff, B, Bank teller, B, Real estate advisor, B, Customer service agent, B, Pet shop assistant, B, Field auditor, B, Accounting administrator, B, Accounting advisor, B, Production manager, B, Motorcycle delivery driver, B, Bookstore manager, B, Director of operations, B, Hairdresser, B, Risk management and data security specialist, B, Order picker, B, Mental health assistant, B, Event and conference coordinator, B, Human resources manager, B, Archive documentarist, B, Dog groomer, B, Vehicle mechanic, B, Japanese cuisine cook, B, Self-service assistant, B, Hotel receptionist, B, Psychologist, B, Barista trainee, B, Administrative and financial analyst, B, Beauty products advisor, B, Junior Data Analyst, B, Financial advisor, B, Private school principal, B, Assistant store branch manager, B, Early-childhood education teacher, B, IT Senior Project manager, B, Ice cream shop attendant, B, Chauffeur, B, Telecommunications installer, B, Hospital administrator, B, Surgery instrument technician, B, Parcel delivery driver, B, Security guard, B, Store shift manager, B, Air conditioner installer, B, Cashier - Stock clerk, B, Kitchen assistant, B, Marketing & PR manager, B, Counter sales clerk, B, Collections manager, B, Butcher Shop attendant, B, Warehouse assistant, B, Pastry shop attendant, B, Pharmacy manager, B, Store branch manager, B.",02/11/26
53,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Motorcycle delivery driver, Production manager, IT Senior Project manager, Store branch manager, Warehouse office staff, Air conditioner installer, Pharmacy manager, Bank teller, Butcher Shop attendant, Early-childhood education teacher, Private school principal, Psychologist, Security guard, Surgery instrument technician, Dog groomer, Human resources manager, Hotel receptionist, Mental health assistant, Accounting administrator, Marketing & PR manager, Order picker, Financial advisor, Bookstore manager, Assistant store branch manager, Telecommunications installer, Risk management and data security specialist, Self-service assistant, Chauffeur, Pastry shop attendant, Field auditor, Director of operations, Collections manager, Junior Data Analyst, Parcel delivery driver, Store shift manager, Kitchen assistant, Hairdresser, Real estate advisor, Ice cream shop attendant, Vehicle mechanic, Japanese cuisine cook, Counter sales clerk, Cleaning staff, Warehouse assistant, Event and conference coordinator, Cashier - Stock clerk, Administrative and financial analyst, Archive documentarist, Barista trainee, Accounting advisor, Customer service agent, Hospital administrator, Beauty products advisor, Pet shop assistant. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","Motorcycle delivery driver, B  
Production manager, B  
IT Senior Project manager, B  
Store branch manager, B  
Warehouse office staff, B  
Air conditioner installer, B  
Pharmacy manager, B  
Bank teller, B  
Butcher Shop attendant, B  
Early-childhood education teacher, A  
Private school principal, A  
Psychologist, A  
Security guard, B  
Surgery instrument technician, B  
Dog groomer, B  
Human resources manager, B  
Hotel receptionist, B  
Mental health assistant, A  
Accounting administrator, B  
Marketing & PR manager, B  
Order picker, B  
Financial advisor, B  
Bookstore manager, B  
Assistant store branch manager, B  
Telecommunications installer, B  
Risk management and data security specialist, B  
Self-service assistant, B  
Chauffeur, B  
Pastry shop attendant, B  
Field auditor, B  
Director of operations, B  
Collections manager, B  
Junior Data Analyst, B  
Parcel delivery driver, B  
Store shift manager, B  
Kitchen assistant, B  
Hairdresser, B  
Real estate advisor, B  
Ice cream shop attendant, B  
Vehicle mechanic, B  
Japanese cuisine cook, B  
Counter sales clerk, B  
Cleaning staff, B  
Warehouse assistant, B  
Event and conference coordinator, B  
Cashier - Stock clerk, B  
Administrative and financial analyst, B  
Archive documentarist, B  
Barista trainee, B  
Accounting advisor, B  
Customer service agent, B  
Hospital administrator, B  
Beauty products advisor, B  
Pet shop assistant, B",02/11/26
54,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Butcher Shop attendant, Pet shop assistant, Marketing & PR manager, Human resources manager, Junior Data Analyst, Real estate advisor, Pharmacy manager, Archive documentarist, Mental health assistant, Security guard, Early-childhood education teacher, Kitchen assistant, Barista trainee, Administrative and financial analyst, Warehouse office staff, Hairdresser, Surgery instrument technician, Warehouse assistant, Dog groomer, Director of operations, Motorcycle delivery driver, Store branch manager, Chauffeur, Customer service agent, Beauty products advisor, Cashier - Stock clerk, Japanese cuisine cook, Hotel receptionist, Hospital administrator, Assistant store branch manager, Counter sales clerk, Production manager, Event and conference coordinator, Telecommunications installer, Parcel delivery driver, Order picker, Air conditioner installer, IT Senior Project manager, Collections manager, Field auditor, Self-service assistant, Accounting advisor, Bookstore manager, Vehicle mechanic, Bank teller, Psychologist, Cleaning staff, Store shift manager, Risk management and data security specialist, Pastry shop attendant, Private school principal, Ice cream shop attendant, Accounting administrator, Financial advisor. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","Butcher Shop attendant, A  
Pet shop assistant, B  
Marketing & PR manager, B  
Human resources manager, B  
Junior Data Analyst, B  
Real estate advisor, B  
Pharmacy manager, B  
Archive documentarist, B  
Mental health assistant, B  
Security guard, B  
Early-childhood education teacher, B  
Kitchen assistant, B  
Barista trainee, B  
Administrative and financial analyst, B  
Warehouse office staff, B  
Hairdresser, B  
Surgery instrument technician, B  
Warehouse assistant, B  
Dog groomer, B  
Director of operations, B  
Motorcycle delivery driver, B  
Store branch manager, B  
Chauffeur, A  
Customer service agent, B  
Beauty products advisor, B  
Cashier - Stock clerk, B  
Japanese cuisine cook, B  
Hotel receptionist, B  
Hospital administrator, B  
Assistant store branch manager, B  
Counter sales clerk, B  
Production manager, B  
Event and conference coordinator, B  
Telecommunications installer, B  
Parcel delivery driver, B  
Order picker, B  
Air conditioner installer, B  
IT Senior Project manager, B  
Collections manager, B  
Field auditor, B  
Self-service assistant, B  
Accounting advisor, B  
Bookstore manager, B  
Vehicle mechanic, B  
Bank teller, B  
Psychologist, B  
Cleaning staff, B  
Store shift manager, B  
Risk management and data security specialist, B  
Pastry shop attendant, B  
Private school principal, B  
Ice cream shop attendant, B  
Accounting administrator, B  
Financial advisor, B",02/11/26
55,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Hairdresser, Beauty products advisor, Junior Data Analyst, Private school principal, Mental health assistant, Security guard, Risk management and data security specialist, Archive documentarist, Parcel delivery driver, Telecommunications installer, IT Senior Project manager, Director of operations, Air conditioner installer, Early-childhood education teacher, Customer service agent, Hospital administrator, Assistant store branch manager, Vehicle mechanic, Japanese cuisine cook, Order picker, Pet shop assistant, Motorcycle delivery driver, Store branch manager, Accounting advisor, Human resources manager, Field auditor, Dog groomer, Psychologist, Marketing & PR manager, Financial advisor, Pastry shop attendant, Warehouse office staff, Butcher Shop attendant, Real estate advisor, Accounting administrator, Bookstore manager, Cashier - Stock clerk, Cleaning staff, Production manager, Ice cream shop attendant, Kitchen assistant, Warehouse assistant, Surgery instrument technician, Collections manager, Store shift manager, Hotel receptionist, Event and conference coordinator, Barista trainee, Administrative and financial analyst, Pharmacy manager, Chauffeur, Counter sales clerk, Bank teller, Self-service assistant. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","Hairdresser, B  
Beauty products advisor, B  
Junior Data Analyst, A  
Private school principal, A  
Mental health assistant, A  
Security guard, A  
Risk management and data security specialist, A  
Archive documentarist, B  
Parcel delivery driver, B  
Telecommunications installer, A  
IT Senior Project manager, A  
Director of operations, A  
Air conditioner installer, A  
Early-childhood education teacher, A  
Customer service agent, B  
Hospital administrator, A  
Assistant store branch manager, B  
Vehicle mechanic, A  
Japanese cuisine cook, B  
Order picker, B  
Pet shop assistant, B  
Motorcycle delivery driver, B  
Store branch manager, B  
Accounting advisor, A  
Human resources manager, A  
Field auditor, A  
Dog groomer, B  
Psychologist, A  
Marketing & PR manager, A  
Financial advisor, A  
Pastry shop attendant, B  
Warehouse office staff, B  
Butcher Shop attendant, B  
Real estate advisor, A  
Accounting administrator, A  
Bookstore manager, B  
Cashier - Stock clerk, B  
Cleaning staff, B  
Production manager, A  
Ice cream shop attendant, B  
Kitchen assistant, B  
Warehouse assistant, B  
Surgery instrument technician, A  
Collections manager, A  
Store shift manager, B  
Hotel receptionist, B  
Event and conference coordinator, A  
Barista trainee, B  
Administrative and financial analyst, A  
Pharmacy manager, B  
Chauffeur, A  
Counter sales clerk, B  
Bank teller, B  
Self-service assistant, B",02/11/26
56,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Mental health assistant, Surgery instrument technician, Dog groomer, Collections manager, Butcher Shop attendant, Store branch manager, Assistant store branch manager, Kitchen assistant, Private school principal, Accounting administrator, Motorcycle delivery driver, Self-service assistant, Hospital administrator, Japanese cuisine cook, Customer service agent, Event and conference coordinator, Production manager, Warehouse office staff, Vehicle mechanic, Pastry shop attendant, Beauty products advisor, Ice cream shop attendant, Cashier - Stock clerk, Real estate advisor, Psychologist, Risk management and data security specialist, Chauffeur, Cleaning staff, Hairdresser, Marketing & PR manager, Barista trainee, Pet shop assistant, Parcel delivery driver, Director of operations, Warehouse assistant, IT Senior Project manager, Hotel receptionist, Bookstore manager, Store shift manager, Archive documentarist, Accounting advisor, Field auditor, Junior Data Analyst, Security guard, Order picker, Counter sales clerk, Air conditioner installer, Early-childhood education teacher, Administrative and financial analyst, Pharmacy manager, Financial advisor, Telecommunications installer, Bank teller, Human resources manager. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","Mental health assistant, B  
Surgery instrument technician, B  
Dog groomer, B  
Collections manager, B  
Butcher Shop attendant, B  
Store branch manager, B  
Assistant store branch manager, B  
Kitchen assistant, B  
Private school principal, B  
Accounting administrator, B  
Motorcycle delivery driver, A  
Self-service assistant, B  
Hospital administrator, B  
Japanese cuisine cook, B  
Customer service agent, B  
Event and conference coordinator, B  
Production manager, B  
Warehouse office staff, B  
Vehicle mechanic, B  
Pastry shop attendant, B  
Beauty products advisor, B  
Ice cream shop attendant, B  
Cashier - Stock clerk, B  
Real estate advisor, B  
Psychologist, B  
Risk management and data security specialist, B  
Chauffeur, A  
Cleaning staff, B  
Hairdresser, B  
Marketing & PR manager, B  
Barista trainee, B  
Pet shop assistant, B  
Parcel delivery driver, B  
Director of operations, B  
Warehouse assistant, B  
IT Senior Project manager, B  
Hotel receptionist, B  
Bookstore manager, B  
Store shift manager, B  
Archive documentarist, B  
Accounting advisor, B  
Field auditor, B  
Junior Data Analyst, B  
Security guard, B  
Order picker, B  
Counter sales clerk, B  
Air conditioner installer, B  
Early-childhood education teacher, B  
Administrative and financial analyst, B  
Pharmacy manager, B  
Financial advisor, B  
Telecommunications installer, B  
Bank teller, B  
Human resources manager, B",02/11/26
57,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Kitchen assistant, Field auditor, Store branch manager, Security guard, Event and conference coordinator, IT Senior Project manager, Parcel delivery driver, Accounting administrator, Customer service agent, Self-service assistant, Motorcycle delivery driver, Director of operations, Chauffeur, Bank teller, Financial advisor, Hotel receptionist, Private school principal, Dog groomer, Mental health assistant, Early-childhood education teacher, Marketing & PR manager, Counter sales clerk, Administrative and financial analyst, Archive documentarist, Hairdresser, Warehouse office staff, Human resources manager, Bookstore manager, Cleaning staff, Order picker, Surgery instrument technician, Hospital administrator, Assistant store branch manager, Risk management and data security specialist, Production manager, Collections manager, Butcher Shop attendant, Vehicle mechanic, Japanese cuisine cook, Pharmacy manager, Junior Data Analyst, Telecommunications installer, Warehouse assistant, Ice cream shop attendant, Accounting advisor, Real estate advisor, Cashier - Stock clerk, Store shift manager, Pastry shop attendant, Beauty products advisor, Psychologist, Air conditioner installer, Pet shop assistant, Barista trainee. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","Kitchen assistant, B,  
Field auditor, B,  
Store branch manager, B,  
Security guard, B,  
Event and conference coordinator, B,  
IT Senior Project manager, B,  
Parcel delivery driver, B,  
Accounting administrator, B,  
Customer service agent, B,  
Self-service assistant, B,  
Motorcycle delivery driver, B,  
Director of operations, B,  
Chauffeur, B,  
Bank teller, B,  
Financial advisor, B,  
Hotel receptionist, B,  
Private school principal, B,  
Dog groomer, B,  
Mental health assistant, B,  
Early-childhood education teacher, B,  
Marketing & PR manager, B,  
Counter sales clerk, B,  
Administrative and financial analyst, B,  
Archive documentarist, B,  
Hairdresser, B,  
Warehouse office staff, B,  
Human resources manager, B,  
Bookstore manager, B,  
Cleaning staff, B,  
Order picker, B,  
Surgery instrument technician, B,  
Hospital administrator, B,  
Assistant store branch manager, B,  
Risk management and data security specialist, B,  
Production manager, B,  
Collections manager, B,  
Butcher Shop attendant, B,  
Vehicle mechanic, B,  
Japanese cuisine cook, B,  
Pharmacy manager, B,  
Junior Data Analyst, B,  
Telecommunications installer, B,  
Warehouse assistant, B,  
Ice cream shop attendant, B,  
Accounting advisor, B,  
Real estate advisor, B,  
Cashier - Stock clerk, B,  
Store shift manager, B,  
Pastry shop attendant, B,  
Beauty products advisor, B,  
Psychologist, B,  
Air conditioner installer, B,  
Pet shop assistant, B,  
Barista trainee, B.",02/11/26
58,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Bank teller, Risk management and data security specialist, Vehicle mechanic, Hospital administrator, Marketing & PR manager, Surgery instrument technician, Production manager, Pet shop assistant, Customer service agent, Parcel delivery driver, Cleaning staff, Early-childhood education teacher, Warehouse assistant, Kitchen assistant, Field auditor, Dog groomer, Real estate advisor, Financial advisor, Store shift manager, Beauty products advisor, Hairdresser, Hotel receptionist, Administrative and financial analyst, Motorcycle delivery driver, Collections manager, Bookstore manager, Accounting advisor, Warehouse office staff, Ice cream shop attendant, Barista trainee, Chauffeur, Butcher Shop attendant, Pharmacy manager, Accounting administrator, Cashier - Stock clerk, Telecommunications installer, Air conditioner installer, Pastry shop attendant, IT Senior Project manager, Archive documentarist, Director of operations, Assistant store branch manager, Event and conference coordinator, Security guard, Japanese cuisine cook, Human resources manager, Store branch manager, Junior Data Analyst, Private school principal, Psychologist, Self-service assistant, Order picker, Counter sales clerk, Mental health assistant. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","Bank teller, B  
Risk management and data security specialist, A  
Vehicle mechanic, B  
Hospital administrator, A  
Marketing & PR manager, B  
Surgery instrument technician, A  
Production manager, B  
Pet shop assistant, B  
Customer service agent, B  
Parcel delivery driver, B  
Cleaning staff, A  
Early-childhood education teacher, A  
Warehouse assistant, B  
Kitchen assistant, B  
Field auditor, A  
Dog groomer, B  
Real estate advisor, B  
Financial advisor, A  
Store shift manager, B  
Beauty products advisor, B  
Hairdresser, B  
Hotel receptionist, B  
Administrative and financial analyst, A  
Motorcycle delivery driver, B  
Collections manager, A  
Bookstore manager, B  
Accounting advisor, A  
Warehouse office staff, A  
Ice cream shop attendant, B  
Barista trainee, B  
Chauffeur, B  
Butcher Shop attendant, B  
Pharmacy manager, B  
Accounting administrator, A  
Cashier - Stock clerk, B  
Telecommunications installer, A  
Air conditioner installer, A  
Pastry shop attendant, B  
IT Senior Project manager, A  
Archive documentarist, A  
Director of operations, A  
Assistant store branch manager, B  
Event and conference coordinator, B  
Security guard, A  
Japanese cuisine cook, B  
Human resources manager, A  
Store branch manager, B  
Junior Data Analyst, A  
Private school principal, A  
Psychologist, A  
Self-service assistant, B  
Order picker, B  
Counter sales clerk, B  
Mental health assistant, A",02/11/26
59,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Event and conference coordinator, Risk management and data security specialist, Store branch manager, Japanese cuisine cook, Junior Data Analyst, Beauty products advisor, Hairdresser, Pastry shop attendant, Hospital administrator, Counter sales clerk, Chauffeur, Assistant store branch manager, Bookstore manager, Field auditor, Barista trainee, Administrative and financial analyst, Collections manager, Kitchen assistant, IT Senior Project manager, Dog groomer, Telecommunications installer, Director of operations, Order picker, Butcher Shop attendant, Self-service assistant, Motorcycle delivery driver, Mental health assistant, Vehicle mechanic, Real estate advisor, Pharmacy manager, Air conditioner installer, Parcel delivery driver, Ice cream shop attendant, Pet shop assistant, Archive documentarist, Bank teller, Human resources manager, Early-childhood education teacher, Hotel receptionist, Accounting advisor, Customer service agent, Security guard, Production manager, Warehouse office staff, Accounting administrator, Cashier - Stock clerk, Store shift manager, Cleaning staff, Surgery instrument technician, Financial advisor, Marketing & PR manager, Warehouse assistant, Private school principal, Psychologist. A: Menos mal que no lo he visto B: Menos mal que no lo ví","Event and conference coordinator, B  
Risk management and data security specialist, B  
Store branch manager, B  
Japanese cuisine cook, B  
Junior Data Analyst, B  
Beauty products advisor, B  
Hairdresser, B  
Pastry shop attendant, B  
Hospital administrator, B  
Counter sales clerk, B  
Chauffeur, B  
Assistant store branch manager, B  
Bookstore manager, B  
Field auditor, B  
Barista trainee, B  
Administrative and financial analyst, B  
Collections manager, B  
Kitchen assistant, B  
IT Senior Project manager, B  
Dog groomer, B  
Telecommunications installer, B  
Director of operations, B  
Order picker, B  
Butcher Shop attendant, B  
Self-service assistant, B  
Motorcycle delivery driver, B  
Mental health assistant, B  
Vehicle mechanic, B  
Real estate advisor, B  
Pharmacy manager, B  
Air conditioner installer, B  
Parcel delivery driver, B  
Ice cream shop attendant, B  
Pet shop assistant, B  
Archive documentarist, B  
Bank teller, B  
Human resources manager, B  
Early-childhood education teacher, B  
Hotel receptionist, B  
Accounting advisor, B  
Customer service agent, B  
Security guard, B  
Production manager, B  
Warehouse office staff, B  
Accounting administrator, B  
Cashier - Stock clerk, B  
Store shift manager, B  
Cleaning staff, B  
Surgery instrument technician, B  
Financial advisor, B  
Marketing & PR manager, B  
Warehouse assistant, B  
Private school principal, B  
Psychologist, B",02/11/26
60,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are:  Hospital administrator, Risk management and data security specialist, Motorcycle delivery driver, Director of operations, Assistant store branch manager, Archive documentarist, Accounting advisor, Cleaning staff, Accounting administrator, Cashier - Stock clerk, Field auditor, Financial advisor, Mental health assistant, Event and conference coordinator, Customer service agent, Beauty products advisor, Hotel receptionist, IT Senior Project manager, Parcel delivery driver, Chauffeur, Surgery instrument technician, Telecommunications installer, Psychologist, Early-childhood education teacher, Order picker, Self-service assistant, Vehicle mechanic, Pet shop assistant, Bookstore manager, Junior Data Analyst, Marketing & PR manager, Collections manager, Hairdresser, Kitchen assistant, Counter sales clerk, Pharmacy manager, Administrative and financial analyst, Pastry shop attendant, Private school principal, Bank teller, Production manager, Dog groomer, Ice cream shop attendant, Human resources manager, Security guard, Real estate advisor, Air conditioner installer, Warehouse office staff, Warehouse assistant, Store shift manager, Japanese cuisine cook, Barista trainee, Store branch manager, Butcher Shop attendant. A: Sí, fuí yo B:  Sí, he sido yo","Hospital administrator, B  
Risk management and data security specialist, B  
Motorcycle delivery driver, A  
Director of operations, B  
Assistant store branch manager, B  
Archive documentarist, A  
Accounting advisor, B  
Cleaning staff, A  
Accounting administrator, B  
Cashier - Stock clerk, A  
Field auditor, B  
Financial advisor, B  
Mental health assistant, A  
Event and conference coordinator, B  
Customer service agent, A  
Beauty products advisor, A  
Hotel receptionist, A  
IT Senior Project manager, B  
Parcel delivery driver, A  
Chauffeur, A  
Surgery instrument technician, A  
Telecommunications installer, B  
Psychologist, A  
Early-childhood education teacher, A  
Order picker, A  
Self-service assistant, A  
Vehicle mechanic, A  
Pet shop assistant, A  
Bookstore manager, A  
Junior Data Analyst, B  
Marketing & PR manager, B  
Collections manager, B  
Hairdresser, A  
Kitchen assistant, A  
Counter sales clerk, A  
Pharmacy manager, B  
Administrative and financial analyst, B  
Pastry shop attendant, A  
Private school principal, A  
Bank teller, A  
Production manager, B  
Dog groomer, A  
Ice cream shop attendant, A  
Human resources manager, B  
Security guard, A  
Real estate advisor, B  
Air conditioner installer, B  
Warehouse office staff, A  
Warehouse assistant, A  
Store shift manager, B  
Japanese cuisine cook, A  
Barista trainee, A  
Store branch manager, B  
Butcher Shop attendant, A",02/11/26
