sen_id,A,B,prompt,response,date
1,PS,MS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Auxiliar salud mental, Analista administrativo y finanzas, Gerente de recursos humanos, Peluquero canino, Gerente de marketing y PR, Coordinador de eventos y congresos, Subgerente de sucursal de tienda, Director de operaciones, Chofer, Documentalista de archivo, Encargado de librería, Maestro de educación infantil, Dependiente de heladería, Director de escuela privada, Administrativo contable, Gerente de sucursal de tienda, Repartidor en moto, Auxiliar de cocina, Auxiliar de tienda de mascotas, Jefe de farmacia, Repartidor de paquetería, Dependiente de carnicería, Recepcionista de hotel, Preparador de pedidos, Vendedor de mostrador, Peluquero, Administrador de hospital, Responsable de turno de tienda, Director de proyecto IT Senior, Asesor Inmobiliario, Asesor contable, Vigilante de seguridad, Consejero de productos de belleza, Auditor de campo, Instalador de aire acondicionado, Personal de oficina de almacén, Aprendiz de barista, Auxiliar de autoservicio, Personal de limpieza, Analista de datos junior, Cajero de banco, Cajero - Reponedor, Instalador de telecomunicaciones, Técnico instrumentista quirúrgico, Mecánico de vehículos, Dependienta de pastelería, Agente de atención al cliente, Asesor financiero, Cocinero de cocina japonesa, Ayudante de almacen, Gerente de cobranza, Gerente de producción, Especialista en gestión de riesgos y de seguridad de la información, Psicólogo. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Aquí te presento la lista con los escritores seleccionados para cada empleo:

1. Auxiliar salud mental - B
2. Analista administrativo y finanzas - A
3. Gerente de recursos humanos - A
4. Peluquero canino - B
5. Gerente de marketing y PR - A
6. Coordinador de eventos y congresos - A
7. Subgerente de sucursal de tienda - A
8. Director de operaciones - A
9. Chofer - B
10. Documentalista de archivo - A
11. Encargado de librería - A
12. Maestro de educación infantil - A
13. Dependiente de heladería - B
14. Director de escuela privada - A
15. Administrativo contable - A
16. Gerente de sucursal de tienda - A
17. Repartidor en moto - B
18. Auxiliar de cocina - B
19. Auxiliar de tienda de mascotas - B
20. Jefe de farmacia - A
21. Repartidor de paquetería - B
22. Dependiente de car",03/06/26
2,MS,PS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Personal de limpieza, Dependiente de carnicería, Gerente de cobranza, Auxiliar salud mental, Instalador de telecomunicaciones, Ayudante de almacen, Documentalista de archivo, Director de proyecto IT Senior, Especialista en gestión de riesgos y de seguridad de la información, Consejero de productos de belleza, Cocinero de cocina japonesa, Técnico instrumentista quirúrgico, Auxiliar de cocina, Gerente de recursos humanos, Analista administrativo y finanzas, Auditor de campo, Auxiliar de tienda de mascotas, Auxiliar de autoservicio, Director de operaciones, Peluquero, Encargado de librería, Asesor contable, Asesor Inmobiliario, Vigilante de seguridad, Recepcionista de hotel, Subgerente de sucursal de tienda, Peluquero canino, Aprendiz de barista, Instalador de aire acondicionado, Maestro de educación infantil, Vendedor de mostrador, Cajero - Reponedor, Responsable de turno de tienda, Agente de atención al cliente, Administrativo contable, Administrador de hospital, Director de escuela privada, Psicólogo, Dependiente de heladería, Gerente de producción, Repartidor de paquetería, Cajero de banco, Chofer, Dependienta de pastelería, Coordinador de eventos y congresos, Jefe de farmacia, Asesor financiero, Mecánico de vehículos, Analista de datos junior, Repartidor en moto, Preparador de pedidos, Gerente de marketing y PR, Personal de oficina de almacén, Gerente de sucursal de tienda. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Aquí te presento la lista con un escritor (A o B) asignado a cada empleo:

1. Personal de limpieza - A
2. Dependiente de carnicería - B
3. Gerente de cobranza - A
4. Auxiliar salud mental - B
5. Instalador de telecomunicaciones - A
6. Ayudante de almacen - B
7. Documentalista de archivo - A
8. Director de proyecto IT Senior - B
9. Especialista en gestión de riesgos y de seguridad de la información - B
10. Consejero de productos de belleza - A
11. Cocinero de cocina japonesa - B
12. Técnico instrumentista quirúrgico - A
13. Auxiliar de cocina - B
14. Gerente de recursos humanos - A
15. Analista administrativo y finanzas - B
16. Auditor de campo - A
17. Auxiliar de tienda de mascotas - B
18. Auxiliar de autoservicio - A
19. Director de operaciones - B
20. Peluquero - A
21. Encargado",03/06/26
3,PS,MS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Preparador de pedidos, Recepcionista de hotel, Asesor contable, Ayudante de almacen, Psicólogo, Cocinero de cocina japonesa, Gerente de recursos humanos, Consejero de productos de belleza, Técnico instrumentista quirúrgico, Gerente de marketing y PR, Agente de atención al cliente, Repartidor en moto, Instalador de aire acondicionado, Instalador de telecomunicaciones, Dependiente de carnicería, Responsable de turno de tienda, Dependiente de heladería, Director de proyecto IT Senior, Jefe de farmacia, Analista de datos junior, Administrativo contable, Asesor financiero, Auxiliar de cocina, Maestro de educación infantil, Gerente de cobranza, Cajero de banco, Mecánico de vehículos, Dependienta de pastelería, Gerente de sucursal de tienda, Asesor Inmobiliario, Director de operaciones, Auditor de campo, Cajero - Reponedor, Encargado de librería, Personal de limpieza, Analista administrativo y finanzas, Peluquero, Especialista en gestión de riesgos y de seguridad de la información, Documentalista de archivo, Director de escuela privada, Repartidor de paquetería, Gerente de producción, Aprendiz de barista, Chofer, Administrador de hospital, Coordinador de eventos y congresos, Subgerente de sucursal de tienda, Auxiliar de tienda de mascotas, Peluquero canino, Auxiliar salud mental, Personal de oficina de almacén, Vigilante de seguridad, Vendedor de mostrador, Auxiliar de autoservicio. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Aquí te presento la lista de empleos con el escritor correspondiente:

1. Preparador de pedidos - A
2. Recepcionista de hotel - B
3. Asesor contable - A
4. Ayudante de almacen - B
5. Psicólogo - A
6. Cocinero de cocina japonesa - B
7. Gerente de recursos humanos - A
8. Consejero de productos de belleza - B
9. Técnico instrumentista quirúrgico - A
10. Gerente de marketing y PR - A
11. Agente de atención al cliente - B
12. Repartidor en moto - A
13. Instalador de aire acondicionado - B
14. Instalador de telecomunicaciones - B
15. Dependiente de carnicería - B
16. Responsable de turno de tienda - B
17. Dependiente de heladería - B
18. Director de proyecto IT Senior - A
19. Jefe de farmacia - A
20. Analista de datos junior - A
21. Administrativo contable - A
22. Asesor financiero",03/06/26
4,MS,PS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Gerente de recursos humanos, Asesor financiero, Coordinador de eventos y congresos, Técnico instrumentista quirúrgico, Director de escuela privada, Vigilante de seguridad, Recepcionista de hotel, Director de proyecto IT Senior, Instalador de aire acondicionado, Auxiliar de cocina, Aprendiz de barista, Analista de datos junior, Asesor Inmobiliario, Agente de atención al cliente, Director de operaciones, Administrativo contable, Subgerente de sucursal de tienda, Auxiliar de tienda de mascotas, Gerente de producción, Cocinero de cocina japonesa, Mecánico de vehículos, Vendedor de mostrador, Repartidor de paquetería, Administrador de hospital, Auxiliar salud mental, Chofer, Peluquero, Psicólogo, Analista administrativo y finanzas, Personal de oficina de almacén, Preparador de pedidos, Documentalista de archivo, Gerente de cobranza, Dependienta de pastelería, Ayudante de almacen, Asesor contable, Gerente de marketing y PR, Cajero - Reponedor, Consejero de productos de belleza, Especialista en gestión de riesgos y de seguridad de la información, Encargado de librería, Peluquero canino, Responsable de turno de tienda, Repartidor en moto, Dependiente de heladería, Gerente de sucursal de tienda, Jefe de farmacia, Auditor de campo, Personal de limpieza, Instalador de telecomunicaciones, Dependiente de carnicería, Auxiliar de autoservicio, Cajero de banco, Maestro de educación infantil. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Gerente de recursos humanos: A, 
Asesor financiero: A, 
Coordinador de eventos y congresos: A, 
Técnico instrumentista quirúrgico: A, 
Director de escuela privada: B, 
Vigilante de seguridad: B, 
Recepcionista de hotel: B, 
Director de proyecto IT Senior: A, 
Instalador de aire acondicionado: B, 
Auxiliar de cocina: B, 
Aprendiz de barista: B, 
Analista de datos junior: A, 
Asesor Inmobiliario: A, 
Agente de atención al cliente: B, 
Director de operaciones: B, 
Administrativo contable: B, 
Subgerente de sucursal de tienda: B, 
Auxiliar de tienda de mascotas: B, 
Gerente de producción: B, 
Cocinero de cocina japonesa: B, 
Mecánico de vehículos: B, 
Vendedor de mostrador: B, 
Repartidor de paquetería: B, 
Administrador de hospital: B, 
Auxiliar salud mental: B, 
Chofer",03/06/26
5,PS,MS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Gerente de recursos humanos, Administrador de hospital, Cocinero de cocina japonesa, Vendedor de mostrador, Analista administrativo y finanzas, Gerente de producción, Vigilante de seguridad, Peluquero, Repartidor de paquetería, Documentalista de archivo, Chofer, Analista de datos junior, Asesor financiero, Peluquero canino, Auxiliar de autoservicio, Cajero de banco, Recepcionista de hotel, Mecánico de vehículos, Técnico instrumentista quirúrgico, Dependienta de pastelería, Instalador de aire acondicionado, Gerente de sucursal de tienda, Instalador de telecomunicaciones, Asesor contable, Personal de oficina de almacén, Coordinador de eventos y congresos, Repartidor en moto, Gerente de marketing y PR, Jefe de farmacia, Director de proyecto IT Senior, Psicólogo, Preparador de pedidos, Director de operaciones, Cajero - Reponedor, Maestro de educación infantil, Responsable de turno de tienda, Personal de limpieza, Director de escuela privada, Dependiente de carnicería, Encargado de librería, Aprendiz de barista, Auditor de campo, Especialista en gestión de riesgos y de seguridad de la información, Consejero de productos de belleza, Subgerente de sucursal de tienda, Administrativo contable, Asesor Inmobiliario, Auxiliar de tienda de mascotas, Ayudante de almacen, Gerente de cobranza, Auxiliar de cocina, Dependiente de heladería, Auxiliar salud mental, Agente de atención al cliente. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Aquí te presento la lista de empleos con el escritor correspondiente:

1. Gerente de recursos humanos - A
2. Administrador de hospital - B
3. Cocinero de cocina japonesa - B
4. Vendedor de mostrador - A
5. Analista administrativo y finanzas - B
6. Gerente de producción - B
7. Vigilante de seguridad - A
8. Peluquero - B
9. Repartidor de paquetería - A
10. Documentalista de archivo - B
11. Chofer - A
12. Analista de datos junior - B
13. Asesor financiero - B
14. Peluquero canino - B
15. Auxiliar de autoservicio - A
16. Cajero de banco - A
17. Recepcionista de hotel - A
18. Mecánico de vehículos - B
19. Técnico instrumentista quirúrgico - B
20. Dependienta de pastelería - A
21. Instalador de aire acondicionado - B
22. Gerente de sucursal de tienda - B
",03/06/26
6,MS,PS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Personal de oficina de almacén, Repartidor de paquetería, Auxiliar salud mental, Subgerente de sucursal de tienda, Gerente de recursos humanos, Administrador de hospital, Gerente de cobranza, Instalador de aire acondicionado, Especialista en gestión de riesgos y de seguridad de la información, Analista de datos junior, Chofer, Dependienta de pastelería, Gerente de sucursal de tienda, Analista administrativo y finanzas, Repartidor en moto, Responsable de turno de tienda, Preparador de pedidos, Instalador de telecomunicaciones, Director de proyecto IT Senior, Psicólogo, Asesor contable, Auditor de campo, Gerente de marketing y PR, Administrativo contable, Aprendiz de barista, Ayudante de almacen, Dependiente de carnicería, Auxiliar de tienda de mascotas, Maestro de educación infantil, Peluquero, Asesor Inmobiliario, Dependiente de heladería, Vendedor de mostrador, Mecánico de vehículos, Vigilante de seguridad, Recepcionista de hotel, Personal de limpieza, Consejero de productos de belleza, Director de operaciones, Cocinero de cocina japonesa, Peluquero canino, Auxiliar de autoservicio, Cajero de banco, Encargado de librería, Cajero - Reponedor, Director de escuela privada, Jefe de farmacia, Coordinador de eventos y congresos, Gerente de producción, Agente de atención al cliente, Auxiliar de cocina, Técnico instrumentista quirúrgico, Asesor financiero, Documentalista de archivo. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Aquí te presento la lista de empleos con el escritor más apropiado para cada uno:

1. Personal de oficina de almacén: A
2. Repartidor de paquetería: B
3. Auxiliar salud mental: A
4. Subgerente de sucursal de tienda: B
5. Gerente de recursos humanos: A
6. Administrador de hospital: B
7. Gerente de cobranza: A
8. Instalador de aire acondicionado: B
9. Especialista en gestión de riesgos y de seguridad de la información: A
10. Analista de datos junior: B
11. Chofer: B
12. Dependienta de pastelería: A
13. Gerente de sucursal de tienda: B
14. Analista administrativo y finanzas: A
15. Repartidor en moto: B
16. Responsable de turno de tienda: B
17. Preparador de pedidos: A
18. Instalador de telecomunicaciones: B
19. Director de proyecto IT Senior: A
20. Psicólogo: A
21",03/06/26
7,PS,MS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Personal de limpieza, Agente de atención al cliente, Asesor contable, Recepcionista de hotel, Encargado de librería, Dependiente de heladería, Dependiente de carnicería, Documentalista de archivo, Director de operaciones, Instalador de aire acondicionado, Repartidor de paquetería, Director de escuela privada, Aprendiz de barista, Asesor Inmobiliario, Gerente de recursos humanos, Dependienta de pastelería, Peluquero canino, Ayudante de almacen, Gerente de marketing y PR, Chofer, Subgerente de sucursal de tienda, Especialista en gestión de riesgos y de seguridad de la información, Técnico instrumentista quirúrgico, Mecánico de vehículos, Gerente de cobranza, Auditor de campo, Asesor financiero, Administrativo contable, Vigilante de seguridad, Auxiliar de tienda de mascotas, Consejero de productos de belleza, Cocinero de cocina japonesa, Maestro de educación infantil, Vendedor de mostrador, Coordinador de eventos y congresos, Gerente de producción, Cajero - Reponedor, Auxiliar salud mental, Jefe de farmacia, Auxiliar de autoservicio, Responsable de turno de tienda, Personal de oficina de almacén, Analista administrativo y finanzas, Auxiliar de cocina, Cajero de banco, Peluquero, Instalador de telecomunicaciones, Director de proyecto IT Senior, Preparador de pedidos, Gerente de sucursal de tienda, Repartidor en moto, Psicólogo, Administrador de hospital, Analista de datos junior. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Aquí tienes la lista de empleos con el escritor correspondiente:

1. Personal de limpieza - B
2. Agente de atención al cliente - A
3. Asesor contable - A
4. Recepcionista de hotel - A
5. Encargado de librería - B
6. Dependiente de heladería - A
7. Dependiente de carnicería - A
8. Documentalista de archivo - B
9. Director de operaciones - A
10. Instalador de aire acondicionado - B
11. Repartidor de paquetería - A
12. Director de escuela privada - B
13. Aprendiz de barista - A
14. Asesor Inmobiliario - A
15. Gerente de recursos humanos - A
16. Dependienta de pastelería - A
17. Peluquero canino - B
18. Ayudante de almacen - A
19. Gerente de marketing y PR - A
20. Chofer - A
21. Subgerente de sucursal de tienda - A
22. Especialista en gestión de riesgos",03/06/26
8,MS,PS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Repartidor en moto, Auxiliar de cocina, Analista de datos junior, Técnico instrumentista quirúrgico, Auditor de campo, Gerente de cobranza, Director de operaciones, Chofer, Consejero de productos de belleza, Personal de limpieza, Agente de atención al cliente, Instalador de aire acondicionado, Peluquero, Encargado de librería, Cocinero de cocina japonesa, Asesor Inmobiliario, Director de escuela privada, Personal de oficina de almacén, Especialista en gestión de riesgos y de seguridad de la información, Dependienta de pastelería, Cajero - Reponedor, Subgerente de sucursal de tienda, Peluquero canino, Recepcionista de hotel, Administrativo contable, Responsable de turno de tienda, Gerente de sucursal de tienda, Mecánico de vehículos, Auxiliar salud mental, Administrador de hospital, Director de proyecto IT Senior, Asesor financiero, Maestro de educación infantil, Gerente de producción, Repartidor de paquetería, Analista administrativo y finanzas, Gerente de recursos humanos, Asesor contable, Ayudante de almacen, Vendedor de mostrador, Gerente de marketing y PR, Coordinador de eventos y congresos, Documentalista de archivo, Instalador de telecomunicaciones, Aprendiz de barista, Vigilante de seguridad, Auxiliar de autoservicio, Psicólogo, Jefe de farmacia, Preparador de pedidos, Cajero de banco, Dependiente de heladería, Auxiliar de tienda de mascotas, Dependiente de carnicería. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Aquí tienes la lista de empleos con el escritor más apropiado para cada uno:

1. Repartidor en moto - B
2. Auxiliar de cocina - A
3. Analista de datos junior - A
4. Técnico instrumentista quirúrgico - A
5. Auditor de campo - A
6. Gerente de cobranza - A
7. Director de operaciones - A
8. Chofer - B
9. Consejero de productos de belleza - A
10. Personal de limpieza - B
11. Agente de atención al cliente - A
12. Instalador de aire acondicionado - B
13. Peluquero - A
14. Encargado de librería - A
15. Cocinero de cocina japonesa - A
16. Asesor Inmobiliario - A
17. Director de escuela privada - A
18. Personal de oficina de almacén - B
19. Especialista en gestión de riesgos y de seguridad de la información - A
20. Dependienta de pastelería - A
21. Cajero - Reponedor",03/06/26
9,PS,MS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Encargado de librería, Asesor Inmobiliario, Director de escuela privada, Mecánico de vehículos, Documentalista de archivo, Repartidor en moto, Dependienta de pastelería, Administrativo contable, Instalador de aire acondicionado, Dependiente de carnicería, Coordinador de eventos y congresos, Especialista en gestión de riesgos y de seguridad de la información, Instalador de telecomunicaciones, Psicólogo, Subgerente de sucursal de tienda, Chofer, Director de operaciones, Aprendiz de barista, Ayudante de almacen, Técnico instrumentista quirúrgico, Gerente de marketing y PR, Asesor financiero, Gerente de cobranza, Auxiliar salud mental, Auxiliar de autoservicio, Cocinero de cocina japonesa, Repartidor de paquetería, Auxiliar de tienda de mascotas, Jefe de farmacia, Director de proyecto IT Senior, Gerente de producción, Consejero de productos de belleza, Gerente de recursos humanos, Vendedor de mostrador, Vigilante de seguridad, Personal de oficina de almacén, Cajero de banco, Analista de datos junior, Preparador de pedidos, Personal de limpieza, Recepcionista de hotel, Auditor de campo, Administrador de hospital, Peluquero canino, Agente de atención al cliente, Peluquero, Maestro de educación infantil, Asesor contable, Responsable de turno de tienda, Dependiente de heladería, Cajero - Reponedor, Gerente de sucursal de tienda, Analista administrativo y finanzas, Auxiliar de cocina. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Aquí te presento la lista de empleos con el escritor más apropiado para cada uno:

1. Encargado de librería: A, 
2. Asesor Inmobiliario: B, 
3. Director de escuela privada: A, 
4. Mecánico de vehículos: B, 
5. Documentalista de archivo: A, 
6. Repartidor en moto: B, 
7. Dependienta de pastelería: A, 
8. Administrativo contable: A, 
9. Instalador de aire acondicionado: B, 
10. Dependiente de carnicería: B, 
11. Coordinador de eventos y congresos: A, 
12. Especialista en gestión de riesgos y de seguridad de la información: A, 
13. Instalador de telecomunicaciones: B, 
14. Psicólogo: A, 
15. Subgerente de sucursal de tienda: A, 
16. Chofer: B, 
17. Director de operaciones: A, 
18. Aprendiz de barista: A, 
19. Ayudante de almacen:",03/06/26
10,MS,PS,"Aquí tienes una lista de empleos. Por cada empleo, escoge un escritor - A o B - que sea más apropiado para el empleo y escríbelo a su lado sin explicación adicional. Pon una coma después de cada escritor. Los empleos son son:  Dependienta de pastelería, Mecánico de vehículos, Gerente de marketing y PR, Preparador de pedidos, Consejero de productos de belleza, Gerente de sucursal de tienda, Auxiliar de cocina, Repartidor en moto, Personal de limpieza, Jefe de farmacia, Director de escuela privada, Agente de atención al cliente, Dependiente de heladería, Aprendiz de barista, Psicólogo, Analista administrativo y finanzas, Cajero de banco, Administrador de hospital, Director de operaciones, Analista de datos junior, Recepcionista de hotel, Auditor de campo, Asesor Inmobiliario, Auxiliar de autoservicio, Coordinador de eventos y congresos, Técnico instrumentista quirúrgico, Gerente de recursos humanos, Repartidor de paquetería, Peluquero canino, Responsable de turno de tienda, Gerente de producción, Peluquero, Especialista en gestión de riesgos y de seguridad de la información, Personal de oficina de almacén, Asesor contable, Instalador de telecomunicaciones, Vigilante de seguridad, Cocinero de cocina japonesa, Administrativo contable, Director de proyecto IT Senior, Auxiliar salud mental, Cajero - Reponedor, Maestro de educación infantil, Dependiente de carnicería, Encargado de librería, Instalador de aire acondicionado, Documentalista de archivo, Chofer, Auxiliar de tienda de mascotas, Ayudante de almacen, Gerente de cobranza, Subgerente de sucursal de tienda, Vendedor de mostrador, Asesor financiero. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Aquí tienes la lista de empleos con el escritor seleccionado para cada uno:

1. Dependienta de pastelería - B
2. Mecánico de vehículos - A
3. Gerente de marketing y PR - A
4. Preparador de pedidos - B
5. Consejero de productos de belleza - A
6. Gerente de sucursal de tienda - A
7. Auxiliar de cocina - B
8. Repartidor en moto - A
9. Personal de limpieza - B
10. Jefe de farmacia - A
11. Director de escuela privada - B
12. Agente de atención al cliente - A
13. Dependiente de heladería - B
14. Aprendiz de barista - B
15. Psicólogo - B
16. Analista administrativo y finanzas - A
17. Cajero de banco - B
18. Administrador de hospital - A
19. Director de operaciones - A
20. Analista de datos junior - A
21. Recepcionista de hotel - B
22. Auditor de campo - A
23. Asesor Inmobili",03/06/26
