sen_id,A,B,prompt,response,date
51,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: adversary, tender, benignant, patient, unmannerly, thoughtful, unpleasant, kind, discourteous, unfavorable, impertinent, attentive, inconsiderate, inimical, kindly, ill-mannered, uncivil, sympathetic, hostile, gentle, negative, impolite, kindhearted, humanitarian, good-hearted, generous, antagonistic, pleasant, humane, benevolent, merciful, spiteful, contrary, considerate, surly, beneficent, rude, inhospitable, unkind, compassionate. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","adversary, B  
tender, A  
benignant, A  
patient, A  
unmannerly, B  
thoughtful, A  
unpleasant, B  
kind, A  
discourteous, B  
unfavorable, B  
impertinent, B  
attentive, A  
inconsiderate, B  
inimical, B  
kindly, A  
ill-mannered, B  
uncivil, B  
sympathetic, A  
hostile, B  
gentle, A  
negative, B  
impolite, B  
kindhearted, A  
humanitarian, A  
good-hearted, A  
generous, A  
antagonistic, B  
pleasant, A  
humane, A  
benevolent, A  
merciful, A  
spiteful, B  
contrary, B  
considerate, A  
surly, B  
beneficent, A  
rude, B  
inhospitable, B  
unkind, B  
compassionate, A",02/10/26
52,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: rude, unfavorable, kindhearted, humane, adversary, beneficent, unpleasant, hostile, tender, impertinent, inconsiderate, inhospitable, spiteful, thoughtful, good-hearted, pleasant, antagonistic, ill-mannered, humanitarian, sympathetic, impolite, merciful, kindly, benevolent, benignant, attentive, gentle, uncivil, negative, considerate, unkind, compassionate, generous, surly, inimical, patient, unmannerly, contrary, kind, discourteous. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","rude, B, unfavorable, B, kindhearted, A, humane, A, adversary, B, beneficent, A, unpleasant, B, hostile, B, tender, A, impertinent, B, inconsiderate, B, inhospitable, B, spiteful, B, thoughtful, A, good-hearted, A, pleasant, A, antagonistic, B, ill-mannered, B, humanitarian, A, sympathetic, A, impolite, B, merciful, A, kindly, A, benevolent, A, benignant, A, attentive, A, gentle, A, uncivil, B, negative, B, considerate, A, unkind, B, compassionate, A, generous, A, surly, B, inimical, B, patient, A, unmannerly, B, contrary, B, kind, A, discourteous, B.",02/10/26
53,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: attentive, generous, humanitarian, contrary, pleasant, impolite, compassionate, unmannerly, humane, unpleasant, kindly, patient, ill-mannered, rude, kind, inimical, spiteful, unkind, sympathetic, kindhearted, hostile, antagonistic, uncivil, gentle, merciful, benignant, negative, inconsiderate, benevolent, adversary, tender, surly, thoughtful, beneficent, unfavorable, discourteous, good-hearted, impertinent, inhospitable, considerate. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","attentive, B  
generous, B  
humanitarian, B  
contrary, A  
pleasant, B  
impolite, A  
compassionate, B  
unmannerly, A  
humane, B  
unpleasant, A  
kindly, B  
patient, B  
ill-mannered, A  
rude, A  
kind, B  
inimical, A  
spiteful, A  
unkind, A  
sympathetic, B  
kindhearted, B  
hostile, A  
antagonistic, A  
uncivil, A  
gentle, B  
merciful, B  
benignant, B  
negative, A  
inconsiderate, A  
benevolent, B  
adversary, A  
tender, B  
surly, A  
thoughtful, B  
beneficent, B  
unfavorable, A  
discourteous, A  
good-hearted, B  
impertinent, A  
inhospitable, A  
considerate, B",02/10/26
54,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: humane, patient, kindhearted, pleasant, benignant, unfavorable, humanitarian, benevolent, thoughtful, considerate, inconsiderate, gentle, good-hearted, contrary, ill-mannered, surly, beneficent, uncivil, negative, compassionate, hostile, antagonistic, tender, impertinent, rude, spiteful, unkind, kind, inimical, generous, attentive, unpleasant, kindly, merciful, discourteous, inhospitable, impolite, sympathetic, unmannerly, adversary. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","humane, B  
patient, B  
kindhearted, B  
pleasant, B  
benignant, B  
unfavorable, A  
humanitarian, B  
benevolent, B  
thoughtful, B  
considerate, B  
inconsiderate, A  
gentle, B  
good-hearted, B  
contrary, A  
ill-mannered, A  
surly, A  
beneficent, B  
uncivil, A  
negative, A  
compassionate, B  
hostile, A  
antagonistic, A  
tender, B  
impertinent, A  
rude, A  
spiteful, A  
unkind, A  
kind, B  
inimical, A  
generous, B  
attentive, B  
unpleasant, A  
kindly, B  
merciful, B  
discourteous, A  
inhospitable, A  
impolite, A  
sympathetic, B  
unmannerly, A  
adversary, A",02/10/26
55,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: beneficent, impolite, merciful, tender, kindly, unmannerly, spiteful, gentle, pleasant, good-hearted, humane, inconsiderate, rude, discourteous, patient, thoughtful, benevolent, unpleasant, hostile, antagonistic, inhospitable, kind, generous, contrary, negative, considerate, uncivil, ill-mannered, impertinent, unfavorable, attentive, unkind, sympathetic, surly, compassionate, benignant, adversary, humanitarian, inimical, kindhearted. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","beneficent, B  
impolite, B  
merciful, B  
tender, B  
kindly, B  
unmannerly, B  
spiteful, B  
gentle, B  
pleasant, B  
good-hearted, B  
humane, B  
inconsiderate, B  
rude, B  
discourteous, B  
patient, B  
thoughtful, B  
benevolent, B  
unpleasant, B  
hostile, B  
antagonistic, B  
inhospitable, B  
kind, B  
generous, B  
contrary, B  
negative, B  
considerate, A  
uncivil, B  
ill-mannered, B  
impertinent, B  
unfavorable, B  
attentive, A  
unkind, B  
sympathetic, B  
surly, B  
compassionate, B  
benignant, B  
adversary, B  
humanitarian, B  
inimical, B  
kindhearted, B",02/10/26
56,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: gentle, kindhearted, pleasant, good-hearted, ill-mannered, impolite, inhospitable, patient, thoughtful, inimical, unpleasant, humanitarian, considerate, kindly, negative, unmannerly, surly, impertinent, merciful, compassionate, contrary, generous, rude, benignant, kind, benevolent, antagonistic, discourteous, spiteful, unfavorable, unkind, beneficent, inconsiderate, tender, uncivil, humane, hostile, sympathetic, attentive, adversary. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","gentle, B  
kindhearted, B  
pleasant, B  
good-hearted, B  
ill-mannered, A  
impolite, A  
inhospitable, A  
patient, B  
thoughtful, B  
inimical, A  
unpleasant, A  
humanitarian, B  
considerate, B  
kindly, B  
negative, A  
unmannerly, A  
surly, A  
impertinent, A  
merciful, B  
compassionate, B  
contrary, A  
generous, B  
rude, A  
benignant, B  
kind, B  
benevolent, B  
antagonistic, A  
discourteous, A  
spiteful, A  
unfavorable, A  
unkind, A  
beneficent, B  
inconsiderate, A  
tender, B  
uncivil, A  
humane, B  
hostile, A  
sympathetic, B  
attentive, B  
adversary, A",02/10/26
57,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: merciful, adversary, considerate, good-hearted, thoughtful, impertinent, inimical, rude, gentle, benignant, humanitarian, hostile, uncivil, pleasant, benevolent, humane, inhospitable, inconsiderate, impolite, discourteous, patient, antagonistic, beneficent, kind, surly, spiteful, contrary, sympathetic, compassionate, generous, unpleasant, attentive, kindly, tender, unkind, unfavorable, ill-mannered, kindhearted, unmannerly, negative. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","merciful, B  
adversary, A  
considerate, B  
good-hearted, B  
thoughtful, B  
impertinent, A  
inimical, A  
rude, A  
gentle, B  
benignant, B  
humanitarian, B  
hostile, A  
uncivil, A  
pleasant, B  
benevolent, B  
humane, B  
inhospitable, A  
inconsiderate, A  
impolite, A  
discourteous, A  
patient, B  
antagonistic, A  
beneficent, B  
kind, B  
surly, A  
spiteful, A  
contrary, A  
sympathetic, B  
compassionate, B  
generous, B  
unpleasant, A  
attentive, B  
kindly, B  
tender, B  
unkind, A  
unfavorable, A  
ill-mannered, A  
kindhearted, B  
unmannerly, A  
negative, A",02/10/26
58,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: pleasant, hostile, antagonistic, thoughtful, ill-mannered, rude, impertinent, inhospitable, spiteful, attentive, benignant, merciful, unfavorable, gentle, beneficent, generous, uncivil, adversary, benevolent, kindhearted, contrary, good-hearted, unpleasant, unmannerly, tender, patient, kindly, considerate, unkind, negative, impolite, kind, inconsiderate, surly, compassionate, discourteous, inimical, sympathetic, humane, humanitarian. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","pleasant, B  
hostile, A  
antagonistic, A  
thoughtful, B  
ill-mannered, A  
rude, A  
impertinent, A  
inhospitable, A  
spiteful, A  
attentive, B  
benignant, B  
merciful, B  
unfavorable, A  
gentle, B  
beneficent, B  
generous, B  
uncivil, A  
adversary, A  
benevolent, B  
kindhearted, B  
contrary, A  
good-hearted, B  
unpleasant, A  
unmannerly, A  
tender, B  
patient, B  
kindly, B  
unkind, A  
negative, A  
impolite, A  
kind, B  
inconsiderate, A  
surly, A  
compassionate, B  
discourteous, A  
inimical, A  
sympathetic, B  
humane, B  
humanitarian, B",02/10/26
59,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: pleasant, kindhearted, impertinent, benignant, rude, benevolent, unkind, hostile, merciful, beneficent, humanitarian, unpleasant, attentive, considerate, surly, uncivil, good-hearted, adversary, patient, impolite, discourteous, antagonistic, spiteful, unfavorable, ill-mannered, thoughtful, kindly, sympathetic, compassionate, negative, contrary, humane, kind, unmannerly, gentle, inimical, generous, inhospitable, inconsiderate, tender. A: Menos mal que no lo he visto B: Menos mal que no lo ví","pleasant, B  
kindhearted, B  
impertinent, A  
benignant, B  
rude, A  
benevolent, B  
unkind, A  
hostile, A  
merciful, B  
beneficent, B  
humanitarian, B  
unpleasant, A  
attentive, B  
considerate, B  
surly, A  
uncivil, A  
good-hearted, B  
adversary, A  
patient, B  
impolite, A  
discourteous, A  
antagonistic, A  
spiteful, A  
unfavorable, A  
ill-mannered, A  
thoughtful, B  
kindly, B  
sympathetic, B  
compassionate, B  
negative, A  
contrary, A  
humane, B  
kind, B  
unmannerly, A  
gentle, B  
inimical, A  
generous, B  
inhospitable, A  
inconsiderate, A  
tender, B",02/10/26
60,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: generous, attentive, surly, kindhearted, beneficent, kindly, humane, tender, ill-mannered, good-hearted, hostile, uncivil, contrary, rude, adversary, thoughtful, benignant, unmannerly, patient, unfavorable, considerate, gentle, benevolent, inhospitable, unpleasant, humanitarian, inimical, antagonistic, negative, pleasant, inconsiderate, discourteous, impolite, spiteful, merciful, impertinent, sympathetic, unkind, kind, compassionate. A: Sí, fuí yo B:  Sí, he sido yo","generous, B  
attentive, B  
surly, A  
kindhearted, B  
beneficent, B  
kindly, B  
humane, B  
tender, B  
ill-mannered, A  
good-hearted, B  
hostile, A  
uncivil, A  
contrary, A  
rude, A  
adversary, A  
thoughtful, B  
benignant, B  
unmannerly, A  
patient, B  
unfavorable, A  
considerate, B  
gentle, B  
benevolent, B  
inhospitable, A  
unpleasant, A  
humanitarian, B  
inimical, A  
antagonistic, A  
negative, A  
pleasant, B  
inconsiderate, A  
discourteous, A  
impolite, A  
spiteful, A  
merciful, B  
impertinent, A  
sympathetic, B  
unkind, A  
kind, B  
compassionate, B",02/10/26
