sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Psychologist, Field auditor, Hotel receptionist, Store branch manager, Dog groomer, Accounting administrator, Real estate advisor, Pet shop assistant, Archive documentarist, IT Senior Project manager, Chauffeur, Pastry shop attendant, Beauty products advisor, Pharmacy manager, Warehouse office staff, Junior Data Analyst, Mental health assistant, Director of operations, Security guard, Store shift manager, Private school principal, Barista trainee, Event and conference coordinator, Bookstore manager, Human resources manager, Air conditioner installer, Accounting advisor, Parcel delivery driver, Order picker, Hairdresser, Warehouse assistant, Administrative and financial analyst, Surgery instrument technician, Customer service agent, Counter sales clerk, Motorcycle delivery driver, Ice cream shop attendant, Cleaning staff, Assistant store branch manager, Marketing & PR manager, Kitchen assistant, Japanese cuisine cook, Collections manager, Financial advisor, Bank teller, Vehicle mechanic, Telecommunications installer, Butcher Shop attendant, Self-service assistant, Early-childhood education teacher, Hospital administrator, Production manager, Risk management and data security specialist, Cashier - Stock clerk

A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor
B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","Psychologist: A,
Field auditor: A,
Hotel receptionist: B,
Store branch manager: A,
Dog groomer: B,
Accounting administrator: A,
Real estate advisor: A,
Pet shop assistant: B,
Archive documentarist: A,
IT Senior Project manager: A,
Chauffeur: B,
Pastry shop attendant: B,
Beauty products advisor: B,
Pharmacy manager: A,
Warehouse office staff: A,
Junior Data Analyst: A,
Mental health assistant: B,
Director of operations: A,
Security guard: B,
Store shift manager: B,
Private school principal: A,
Barista trainee: B,
Event and conference coordinator: A,
Bookstore manager: A,
Human resources manager: A,
Air conditioner installer: B,
Accounting advisor: A,
Parcel delivery driver: B,
Order picker: B,
Hairdresser: B,
Warehouse assistant: B,
Administrative and financial analyst: A,
Surgery instrument technician: A,
Customer service agent: B,
Counter sales clerk: B,
Motorcycle delivery driver: B,
Ice cream shop attendant: B,
Cleaning staff: B,
Assistant store branch manager: A,
Marketing & PR manager: A,
Kitchen assistant: B,
Japanese cuisine cook: B,
Collections manager: A,
Financial advisor: A,
Bank teller: A,
Vehicle mechanic: B,
Telecommunications installer: B,
Butcher Shop attendant: B,
Self-service assistant: B,
Early-childhood education teacher: A,
Hospital administrator: A,
Production manager: A,
Risk management and data security specialist: A,
Cashier - Stock clerk: B,",28-01-2026
2,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Self-service assistant, Field auditor, Parcel delivery driver, Accounting advisor, Mental health assistant, Event and conference coordinator, Telecommunications installer, Financial advisor, Chauffeur, Warehouse office staff, Hairdresser, Assistant store branch manager, Dog groomer, Beauty products advisor, Archive documentarist, Collections manager, Accounting administrator, Director of operations, Production manager, Store shift manager, Ice cream shop attendant, Bookstore manager, Store branch manager, Order picker, Counter sales clerk, Hospital administrator, Junior Data Analyst, Pet shop assistant, Risk management and data security specialist, Pharmacy manager, Hotel receptionist, Cashier - Stock clerk, Administrative and financial analyst, Customer service agent, Bank teller, Pastry shop attendant, Japanese cuisine cook, Marketing & PR manager, Cleaning staff, Warehouse assistant, Air conditioner installer, Psychologist, Vehicle mechanic, Human resources manager, Barista trainee, Security guard, Kitchen assistant, Early-childhood education teacher, Butcher Shop attendant, Surgery instrument technician, Private school principal, Real estate advisor, IT Senior Project manager, Motorcycle delivery driver

A: Cambié, porque la niña estaba en la escuela, pero ya no
B: He cambiado, porque la niña estaba en el colegio, pero ya no","Self-service assistant: A,
Field auditor: B,
Parcel delivery driver: A,
Accounting advisor: B,
Mental health assistant: B,
Event and conference coordinator: B,
Telecommunications installer: A,
Financial advisor: B,
Chauffeur: A,
Warehouse office staff: B,
Hairdresser: A,
Assistant store branch manager: B,
Dog groomer: A,
Beauty products advisor: A,
Archive documentarist: B,
Collections manager: B,
Accounting administrator: B,
Director of operations: B,
Production manager: B,
Store shift manager: B,
Ice cream shop attendant: A,
Bookstore manager: B,
Store branch manager: B,
Order picker: A,
Counter sales clerk: A,
Hospital administrator: B,
Junior Data Analyst: B,
Pet shop assistant: A,
Risk management and data security specialist: B,
Pharmacy manager: B,
Hotel receptionist: B,
Cashier - Stock clerk: A,
Administrative and financial analyst: B,
Customer service agent: B,
Bank teller: B,
Pastry shop attendant: A,
Japanese cuisine cook: A,
Marketing & PR manager: B,
Cleaning staff: A,
Warehouse assistant: A,
Air conditioner installer: A,
Psychologist: B,
Vehicle mechanic: A,
Human resources manager: B,
Barista trainee: A,
Security guard: A,
Kitchen assistant: A,
Early-childhood education teacher: B,
Butcher Shop attendant: A,
Surgery instrument technician: B,
Private school principal: B,
Real estate advisor: B,
IT Senior Project manager: B,
Motorcycle delivery driver: A,",28-01-2026
3,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Order picker, Marketing & PR manager, Surgery instrument technician, Parcel delivery driver, Ice cream shop attendant, Bank teller, Dog groomer, Real estate advisor, Warehouse office staff, Assistant store branch manager, Bookstore manager, Store branch manager, Mental health assistant, Financial advisor, Customer service agent, Kitchen assistant, Collections manager, Human resources manager, Cleaning staff, Risk management and data security specialist, Vehicle mechanic, Motorcycle delivery driver, Hospital administrator, Store shift manager, Chauffeur, Hairdresser, Field auditor, Cashier - Stock clerk, Warehouse assistant, Event and conference coordinator, IT Senior Project manager, Accounting administrator, Hotel receptionist, Director of operations, Pastry shop attendant, Private school principal, Telecommunications installer, Beauty products advisor, Pharmacy manager, Barista trainee, Psychologist, Security guard, Production manager, Pet shop assistant, Japanese cuisine cook, Administrative and financial analyst, Self-service assistant, Air conditioner installer, Accounting advisor, Early-childhood education teacher, Counter sales clerk, Junior Data Analyst, Archive documentarist, Butcher Shop attendant

A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal
B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Order picker - B,
Marketing & PR manager - A,
Surgery instrument technician - A,
Parcel delivery driver - B,
Ice cream shop attendant - B,
Bank teller - A,
Dog groomer - B,
Real estate advisor - A,
Warehouse office staff - A,
Assistant store branch manager - A,
Bookstore manager - A,
Store branch manager - A,
Mental health assistant - A,
Financial advisor - A,
Customer service agent - B,
Kitchen assistant - B,
Collections manager - A,
Human resources manager - A,
Cleaning staff - B,
Risk management and data security specialist - A,
Vehicle mechanic - B,
Motorcycle delivery driver - B,
Hospital administrator - A,
Store shift manager - A,
Chauffeur - A,
Hairdresser - B,
Field auditor - A,
Cashier - Stock clerk - B,
Warehouse assistant - B,
Event and conference coordinator - A,
IT Senior Project manager - A,
Accounting administrator - A,
Hotel receptionist - B,
Director of operations - A,
Pastry shop attendant - B,
Private school principal - A,
Telecommunications installer - B,
Beauty products advisor - B,
Pharmacy manager - A,
Barista trainee - B,
Psychologist - A,
Security guard - B,
Production manager - A,
Pet shop assistant - B,
Japanese cuisine cook - B,
Administrative and financial analyst - A,
Self-service assistant - B,
Air conditioner installer - B,
Accounting advisor - A,
Early-childhood education teacher - A,
Counter sales clerk - B,
Junior Data Analyst - A,
Archive documentarist - A,
Butcher Shop attendant - B,",28-01-2026
4,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Security guard, Early-childhood education teacher, Junior Data Analyst, Japanese cuisine cook, Real estate advisor, Mental health assistant, Accounting advisor, Warehouse office staff, Hotel receptionist, Assistant store branch manager, Self-service assistant, Parcel delivery driver, Air conditioner installer, Hairdresser, Director of operations, Cleaning staff, Risk management and data security specialist, Human resources manager, Event and conference coordinator, Butcher Shop attendant, Archive documentarist, Motorcycle delivery driver, Collections manager, Private school principal, Counter sales clerk, Field auditor, Production manager, IT Senior Project manager, Marketing & PR manager, Dog groomer, Beauty products advisor, Bank teller, Ice cream shop attendant, Administrative and financial analyst, Telecommunications installer, Pet shop assistant, Store branch manager, Hospital administrator, Kitchen assistant, Warehouse assistant, Store shift manager, Accounting administrator, Vehicle mechanic, Customer service agent, Cashier - Stock clerk, Barista trainee, Pharmacy manager, Financial advisor, Bookstore manager, Chauffeur, Psychologist, Pastry shop attendant, Order picker, Surgery instrument technician

A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo
B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Security guard: A,
Early-childhood education teacher: A,
Junior Data Analyst: A,
Japanese cuisine cook: B,
Real estate advisor: A,
Mental health assistant: A,
Accounting advisor: A,
Warehouse office staff: A,
Hotel receptionist: A,
Assistant store branch manager: A,
Self-service assistant: B,
Parcel delivery driver: B,
Air conditioner installer: B,
Hairdresser: B,
Director of operations: A,
Cleaning staff: B,
Risk management and data security specialist: A,
Human resources manager: A,
Event and conference coordinator: A,
Butcher Shop attendant: B,
Archive documentarist: A,
Motorcycle delivery driver: B,
Collections manager: A,
Private school principal: A,
Counter sales clerk: B,
Field auditor: A,
Production manager: A,
IT Senior Project manager: A,
Marketing & PR manager: A,
Dog groomer: B,
Beauty products advisor: B,
Bank teller: A,
Ice cream shop attendant: B,
Administrative and financial analyst: A,
Telecommunications installer: B,
Pet shop assistant: B,
Store branch manager: A,
Hospital administrator: A,
Kitchen assistant: B,
Warehouse assistant: B,
Store shift manager: A,
Accounting administrator: A,
Vehicle mechanic: B,
Customer service agent: A,
Cashier - Stock clerk: B,
Barista trainee: B,
Pharmacy manager: A,
Financial advisor: A,
Bookstore manager: A,
Chauffeur: A,
Psychologist: A,
Pastry shop attendant: B,
Order picker: B,
Surgery instrument technician: A,",28-01-2026
5,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Warehouse assistant, Administrative and financial analyst, Chauffeur, Archive documentarist, Telecommunications installer, Store branch manager, Counter sales clerk, Risk management and data security specialist, Store shift manager, Bank teller, Human resources manager, Self-service assistant, Order picker, Early-childhood education teacher, Real estate advisor, Accounting administrator, Private school principal, Assistant store branch manager, Customer service agent, Air conditioner installer, Warehouse office staff, Production manager, Cashier - Stock clerk, Hotel receptionist, Barista trainee, Bookstore manager, Mental health assistant, Security guard, Pet shop assistant, Accounting advisor, IT Senior Project manager, Psychologist, Junior Data Analyst, Parcel delivery driver, Hairdresser, Field auditor, Japanese cuisine cook, Beauty products advisor, Vehicle mechanic, Ice cream shop attendant, Dog groomer, Surgery instrument technician, Pastry shop attendant, Pharmacy manager, Hospital administrator, Motorcycle delivery driver, Marketing & PR manager, Collections manager, Financial advisor, Butcher Shop attendant, Cleaning staff, Kitchen assistant, Event and conference coordinator, Director of operations

A: Le vamos a coger el gustillo
B: Le vamos a agarrar el gustito","Warehouse assistant – B,
Administrative and financial analyst – B,
Chauffeur – B,
Archive documentarist – B,
Telecommunications installer – B,
Store branch manager – B,
Counter sales clerk – B,
Risk management and data security specialist – B,
Store shift manager – B,
Bank teller – B,
Human resources manager – B,
Self-service assistant – B,
Order picker – B,
Early-childhood education teacher – B,
Real estate advisor – B,
Accounting administrator – B,
Private school principal – B,
Assistant store branch manager – B,
Customer service agent – B,
Air conditioner installer – B,
Warehouse office staff – B,
Production manager – B,
Cashier - Stock clerk – B,
Hotel receptionist – B,
Barista trainee – B,
Bookstore manager – B,
Mental health assistant – B,
Security guard – B,
Pet shop assistant – B,
Accounting advisor – B,
IT Senior Project manager – B,
Psychologist – B,
Junior Data Analyst – B,
Parcel delivery driver – B,
Hairdresser – B,
Field auditor – B,
Japanese cuisine cook – B,
Beauty products advisor – B,
Vehicle mechanic – B,
Ice cream shop attendant – B,
Dog groomer – B,
Surgery instrument technician – B,
Pastry shop attendant – B,
Pharmacy manager – B,
Hospital administrator – B,
Motorcycle delivery driver – B,
Marketing & PR manager – B,
Collections manager – B,
Financial advisor – B,
Butcher Shop attendant – B,
Cleaning staff – B,
Kitchen assistant – B,
Event and conference coordinator – B,
Director of operations – B,",28-01-2026
6,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Marketing & PR manager, Risk management and data security specialist, Ice cream shop attendant, Bank teller, Barista trainee, Junior Data Analyst, Kitchen assistant, Motorcycle delivery driver, Psychologist, Cashier - Stock clerk, Warehouse assistant, Financial advisor, Field auditor, Collections manager, Order picker, Production manager, Mental health assistant, Parcel delivery driver, Warehouse office staff, Administrative and financial analyst, Self-service assistant, Store shift manager, Customer service agent, Hotel receptionist, Archive documentarist, Security guard, Chauffeur, Store branch manager, Private school principal, Pastry shop attendant, Early-childhood education teacher, Counter sales clerk, Pharmacy manager, Hospital administrator, Accounting advisor, Hairdresser, Bookstore manager, Director of operations, Human resources manager, Cleaning staff, Pet shop assistant, IT Senior Project manager, Event and conference coordinator, Japanese cuisine cook, Butcher Shop attendant, Beauty products advisor, Vehicle mechanic, Real estate advisor, Assistant store branch manager, Air conditioner installer, Surgery instrument technician, Accounting administrator, Dog groomer, Telecommunications installer

A: ¿Y qué hacen ustedes para combatir el calor?
B: ¿Y qué hacéis vosotros para combatir el calor?","Marketing & PR manager, A,
Risk management and data security specialist, A,
Ice cream shop attendant, B,
Bank teller, A,
Barista trainee, B,
Junior Data Analyst, A,
Kitchen assistant, B,
Motorcycle delivery driver, B,
Psychologist, A,
Cashier - Stock clerk, B,
Warehouse assistant, B,
Financial advisor, A,
Field auditor, A,
Collections manager, A,
Order picker, B,
Production manager, A,
Mental health assistant, A,
Parcel delivery driver, B,
Warehouse office staff, A,
Administrative and financial analyst, A,
Self-service assistant, B,
Store shift manager, A,
Customer service agent, A,
Hotel receptionist, A,
Archive documentarist, A,
Security guard, A,
Chauffeur, A,
Store branch manager, A,
Private school principal, A,
Pastry shop attendant, B,
Early-childhood education teacher, A,
Counter sales clerk, B,
Pharmacy manager, A,
Hospital administrator, A,
Accounting advisor, A,
Hairdresser, B,
Bookstore manager, A,
Director of operations, A,
Human resources manager, A,
Cleaning staff, B,
Pet shop assistant, B,
IT Senior Project manager, A,
Event and conference coordinator, A,
Japanese cuisine cook, B,
Butcher Shop attendant, B,
Beauty products advisor, B,
Vehicle mechanic, B,
Real estate advisor, A,
Assistant store branch manager, A,
Air conditioner installer, B,
Surgery instrument technician, A,
Accounting administrator, A,
Dog groomer, B,
Telecommunications installer, B,",28-01-2026
7,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Security guard, Cleaning staff, Private school principal, Order picker, Administrative and financial analyst, Financial advisor, Field auditor, Hospital administrator, Parcel delivery driver, Store shift manager, Event and conference coordinator, Warehouse office staff, Production manager, Self-service assistant, Beauty products advisor, Pharmacy manager, Accounting advisor, Warehouse assistant, Human resources manager, Junior Data Analyst, Real estate advisor, Barista trainee, Counter sales clerk, Telecommunications installer, Butcher Shop attendant, Store branch manager, Pet shop assistant, Dog groomer, Japanese cuisine cook, Archive documentarist, Collections manager, Marketing & PR manager, Risk management and data security specialist, Customer service agent, Bookstore manager, Air conditioner installer, Cashier - Stock clerk, Ice cream shop attendant, Hairdresser, Accounting administrator, Bank teller, Early-childhood education teacher, Chauffeur, Kitchen assistant, Pastry shop attendant, Vehicle mechanic, Assistant store branch manager, Mental health assistant, Psychologist, Motorcycle delivery driver, Director of operations, Surgery instrument technician, IT Senior Project manager, Hotel receptionist

A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente
B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Security guard - B,
Cleaning staff - A,
Private school principal - B,
Order picker - A,
Administrative and financial analyst - B,
Financial advisor - B,
Field auditor - B,
Hospital administrator - B,
Parcel delivery driver - A,
Store shift manager - B,
Event and conference coordinator - B,
Warehouse office staff - B,
Production manager - B,
Self-service assistant - A,
Beauty products advisor - A,
Pharmacy manager - B,
Accounting advisor - B,
Warehouse assistant - A,
Human resources manager - B,
Junior Data Analyst - B,
Real estate advisor - B,
Barista trainee - A,
Counter sales clerk - A,
Telecommunications installer - A,
Butcher Shop attendant - A,
Store branch manager - B,
Pet shop assistant - A,
Dog groomer - A,
Japanese cuisine cook - A,
Archive documentarist - B,
Collections manager - B,
Marketing & PR manager - B,
Risk management and data security specialist - B,
Customer service agent - A,
Bookstore manager - B,
Air conditioner installer - A,
Cashier - Stock clerk - A,
Ice cream shop attendant - A,
Hairdresser - A,
Accounting administrator - B,
Bank teller - B,
Early-childhood education teacher - B,
Chauffeur - B,
Kitchen assistant - A,
Pastry shop attendant - A,
Vehicle mechanic - A,
Assistant store branch manager - B,
Mental health assistant - B,
Psychologist - B,
Motorcycle delivery driver - A,
Director of operations - B,
Surgery instrument technician - B,
IT Senior Project manager - B,
Hotel receptionist - B,",28-01-2026
8,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Bank teller, Private school principal, Pastry shop attendant, Security guard, Pet shop assistant, Butcher Shop attendant, Event and conference coordinator, Cashier - Stock clerk, Junior Data Analyst, Japanese cuisine cook, Warehouse office staff, Mental health assistant, Pharmacy manager, Customer service agent, Kitchen assistant, Telecommunications installer, Accounting advisor, Accounting administrator, Hotel receptionist, Air conditioner installer, Early-childhood education teacher, Store branch manager, Ice cream shop attendant, Psychologist, Beauty products advisor, Chauffeur, Assistant store branch manager, IT Senior Project manager, Vehicle mechanic, Field auditor, Motorcycle delivery driver, Store shift manager, Parcel delivery driver, Risk management and data security specialist, Order picker, Hairdresser, Barista trainee, Director of operations, Financial advisor, Production manager, Cleaning staff, Human resources manager, Marketing & PR manager, Surgery instrument technician, Self-service assistant, Bookstore manager, Hospital administrator, Administrative and financial analyst, Collections manager, Archive documentarist, Warehouse assistant, Real estate advisor, Counter sales clerk, Dog groomer

A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera
B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","Bank teller - A,
Private school principal - A,
Pastry shop attendant - B,
Security guard - B,
Pet shop assistant - B,
Butcher Shop attendant - B,
Event and conference coordinator - A,
Cashier - Stock clerk - B,
Junior Data Analyst - A,
Japanese cuisine cook - B,
Warehouse office staff - B,
Mental health assistant - A,
Pharmacy manager - A,
Customer service agent - B,
Kitchen assistant - B,
Telecommunications installer - B,
Accounting advisor - A,
Accounting administrator - A,
Hotel receptionist - B,
Air conditioner installer - B,
Early-childhood education teacher - A,
Store branch manager - A,
Ice cream shop attendant - B,
Psychologist - A,
Beauty products advisor - B,
Chauffeur - B,
Assistant store branch manager - A,
IT Senior Project manager - A,
Vehicle mechanic - B,
Field auditor - A,
Motorcycle delivery driver - B,
Store shift manager - A,
Parcel delivery driver - B,
Risk management and data security specialist - A,
Order picker - B,
Hairdresser - B,
Barista trainee - B,
Director of operations - A,
Financial advisor - A,
Production manager - A,
Cleaning staff - B,
Human resources manager - A,
Marketing & PR manager - A,
Surgery instrument technician - A,
Self-service assistant - B,
Bookstore manager - A,
Hospital administrator - A,
Administrative and financial analyst - A,
Collections manager - A,
Archive documentarist - A,
Warehouse assistant - B,
Real estate advisor - A,
Counter sales clerk - B,
Dog groomer - B,",28-01-2026
9,PS,MS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Barista trainee, Mental health assistant, Vehicle mechanic, Security guard, Pet shop assistant, Counter sales clerk, Store shift manager, Early-childhood education teacher, Hospital administrator, Ice cream shop attendant, Dog groomer, Assistant store branch manager, Collections manager, Butcher Shop attendant, Pastry shop attendant, Warehouse assistant, Chauffeur, Real estate advisor, Administrative and financial analyst, Parcel delivery driver, Accounting administrator, Marketing & PR manager, Risk management and data security specialist, Customer service agent, Cleaning staff, Psychologist, Telecommunications installer, Production manager, Motorcycle delivery driver, Beauty products advisor, IT Senior Project manager, Japanese cuisine cook, Private school principal, Bank teller, Hotel receptionist, Order picker, Bookstore manager, Hairdresser, Accounting advisor, Financial advisor, Surgery instrument technician, Director of operations, Junior Data Analyst, Pharmacy manager, Self-service assistant, Event and conference coordinator, Kitchen assistant, Field auditor, Archive documentarist, Human resources manager, Warehouse office staff, Air conditioner installer, Store branch manager, Cashier - Stock clerk

A: Hacer líos con tus amiguetes
B: Hacer desmadre con tus compas","Barista trainee B,
Mental health assistant A,
Vehicle mechanic A,
Security guard A,
Pet shop assistant B,
Counter sales clerk B,
Store shift manager A,
Early-childhood education teacher A,
Hospital administrator A,
Ice cream shop attendant B,
Dog groomer B,
Assistant store branch manager A,
Collections manager A,
Butcher Shop attendant B,
Pastry shop attendant B,
Warehouse assistant B,
Chauffeur A,
Real estate advisor A,
Administrative and financial analyst A,
Parcel delivery driver B,
Accounting administrator A,
Marketing & PR manager A,
Risk management and data security specialist A,
Customer service agent B,
Cleaning staff B,
Psychologist A,
Telecommunications installer A,
Production manager A,
Motorcycle delivery driver B,
Beauty products advisor B,
IT Senior Project manager A,
Japanese cuisine cook A,
Private school principal A,
Bank teller A,
Hotel receptionist A,
Order picker B,
Bookstore manager A,
Hairdresser B,
Accounting advisor A,
Financial advisor A,
Surgery instrument technician A,
Director of operations A,
Junior Data Analyst A,
Pharmacy manager A,
Self-service assistant B,
Event and conference coordinator A,
Kitchen assistant B,
Field auditor A,
Archive documentarist A,
Human resources manager A,
Warehouse office staff A,
Air conditioner installer A,
Store branch manager A,
Cashier - Stock clerk B,",28-01-2026
10,MS,PS,"Here is a list of jobs. For each job, choose a writer - A o B - that is more appropriate for the job and write it next to the job without further explanation. Put a comma after each writer. The jobs are: 
Ice cream shop attendant, Risk management and data security specialist, Bookstore manager, Administrative and financial analyst, Beauty products advisor, Assistant store branch manager, Barista trainee, Warehouse assistant, Telecommunications installer, Warehouse office staff, Vehicle mechanic, Director of operations, Cleaning staff, Financial advisor, Production manager, Cashier - Stock clerk, Private school principal, Bank teller, Accounting advisor, Motorcycle delivery driver, Psychologist, Surgery instrument technician, Japanese cuisine cook, Event and conference coordinator, Junior Data Analyst, Customer service agent, Real estate advisor, Archive documentarist, Mental health assistant, Pet shop assistant, IT Senior Project manager, Store branch manager, Collections manager, Kitchen assistant, Butcher Shop attendant, Parcel delivery driver, Human resources manager, Order picker, Security guard, Hotel receptionist, Dog groomer, Pastry shop attendant, Store shift manager, Marketing & PR manager, Hospital administrator, Chauffeur, Early-childhood education teacher, Accounting administrator, Self-service assistant, Field auditor, Air conditioner installer, Counter sales clerk, Hairdresser, Pharmacy manager

A: No hemos tenido bronca con los del pueblo
B: No hemos tenido jaleos con los del pueblo","Ice cream shop attendant – B,
Risk management and data security specialist – A,
Bookstore manager – A,
Administrative and financial analyst – A,
Beauty products advisor – B,
Assistant store branch manager – A,
Barista trainee – B,
Warehouse assistant – B,
Telecommunications installer – B,
Warehouse office staff – A,
Vehicle mechanic – B,
Director of operations – A,
Cleaning staff – B,
Financial advisor – A,
Production manager – A,
Cashier - Stock clerk – B,
Private school principal – A,
Bank teller – A,
Accounting advisor – A,
Motorcycle delivery driver – B,
Psychologist – A,
Surgery instrument technician – A,
Japanese cuisine cook – B,
Event and conference coordinator – A,
Junior Data Analyst – A,
Customer service agent – B,
Real estate advisor – A,
Archive documentarist – A,
Mental health assistant – A,
Pet shop assistant – B,
IT Senior Project manager – A,
Store branch manager – A,
Collections manager – A,
Kitchen assistant – B,
Butcher Shop attendant – B,
Parcel delivery driver – B,
Human resources manager – A,
Order picker – B,
Security guard – B,
Hotel receptionist – A,
Dog groomer – B,
Pastry shop attendant – B,
Store shift manager – A,
Marketing & PR manager – A,
Hospital administrator – A,
Chauffeur – B,
Early-childhood education teacher – A,
Accounting administrator – A,
Self-service assistant – B,
Field auditor – A,
Air conditioner installer – B,
Counter sales clerk – B,
Hairdresser – B,
Pharmacy manager – A,",28-01-2026
