sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: jolly, gregarious, withdrawn, cool, clubbable, talkative, detached, extraverted, offish, unsociable, distant, professional, convivial, vivacious, unsocial, dry, silent, aloof, extroverted, lively, communicative, antisocial, reserved, outgoing, clubby, clinical, spirited, remote, jovial, cheerful, introverted, forthcoming, boon, sociable, social, standoffish, animated, timid, shy, asocial. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","jolly, B  
gregarious, B  
withdrawn, A  
cool, A  
clubbable, B  
talkative, B  
detached, A  
extraverted, B  
offish, A  
unsociable, A  
distant, A  
professional, A  
convivial, B  
vivacious, B  
unsocial, A  
dry, A  
silent, A  
aloof, A  
extroverted, B  
lively, B  
communicative, B  
antisocial, A  
reserved, A  
outgoing, B  
clubby, B  
clinical, A  
spirited, B  
remote, A  
jovial, B  
cheerful, B  
introverted, A  
forthcoming, B  
boon, B  
sociable, B  
social, B  
standoffish, A  
animated, B  
timid, A  
shy, A  
asocial, A",01/28/26
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: outgoing, communicative, professional, standoffish, jolly, convivial, remote, withdrawn, aloof, forthcoming, gregarious, clinical, animated, extroverted, talkative, shy, clubby, lively, distant, clubbable, unsociable, spirited, extraverted, cool, dry, asocial, sociable, introverted, cheerful, timid, unsocial, jovial, antisocial, vivacious, detached, reserved, boon, offish, social, silent. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","outgoing, B,  
communicative, B,  
professional, B,  
standoffish, A,  
jolly, B,  
convivial, B,  
remote, A,  
withdrawn, A,  
aloof, A,  
forthcoming, B,  
gregarious, B,  
clinical, B,  
animated, B,  
extroverted, B,  
talkative, B,  
shy, A,  
clubby, B,  
lively, B,  
distant, A,  
clubbable, B,  
unsociable, A,  
spirited, B,  
extraverted, B,  
cool, A,  
dry, A,  
asocial, A,  
sociable, B,  
introverted, A,  
cheerful, B,  
timid, A,  
unsocial, A,  
jovial, B,  
antisocial, A,  
vivacious, B,  
detached, A,  
reserved, A,  
boon, B,  
offish, A,  
social, B,  
silent, A.",01/28/26
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cheerful, shy, sociable, withdrawn, clubbable, talkative, reserved, communicative, offish, clubby, dry, jovial, clinical, extroverted, professional, standoffish, antisocial, forthcoming, remote, aloof, social, unsocial, outgoing, extraverted, gregarious, boon, jolly, timid, lively, detached, vivacious, convivial, distant, asocial, introverted, unsociable, spirited, silent, animated, cool. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","cheerful, B  
shy, A  
sociable, B  
withdrawn, A  
clubbable, B  
talkative, B  
reserved, A  
communicative, B  
offish, A  
clubby, B  
dry, A  
jovial, B  
clinical, A  
extroverted, B  
professional, A  
standoffish, A  
antisocial, A  
forthcoming, B  
remote, A  
aloof, A  
social, B  
unsocial, A  
outgoing, B  
extraverted, B  
gregarious, B  
boon, A  
jolly, B  
timid, A  
lively, B  
detached, A  
vivacious, B  
convivial, B  
distant, A  
asocial, A  
introverted, A  
unsociable, A  
spirited, B  
silent, A  
animated, B  
cool, A",01/28/26
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: distant, unsocial, gregarious, cool, jovial, extraverted, remote, boon, cheerful, clinical, convivial, lively, reserved, dry, asocial, outgoing, standoffish, forthcoming, unsociable, aloof, clubby, vivacious, antisocial, professional, shy, clubbable, sociable, extroverted, introverted, talkative, withdrawn, detached, silent, animated, communicative, spirited, offish, social, timid, jolly. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","distant, B  
unsocial, B  
gregarious, A  
cool, A  
jovial, A  
extraverted, A  
remote, B  
boon, A  
cheerful, A  
clinical, B  
convivial, A  
lively, A  
reserved, B  
dry, B  
asocial, B  
outgoing, A  
standoffish, B  
forthcoming, A  
unsociable, B  
aloof, B  
clubby, A  
vivacious, A  
antisocial, B  
professional, B  
shy, B  
clubbable, A  
sociable, A  
extroverted, A  
introverted, B  
talkative, A  
withdrawn, B  
detached, B  
silent, B  
animated, A  
communicative, A  
spirited, A  
offish, B  
social, A  
timid, B  
jolly, A",01/28/26
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: jovial, reserved, silent, professional, timid, remote, dry, extraverted, gregarious, boon, standoffish, sociable, jolly, extroverted, introverted, unsocial, detached, shy, distant, forthcoming, cheerful, aloof, convivial, antisocial, withdrawn, clinical, cool, talkative, asocial, unsociable, lively, animated, communicative, clubby, offish, spirited, vivacious, social, clubbable, outgoing. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","jovial, B  
reserved, A  
silent, A  
professional, B  
timid, A  
remote, A  
dry, B  
extraverted, B  
gregarious, B  
boon, A  
standoffish, A  
sociable, B  
jolly, B  
extroverted, B  
introverted, A  
unsocial, A  
detached, A  
shy, A  
distant, A  
forthcoming, B  
cheerful, B  
aloof, A  
convivial, B  
antisocial, A  
withdrawn, A  
clinical, B  
cool, B  
talkative, B  
asocial, A  
unsociable, A  
lively, B  
animated, B  
communicative, B  
clubby, B  
offish, A  
spirited, B  
vivacious, B  
social, B  
clubbable, B  
outgoing, B",01/28/26
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cheerful, extraverted, vivacious, unsocial, animated, withdrawn, aloof, clubby, jolly, introverted, distant, social, lively, unsociable, clubbable, boon, professional, extroverted, timid, silent, antisocial, reserved, talkative, offish, shy, remote, detached, cool, jovial, convivial, standoffish, forthcoming, outgoing, communicative, sociable, asocial, spirited, clinical, gregarious, dry. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","cheerful, B  
extraverted, B  
vivacious, B  
unsocial, A  
animated, B  
withdrawn, A  
aloof, A  
clubby, B  
jolly, B  
introverted, A  
distant, A  
social, B  
lively, B  
unsociable, A  
clubbable, B  
boon, A  
professional, A  
extroverted, B  
timid, A  
silent, A  
antisocial, A  
reserved, A  
talkative, B  
offish, A  
shy, A  
remote, A  
detached, A  
cool, B  
jovial, B  
convivial, B  
standoffish, A  
forthcoming, B  
outgoing, B  
communicative, B  
sociable, B  
asocial, A  
spirited, B  
clinical, A  
gregarious, B  
dry, A",01/28/26
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: forthcoming, communicative, jolly, sociable, unsociable, remote, vivacious, extroverted, social, timid, silent, spirited, clubby, distant, withdrawn, introverted, jovial, animated, gregarious, cool, cheerful, shy, clinical, offish, reserved, convivial, professional, extraverted, detached, antisocial, talkative, asocial, standoffish, boon, dry, lively, outgoing, unsocial, clubbable, aloof. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","forthcoming, B  
communicative, B  
jolly, B  
sociable, B  
unsociable, A  
remote, A  
vivacious, B  
extroverted, B  
social, B  
timid, A  
silent, A  
spirited, B  
clubby, B  
distant, A  
withdrawn, A  
introverted, A  
jovial, B  
animated, B  
gregarious, B  
cool, A  
cheerful, B  
shy, A  
clinical, A  
offish, A  
reserved, A  
convivial, B  
professional, A  
extraverted, B  
detached, A  
antisocial, A  
talkative, B  
asocial, A  
standoffish, A  
boon, B  
dry, A  
lively, B  
outgoing, B  
unsocial, A  
clubbable, B  
aloof, A",01/28/26
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: talkative, outgoing, reserved, distant, clinical, antisocial, lively, cool, convivial, timid, communicative, offish, clubbable, silent, aloof, dry, spirited, unsocial, professional, withdrawn, standoffish, social, extroverted, jolly, boon, vivacious, gregarious, introverted, clubby, jovial, shy, sociable, extraverted, forthcoming, asocial, cheerful, animated, detached, remote, unsociable. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","talkative, B  
outgoing, B  
reserved, A  
distant, A  
clinical, A  
antisocial, A  
lively, B  
cool, B  
convivial, B  
timid, A  
communicative, B  
offish, A  
clubbable, B  
silent, A  
aloof, A  
dry, A  
spirited, B  
unsocial, A  
professional, A  
withdrawn, A  
standoffish, A  
social, B  
extroverted, B  
jolly, B  
boon, B  
vivacious, B  
gregarious, B  
introverted, A  
clubby, B  
jovial, B  
shy, A  
sociable, B  
extraverted, B  
forthcoming, B  
asocial, A  
cheerful, B  
animated, B  
detached, A  
remote, A  
unsociable, A",01/28/26
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: distant, asocial, jolly, forthcoming, introverted, aloof, boon, withdrawn, outgoing, clubbable, clubby, remote, gregarious, standoffish, talkative, extroverted, convivial, social, silent, offish, unsociable, sociable, professional, extraverted, cool, timid, dry, clinical, jovial, animated, shy, unsocial, antisocial, communicative, reserved, cheerful, detached, lively, spirited, vivacious. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","distant, B  
asocial, B  
jolly, A  
forthcoming, A  
introverted, B  
aloof, B  
boon, A  
withdrawn, B  
outgoing, A  
clubbable, A  
clubby, A  
remote, B  
gregarious, A  
standoffish, B  
talkative, A  
extroverted, A  
convivial, A  
social, A  
silent, B  
offish, B  
unsociable, B  
sociable, A  
professional, B  
extraverted, A  
cool, A  
dry, B  
clinical, B  
jovial, A  
animated, A  
shy, B  
unsocial, B  
antisocial, B  
communicative, A  
reserved, B  
cheerful, A  
detached, B  
lively, A  
spirited, A  
vivacious, A",01/28/26
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: professional, unsocial, vivacious, spirited, outgoing, distant, sociable, unsociable, antisocial, aloof, jolly, communicative, clubbable, offish, animated, extroverted, reserved, social, clubby, cool, extraverted, asocial, withdrawn, remote, convivial, boon, gregarious, forthcoming, cheerful, introverted, lively, detached, silent, jovial, dry, standoffish, timid, shy, talkative, clinical. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","professional, B  
unsocial, B  
vivacious, A  
spirited, A  
outgoing, A  
distant, B  
sociable, A  
unsociable, B  
antisocial, B  
aloof, B  
jolly, A  
communicative, A  
clubbable, A  
offish, B  
animated, A  
extroverted, A  
reserved, B  
social, A  
clubby, A  
cool, B  
extraverted, A  
asocial, B  
withdrawn, B  
remote, B  
convivial, A  
boon, A  
gregarious, A  
forthcoming, A  
cheerful, A  
introverted, B  
lively, A  
detached, B  
silent, B  
jovial, A  
dry, B  
standoffish, B  
timid, B  
shy, B  
talkative, A  
clinical, B",01/28/26
