sen_id,A,B,prompt,response,date
51,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cool, spirited, professional, forthcoming, standoffish, silent, remote, clinical, jovial, distant, detached, gregarious, sociable, lively, animated, withdrawn, introverted, unsocial, jolly, timid, clubby, boon, communicative, extroverted, vivacious, offish, aloof, outgoing, dry, social, unsociable, antisocial, talkative, clubbable, convivial, reserved, cheerful, extraverted, shy, asocial. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","cool, B  
spirited, B  
professional, B  
forthcoming, B  
standoffish, A  
silent, A  
remote, A  
clinical, A  
jovial, B  
distant, A  
detached, A  
gregarious, B  
sociable, B  
lively, B  
animated, B  
withdrawn, A  
introverted, A  
unsocial, A  
jolly, B  
timid, A  
clubby, B  
boon, B  
communicative, B  
extroverted, B  
vivacious, B  
offish, A  
aloof, A  
outgoing, B  
dry, A  
social, B  
unsociable, A  
antisocial, A  
talkative, B  
clubbable, B  
convivial, B  
reserved, A  
cheerful, B  
extraverted, B  
shy, A  
asocial, A",02/10/26
52,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: standoffish, shy, remote, antisocial, convivial, sociable, clinical, extraverted, clubby, withdrawn, jovial, timid, jolly, extroverted, communicative, animated, spirited, detached, social, aloof, clubbable, professional, unsocial, outgoing, lively, reserved, cool, asocial, introverted, vivacious, gregarious, talkative, dry, cheerful, offish, distant, forthcoming, boon, unsociable, silent. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","standoffish, B  
shy, B  
remote, B  
antisocial, B  
convivial, A  
sociable, A  
clinical, B  
extraverted, A  
clubby, A  
withdrawn, B  
jovial, A  
timid, B  
jolly, A  
extroverted, A  
communicative, A  
animated, A  
spirited, A  
detached, B  
social, A  
aloof, B  
clubbable, A  
professional, B  
unsocial, B  
outgoing, A  
lively, A  
reserved, B  
cool, B  
asocial, B  
introverted, B  
vivacious, A  
gregarious, A  
talkative, A  
dry, B  
cheerful, A  
offish, B  
distant, B  
forthcoming, A  
boon, A  
unsociable, B  
silent, B",02/10/26
53,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: convivial, forthcoming, talkative, standoffish, clubbable, outgoing, aloof, detached, reserved, cool, lively, jovial, distant, offish, withdrawn, unsocial, jolly, unsociable, spirited, sociable, extroverted, dry, communicative, asocial, remote, extraverted, vivacious, gregarious, cheerful, clinical, shy, social, antisocial, timid, boon, professional, introverted, animated, clubby, silent. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","convivial, B  
forthcoming, B  
talkative, B  
standoffish, A  
clubbable, B  
outgoing, B  
aloof, A  
detached, A  
reserved, A  
cool, B  
lively, B  
jovial, B  
distant, A  
offish, A  
withdrawn, A  
unsocial, A  
jolly, B  
unsociable, A  
spirited, B  
sociable, B  
extroverted, B  
dry, A  
communicative, B  
asocial, A  
remote, A  
extraverted, B  
vivacious, B  
gregarious, B  
cheerful, B  
clinical, A  
shy, A  
social, B  
antisocial, A  
timid, A  
boon, B  
professional, A  
introverted, A  
animated, B  
clubby, B  
silent, A",02/10/26
54,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: timid, offish, animated, social, asocial, vivacious, convivial, jolly, reserved, professional, gregarious, cheerful, clinical, lively, outgoing, jovial, dry, withdrawn, sociable, standoffish, cool, unsociable, unsocial, detached, clubbable, extraverted, remote, shy, talkative, silent, communicative, forthcoming, boon, extroverted, clubby, antisocial, aloof, distant, spirited, introverted. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","timid, B  
offish, B  
animated, A  
social, B  
asocial, B  
vivacious, A  
convivial, A  
jolly, A  
reserved, B  
professional, A  
gregarious, B  
cheerful, A  
clinical, A  
lively, A  
outgoing, B  
jovial, A  
dry, A  
withdrawn, B  
sociable, B  
standoffish, B  
cool, A  
unsociable, B  
unsocial, B  
detached, A  
clubbable, A  
extraverted, B  
clubby, A  
antisocial, B  
aloof, A  
distant, A  
spirited, A  
introverted, B",02/10/26
55,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: extraverted, dry, professional, communicative, timid, jolly, unsocial, reserved, clubbable, remote, offish, unsociable, lively, forthcoming, talkative, sociable, introverted, boon, convivial, shy, asocial, antisocial, aloof, gregarious, silent, spirited, vivacious, withdrawn, cheerful, standoffish, extroverted, jovial, detached, cool, animated, social, outgoing, clubby, distant, clinical. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","extraverted, B  
dry, A  
professional, B  
communicative, B  
timid, A  
jolly, B  
unsocial, A  
reserved, A  
clubbable, B  
remote, A  
offish, A  
unsociable, A  
lively, B  
forthcoming, B  
talkative, B  
sociable, B  
introverted, A  
boon, A  
convivial, B  
shy, A  
asocial, A  
antisocial, A  
aloof, A  
gregarious, B  
silent, A  
spirited, B  
vivacious, B  
withdrawn, A  
cheerful, B  
standoffish, A  
extroverted, B  
jovial, B  
detached, A  
cool, A  
animated, B  
social, B  
outgoing, B  
clubby, B  
distant, A  
clinical, A",02/10/26
56,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: introverted, talkative, detached, vivacious, clubbable, animated, gregarious, reserved, antisocial, standoffish, extroverted, aloof, spirited, convivial, jolly, asocial, offish, clinical, timid, cool, unsocial, clubby, outgoing, boon, communicative, professional, cheerful, remote, distant, withdrawn, sociable, shy, silent, dry, lively, jovial, social, unsociable, extraverted, forthcoming. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","introverted, B  
talkative, A  
detached, B  
vivacious, A  
clubbable, A  
animated, A  
gregarious, A  
reserved, B  
antisocial, B  
standoffish, B  
extroverted, A  
aloof, B  
spirited, A  
convivial, A  
jolly, A  
asocial, B  
offish, B  
clinical, B  
timid, B  
cool, B  
unsocial, B  
clubby, A  
outgoing, A  
boon, A  
communicative, A  
professional, B  
cheerful, A  
remote, B  
distant, B  
withdrawn, B  
sociable, A  
shy, B  
silent, B  
dry, B  
lively, A  
jovial, A  
social, A  
unsociable, B  
extraverted, A  
forthcoming, A",02/10/26
57,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: remote, asocial, clinical, animated, unsocial, detached, cheerful, social, introverted, gregarious, vivacious, standoffish, unsociable, jolly, boon, spirited, distant, communicative, cool, sociable, withdrawn, offish, timid, aloof, shy, dry, talkative, antisocial, clubby, outgoing, convivial, professional, silent, jovial, lively, reserved, extraverted, extroverted, forthcoming, clubbable. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","remote, B, asocial, B, clinical, B, animated, A, unsocial, B, detached, B, cheerful, A, social, A, introverted, B, gregarious, A, vivacious, A, standoffish, B, unsociable, B, jolly, A, boon, A, spirited, A, distant, B, communicative, A, cool, B, sociable, A, withdrawn, B, offish, B, timid, B, aloof, B, shy, B, dry, B, talkative, A, antisocial, B, clubby, A, outgoing, A, convivial, A, professional, B, silent, B, jovial, A, lively, A, reserved, B, extraverted, A, extroverted, A, forthcoming, A, clubbable, A.",02/10/26
58,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: gregarious, clubbable, extroverted, remote, clubby, outgoing, sociable, dry, unsocial, jolly, timid, asocial, jovial, vivacious, introverted, talkative, aloof, clinical, antisocial, unsociable, spirited, withdrawn, boon, animated, offish, reserved, social, detached, communicative, convivial, cool, silent, lively, extraverted, professional, standoffish, cheerful, shy, forthcoming, distant. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","gregarious, B  
clubbable, B  
extroverted, B  
remote, A  
clubby, B  
outgoing, B  
sociable, B  
dry, A  
unsocial, A  
jolly, B  
timid, A  
asocial, A  
jovial, B  
vivacious, B  
introverted, A  
talkative, B  
aloof, A  
clinical, A  
antisocial, A  
unsociable, A  
spirited, B  
withdrawn, A  
boon, A  
animated, B  
offish, A  
reserved, A  
social, B  
detached, A  
communicative, B  
convivial, B  
cool, B  
silent, A  
lively, B  
extraverted, B  
professional, A  
standoffish, A  
cheerful, B  
shy, A  
forthcoming, B  
distant, A",02/10/26
59,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: standoffish, distant, extraverted, introverted, lively, dry, detached, clubby, gregarious, jovial, convivial, boon, remote, communicative, unsocial, animated, extroverted, cool, talkative, asocial, aloof, withdrawn, spirited, offish, professional, unsociable, reserved, forthcoming, social, cheerful, clubbable, shy, jolly, sociable, outgoing, vivacious, timid, antisocial, clinical, silent. A: Menos mal que no lo he visto B: Menos mal que no lo ví","standoffish, B  
distant, B  
extraverted, A  
introverted, A  
lively, A  
dry, B  
detached, B  
clubby, A  
gregarious, A  
jovial, A  
convivial, A  
boon, B  
remote, B  
communicative, A  
unsocial, B  
animated, A  
extroverted, A  
cool, B  
talkative, A  
asocial, B  
aloof, B  
withdrawn, B  
spirited, A  
offish, B  
professional, B  
unsociable, B  
reserved, A  
forthcoming, A  
social, A  
cheerful, A  
clubbable, A  
shy, A  
jolly, A  
sociable, A  
outgoing, A  
vivacious, A  
timid, A  
antisocial, B  
clinical, B  
silent, B",02/10/26
60,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cheerful, standoffish, silent, distant, social, aloof, boon, reserved, antisocial, professional, sociable, shy, communicative, lively, extroverted, detached, talkative, vivacious, withdrawn, extraverted, remote, cool, gregarious, animated, spirited, clubby, timid, jovial, clubbable, jolly, clinical, convivial, forthcoming, dry, asocial, unsociable, outgoing, unsocial, offish, introverted. A: Sí, fuí yo B:  Sí, he sido yo","cheerful, B  
standoffish, A  
silent, B  
distant, A  
social, B  
aloof, A  
boon, B  
reserved, A  
antisocial, B  
professional, A  
sociable, B  
shy, A  
communicative, B  
lively, B  
extroverted, B  
detached, A  
talkative, B  
vivacious, B  
withdrawn, A  
extraverted, B  
remote, A  
cool, A  
gregarious, B  
animated, B  
spirited, B  
clubby, B  
timid, A  
jovial, B  
clubbable, B  
jolly, B  
clinical, A  
convivial, B  
forthcoming, B  
dry, A  
asocial, B  
unsociable, B  
outgoing, B  
unsocial, B  
offish, A  
introverted, A",02/10/26
