sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: extrovertido, abierto, locuaz, cerrado, huidizo, caluroso, retraído, guardado, expresivo, cauteloso, cohibido, efusivo, conversador, extravertido, introvertido, expansivo, comunicativo, insociable, solitario, huraño, introverso, intenso, vehemente, elocuente, cauto, reservado, acelerado, vergonzoso, sociable, adusto, ardiente, misántropo, tratable, pasional, discreto, sencillo, apasionado, corto, esquivo, tímido","extrovertido A, abierto A, locuaz A, cerrado A, huidizo A, caluroso B, retraído A, guardado A, expresivo A, cauteloso A, cohibido A, efusivo A, conversador B, extravertido B, introvertido A, expansivo A, comunicativo A, insociable A, solitario A, huraño A, introverso A, intenso A, vehemente A, elocuente A, cauto A, reservado A, acelerado B, vergonzoso A, sociable A, adusto A, ardiente A, misántropo A, tratable A, pasional A, discreto A, sencillo A, apasionado A, corto B, esquivo A, tímido A,",08-02-2026
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: sencillo, abierto, cauto, huraño, solitario, pasional, expresivo, introverso, adusto, intenso, expansivo, efusivo, acelerado, tratable, misántropo, vergonzoso, locuaz, insociable, conversador, discreto, cerrado, caluroso, comunicativo, apasionado, guardado, huidizo, cohibido, vehemente, cauteloso, esquivo, ardiente, extrovertido, tímido, extravertido, reservado, retraído, corto, introvertido, sociable, elocuente","sencillo A, abierto A, cauto B, huraño B, solitario B, pasional B, expresivo A, introverso B, adusto B, intenso A, expansivo A, efusivo A, acelerado A, tratable B, misántropo B, vergonzoso B, locuaz B, insociable B, conversador A, discreto B, cerrado B, caluroso A, comunicativo A, apasionado A, guardado B, huidizo B, cohibido B, vehemente B, cauteloso B, esquivo B, ardiente B, extrovertido A, tímido B, extravertido A, reservado B, retraído B, corto A, introvertido B, sociable A, elocuente B,",08-02-2026
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: reservado, retraído, cauteloso, cohibido, vehemente, caluroso, elocuente, huidizo, expansivo, cerrado, conversador, sencillo, expresivo, insociable, solitario, introverso, ardiente, intenso, extravertido, acelerado, misántropo, abierto, guardado, locuaz, discreto, corto, apasionado, tratable, huraño, sociable, pasional, vergonzoso, introvertido, adusto, extrovertido, efusivo, esquivo, cauto, comunicativo, tímido","reservado A, retraído A, cauteloso A, cohibido A, vehemente A, caluroso B, elocuente A, huidizo A, expansivo B, cerrado B, conversador B, sencillo B, expresivo B, insociable A, solitario A, introverso A, ardiente A, intenso B, extravertido B, acelerado B, misántropo A, abierto B, guardado A, locuaz A, discreto A, corto B, apasionado B, tratable B, huraño A, sociable B, pasional B, vergonzoso B, introvertido A, adusto A, extrovertido B, efusivo B, esquivo A, cauto A, comunicativo B, tímido B,",08-02-2026
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: cohibido, ardiente, intenso, comunicativo, efusivo, vergonzoso, discreto, extravertido, reservado, expresivo, introverso, apasionado, tratable, conversador, introvertido, guardado, huraño, corto, insociable, tímido, acelerado, cauto, vehemente, retraído, solitario, esquivo, huidizo, extrovertido, locuaz, cauteloso, cerrado, abierto, elocuente, pasional, expansivo, sociable, misántropo, caluroso, sencillo, adusto","cohibido - B, ardiente - B, intenso - A, comunicativo - A, efusivo - B, vergonzoso - A, discreto - B, extravertido - A, reservado - B, expresivo - A, introverso - B, apasionado - A, tratable - B, conversador - A, introvertido - A, guardado - B, huraño - B, corto - A, insociable - B, tímido - A, acelerado - A, cauto - B, vehemente - B, retraído - B, solitario - A, esquivo - B, huidizo - B, extrovertido - B, locuaz - B, cauteloso - B, cerrado - A, abierto - A, elocuente - B, pasional - B, expansivo - A, sociable - A, misántropo - B, caluroso - A, sencillo - A, adusto - B,",08-02-2026
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: sociable, introverso, cauteloso, expresivo, discreto, apasionado, comunicativo, huraño, cauto, elocuente, intenso, cohibido, expansivo, guardado, esquivo, vehemente, pasional, introvertido, corto, vergonzoso, huidizo, misántropo, tímido, efusivo, sencillo, cerrado, solitario, acelerado, locuaz, tratable, reservado, insociable, extravertido, adusto, caluroso, conversador, extrovertido, retraído, abierto, ardiente","sociable B, introverso A, cauteloso A, expresivo B, discreto A, apasionado B, comunicativo B, huraño A, cauto A, elocuente A, intenso B, cohibido A, expansivo B, guardado B, esquivo A, vehemente A, pasional B, introvertido B, corto B, vergonzoso B, huidizo A, misántropo A, tímido B, efusivo B, sencillo B, cerrado B, solitario A, acelerado B, locuaz A, tratable B, reservado A, insociable A, extravertido B, adusto A, caluroso B, conversador B, extrovertido B, retraído A, abierto B, ardiente A,",08-02-2026
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: discreto, extravertido, cauto, vergonzoso, locuaz, conversador, sencillo, esquivo, comunicativo, apasionado, cerrado, cohibido, corto, retraído, pasional, huraño, misántropo, huidizo, sociable, introvertido, caluroso, introverso, cauteloso, elocuente, adusto, intenso, acelerado, reservado, solitario, expresivo, insociable, expansivo, abierto, vehemente, tratable, guardado, extrovertido, efusivo, tímido, ardiente","discreto B, extravertido A, cauto B, vergonzoso A, locuaz B, conversador A, sencillo A, esquivo B, comunicativo A, apasionado A, cerrado A, cohibido B, corto A, retraído B, pasional B, huraño B, misántropo B, huidizo B, sociable A, introvertido A, caluroso A, introverso B, cauteloso B, elocuente B, adusto B, intenso A, acelerado A, reservado B, solitario A, expresivo A, insociable B, expansivo A, abierto A, vehemente B, tratable A, guardado A, extrovertido B, efusivo B, tímido A, ardiente A",08-02-2026
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: conversador, vergonzoso, apasionado, retraído, corto, vehemente, cauto, introvertido, expresivo, abierto, introverso, tímido, efusivo, locuaz, cerrado, huidizo, extravertido, solitario, acelerado, cauteloso, caluroso, intenso, expansivo, cohibido, extrovertido, guardado, esquivo, huraño, insociable, pasional, sociable, misántropo, sencillo, reservado, adusto, comunicativo, tratable, elocuente, ardiente, discreto","conversador A, vergonzoso A, apasionado A, retraído A, corto B, vehemente A, cauto A, introvertido A, expresivo A, abierto A, introverso A, tímido A, efusivo A, locuaz A, cerrado A, huidizo A, extravertido A, solitario A, acelerado B, cauteloso A, caluroso B, intenso A, expansivo A, cohibido A, extrovertido A, guardado A, esquivo A, huraño A, insociable A, pasional A, sociable A, misántropo A, sencillo A, reservado A, adusto A, comunicativo A, tratable A, elocuente A, ardiente A, discreto A,",08-02-2026
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: cohibido, esquivo, abierto, comunicativo, tratable, efusivo, introvertido, extravertido, tímido, sociable, introverso, misántropo, reservado, cauteloso, caluroso, expresivo, sencillo, corto, ardiente, vergonzoso, retraído, adusto, intenso, extrovertido, conversador, elocuente, guardado, expansivo, insociable, acelerado, vehemente, cerrado, solitario, cauto, discreto, apasionado, huidizo, pasional, huraño, locuaz","cohibido B, esquivo B, abierto A, comunicativo A, tratable B, efusivo A, introvertido A, extravertido A, tímido A, sociable A, introverso B, misántropo B, reservado B, cauteloso B, caluroso A, expresivo A, sencillo A, corto B, ardiente A, vergonzoso B, retraído B, adusto B, intenso A, extrovertido B, conversador A, elocuente B, guardado B, expansivo A, insociable B, acelerado A, vehemente B, cerrado B, solitario A, cauto B, discreto B, apasionado A, huidizo B, pasional A, huraño B, locuaz B,",08-02-2026
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: expansivo, elocuente, esquivo, corto, cohibido, retraído, discreto, guardado, caluroso, adusto, introverso, tímido, sociable, intenso, locuaz, cauteloso, introvertido, efusivo, comunicativo, solitario, extravertido, apasionado, tratable, reservado, ardiente, cerrado, insociable, expresivo, extrovertido, huraño, vehemente, cauto, vergonzoso, sencillo, acelerado, conversador, pasional, huidizo, misántropo, abierto","expansivo A, elocuente A, esquivo A, corto A, cohibido A, retraído A, discreto A, guardado A, caluroso A, adusto A, introverso A, tímido A, sociable A, intenso A, locuaz A, cauteloso A, introvertido A, efusivo A, comunicativo A, solitario A, extravertido B, apasionado A, tratable A, reservado A, ardiente A, cerrado A, insociable A, expresivo A, extrovertido A, huraño A, vehemente A, cauto A, vergonzoso A, sencillo A, acelerado B, conversador B, pasional A, huidizo A, misántropo A, abierto A",08-02-2026
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: introvertido, misántropo, comunicativo, insociable, discreto, adusto, cauto, intenso, efusivo, guardado, cerrado, acelerado, cohibido, caluroso, tímido, sencillo, elocuente, introverso, expresivo, retraído, esquivo, extrovertido, extravertido, conversador, reservado, cauteloso, locuaz, huraño, tratable, pasional, apasionado, expansivo, corto, sociable, ardiente, abierto, vehemente, huidizo, vergonzoso, solitario","introvertido, A, misántropo, B, comunicativo, A, insociable, B, discreto, B, adusto, B, cauto, B, intenso, A, efusivo, A, guardado, B, cerrado, B, acelerado, A, cohibido, B, caluroso, A, tímido, B, sencillo, A, elocuente, B, introverso, B, expresivo, A, retraído, B, esquivo, B, extrovertido, A, extravertido, A, conversador, A, reservado, B, cauteloso, B, locuaz, A, huraño, B, tratable, A, pasional, A, apasionado, A, expansivo, A, corto, B, sociable, A, ardiente, A, abierto, A, vehemente, A, huidizo, B, vergonzoso, B, solitario, A,",08-02-2026
