sen_id,A,B,prompt,response,date
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Peninsular Spanish and writer B uses Mexican Spanish. Put a comma after each writer. The adjectivess are: nice, antiseptic, unsympathetic, companionable, coldish, hard-eyed, cordial, chilly, merry, hearty, pitiless, friendly, frigid, loving, arctic, affectionate, warmhearted, heartless, uncordial, approachable, glacial, unresponsive, warm, sweet, cold-blooded, comradely, hospitable, genial, brittle, gracious, icy, gelid, uninterested, chummy, uncaring, collegial, cold, amicable, neighborly, unfriendly","1. nice - A, B
2. antiseptic - A, B
3. unsympathetic - A, B
4. companionable - A, B
5. coldish - A, B
6. hard-eyed - A, B
7. cordial - A, B
8. chilly - A, B
9. merry - A, B
10. hearty - A, B
11. pitiless - A, B
12. friendly - A, B
13. frigid - A, B
14. loving - A, B
15. arctic - A, B
16. affectionate - A, B
17. warmhearted - A, B
18. heartless - A, B
19. uncordial - A, B
20. approachable - A, B
21. glacial - A, B
22. unresponsive - A, B
23. warm - A, B
24. sweet - A, B
25. cold-blooded - A, B
26. comradely - A, B
27. hospitable - A, B
28. genial - A, B
29. brittle - A, B
30. gracious - A, B
31. icy - A, B
32. gelid - A, B
33. uninterested - A, B
34. chummy - A, B
35. uncaring - A, B
36. collegial - A, B
37. cold - A, B
38. amicable - A, B
39. neighborly - A, B
40. unfriendly - A, B",03/10/26
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Mexican Spanish and writer B uses Peninsular Spanish. Put a comma after each writer. The adjectivess are: hearty, hard-eyed, cordial, loving, coldish, genial, merry, chilly, companionable, nice, unsympathetic, icy, approachable, frigid, unresponsive, sweet, antiseptic, collegial, brittle, uncaring, hospitable, gracious, pitiless, amicable, cold-blooded, chummy, affectionate, comradely, heartless, unfriendly, neighborly, warmhearted, arctic, uncordial, uninterested, gelid, glacial, friendly, warm, cold","1. hearty - A, B
2. hard-eyed - A, B
3. cordial - B, A
4. loving - A, B
5. coldish - B, A
6. genial - B, A
7. merry - B, A
8. chilly - A, B
9. companionable - B, A
10. nice - B, A
11. unsympathetic - A, B
12. icy - A, B
13. approachable - B, A
14. frigid - A, B
15. unresponsive - A, B
16. sweet - A, B
17. antiseptic - B, A
18. collegial - B, A
19. brittle - B, A
20. uncaring - A, B
21. hospitable - A, B
22. gracious - A, B
23. pitiless - A, B
24. amicable - B, A
25. cold-blooded - A, B
26. chummy - A, B
27. affectionate - A, B
28. comradely - B, A
29. heartless - A, B
30. unfriendly - A, B
31. neighborly - B, A
32. warmhearted - A, B
33. arctic - A, B
34. uncordial - A, B
35. uninterested - B, A
36. gelid - A, B
37. glacial - A, B
38. friendly - B, A
39. warm - B, A
40. cold - A, B",03/10/26
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Peninsular Spanish and writer B uses Mexican Spanish. Put a comma after each writer. The adjectivess are: affectionate, chummy, comradely, approachable, cold-blooded, frigid, nice, unresponsive, collegial, gelid, unfriendly, hospitable, uncordial, loving, genial, unsympathetic, companionable, arctic, hearty, icy, friendly, uncaring, cordial, cold, warmhearted, neighborly, heartless, antiseptic, brittle, sweet, warm, chilly, pitiless, coldish, glacial, merry, amicable, hard-eyed, gracious, uninterested","1. affectionate - A, B
2. chummy - B
3. comradely - B
4. approachable - A
5. cold-blooded - B
6. frigid - A
7. nice - B
8. unresponsive - A
9. collegial - B
10. gelid - A
11. unfriendly - B
12. hospitable - A
13. uncordial - B
14. loving - A
15. genial - A
16. unsympathetic - B
17. companionable - B
18. arctic - A
19. hearty - B
20. icy - A
21. friendly - B
22. uncaring - A
23. cordial - A
24. cold - B
25. warmhearted - A
26. neighborly - B
27. heartless - B
28. antiseptic - A
29. brittle - A
30. sweet - B
31. warm - B
32. chilly - A
33. pitiless - B
34. coldish - A
35. glacial - A
36. merry - B
37. amicable - A
38. hard-eyed - B
39. gracious - A
40. uninterested - A",03/10/26
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Mexican Spanish and writer B uses Peninsular Spanish. Put a comma after each writer. The adjectivess are: amicable, cordial, affectionate, friendly, sweet, approachable, hearty, unresponsive, coldish, uncordial, hard-eyed, cold-blooded, antiseptic, loving, glacial, warmhearted, collegial, companionable, brittle, pitiless, gracious, uninterested, frigid, icy, gelid, cold, neighborly, chummy, nice, arctic, genial, comradely, warm, merry, unfriendly, unsympathetic, heartless, chilly, hospitable, uncaring","1. amicable - A, B
2. cordial - A, B
3. affectionate - A, B
4. friendly - A, B
5. sweet - A, B
6. approachable - A, B
7. hearty - B
8. unresponsive - B
9. coldish - A
10. uncordial - A
11. hard-eyed - B
12. cold-blooded - B
13. antiseptic - B
14. loving - A
15. glacial - B
16. warmhearted - A
17. collegial - B
18. companionable - B
19. brittle - B
20. pitiless - B
21. gracious - B
22. uninterested - B
23. frigid - B
24. icy - B
25. gelid - B
26. cold - B
27. neighborly - A
28. chummy - A
29. nice - A
30. arctic - B
31. genial - A
32. comradely - A
33. warm - A
34. merry - A
35. unfriendly - B
36. unsympathetic - B
37. heartless - B
38. chilly - A
39. hospitable - A
40. uncaring - B",03/10/26
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Peninsular Spanish and writer B uses Mexican Spanish. Put a comma after each writer. The adjectivess are: unfriendly, gelid, coldish, genial, chummy, cold, unsympathetic, antiseptic, nice, uncordial, friendly, neighborly, affectionate, merry, pitiless, uninterested, gracious, approachable, icy, collegial, brittle, glacial, comradely, cordial, amicable, companionable, cold-blooded, arctic, hospitable, hearty, chilly, sweet, uncaring, frigid, warm, warmhearted, hard-eyed, loving, unresponsive, heartless","Here is the list with the chosen writer for each adjective:

1. unfriendly - A, 
2. gelid - B, 
3. coldish - A, 
4. genial - B, 
5. chummy - A, 
6. cold - B, 
7. unsympathetic - A, 
8. antiseptic - B, 
9. nice - A, 
10. uncordial - A, 
11. friendly - B, 
12. neighborly - A, 
13. affectionate - B, 
14. merry - A, 
15. pitiless - B, 
16. uninterested - A, 
17. gracious - B, 
18. approachable - A, 
19. icy - B, 
20. collegial - A, 
21. brittle - B, 
22. glacial - B, 
23. comradely - A, 
24. cordial - B, 
25. amicable - A, 
26. companionable - B, 
27. cold-blooded - B, 
28. arctic - B, 
29. hospitable - A, 
30. hearty - A, 
31. chilly - B, 
32. sweet - A, 
33. uncaring - A, 
34. frigid - B, 
35. warm - A, 
36. warmhearted - B, 
37. hard-eyed - A, 
38. loving - B, 
39. unresponsive - A, 
40. heartless - B",03/10/26
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Mexican Spanish and writer B uses Peninsular Spanish. Put a comma after each writer. The adjectivess are: cold, cordial, unresponsive, heartless, merry, uncaring, hospitable, chilly, affectionate, amicable, brittle, gelid, genial, warmhearted, cold-blooded, gracious, hearty, loving, friendly, companionable, arctic, uncordial, icy, unfriendly, collegial, unsympathetic, nice, coldish, approachable, neighborly, hard-eyed, chummy, pitiless, comradely, antiseptic, sweet, uninterested, glacial, frigid, warm","cold - A, B 
cordial - B 
unresponsive - A 
heartless - B 
merry - A 
uncaring - B 
hospitable - A 
chilly - B 
affectionate - A 
amicable - B 
brittle - A 
gelid - B 
genial - A 
warmhearted - B 
cold-blooded - A 
gracious - B 
hearty - A 
loving - B 
friendly - A 
companionable - B 
arctic - A 
uncordial - B 
icy - A 
unfriendly - B 
collegial - B 
unsympathetic - A 
nice - B 
coldish - A 
approachable - B 
neighborly - A 
hard-eyed - B 
chummy - A 
pitiless - B 
comradely - A 
antiseptic - B 
sweet - A 
uninterested - B 
glacial - A 
frigid - B 
warm - A",03/10/26
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Peninsular Spanish and writer B uses Mexican Spanish. Put a comma after each writer. The adjectivess are: amicable, chilly, nice, uninterested, comradely, coldish, neighborly, hard-eyed, warmhearted, merry, uncordial, glacial, genial, unfriendly, gracious, unsympathetic, collegial, cordial, heartless, icy, hospitable, uncaring, sweet, chummy, pitiless, gelid, brittle, frigid, hearty, warm, approachable, antiseptic, friendly, affectionate, arctic, cold-blooded, loving, companionable, unresponsive, cold","1. amicable - A, B
2. chilly - A, B
3. nice - B, A
4. uninterested - B, A
5. comradely - A, B
6. coldish - A, B
7. neighborly - A, B
8. hard-eyed - A, B
9. warmhearted - B, A
10. merry - B, A
11. uncordial - A, B
12. glacial - A, B
13. genial - B, A
14. unfriendly - A, B
15. gracious - B, A
16. unsympathetic - A, B
17. collegial - A, B
18. cordial - B, A
19. heartless - A, B
20. icy - A, B
21. hospitable - B, A
22. uncaring - A, B
23. sweet - B, A
24. chummy - B, A
25. pitiless - A, B
26. gelid - A, B
27. brittle - A, B
28. frigid - A, B
29. hearty - B, A
30. warm - B, A
31. approachable - B, A
32. antiseptic - A, B
33. friendly - B, A
34. affectionate - B, A
35. arctic - A, B
36. cold-blooded - A, B
37. loving - B, A
38. companionable - B, A
39. unresponsive - A, B
40. cold - A, B",03/10/26
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Mexican Spanish and writer B uses Peninsular Spanish. Put a comma after each writer. The adjectivess are: chilly, unsympathetic, hearty, coldish, neighborly, uncordial, hospitable, warmhearted, unresponsive, frigid, uncaring, arctic, brittle, comradely, amicable, gelid, friendly, loving, uninterested, approachable, sweet, gracious, nice, cold-blooded, hard-eyed, antiseptic, chummy, warm, companionable, genial, unfriendly, glacial, collegial, pitiless, icy, cold, heartless, merry, cordial, affectionate","1. chilly - A, B
2. unsympathetic - A, B
3. hearty - B, A
4. coldish - A, B
5. neighborly - B, A
6. uncordial - A, B
7. hospitable - B, A
8. warmhearted - A, B
9. unresponsive - A, B
10. frigid - A, B
11. uncaring - A, B
12. arctic - A, B
13. brittle - B, A
14. comradely - A, B
15. amicable - B, A
16. gelid - A, B
17. friendly - B, A
18. loving - B, A
19. uninterested - A, B
20. approachable - B, A
21. sweet - B, A
22. gracious - B, A
23. nice - B, A
24. cold-blooded - A, B
25. hard-eyed - A, B
26. antiseptic - B, A
27. chummy - B, A
28. warm - B, A
29. companionable - B, A
30. genial - B, A
31. unfriendly - A, B
32. glacial - A, B
33. collegial - B, A
34. pitiless - A, B
35. icy - A, B
36. cold - A, B
37. heartless - A, B
38. merry - B, A
39. cordial - B, A
40. affectionate - B, A",03/10/26
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Peninsular Spanish and writer B uses Mexican Spanish. Put a comma after each writer. The adjectivess are: nice, uncordial, gelid, coldish, chummy, collegial, warmhearted, companionable, unfriendly, antiseptic, glacial, hard-eyed, friendly, brittle, pitiless, chilly, uncaring, heartless, loving, amicable, genial, gracious, frigid, hospitable, unresponsive, arctic, cold, uninterested, cold-blooded, comradely, warm, neighborly, merry, cordial, icy, affectionate, approachable, sweet, unsympathetic, hearty","1. nice - A, B
2. uncordial - A, B
3. gelid - B, A
4. coldish - B, A
5. chummy - A, B
6. collegial - A, B
7. warmhearted - B, A
8. companionable - A, B
9. unfriendly - B, A
10. antiseptic - A, B
11. glacial - A, B
12. hard-eyed - B, A
13. friendly - B, A
14. brittle - A, B
15. pitiless - B, A
16. chilly - B, A
17. uncaring - B, A
18. heartless - B, A
19. loving - A, B
20. amicable - A, B
21. genial - A, B
22. gracious - A, B
23. frigid - A, B
24. hospitable - A, B
25. unresponsive - B, A
26. arctic - A, B
27. cold - A, B
28. uninterested - B, A
29. cold-blooded - B, A
30. comradely - A, B
31. warm - B, A
32. neighborly - A, B
33. merry - B, A
34. cordial - A, B
35. icy - A, B
36. affectionate - A, B
37. approachable - A, B
38. sweet - A, B
39. unsympathetic - B, A
40. hearty - A, B",03/10/26
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Writer A uses Mexican Spanish and writer B uses Peninsular Spanish. Put a comma after each writer. The adjectivess are: frigid, approachable, chilly, hospitable, icy, sweet, gracious, nice, merry, cold-blooded, amicable, gelid, affectionate, collegial, warm, hard-eyed, unsympathetic, glacial, unresponsive, companionable, uncordial, coldish, friendly, pitiless, arctic, neighborly, loving, unfriendly, brittle, genial, hearty, uninterested, uncaring, chummy, cold, heartless, warmhearted, cordial, comradely, antiseptic","1. frigid - A, B
2. approachable - A, B
3. chilly - A, B
4. hospitable - A, B
5. icy - A, B
6. sweet - A, B
7. gracious - A, B
8. nice - A, B
9. merry - A, B
10. cold-blooded - B, A
11. amicable - A, B
12. gelid - A, B
13. affectionate - A, B
14. collegial - A, B
15. warm - A, B
16. hard-eyed - B, A
17. unsympathetic - B, A
18. glacial - A, B
19. unresponsive - B, A
20. companionable - A, B
21. uncordial - B, A
22. coldish - A, B
23. friendly - A, B
24. pitiless - B, A
25. arctic - A, B
26. neighborly - A, B
27. loving - A, B
28. unfriendly - B, A
29. brittle - A, B
30. genial - A, B
31. hearty - A, B
32. uninterested - B, A
33. uncaring - B, A
34. chummy - A, B
35. cold - A, B
36. heartless - B, A
37. warmhearted - A, B
38. cordial - A, B
39. comradely - A, B
40. antiseptic - B, A",03/10/26
