sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: ardiente, vehemente, cerrado, introverso, caluroso, vergonzoso, huidizo, apasionado, cohibido, introvertido, solitario, extrovertido, huraño, abierto, insociable, sencillo, tratable, guardado, expansivo, discreto, tímido, adusto, expresivo, acelerado, sociable, elocuente, esquivo, reservado, extravertido, pasional, intenso, locuaz, corto, misántropo, cauto, retraído, efusivo, conversador, comunicativo, cauteloso","ardiente, B  
vehemente, A  
cerrado, B  
introverso, A  
caluroso, B  
vergonzoso, A  
huidizo, B  
apasionado, A  
cohibido, B  
introvertido, A  
solitario, B  
extrovertido, A  
huraño, B  
abierto, A  
insociable, B  
sencillo, A  
tratable, B  
guardado, A  
expansivo, B  
discreto, A  
tímido, B  
adusto, A  
expresivo, B  
acelerado, A  
sociable, B  
elocuente, A  
esquivo, B  
reservado, A  
extravertido, B  
pasional, A  
intenso, B  
locuaz, A  
corto, B  
misántropo, A  
cauto, B  
retraído, A  
efusivo, B  
conversador, A  
comunicativo, B  
cauteloso, A",02/07/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: cauteloso, insociable, reservado, conversador, expresivo, sencillo, extrovertido, introvertido, ardiente, locuaz, vehemente, cauto, misántropo, intenso, discreto, comunicativo, vergonzoso, huraño, esquivo, huidizo, acelerado, sociable, corto, solitario, apasionado, elocuente, caluroso, tímido, retraído, tratable, efusivo, guardado, abierto, cerrado, extravertido, cohibido, expansivo, adusto, pasional, introverso","cauteloso, A  
insociable, B  
reservado, A  
conversador, B  
expresivo, B  
sencillo, A  
extrovertido, B  
introvertido, A  
ardiente, B  
locuaz, B  
vehemente, B  
cauto, A  
misántropo, A  
intenso, B  
discreto, A  
comunicativo, B  
vergonzoso, A  
huraño, A  
esquivo, A  
huidizo, A  
acelerado, B  
sociable, B  
corto, A  
solitario, A  
apasionado, B  
elocuente, B  
caluroso, B  
tímido, A  
retraído, A  
tratable, B  
efusivo, B  
guardado, A  
abierto, B  
cerrado, A  
extravertido, B  
cohibido, A  
expansivo, B  
adusto, B  
pasional, B  
introverso, A",02/07/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: cauteloso, extrovertido, acelerado, locuaz, tratable, intenso, abierto, reservado, conversador, sencillo, adusto, vergonzoso, vehemente, tímido, caluroso, extravertido, expansivo, comunicativo, insociable, efusivo, huidizo, sociable, misántropo, apasionado, cohibido, huraño, introvertido, introverso, solitario, cauto, guardado, ardiente, pasional, corto, expresivo, retraído, elocuente, cerrado, discreto, esquivo","cauteloso, A  
extrovertido, B  
acelerado, A  
locuaz, B  
tratable, A  
intenso, A  
abierto, B  
reservado, A  
conversador, B  
sencillo, A  
adusto, A  
vergonzoso, B  
vehemente, A  
tímido, B  
caluroso, A  
extravertido, B  
expansivo, B  
comunicativo, B  
insociable, A  
efusivo, B  
huidizo, A  
sociable, B  
misántropo, A  
apasionado, A  
cohibido, A  
huraño, A  
introvertido, A  
introverso, A  
solitario, A  
cauto, A  
guardado, A  
ardiente, A  
pasional, A  
corto, A  
expresivo, B  
retraído, A  
elocuente, B  
cerrado, A  
discreto, A  
esquivo, A",02/07/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: guardado, extrovertido, huraño, vergonzoso, pasional, tratable, introvertido, introverso, extravertido, cerrado, reservado, caluroso, discreto, sociable, cauto, locuaz, huidizo, efusivo, insociable, tímido, adusto, vehemente, cauteloso, sencillo, intenso, esquivo, abierto, misántropo, ardiente, conversador, corto, apasionado, elocuente, expansivo, expresivo, acelerado, solitario, cohibido, retraído, comunicativo","guardado, B  
extrovertido, A  
huraño, B  
vergonzoso, B  
pasional, A  
tratable, A  
introvertido, B  
introverso, B  
extravertido, A  
cerrado, B  
reservado, B  
caluroso, B  
discreto, B  
sociable, A  
cauto, B  
locuaz, A  
huidizo, A  
efusivo, A  
insociable, B  
tímido, B  
adusto, B  
vehemente, A  
cauteloso, B  
sencillo, B  
intenso, A  
esquivo, B  
abierto, A  
misántropo, B  
ardiente, A  
conversador, A  
corto, B  
apasionado, A  
elocuente, A  
expansivo, A  
expresivo, A  
acelerado, B  
solitario, B  
cohibido, B  
retraído, B  
comunicativo, A",02/07/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: tímido, ardiente, introvertido, caluroso, adusto, cauteloso, tratable, expresivo, cerrado, apasionado, reservado, vehemente, intenso, insociable, acelerado, corto, esquivo, sencillo, huraño, huidizo, cohibido, discreto, introverso, guardado, sociable, solitario, vergonzoso, efusivo, pasional, elocuente, comunicativo, extrovertido, locuaz, expansivo, misántropo, conversador, extravertido, abierto, retraído, cauto","tímido, B  
ardiente, A  
introvertido, B  
caluroso, A  
adusto, A  
cauteloso, B  
tratable, A  
expresivo, A  
cerrado, B  
apasionado, A  
reservado, B  
vehemente, A  
intenso, A  
insociable, B  
acelerado, A  
corto, A  
esquivo, B  
sencillo, A  
huraño, B  
huidizo, B  
cohibido, B  
discreto, A  
introverso, B  
guardado, B  
sociable, A  
solitario, B  
vergonzoso, B  
efusivo, A  
pasional, A  
elocuente, A  
comunicativo, A  
extrovertido, A  
locuaz, A  
expansivo, A  
misántropo, B  
conversador, A  
extravertido, A  
abierto, A  
retraído, B  
cauto, A",02/07/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: tímido, misántropo, cauteloso, sociable, intenso, caluroso, introverso, elocuente, adusto, discreto, guardado, cauto, efusivo, pasional, ardiente, extrovertido, huraño, expansivo, solitario, comunicativo, apasionado, abierto, vehemente, huidizo, introvertido, insociable, acelerado, corto, cerrado, locuaz, extravertido, conversador, sencillo, vergonzoso, reservado, tratable, retraído, expresivo, cohibido, esquivo","tímido, B  
misántropo, B  
cauteloso, A  
sociable, B  
intenso, B  
caluroso, A  
introverso, A  
elocuente, B  
adusto, B  
discreto, A  
guardado, A  
cauto, A  
efusivo, B  
pasional, B  
ardiente, B  
extrovertido, B  
huraño, A  
expansivo, B  
solitario, A  
comunicativo, B  
apasionado, B  
abierto, B  
vehemente, B  
huidizo, A  
introvertido, A  
insociable, B  
acelerado, A  
corto, A  
cerrado, A  
locuaz, B  
extravertido, B  
conversador, B  
sencillo, A  
vergonzoso, A  
reservado, A  
tratable, B  
retraído, A  
expresivo, B  
cohibido, A  
esquivo, A",02/07/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: adusto, elocuente, cerrado, expresivo, reservado, pasional, acelerado, cauto, introvertido, abierto, extrovertido, intenso, extravertido, solitario, retraído, huidizo, discreto, conversador, expansivo, ardiente, caluroso, tímido, introverso, insociable, comunicativo, misántropo, efusivo, corto, cohibido, esquivo, locuaz, vehemente, cauteloso, tratable, sociable, sencillo, guardado, apasionado, vergonzoso, huraño","adusto, B  
elocuente, A  
cerrado, B  
expresivo, A  
reservado, B  
pasional, A  
acelerado, B  
cauto, A  
introvertido, B  
abierto, A  
extrovertido, A  
intenso, A  
extravertido, A  
solitario, B  
retraído, B  
huidizo, B  
discreto, A  
conversador, A  
expansivo, A  
ardiente, A  
caluroso, B  
tímido, B  
introverso, B  
insociable, B  
comunicativo, A  
misántropo, B  
efusivo, A  
corto, B  
cohibido, B  
esquivo, B  
locuaz, A  
vehemente, A  
cauteloso, A  
tratable, A  
sociable, A  
sencillo, A  
guardado, B  
apasionado, A  
vergonzoso, B  
huraño, B",02/07/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: misántropo, expresivo, efusivo, locuaz, sociable, tímido, extravertido, abierto, intenso, sencillo, elocuente, insociable, tratable, huraño, pasional, conversador, caluroso, vergonzoso, guardado, adusto, cauto, huidizo, comunicativo, vehemente, esquivo, reservado, expansivo, cohibido, corto, ardiente, introverso, discreto, cauteloso, extrovertido, apasionado, cerrado, retraído, solitario, acelerado, introvertido","misántropo, B  
expresivo, A  
efusivo, B  
locuaz, A  
sociable, A  
tímido, B  
extravertido, A  
abierto, A  
intenso, B  
sencillo, A  
elocuente, B  
insociable, B  
tratable, A  
huraño, B  
pasional, B  
conversador, A  
caluroso, B  
vergonzoso, B  
guardado, B  
adusto, B  
cauto, B  
huidizo, B  
comunicativo, A  
vehemente, B  
esquivo, B  
reservado, B  
expansivo, A  
cohibido, B  
corto, B  
ardiente, B  
introverso, B  
discreto, B  
cauteloso, B  
extrovertido, A  
apasionado, B  
cerrado, B  
retraído, B  
solitario, B  
acelerado, B  
introvertido, B",02/07/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: locuaz, apasionado, acelerado, tímido, cerrado, expansivo, cauteloso, huidizo, intenso, tratable, pasional, vehemente, ardiente, abierto, extrovertido, discreto, efusivo, sencillo, introverso, insociable, caluroso, expresivo, elocuente, conversador, guardado, adusto, introvertido, cohibido, huraño, solitario, corto, esquivo, sociable, extravertido, cauto, retraído, comunicativo, reservado, vergonzoso, misántropo","locuaz, A  
apasionado, B  
acelerado, A  
tímido, B  
cerrado, A  
expansivo, B  
cauteloso, A  
huidizo, B  
intenso, A  
tratable, B  
pasional, B  
vehemente, B  
ardiente, B  
abierto, A  
extrovertido, B  
discreto, A  
efusivo, B  
sencillo, A  
introverso, B  
insociable, B  
caluroso, B  
expresivo, A  
elocuente, A  
conversador, A  
guardado, A  
adusto, A  
introvertido, B  
cohibido, B  
huraño, B  
solitario, B  
corto, A  
esquivo, B  
sociable, B  
extravertido, B  
cauto, A  
retraído, A  
comunicativo, A  
reservado, A  
vergonzoso, B  
misántropo, B",02/07/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: vehemente, retraído, conversador, caluroso, cauteloso, tímido, solitario, elocuente, pasional, ardiente, cerrado, acelerado, vergonzoso, corto, expresivo, reservado, expansivo, efusivo, cohibido, apasionado, adusto, sociable, esquivo, misántropo, locuaz, introverso, huidizo, tratable, intenso, cauto, sencillo, guardado, extrovertido, huraño, introvertido, insociable, comunicativo, extravertido, abierto, discreto","vehemente, B  
retraído, A  
conversador, B  
caluroso, A  
cauteloso, B  
tímido, A  
solitario, A  
elocuente, B  
pasional, B  
ardiente, B  
cerrado, A  
acelerado, A  
vergonzoso, A  
corto, A  
expresivo, B  
reservado, A  
expansivo, B  
efusivo, B  
cohibido, A  
apasionado, B  
adusto, A  
sociable, B  
esquivo, A  
misántropo, A  
locuaz, B  
introverso, A  
huidizo, A  
tratable, B  
intenso, B  
cauto, A  
sencillo, A  
guardado, A  
extrovertido, B  
huraño, A  
introvertido, A  
insociable, A  
comunicativo, B  
extravertido, B  
abierto, B  
discreto, A",02/07/26
