sen_id,A,B,prompt,response
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: assured, troubled, perturbed, jittery, self-asserting, conceited, uptight, concerned, uneasy, disturbed, optimistic, serene, upset, smug, secure, ill-at-ease, bothered, unshaken, hopeful, collected, worried, insecure, unperturbed, self-confident, coolheaded, composed, hesitant, anxious, proud, tense, apprehensive, upbeat, flustered, confident, nervous, poised, self-assured, self-possessed, edgy, jumpy. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","assured B, troubled A, perturbed A, jittery A, self-asserting B, conceited B, uptight A, concerned A, uneasy A, disturbed A, optimistic B, serene B, upset A, smug B, secure B, ill-at-ease A, bothered A, unshaken B, hopeful B, collected B, worried A, insecure A, unperturbed B, self-confident B, coolheaded B, composed B, hesitant A, anxious A, proud B, tense A, apprehensive A, upbeat B, flustered A, confident B, nervous A, poised B, self-assured B, self-possessed B, edgy A, jumpy A"
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: hopeful, insecure, secure, proud, hesitant, collected, smug, unperturbed, disturbed, jittery, confident, uptight, optimistic, jumpy, perturbed, upbeat, apprehensive, flustered, tense, self-confident, self-possessed, nervous, upset, assured, poised, unshaken, composed, serene, self-asserting, edgy, uneasy, bothered, self-assured, concerned, troubled, coolheaded, anxious, conceited, ill-at-ease, worried. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","hopeful B, insecure A, secure B, proud B, hesitant A, collected B, smug A, unperturbed B, disturbed A, jittery A, confident B, uptight A, optimistic B, jumpy A, perturbed A, upbeat B, apprehensive A, flustered A, tense A, self-confident B, self-possessed B, nervous A, upset A, assured B, poised B, unshaken B, composed B, serene B, self-asserting B, edgy A, uneasy A, bothered A, self-assured B, concerned A, troubled A, coolheaded B, anxious A, conceited A, ill-at-ease A, worried A,"
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: unperturbed, self-possessed, proud, apprehensive, edgy, ill-at-ease, coolheaded, uneasy, composed, uptight, insecure, anxious, self-confident, disturbed, concerned, self-asserting, flustered, unshaken, bothered, serene, upbeat, self-assured, tense, smug, hesitant, troubled, poised, confident, hopeful, conceited, optimistic, collected, jumpy, jittery, nervous, secure, upset, worried, perturbed, assured. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","unperturbed A, self-possessed A, proud A, apprehensive B, edgy B, ill-at-ease B, coolheaded A, uneasy B, composed A, uptight B, insecure B, anxious B, self-confident A, disturbed B, concerned B, self-asserting A, flustered B, unshaken A, bothered B, serene A, upbeat A, self-assured A, tense B, smug B, hesitant B, troubled B, poised A, confident A, hopeful A, conceited B, optimistic A, collected A, jumpy B, jittery B, nervous B, secure A, upset B, worried B, perturbed B, assured A,"
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: jumpy, unshaken, secure, self-asserting, perturbed, ill-at-ease, serene, composed, smug, bothered, tense, concerned, hesitant, optimistic, self-possessed, insecure, unperturbed, disturbed, hopeful, assured, nervous, anxious, upbeat, edgy, self-confident, coolheaded, collected, confident, uptight, troubled, poised, worried, jittery, flustered, upset, self-assured, uneasy, proud, conceited, apprehensive. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","jumpy A, unshaken B, secure B, self-asserting B, perturbed A, ill-at-ease A, serene B, composed B, smug B, bothered A, tense A, concerned A, hesitant A, optimistic B, self-possessed B, insecure A, unperturbed B, disturbed A, hopeful B, assured B, nervous A, anxious A, upbeat B, edgy A, self-confident B, coolheaded B, collected B, confident B, uptight A, troubled A, poised B, worried A, jittery A, flustered A, upset A, self-assured B, uneasy A, proud B, conceited B, apprehensive A"
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: hesitant, assured, self-asserting, self-assured, proud, uptight, perturbed, edgy, self-confident, jittery, jumpy, hopeful, anxious, serene, disturbed, upbeat, smug, apprehensive, conceited, nervous, flustered, uneasy, coolheaded, upset, ill-at-ease, worried, tense, poised, secure, collected, confident, composed, unshaken, self-possessed, troubled, bothered, concerned, unperturbed, optimistic, insecure. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","hesitant B, assured A, self-asserting A, self-assured A, proud A, uptight B, perturbed B, edgy B, self-confident A, jittery B, jumpy B, hopeful A, anxious B, serene A, disturbed B, upbeat A, smug B, apprehensive B, conceited B, nervous B, flustered B, uneasy B, coolheaded A, upset B, ill-at-ease B, worried B, tense B, poised A, secure A, collected A, confident A, composed A, unshaken A, self-possessed A, troubled B, bothered B, concerned B, unperturbed A, optimistic A, insecure B"
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: coolheaded, smug, worried, apprehensive, edgy, ill-at-ease, self-asserting, jittery, anxious, flustered, optimistic, uptight, assured, insecure, hesitant, concerned, serene, composed, tense, collected, unshaken, troubled, bothered, confident, perturbed, unperturbed, upset, hopeful, conceited, secure, upbeat, disturbed, self-confident, poised, proud, uneasy, self-possessed, self-assured, nervous, jumpy. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","coolheaded A, smug B, worried B, apprehensive B, edgy B, ill-at-ease B, self-asserting A, jittery B, anxious B, flustered B, optimistic A, uptight B, assured A, insecure B, hesitant B, concerned B, serene A, composed A, tense B, collected A, unshaken A, troubled B, bothered B, confident A, perturbed B, unperturbed A, upset B, hopeful A, conceited B, secure A, upbeat A, disturbed B, self-confident A, poised A, proud A, uneasy B, self-possessed A, self-assured A, nervous B, jumpy B,"
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: conceited, unperturbed, unshaken, upbeat, hopeful, ill-at-ease, poised, uptight, collected, tense, optimistic, edgy, concerned, jittery, disturbed, self-asserting, perturbed, anxious, smug, confident, self-confident, flustered, nervous, insecure, worried, bothered, proud, self-assured, secure, self-possessed, assured, uneasy, jumpy, troubled, coolheaded, hesitant, serene, composed, apprehensive, upset. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","conceited B, unperturbed A, unshaken A, upbeat A, hopeful A, ill-at-ease B, poised A, uptight B, collected A, tense B, optimistic A, edgy B, concerned B, jittery B, disturbed B, self-asserting A, perturbed B, anxious B, smug B, confident A, self-confident A, flustered B, nervous B, insecure B, worried B, bothered B, proud A, self-assured A, secure A, self-possessed A, assured A, uneasy B, jumpy B, troubled B, coolheaded A, hesitant B, serene A, composed A, apprehensive B, upset B"
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: self-assured, unperturbed, confident, unshaken, worried, bothered, self-possessed, hopeful, assured, troubled, secure, insecure, jittery, uneasy, smug, upset, optimistic, flustered, perturbed, hesitant, proud, ill-at-ease, concerned, tense, coolheaded, poised, disturbed, edgy, composed, upbeat, self-asserting, collected, serene, jumpy, self-confident, apprehensive, conceited, anxious, uptight, nervous. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","self-assured A, unperturbed A, confident A, unshaken A, worried B, bothered B, self-possessed A, hopeful A, assured A, troubled B, secure A, insecure B, jittery B, uneasy B, smug A, upset B, optimistic A, flustered B, perturbed B, hesitant B, proud A, ill-at-ease B, concerned B, tense B, coolheaded A, poised A, disturbed B, edgy B, composed A, upbeat A, self-asserting A, collected A, serene A, jumpy B, self-confident A, apprehensive B, conceited A, anxious B, uptight B, nervous B"
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: unperturbed, proud, jumpy, smug, bothered, uneasy, insecure, disturbed, self-asserting, ill-at-ease, perturbed, tense, composed, concerned, coolheaded, self-assured, poised, hopeful, edgy, jittery, uptight, unshaken, serene, upset, nervous, collected, conceited, assured, self-possessed, troubled, secure, self-confident, hesitant, worried, anxious, upbeat, optimistic, flustered, confident, apprehensive. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","unperturbed A, proud B, jumpy B, smug B, bothered B, uneasy B, insecure B, disturbed B, self-asserting B, ill-at-ease B, perturbed B, tense B, composed A, concerned A, coolheaded A, self-assured A, poised A, hopeful A, edgy B, jittery B, uptight B, unshaken A, serene A, upset B, nervous B, collected A, conceited B, assured A, self-possessed A, troubled B, secure A, self-confident A, hesitant B, worried B, anxious B, upbeat A, optimistic A, flustered B, confident A, apprehensive B,"
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: tense, upbeat, self-assured, hesitant, edgy, hopeful, insecure, jumpy, unperturbed, smug, self-possessed, uptight, unshaken, poised, disturbed, self-asserting, concerned, optimistic, uneasy, collected, nervous, troubled, perturbed, flustered, upset, ill-at-ease, conceited, secure, self-confident, confident, composed, serene, proud, coolheaded, apprehensive, bothered, worried, anxious, jittery, assured. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","tense B, upbeat A, self-assured A, hesitant B, edgy B, hopeful A, insecure B, jumpy B, unperturbed A, smug B, self-possessed A, uptight B, unshaken A, poised A, disturbed B, self-asserting A, concerned B, optimistic A, uneasy B, collected A, nervous B, troubled B, perturbed B, flustered B, upset B, ill-at-ease B, conceited B, secure A, self-confident A, confident A, composed A, serene A, proud A, coolheaded A, apprehensive B, bothered B, worried B, anxious B, jittery B, assured A,"
