Inteligent_ES,Inteligent_EN,Uninteligent_ES,Uninteligent_EN,SelfConfident_ES,SelfConfident_EN,Insecure_ES,Insecure_EN,Trustworthy_ES,Trustworthy_EN,Untrustworthy_ES,Untrustworthy_EN,Friendly_ES,Friendly_EN,Unfriendly_ES,Unfriendly_EN,Kind_ES,Kind_EN,Unkind_ES,Unkind_EN,Outgoing_ES,Outgoing_EN,Antisocial_ES,Antisocial_EN
inteligente,intelligent,tonto,unintelligent,seguro,self-confident,inseguro,insecure,fiable,trustworthy,desleal,untrustworthy,amigable,friendly,hostil,unfriendly,amable,kind,rudo,unkind,extrovertido,outgoing,introvertido,antisocial
listo,smart,torpe,dumb,decidido,confident,inestable,worried,fiel,reliable,dudoso,fraudulent,afable,warm,contrario,icy,cortés,compassionate,brusco,rude,extravertido,social,retraído,detached
capaz,clever,incapaz,stupid,aplomado,optimistic,indeciso,nervous,leal,responsible,infiel,dishonest,agradable,gracious,enemigo,cold,atento,benevolent,ordinario,unpleasant,comunicativo,extroverted,tímido,distant
ingenioso,quick,inepto,slow,resuelto,assured,vacilante,anxious,confiable,safe,inexacto,deceptive,amiable,nice,adverso,frigid,benévolo,thoughtful,áspero,unfavorable,sociable,extraverted,insociable,unsociable
sesudo,brilliant,incompetente,simple,confiado,self-assured,dudoso,upset,fidedigno,true,falso,misleading,accesible,amicable,rival,brittle,cariñoso,sympathetic,grosero,inconsiderate,abierto,gregarious,reservado,asocial
avispado,fast,soso,ignorant,tranquilo,hopeful,incierto,troubled,honesto,good,deshonesto,incorrect,abierto,neighborly,adversario,reserved,afectuoso,gentle,zafio,discourteous,tratable,spirited,huraño,cool
perspicaz,exceptional,irreflexivo,thick,audaz,proud,variable,uneasy,honrado,dependable,corrupto,false,,sweet,arisco,arctic,atento,kindly,antipático,impolite,expresivo,sociable,cerrado,reserved
vivo,bright,alocado,foolish,lanzado,secure,titubeante,apprehensive,íntegro,steady,corrompido,wrong,,merry,desagradable,chilly,caballeroso,humane,violento,unmannerly,expansivo,lively,huidizo,aloof
agudo,sharp,atontado,dense,atrevido,smug,movedizo,uptight,noble,solid,incompleto,deceiving,gentil,collegial,antipático,unsympathetic,educado,nice,arisco,surly,accesible,cheerful,adusto,withdrawn
despierto,keen,obtuso,dull,valiente,self-asserting,mudable,perturbed,sincero,loyal,inmoral,inaccurate,dulce,cordial,descortés,glacial,obsequioso,gracious,hosco,uncivil,afectuoso,talkative,misántropo,standoffish
espabilado,educated,lento,idiotic,enérgico,poised,dubitativo,concerned,legal,secure,dehonrado,treacherous,cordial,affectionate,desabrido,detached,correcto,generous,bronco,unsociable,efusivo,convivial,introverso,dry
despejado,skilled,ingenuo,brainless,emprendedor,composed,irresoluto,ill at ease,creíble,trustable,innoble,duplicitous,simpático,companionable,rudo,antiseptic,considerado,kindhearted,basto,negative,agradable,animated,solitario,remote
sagaz,wise,bobo,vacuous,sereno,serene,indeterminado,hesitant,fehaciente,trusty,vil,deceitful,afectuoso,warmhearted,grosero,coldish,delicado,sweet,vulgar,impertinent,simpático,jolly,esquivo,timid
astuto,nimble,cándido,mindless,cicunspecto,conceited,perplejo,disturbed,veraz,sure,mentiroso,mendacious,encantador,chummy,inaccesible,uncaring,complaciente,good,maleducado,hostile,conversador,clubby,cohibido,clinical
despabilado,brainy,inapto,obtuse,grave,unperturbed,confuso,jumpy,verídico,calculable,hipócrita,untruthful,adorable,loving,inalcanzable,cold-blooded,solícito ,merciful,soez,antagonistic,sencillo,clubbable,vergonzoso,offish
apto,alert,suspenso,doltish,mesurado,coolheaded,impreciso,flustered,aunténtico,strong,insincero,faithless,tratable,comradely,incomprensible,uncordial,respetuoso,beneficent,patán,inhospitable,vehemente,communicative,corto,professional
competente,quick-witted,inexperto,witless,prudente,self-possesed,vago,jittery,decente,faithful,ilegal,crooked,benévolo,genial,ininteligible,gelid,galante,pleasant,desatento,ill-mannered,vivo,boon,cauteloso,silent
idóneo,hyperintelligent,inadecuado,irrational,ponderado,upbead,borroso,bothered,recto,tried,ilícito,lying,cariñoso,hospitable,dificil,pitiless,servicial,benignant,tosco,contrary,elocuente,jovial,cauto,shy
suficiente,cunning,inapropiado,oafish,reflexivo,unshaken,cambiante,tense,honorable,steadfast,embustero,delusive,cercano,hearty,cerrado,hard-eyed,comedido,warmhearted,desabrido,inimical,acelerado,vivacious,prudente,unsocial
calificado,supersmart,desacreditado,fatuous,imperturbable,collected,variante,edgy,justo,honest,mendaz,specious,adorable,approachable,desatento,unresponsive,bondadoso,tender,agrio,adversary,intenso,forthcoming,guardado,introverted
,,,,,,inconstante,,,,,,,,descortés,,generoso,,seco,,ardiente,,discreto,
,,,,,,,,,,,,,,,,,,difícil,,pasional,,comedido,
,,,,,,,,,,,,,,,,,,intratable,,apasionado,,callado,
,,,,,,,,,,,,,,,,,,,,caluroso,,hermético,
