sen_id,A,B,prompt,response,date
101,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: mesurado, inconstante, variable, incierto, valiente, vacilante, resuelto, seguro, enérgico, borroso, ponderado, indeterminado, mudable, impreciso, emprendedor, sereno, variante, decidido, inseguro, vago, atrevido, perplejo, imperturbable, circunspecto, irresoluto, dubitativo, aplomado, confiado, movedizo, prudente, lanzado, indeciso, confuso, grave, audaz, titubeante, inestable, reflexivo, cambiante, tranquilo. A: La verdad no sabía que era tan cutre B: La verdad no sabía que estaba tan gacho","Mesurado, A
Inconstante, B
Variable, B
Incierto, A
Valiente, A
Vacilante, B
Resuelto, A
Seguro, A
Enérgico, A
Borroso, B
Ponderado, A
Indeterminado, B
Muable, B
Impreciso, B
Emprendedor, A
Sereno, A
Variante, B
Decidido, A
Inseguro, B
Vago, B
Atrevido, A
Perplejo, B
Imperturbable, A
Circunspecto, A
Irresoluto, B
Dubitativo, B
Aplomado, A
Confiado, A
Movedizo, B
Prudente, A
Lanzado, A
Indeciso, B
Confuso, B
Grave, A
Audaz, A
Titubeante, B
Inestable, B
Reflexivo, A
Cambiante, B
Tranquilo, A",02/11/26
102,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: movedizo, emprendedor, inestable, reflexivo, irresoluto, perplejo, decidido, dubitativo, vacilante, seguro, atrevido, cambiante, confiado, mesurado, circunspecto, lanzado, vago, grave, sereno, variante, inseguro, impreciso, resuelto, enérgico, imperturbable, mudable, valiente, tranquilo, confuso, audaz, variable, aplomado, ponderado, indeciso, titubeante, borroso, indeterminado, incierto, inconstante, prudente. A: ¿Cual es el lugar más gacho al que te hayas metido? B: ¿Cual es el lugar más chungo al que te hayas metido?","Movedizo, B
Emprendedor, A
Inestable, B
Reflexivo, A
Irresoluto, B
Perplejo, B
Decidido, A
Dubitativo, B
Vacilante, B
Seguro, A
Atrevido, A
Cambiante, B
Confiado, A
Mesurado, A
Circunspecto, A
Lanzado, A
Vago, B
Grave, A
Sereno, A
Variante, B
Inseguro, B
Impreciso, B
Resuelto, A
Enérgico, A
Imperturbable, A
Mudable, B
Valiente, A
Tranquilo, A
Confuso, B
Audaz, A
Variable, B
Aplomado, A
Ponderado, A
Indeciso, B
Titubeante, B
Borroso, B
Indeterminado, B
Incierto, B
Inconstante, B
Prudente, A",02/11/26
103,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: indeterminado, variante, audaz, indeciso, tranquilo, emprendedor, inseguro, borroso, sereno, ponderado, mudable, vacilante, perplejo, mesurado, titubeante, grave, vago, prudente, cambiante, enérgico, dubitativo, variable, inconstante, reflexivo, circunspecto, lanzado, irresoluto, impreciso, seguro, incierto, atrevido, valiente, resuelto, confiado, aplomado, decidido, inestable, movedizo, confuso, imperturbable. A: ¿Qué te ha hecho cambiar de vida? B: ¿Qué te hizo cambiar de vida?","Indeterminado, B
Variante, B
Audaz, A
Indeciso, B
Tranquilo, A
Emprendedor, A
Inseguro, B
Borroso, B
Sereno, A
Ponderado, A
Muable, B
Vacilante, B
Perplejo, B
Mesurado, A
Titubeante, B
Grave, A
Vago, B
Prudente, A
Cambiante, B
Enérgico, A
Dubitativo, B
Variable, B
Inconstante, B
Reflexivo, A
Circunspecto, A
Lanzado, A
Irresoluto, B
Impreciso, B
Seguro, A
Incierto, B
Atrevido, A
Valiente, A
Resuelto, A
Confiado, A
Aplomado, A
Decidido, A
Inestable, B
Movedizo, B
Confuso, B
Imperturbable, A",02/11/26
104,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: irresoluto, vago, mesurado, valiente, indeciso, movedizo, borroso, circunspecto, aplomado, variante, dubitativo, emprendedor, inconstante, reflexivo, sereno, perplejo, seguro, audaz, confiado, vacilante, inseguro, cambiante, variable, incierto, prudente, mudable, inestable, lanzado, indeterminado, titubeante, confuso, decidido, resuelto, imperturbable, atrevido, tranquilo, impreciso, ponderado, enérgico, grave. A: Era muy enojón, me enojaba muy rápido B: Era muy enfadadizo, me enfadaba muy rápido","Irresoluto, A
Vago, A
Mesurado, B
Valiente, B
Indeciso, A
Movedizo, A
Borroso, A
Circunspecto, B
Aplomado, B
Variante, A
Dubitativo, A
Emprendedor, B
Inconstante, A
Reflexivo, B
Sereno, B
Perplejo, A
Seguro, B
Audaz, B
Confiado, B
Vacilante, A
Inseguro, A
Cambiante, A
Variable, A
Incierto, A
Prudente, B
Mudable, A
Inestable, A
Lanzado, B
Indeterminado, A
Titubeante, A
Confuso, A
Decidido, B
Resuelto, B
Imperturbable, B
Atrevido, B
Tranquilo, B
Impreciso, A
Ponderado, B
Enérgico, B
Grave, B",02/11/26
105,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: tranquilo, variable, decidido, resuelto, audaz, borroso, inestable, prudente, titubeante, mesurado, indeciso, inseguro, inconstante, seguro, emprendedor, mudable, enérgico, reflexivo, incierto, circunspecto, valiente, movedizo, aplomado, irresoluto, perplejo, confiado, variante, ponderado, lanzado, cambiante, indeterminado, impreciso, imperturbable, sereno, dubitativo, vago, vacilante, confuso, atrevido, grave. A: Ella ha sido la única persona que ha confiado en mí  B: Ella fue la única persona que confió en mí ","Tranquilo, B
Variable, B
Decidido, A
Resuelto, A
Audaz, A
Borroso, B
Inestable, B
Prudente, B
Titubeante, B
Mesurado, B
Indeciso, B
Inseguro, B
Inconstante, B
Seguro, A
Emprendedor, A
Muable, B
Enérgico, A
Reflexivo, B
Incierto, B
Circunspecto, B
Valiente, A
Movedizo, B
Aplomado, A
Irresoluto, B
Perplejo, B
Confiado, A
Variante, B
Ponderado, B
Lanzado, A
Cambiante, B
Indeterminado, B
Impreciso, B
Imperturbable, B
Sereno, B
Dubitativo, B
Vago, B
Vacilante, B
Confuso, B
Atrevido, A
Grave, B",02/11/26
106,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cambiante, ponderado, irresoluto, decidido, confiado, reflexivo, audaz, prudente, incierto, vacilante, circunspecto, dubitativo, variante, indeciso, movedizo, enérgico, inestable, sereno, lanzado, variable, perplejo, mudable, emprendedor, borroso, valiente, inconstante, aplomado, tranquilo, vago, mesurado, inseguro, seguro, grave, confuso, impreciso, indeterminado, imperturbable, resuelto, atrevido, titubeante. A: Hubo buen clima, pero ahora nos vino la ola de frío B: Hemos tenido un tiempo bastante bueno, pero ahora nos ha venido la ola de frío","Cambiante, B, Ponderado, A, Irresoluto, B, Decidido, A, Confiado, A, Reflexivo, A, Audaz, B, Prudente, A, Incerto, B, Vacilante, B, Circunspecto, A, Dubitativo, B, Variante, B, Indeciso, B, Movedizo, B, Enérgico, A, Inestable, B, Sereno, A, Lanzado, B, Variable, B, Perplejo, B, Mudable, B, Emprendedor, A, Borroso, B, Valiente, B, Inconstante, B, Aplomado, A, Tranquilo, A, Vago, B, Mesurado, A, Inseguro, B, Seguro, A, Grave, A, Confuso, B, Impreciso, B, Indeterminado, B, Imperturbable, A, Resuelto, A, Atrevido, B, Titubeante, B.
",02/11/26
107,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vago, atrevido, seguro, movedizo, impreciso, variable, cambiante, valiente, perplejo, lanzado, imperturbable, tranquilo, mudable, reflexivo, audaz, ponderado, circunspecto, indeterminado, inestable, irresoluto, variante, inconstante, confiado, incierto, emprendedor, mesurado, enérgico, vacilante, grave, dubitativo, resuelto, decidido, aplomado, inseguro, titubeante, prudente, borroso, confuso, indeciso, sereno. A: ¿Tú recuerdas si eso también sucedía cuando tú eras pequeño?  B: ¿Te acuerdas si eso también pasaba cuando tú eras chico?","Vago, B
Atrevido, B
Seguro, A
Movedizo, B
Impreciso, B
Variable, B
Cambiante, B
Valiente, A
Perplejo, B
Lanzado, B
Imperturbable, A
Tranquilo, A
Mirable, B
Reflexivo, A
Audaz, B
Ponderado, A
Circunspecto, A
Indeterminado, B
Inestable, B
Irresoluto, B
Variante, B
Inconstante, B
Confiado, A
Incierto, B
Emprendedor, A
Mesurado, A
Enérgico, A
Vacilante, B
Grave, A
Dubitativo, B
Resuelto, A
Decidido, A
Aplomado, A
Inseguro, B
Titubeante, B
Prudente, A
Borroso, B
Confuso, B
Indeciso, B
Sereno, A",02/11/26
108,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: prudente, cambiante, variante, inestable, perplejo, mudable, lanzado, resuelto, imperturbable, indeterminado, enérgico, impreciso, confuso, decidido, indeciso, dubitativo, vago, incierto, confiado, borroso, sereno, valiente, mesurado, seguro, aplomado, titubeante, circunspecto, tranquilo, inseguro, vacilante, grave, movedizo, ponderado, audaz, irresoluto, reflexivo, variable, emprendedor, inconstante, atrevido. A: Cuando estabas en la escuela, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacían ustedes los días de nevada?  B: Cuando estabas en el colegio, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacíais vosotros los días de nevada? ","Prudente, B
Cambiante, A
Variante, B
Inestable, A
Perplejo, B
Mmutable, A
Lanzado, B
Resuelto, A
Imperturbable, B
Indeterminado, A
Enérgico, B
Impreciso, A
Confuso, B
Decidido, A
Indeciso, B
Dubitativo, A
Vago, B
Incierto, A
Confiado, B
Borroso, A
Sereno, B
Valiente, A
Mesurado, B
Seguro, A
Aplomado, B
Titubeante, A
Circunspecto, B
Tranquilo, A
Inseguro, B
Vacilante, A
Grave, B
Movedizo, A
Ponderado, B
Audaz, A
Irresoluto, B
Reflexivo, A
Variable, B
Emprendedor, A
Inconstante, B
Atrevido, A",02/11/26
109,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vago, vacilante, seguro, emprendedor, inconstante, variable, grave, aplomado, imperturbable, audaz, titubeante, prudente, sereno, indeciso, mudable, confuso, inseguro, inestable, irresoluto, cambiante, decidido, confiado, enérgico, lanzado, atrevido, ponderado, perplejo, indeterminado, resuelto, dubitativo, impreciso, borroso, reflexivo, mesurado, incierto, circunspecto, movedizo, valiente, tranquilo, variante. A: Cogí al hermano de uno de mis amigos, que era pequeño, y lo metí en el coche B: Agarré al hermano de uno de mis amigos, que era chico, y lo metí en el carro","Vago, B
Vacilante, B
Seguro, A
Emprendedor, A
Inconstante, B
Variable, B
Grave, A
Aplomado, A
Imperturbable, A
Audaz, B
Titubeante, B
Prudente, A
Sereno, A
Indeciso, B
Muable, B
Confuso, B
Inseguro, B
Inestable, B
Irresoluto, B
Cambiante, B
Decidido, A
Confiado, A
Enérgico, A
Lanzado, B
Atrevido, B
Ponderado, A
Perplejo, B
Indeterminado, B
Resuelto, A
Dubitativo, B
Impreciso, B
Borroso, B
Reflexivo, A
Mesurado, A
Incierto, B
Circunspecto, A
Movedizo, B
Valiente, B
Tranquilo, A
Variante, B",02/11/26
110,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: resuelto, prudente, valiente, aplomado, audaz, inestable, imperturbable, mudable, decidido, borroso, enérgico, indeciso, inseguro, indeterminado, tranquilo, incierto, movedizo, variable, irresoluto, seguro, ponderado, grave, sereno, confuso, circunspecto, vago, reflexivo, emprendedor, perplejo, impreciso, dubitativo, cambiante, inconstante, lanzado, mesurado, titubeante, variante, confiado, atrevido, vacilante. A: Cayó un rayo y encendió un depósito de llantas B: Ha caído un rayo y ha encendido un depósito de neumáticos","Resuelto, A
Prudente, B
Valiente, A
Aplomado, B
Audaz, A
Inestable, B
Imperturbable, B
Muable, A
Decidido, A
Borroso, B
Enérgico, A
Indeciso, B
Inseguro, B
Indeterminado, B
Tranquilo, B
Incierto, B
Movedizo, A
Variable, A
Irresoluto, B
Seguro, A
Ponderado, B
Grave, B
Sereno, B
Confuso, B
Circunspecto, B
Vago, B
Reflexivo, A
Emprendedor, A
Perplejo, B
Impreciso, B
Dubitativo, B
Cambiante, A
Inconstante, B
Lanzado, A
Mesurado, B
Titubeante, B
Variante, A
Confiado, A
Atrevido, A
Vacilante, B",02/11/26
