sen_id,A,B,prompt,response,date
51,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: comedido, soez, tosco, educado, rudo, atento, zafio, servicial, galante, respetuoso, caballeroso, seco, correcto, delicado, violento, maleducado, áspero, afectuoso, benévolo, bondadoso, desatento, generoso, amable, complaciente, ordinario, grosero, patán, brusco, vulgar, cariñoso, basto, agrio, considerado, difícil, obsequioso, antipático, benigno, hosco, bronco, solícito. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","comedido, B  
soez, A  
tosco, B  
educado, B  
rudo, A  
atento, B  
zafio, A  
servicial, B  
galante, B  
respetuoso, B  
caballeroso, B  
seco, A  
correcto, B  
delicado, B  
violento, A  
mal educado, A  
áspero, A  
afectuoso, B  
benévolo, B  
bondadoso, B  
desatento, A  
generoso, B  
amable, B  
complaciente, B  
ordinario, A  
grosero, A  
patán, A  
brusco, A  
vulgar, A  
cariñoso, B  
basto, A  
agrio, A  
considerado, B  
difícil, A  
obsequioso, B  
antipático, A  
benigno, B  
hosco, A  
bronco, A  
solícito, B",02/10/26
52,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: obsequioso, amable, seco, correcto, delicado, afectuoso, considerado, respetuoso, complaciente, difícil, agrio, soez, maleducado, hosco, rudo, caballeroso, ordinario, servicial, bondadoso, comedido, atento, generoso, benigno, basto, tosco, galante, cariñoso, áspero, brusco, benévolo, bronco, solícito, desatento, vulgar, antipático, educado, zafio, patán, grosero, violento. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","obsequioso, A  
amable, B  
seco, A  
correcto, B  
delicado, A  
afectuoso, B  
considerado, A  
respetuoso, B  
complaciente, A  
difícil, B  
agrio, A  
soez, B  
maleducado, A  
hosco, B  
rudo, A  
caballeroso, B  
ordinario, A  
servicial, B  
bondadoso, A  
comedido, B  
atento, A  
generoso, B  
benigno, A  
basto, B  
tosco, A  
galante, B  
cariñoso, A  
áspero, B  
brusco, A  
benévolo, B  
bronco, A  
solícito, B  
desatento, A  
vulgar, B  
antipático, A  
educado, B  
zafio, A  
patán, B  
grosero, A  
violento, B",02/10/26
53,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: atento, respetuoso, basto, correcto, benigno, rudo, patán, maleducado, brusco, obsequioso, generoso, hosco, seco, bronco, agrio, amable, complaciente, galante, zafio, benévolo, antipático, tosco, vulgar, cariñoso, bondadoso, caballeroso, áspero, ordinario, violento, considerado, educado, servicial, difícil, afectuoso, soez, delicado, desatento, comedido, grosero, solícito. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","atento, B  
respetuoso, A  
basto, B  
correcto, A  
benigno, A  
rudo, B  
patán, B  
maleducado, B  
brusco, B  
obsequioso, B  
generoso, A  
hosco, B  
seco, B  
bronco, B  
agrio, B  
amable, A  
complaciente, B  
galante, A  
zafio, B  
benévolo, A  
antipático, B  
tosco, B  
vulgar, B  
cariñoso, A  
bondadoso, A  
caballeroso, A  
áspero, B  
ordinario, B  
violento, B  
considerado, A  
educado, A  
servicial, B  
difícil, B  
afectuoso, A  
soez, B  
delicado, A  
desatento, B  
comedido, A  
grosero, B  
solícito, B",02/10/26
54,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: difícil, generoso, amable, obsequioso, correcto, seco, solícito, tosco, soez, ordinario, rudo, patán, benigno, áspero, bronco, respetuoso, afectuoso, galante, educado, hosco, bondadoso, delicado, complaciente, cariñoso, atento, antipático, maleducado, caballeroso, agrio, vulgar, basto, servicial, brusco, benévolo, comedido, grosero, violento, desatento, zafio, considerado. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","difícil, A  
generoso, B  
amable, B  
obsequioso, B  
correcto, B  
seco, A  
solícito, B  
tosco, A  
soez, A  
ordinario, A  
rudo, A  
patán, A  
benigno, B  
áspero, A  
bronco, A  
respetuoso, B  
afectuoso, B  
galante, B  
educado, B  
hosco, A  
bondadoso, B  
delicado, B  
complaciente, B  
cariñoso, B  
atento, B  
antipático, A  
mal educado, A  
caballeroso, B  
agrio, A  
vulgar, A  
basto, A  
servicial, B  
brusco, A  
benévolo, B  
comedido, B  
grosero, A  
violento, A  
desatento, A  
zafio, A  
considerado, B",02/10/26
55,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: complaciente, tosco, caballeroso, agrio, cariñoso, considerado, ordinario, áspero, benévolo, atento, benigno, generoso, comedido, obsequioso, servicial, maleducado, seco, antipático, rudo, solícito, difícil, correcto, brusco, amable, galante, patán, violento, respetuoso, vulgar, educado, bondadoso, delicado, bronco, zafio, basto, afectuoso, hosco, grosero, soez, desatento. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","complaciente, B  
tosco, A  
caballeroso, B  
agrio, A  
cariñoso, B  
considerado, B  
ordinario, A  
áspero, A  
benévolo, B  
atento, B  
benigno, B  
generoso, B  
comedido, A  
obsequioso, A  
servicial, B  
mal educado, A  
seco, A  
antipático, A  
rudo, A  
solícito, B  
difícil, A  
correcto, B  
brusco, A  
amable, B  
galante, B  
patán, A  
violento, A  
respetuoso, B  
vulgar, A  
educado, B  
bondadoso, B  
delicado, B  
bronco, A  
zafio, A  
basto, A  
afectuoso, B  
hosco, A  
grosero, A  
soez, A  
desatento, A",02/10/26
56,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: brusco, considerado, desatento, seco, maleducado, soez, comedido, afectuoso, cariñoso, correcto, obsequioso, amable, ordinario, complaciente, galante, basto, zafio, antipático, vulgar, atento, servicial, difícil, hosco, bondadoso, patán, generoso, áspero, bronco, respetuoso, agrio, rudo, benévolo, caballeroso, violento, tosco, grosero, solícito, educado, benigno, delicado. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","brusco, B  
considerado, A  
desatento, B  
seco, A  
mal educado, B  
soez, B  
comedido, A  
afectuoso, A  
cariñoso, A  
correcto, A  
obsequioso, B  
amable, A  
ordinario, B  
complaciente, B  
galante, A  
basto, B  
zafio, B  
antipático, B  
vulgar, B  
atento, A  
servicial, A  
difícil, B  
hosco, B  
bondadoso, A  
patán, B  
generoso, A  
áspero, B  
bronco, B  
respetuoso, A  
agrio, B  
rudo, B  
benévolo, A  
caballeroso, A  
violento, B  
tosco, B  
grosero, B  
solícito, A  
educado, A  
benigno, A  
delicado, A",02/10/26
57,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: brusco, afectuoso, bronco, correcto, atento, bondadoso, rudo, vulgar, benévolo, soez, servicial, hosco, benigno, considerado, complaciente, amable, generoso, difícil, basto, respetuoso, desatento, áspero, tosco, delicado, antipático, seco, grosero, comedido, obsequioso, violento, patán, caballeroso, solícito, educado, galante, ordinario, cariñoso, maleducado, agrio, zafio. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","brusco, A  
afectuoso, B  
bronco, A  
correcto, B  
atento, B  
bondadoso, B  
rudo, A  
vulgar, A  
benévolo, B  
soez, A  
servicial, B  
hosco, A  
benigno, B  
considerado, B  
complaciente, B  
amable, B  
generoso, B  
difícil, A  
basto, A  
respetuoso, B  
desatento, A  
áspero, A  
tosco, A  
delicado, B  
antipático, A  
seco, A  
grosero, A  
comedido, B  
obsequioso, B  
violento, A  
patán, A  
caballeroso, B  
solícito, B  
educado, B  
galante, B  
ordinario, A  
cariñoso, B  
mal educado, A  
agrio, A  
zafio, A",02/10/26
58,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vulgar, ordinario, bondadoso, grosero, solícito, servicial, generoso, respetuoso, educado, desatento, comedido, seco, benévolo, rudo, tosco, agrio, hosco, benigno, cariñoso, delicado, brusco, amable, zafio, obsequioso, difícil, soez, antipático, basto, bronco, correcto, caballeroso, considerado, galante, complaciente, violento, áspero, atento, patán, afectuoso, maleducado. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","vulgar, B  
ordinario, B  
bondadoso, A  
grosero, B  
solícito, A  
servicial, A  
generoso, A  
respetuoso, A  
educado, A  
desatento, B  
comedido, A  
seco, B  
benévolo, A  
rudo, B  
tosco, B  
agrio, B  
hosco, B  
benigno, A  
cariñoso, A  
delicado, A  
brusco, B  
amable, A  
zafio, B  
obsequioso, B  
difícil, A  
soez, B  
antipático, B  
basto, B  
bronco, B  
correcto, A  
caballeroso, A  
considerado, A  
galante, A  
complaciente, B  
violento, B  
áspero, B  
atento, A  
patán, B  
afectuoso, A  
mal educado, B",02/10/26
59,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: obsequioso, afectuoso, soez, antipático, benévolo, comedido, atento, bronco, desatento, solícito, cariñoso, generoso, áspero, bondadoso, seco, ordinario, patán, basto, violento, agrio, respetuoso, delicado, vulgar, servicial, hosco, tosco, considerado, maleducado, complaciente, caballeroso, difícil, galante, rudo, amable, grosero, correcto, brusco, benigno, zafio, educado. A: Menos mal que no lo he visto B: Menos mal que no lo ví","obsequioso, B  
afectuoso, B  
soez, A  
antipático, A  
benévolo, B  
comedido, B  
atento, B  
bronco, A  
desatento, A  
solícito, B  
cariñoso, B  
generoso, B  
áspero, A  
bondadoso, B  
seco, A  
ordinario, A  
patán, A  
basto, A  
violentos, A  
agrio, A  
respetuoso, B  
delicado, B  
vulgar, A  
servicial, B  
hosco, A  
tosco, A  
considerado, B  
mal educado, A  
complaciente, B  
caballeroso, B  
difícil, A  
galante, B  
rudo, A  
amable, B  
grosero, A  
correcto, B  
brusco, A  
benigno, B  
zafio, A  
educado, B",02/10/26
60,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: basto, seco, agrio, maleducado, galante, brusco, grosero, violento, complaciente, desatento, amable, afectuoso, generoso, ordinario, áspero, respetuoso, antipático, delicado, soez, cariñoso, solícito, obsequioso, zafio, correcto, bronco, educado, caballeroso, tosco, hosco, rudo, bondadoso, considerado, servicial, benévolo, benigno, difícil, vulgar, atento, comedido, patán. A: Sí, fuí yo B:  Sí, he sido yo","basto, B  
seco, B  
agrio, B  
maleducado, B  
galante, A  
brusco, B  
grosero, B  
violento, B  
complaciente, B  
desatento, B  
amable, A  
afectuoso, A  
generoso, A  
ordinario, B  
áspero, B  
respetuoso, A  
antipático, B  
delicado, A  
soez, B  
cariñoso, A  
solícito, A  
obsequioso, B  
zafio, B  
correcto, A  
bronco, B  
educado, A  
caballeroso, A  
tosco, B  
hosco, B  
rudo, B  
bondadoso, A  
considerado, A  
servicial, A  
benévolo, A  
benigno, A  
difícil, B  
vulgar, B  
atento, A  
comedido, A  
patán, B",02/10/26
