sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: afable, rival, simpático, seductor, inaccesible, fascinante, cautivador, desapacible, arrebatador, amigable, desfavorable, adverso, agradable, cordial, desabrido, descortés, atractivo, arisco, hostil, cercano, cortés, molesto, adversario, fastidioso, enemigo, dificil, inalcanzable, encantador, dulce, atrayente, magnífico, adorable, incomprensible, accesible, desagradable, intratable, gentil, ininteligible, contrario, estupendo. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","afable - A, rival - B, simpático - A, seductor - B, inaccesible - A, fascinante - B, cautivador - A, desapacible - B, arrebatador - A, amigable - B, desfavorable - A, adverso - B, agradable - A, cordial - B, desabrido - A, descortés - B, atractivo - A, arisco - B, hostil - A, cercano - B, cortés - A, molesto - B, adversario - A, fastidioso - B, enemigo - A, dificil - B, inalcanzable - A, encantador - B, dulce - A, atrayente - B, magnífico - A, adorable - B, incomprensible - A, accesible - B, desagradable - A, intratable - B, gentil - A, ininteligible - B, contrario - A, estupendo - B",03/09/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: fascinante, cortés, arisco, contrario, encantador, adorable, dificil, descortés, atrayente, ininteligible, inalcanzable, intratable, molesto, cautivador, inaccesible, simpático, afable, seductor, incomprensible, adversario, estupendo, desabrido, gentil, rival, adverso, cordial, atractivo, hostil, enemigo, fastidioso, amigable, magnífico, desapacible, desfavorable, cercano, agradable, desagradable, arrebatador, dulce, accesible. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","Aquí tienes la lista con un escritor para cada adjetivo:

1. fascinante - A, B
2. cortés - A, B
3. arisco - A, B
4. contrario - A, B
5. encantador - A, B
6. adorable - A, B
7. dificil - A, B
8. descortés - A, B
9. atrayente - A, B
10. ininteligible - A, B
11. inalcanzable - A, B
12. intratable - A, B
13. molesto - A, B
14. cautivador - A, B
15. inaccesible - A, B
16. simpático - A, B
17. afable - A, B
18. seductor - A, B
19. incomprensible - A, B
20. adversario - A, B
21. estupendo - A, B
22. desabrido - A, B
23. gentil - A, B
24. rival - A, B
25. adverso - A, B
26. cordial - A, B
27. atractivo - A, B
28. hostil - A, B
29. enemigo - A, B
30. fastidioso - A, B
31. amigable - A, B
32. magnífico - A, B
33. desapacible - A, B
34. desfavorable - A, B
35. cercano - A, B
36. agradable - A, B
37. desagradable - A, B
38. arrebatador - A, B
39. dulce - A, B
40. accesible - A, B",03/09/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: enemigo, ininteligible, atractivo, adorable, afable, fastidioso, adversario, gentil, arisco, rival, cordial, desfavorable, adverso, cercano, cortés, fascinante, simpático, encantador, magnífico, contrario, desagradable, estupendo, intratable, desabrido, molesto, inaccesible, seductor, inalcanzable, hostil, amigable, incomprensible, dulce, accesible, agradable, dificil, arrebatador, cautivador, descortés, atrayente, desapacible. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","Aquí tienes la lista con un escritor elegido para cada adjetivo:

1. enemigo - A, B
2. ininteligible - A
3. atractivo - A
4. adorable - B
5. afable - A
6. fastidioso - B
7. adversario - A
8. gentil - B
9. arisco - A
10. rival - A
11. cordial - B
12. desfavorable - A
13. adverso - B
14. cercano - A
15. cortés - B
16. fascinante - A
17. simpático - B
18. encantador - A
19. magnífico - B
20. contrario - A
21. desagradable - B
22. estupendo - A
23. intratable - B
24. desabrido - A
25. molesto - B
26. inaccesible - A
27. seductor - B
28. inalcanzable - A
29. hostil - B
30. amigable - A
31. incomprensible - B
32. dulce - A
33. accesible - B
34. agradable - A
35. dificil - B
36. arrebatador - A
37. cautivador - B
38. descortés - A
39. atrayente - B
40. desapacible - A",03/09/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: atractivo, desabrido, amigable, cortés, desfavorable, simpático, desagradable, adverso, ininteligible, inaccesible, fastidioso, intratable, fascinante, magnífico, afable, estupendo, cordial, adversario, contrario, inalcanzable, dulce, gentil, seductor, hostil, enemigo, arisco, rival, molesto, cautivador, dificil, agradable, encantador, adorable, atrayente, descortés, arrebatador, incomprensible, desapacible, accesible, cercano. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Aquí te dejo la lista con los escritores correspondientes a cada adjetivo:

1. atractivo - A, 
2. desabrido - B, 
3. amigable - A, 
4. cortés - A, 
5. desfavorable - B, 
6. simpático - A, 
7. desagradable - B, 
8. adverso - B, 
9. ininteligible - B, 
10. inaccesible - B, 
11. fastidioso - B, 
12. intratable - B, 
13. fascinante - A, 
14. magnífico - A, 
15. afable - A, 
16. estupendo - A, 
17. cordial - A, 
18. adversario - B, 
19. contrario - B, 
20. inalcanzable - B, 
21. dulce - A, 
22. gentil - A, 
23. seductor - A, 
24. hostil - B, 
25. enemigo - B, 
26. arisco - B, 
27. rival - B, 
28. molesto - B, 
29. cautivador - A, 
30. dificil - B, 
31. agradable - A, 
32. encantador - A, 
33. adorable - A, 
34. atrayente - A, 
35. descortés - B, 
36. arrebatador - A, 
37. incomprensible - B, 
38. desapacible - B, 
39. accesible - A, 
40. cercano - A",03/09/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: rival, intratable, arrebatador, adorable, contrario, afable, seductor, hostil, desagradable, inalcanzable, incomprensible, agradable, molesto, desfavorable, cautivador, fastidioso, desabrido, atrayente, simpático, fascinante, cercano, magnífico, ininteligible, inaccesible, encantador, dulce, gentil, desapacible, cortés, arisco, enemigo, dificil, descortés, adversario, estupendo, atractivo, amigable, accesible, cordial, adverso. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","Rival A, intratable B, arrebatador A, adorable B, contrario A, afable B, seductor A, hostil B, desagradable A, inalcanzable B, incomprensible A, agradable B, molesto A, desfavorable B, cautivador A, fastidioso B, desabrido A, atrayente B, simpático A, fascinante B, cercano A, magnífico B, ininteligible A, inaccesible B, encantador A, dulce B, gentil A, desapacible B, cortés A, arisco B, enemigo A, dificil B, descortés A, adversario B, estupendo A, atractivo B, amigable A, accesible B, cordial A, adverso B.",03/09/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: estupendo, fastidioso, inalcanzable, fascinante, gentil, encantador, enemigo, cautivador, intratable, cercano, atrayente, contrario, cordial, desapacible, adorable, seductor, molesto, ininteligible, incomprensible, arrebatador, desfavorable, dulce, rival, descortés, accesible, simpático, cortés, adverso, afable, adversario, desagradable, dificil, amigable, arisco, agradable, desabrido, magnífico, inaccesible, hostil, atractivo. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","Aquí te dejo la lista de adjetivos con el escritor correspondiente:

1. estupendo - A, 
2. fastidioso - B, 
3. inalcanzable - A, 
4. fascinante - B, 
5. gentil - A, 
6. encantador - B, 
7. enemigo - A, 
8. cautivador - B, 
9. intratable - A, 
10. cercano - B, 
11. atrayente - A, 
12. contrario - B, 
13. cordial - A, 
14. desapacible - B, 
15. adorable - A, 
16. seductor - B, 
17. molesto - A, 
18. ininteligible - B, 
19. incomprensible - A, 
20. arrebatador - B, 
21. desfavorable - A, 
22. dulce - B, 
23. rival - A, 
24. descortés - B, 
25. accesible - A, 
26. simpático - B, 
27. cortés - A, 
28. adverso - B, 
29. afable - A, 
30. adversario - B, 
31. desagradable - A, 
32. difícil - B, 
33. amigable - A, 
34. arisco - B, 
35. agradable - A, 
36. desabrido - B, 
37. magnífico - A, 
38. inaccesible - B, 
39. hostil - A, 
40. atractivo - B.",03/09/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: estupendo, intratable, ininteligible, cordial, simpático, encantador, inalcanzable, amigable, seductor, descortés, cautivador, atrayente, arrebatador, desabrido, adverso, hostil, afable, molesto, rival, adorable, cortés, desapacible, magnífico, fastidioso, adversario, enemigo, incomprensible, accesible, gentil, atractivo, contrario, cercano, fascinante, dulce, agradable, inaccesible, arisco, desfavorable, dificil, desagradable. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","Estupendo, A; intratable, B; ininteligible, A; cordial, B; simpático, A; encantador, B; inalcanzable, A; amigable, B; seductor, A; descortés, B; cautivador, A; atrayente, B; arrebatador, A; desabrido, B; adverso, A; hostil, B; afable, A; molesto, B; rival, A; adorable, B; cortés, A; desapacible, B; magnífico, A; fastidioso, B; adversario, A; enemigo, B; incomprensible, A; accesible, B; gentil, A; atractivo, B; contrario, A; cercano, B; fascinante, A; dulce, B; agradable, A; inaccesible, B; arisco, A; desfavorable, B; dificil, A; desagradable, B.",03/09/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: hostil, desfavorable, cercano, ininteligible, desapacible, incomprensible, atractivo, arrebatador, descortés, intratable, simpático, contrario, adorable, dificil, desagradable, cautivador, molesto, adversario, desabrido, arisco, seductor, amigable, inalcanzable, inaccesible, afable, enemigo, agradable, fastidioso, cortés, dulce, accesible, fascinante, adverso, cordial, gentil, atrayente, magnífico, rival, encantador, estupendo. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","hostil A, desfavorable B, cercano A, ininteligible B, desapacible A, incomprensible B, atractivo A, arrebatador B, descortés A, intratable B, simpático A, contrario A, adorable B, dificil A, desagradable B, cautivador A, molesto B, adversario A, desabrido B, arisco A, seductor B, amigable A, inalcanzable B, inaccesible A, afable B, enemigo A, agradable B, fastidioso A, cortés B, dulce A, accesible B, fascinante A, adverso B, cordial A, gentil B, atrayente A, magnífico B, rival A, encantador B, estupendo A.",03/09/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: seductor, descortés, atractivo, inaccesible, desfavorable, intratable, hostil, dulce, encantador, dificil, rival, fastidioso, inalcanzable, accesible, contrario, desagradable, amigable, agradable, adorable, incomprensible, molesto, atrayente, arisco, afable, magnífico, estupendo, gentil, arrebatador, cortés, adversario, cordial, adverso, ininteligible, cercano, enemigo, desabrido, desapacible, cautivador, simpático, fascinante. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","Aquí te dejo la lista de adjetivos con el escritor correspondiente:

1. seductor - B
2. descortés - A
3. atractivo - B
4. inaccesible - A
5. desfavorable - B
6. intratable - A
7. hostil - B
8. dulce - A
9. encantador - B
10. difícil - A
11. rival - B
12. fastidioso - A
13. inalcanzable - B
14. accesible - A
15. contrario - B
16. desagradable - A
17. amigable - B
18. agradable - A
19. adorable - B
20. incomprensible - A
21. molesto - B
22. atrayente - A
23. arisco - B
24. afable - A
25. magnífico - B
26. estupendo - A
27. gentil - B
28. arrebatador - A
29. cortés - B
30. adversario - A
31. cordial - B
32. adverso - A
33. ininteligible - B
34. cercano - A
35. enemigo - B
36. desabrido - A
37. desapacible - B
38. cautivador - A
39. simpático - B
40. fascinante - A",03/09/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: contrario, descortés, adverso, fastidioso, atractivo, cautivador, amigable, adversario, agradable, rival, estupendo, desagradable, inaccesible, cordial, desfavorable, seductor, enemigo, accesible, adorable, gentil, hostil, incomprensible, cercano, dulce, magnífico, atrayente, intratable, afable, arisco, cortés, inalcanzable, molesto, simpático, desapacible, arrebatador, encantador, desabrido, fascinante, ininteligible, dificil. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","Contrario A, descortés B, adverso A, fastidioso B, atractivo A, cautivador B, amigable A, adversario B, agradable A, rival B, estupendo A, desagradable B, inaccesible A, cordial B, desfavorable A, seductor B, enemigo A, accesible B, adorable A, gentil B, hostil A, incomprensible B, cercano A, dulce B, magnífico A, atrayente B, intratable A, afable B, arisco A, cortés B, inalcanzable A, molesto B, simpático A, desapacible B, arrebatador A, encantador B, desabrido A, fascinante B, ininteligible A, dificil B.",03/09/26
11,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: hostil, fascinante, simpático, desagradable, enemigo, intratable, adversario, gentil, ininteligible, desfavorable, inaccesible, atrayente, magnífico, amigable, cortés, adverso, rival, arisco, atractivo, cordial, incomprensible, accesible, dulce, estupendo, dificil, contrario, cercano, desapacible, adorable, molesto, agradable, arrebatador, cautivador, descortés, desabrido, afable, encantador, seductor, fastidioso, inalcanzable. A: ¿Y cómo la bajasteis vosotros? B: ¿Y cómo la bajaron ustedes?","Aquí tienes la lista de adjetivos con el escritor correspondiente:

1. hostil - A - 
2. fascinante - B - 
3. simpático - A - 
4. desagradable - B - 
5. enemigo - A - 
6. intratable - B - 
7. adversario - A - 
8. gentil - B - 
9. ininteligible - A - 
10. desfavorable - B - 
11. inaccesible - A - 
12. atrayente - B - 
13. magnífico - A - 
14. amigable - B - 
15. cortés - A - 
16. adverso - B - 
17. rival - A - 
18. arisco - B - 
19. atractivo - A - 
20. cordial - B - 
21. incomprensible - A - 
22. accesible - B - 
23. dulce - A - 
24. estupendo - B - 
25. dificil - A - 
26. contrario - B - 
27. cercano - A - 
28. desapacible - B - 
29. adorable - A - 
30. molesto - B - 
31. agradable - A - 
32. arrebatador - B - 
33. cautivador - A - 
34. descortés - B - 
35. desabrido - A - 
36. afable - B - 
37. encantador - A - 
38. seductor - B - 
39. fastidioso - A - 
40. inalcanzable - B -",03/09/26
12,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: agradable, cercano, cautivador, contrario, inalcanzable, intratable, dificil, inaccesible, enemigo, arrebatador, adverso, adorable, molesto, desabrido, afable, atractivo, dulce, desagradable, rival, estupendo, amigable, accesible, gentil, adversario, atrayente, cordial, magnífico, incomprensible, arisco, cortés, fascinante, simpático, encantador, fastidioso, desapacible, ininteligible, desfavorable, seductor, hostil, descortés. A: Cuando terminaba la escuela a las seis, estabas en la calle y habías hecho la tarea B: Cuando terminaba el colegio a las seis, estabas en la calle y habías hecho los deberes ","Aquí te presento la lista de adjetivos con el escritor correspondiente:

1. agradable - A
2. cercano - B
3. cautivador - A
4. contrario - B
5. inalcanzable - A
6. intratable - B
7. dificil - A
8. inaccesible - B
9. enemigo - A
10. arrebatador - B
11. adverso - A
12. adorable - B
13. molesto - A
14. desabrido - B
15. afable - A
16. atractivo - B
17. dulce - A
18. desagradable - B
19. rival - A
20. estupendo - B
21. amigable - A
22. accesible - B
23. gentil - A
24. adversario - B
25. atrayente - A
26. cordial - B
27. magnífico - A
28. incomprensible - B
29. arisco - A
30. cortés - B
31. fascinante - A
32. simpático - B
33. encantador - A
34. fastidioso - B
35. desapacible - A
36. ininteligible - B
37. desfavorable - A
38. seductor - B
39. hostil - A
40. descortés - B",03/09/26
13,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: dificil, fastidioso, encantador, enemigo, estupendo, hostil, simpático, contrario, cordial, intratable, atrayente, ininteligible, adversario, adorable, desagradable, rival, adverso, desapacible, fascinante, agradable, desfavorable, inaccesible, atractivo, accesible, desabrido, inalcanzable, gentil, dulce, seductor, afable, incomprensible, molesto, descortés, cortés, cercano, amigable, arrebatador, magnífico, arisco, cautivador. A: ¿Qué sería bueno que se hiciese? B: ¿Qué sería bueno que se hiciera?","Aquí te presento la lista de adjetivos con los escritores correspondientes:

1. dificil - A - fastidioso - B - encantador - A - enemigo - B - estupendo - A - hostil - B - simpático - A - contrario - B - cordial - A - intratable - B - atrayente - A - ininteligible - B - adversario - A - adorable - B - desagradable - A - rival - B - adverso - A - desapacible - B - fascinante - A - agradable - B - desfavorable - A - inaccesible - B - atractivo - A - accesible - B - desabrido - A - inalcanzable - B - gentil - A - dulce - B - seductor - A - afable - B - incomprensible - A - molesto - B - descortés - A - cortés - B - cercano - A - amigable - B - arrebatador - A - magnífico - B - arisco - A - cautivador - B

Respecto a las preguntas, no hay una respuesta clara ya que no hay información adicional sobre qué se refiere cada escritor (A o B) a menos que se especifique el contexto.",03/09/26
14,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: inaccesible, ininteligible, dificil, cortés, agradable, incomprensible, magnífico, encantador, desabrido, seductor, dulce, intratable, cautivador, accesible, enemigo, desfavorable, arisco, gentil, cordial, amigable, atrayente, arrebatador, estupendo, adversario, fascinante, fastidioso, desagradable, inalcanzable, adorable, molesto, desapacible, contrario, simpático, afable, descortés, adverso, cercano, rival, hostil, atractivo. A: ¿Salen ustedes casi siempre con los mismos amigos? - Normalmente con un chavo que es con el que mejor me llevo B: ¿Salís vosotros casi siempre con los mismos amigos? - Normalmente con un chaval que es con el que más relación tengo","inaccesible A, ininteligible B, dificil A, cortés B, agradable A, incomprensible B, magnífico A, encantador B, desabrido A, seductor B, dulce A, intratable B, cautivador A, accesible B, enemigo A, desfavorable B, arisco A, gentil B, cordial A, amigable B, atrayente A, arrebatador B, estupendo A, adversario B, fascinante A, fastidioso B, desagradable A, inalcanzable B, adorable A, molesto B, desapacible A, contrario B, simpático A, afable B, descortés A, adverso B, cercano A, rival B, hostil A, atractivo B",03/09/26
15,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: agradable, accesible, desfavorable, cordial, adorable, enemigo, desabrido, molesto, intratable, seductor, atractivo, hostil, desapacible, incomprensible, adversario, cautivador, adverso, dificil, gentil, cortés, inalcanzable, estupendo, encantador, arrebatador, cercano, afable, atrayente, amigable, rival, ininteligible, simpático, arisco, magnífico, descortés, desagradable, fastidioso, contrario, dulce, inaccesible, fascinante. A: ¿A vosotros qué os gusta hacer cuando estáis en familia? - Pues charlar B: ¿A ustedes qué les gusta hacer cuando están en familia? - Pues platicar","Aquí te presento la lista de adjetivos con el escritor correspondiente:

- agradable: B
- accesible: A
- desfavorable: A
- cordial: B
- adorable: B
- enemigo: A
- desabrido: A
- molesto: B
- intratable: A
- seductor: B
- atractivo: B
- hostil: A
- desapacible: A
- incomprensible: B
- adversario: A
- cautivador: B
- adverso: A
- difícil: B
- gentil: B
- cortés: B
- inalcanzable: A
- estupendo: B
- encantador: B
- arrebatador: B
- cercano: A
- afable: B
- atrayente: B
- amigable: B
- rival: A
- ininteligible: B
- simpático: B
- arisco: A
- magnífico: B
- descortés: A
- desagradable: A
- fastidioso: B
- contrario: A
- dulce: B
- inaccesible: A
- fascinante: B",03/09/26
16,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: seductor, desabrido, intratable, contrario, arisco, fastidioso, accesible, amigable, atractivo, fascinante, agradable, rival, simpático, inalcanzable, magnífico, ininteligible, cautivador, inaccesible, cordial, incomprensible, desfavorable, descortés, cortés, encantador, atrayente, hostil, afable, molesto, cercano, dificil, desapacible, adversario, dulce, desagradable, gentil, estupendo, arrebatador, adorable, adverso, enemigo. A: ¿Ustedes iban en carro, no? B: ¿Vosotros ibais en coche, no?","Aquí te dejo la lista con un escritor elegido para cada adjetivo:

1. seductor - A, B
2. desabrido - A
3. intratable - B
4. contrario - A
5. arisco - B
6. fastidioso - A
7. accesible - B
8. amigable - A
9. atractivo - B
10. fascinante - A
11. agradable - B
12. rival - A
13. simpático - B
14. inalcanzable - A
15. magnífico - B
16. ininteligible - A
17. cautivador - B
18. inaccesible - A
19. cordial - B
20. incomprensible - A
21. desfavorable - B
22. descortés - A
23. cortés - B
24. encantador - A
25. atrayente - B
26. hostil - A
27. afable - B
28. molesto - A
29. cercano - B
30. dificil - A
31. desapacible - B
32. adversario - A
33. dulce - B
34. desagradable - A
35. gentil - B
36. estupendo - A
37. arrebatador - B
38. adorable - A
39. adverso - B
40. enemigo - A",03/09/26
17,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: magnífico, cautivador, intratable, accesible, gentil, simpático, ininteligible, rival, contrario, inaccesible, adverso, cordial, desfavorable, cortés, fascinante, arisco, desagradable, estupendo, amigable, fastidioso, agradable, encantador, incomprensible, atractivo, dulce, afable, enemigo, seductor, adversario, inalcanzable, dificil, arrebatador, cercano, desabrido, desapacible, adorable, atrayente, descortés, molesto, hostil. A: Cogen el coche y se van a dormir a su casa B: Agarran el carro y se van a dormir a su casa","Aquí te presento la lista de adjetivos con los escritores correspondientes:

1. magnífico - A
2. cautivador - B
3. intratable - A
4. accesible - B
5. gentil - A
6. simpático - B
7. ininteligible - A
8. rival - B
9. contrario - A
10. inaccesible - B
11. adverso - A
12. cordial - B
13. desfavorable - A
14. cortés - B
15. fascinante - A
16. arisco - B
17. desagradable - A
18. estupendo - B
19. amigable - A
20. fastidioso - B
21. agradable - A
22. encantador - B
23. incomprensible - A
24. atractivo - B
25. dulce - A
26. afable - B
27. enemigo - A
28. seductor - B
29. adversario - A
30. inalcanzable - B
31. dificil - A
32. arrebatador - B
33. cercano - A
34. desabrido - B
35. desapacible - A
36. adorable - B
37. atrayente - A
38. descortés - B
39. molesto - A
40. hostil - B",03/09/26
18,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: molesto, cortés, magnífico, dulce, desagradable, cautivador, hostil, atractivo, cordial, desfavorable, agradable, desabrido, enemigo, adverso, afable, accesible, estupendo, cercano, amigable, encantador, intratable, gentil, simpático, fascinante, contrario, ininteligible, inaccesible, arrebatador, incomprensible, fastidioso, rival, seductor, dificil, arisco, atrayente, desapacible, adorable, inalcanzable, descortés, adversario. A: Está más chido. Así no sudas y luego puedes traerte una chamarra B: Está más guay. Así no sudas y luego puedes traerte una chaqueta","Aquí te dejo la lista con los escritores seleccionados:

1. molesto - B
2. cortés - A
3. magnífico - A
4. dulce - B
5. desagradable - A
6. cautivador - B
7. hostil - A
8. atractivo - B
9. cordial - A
10. desfavorable - B
11. agradable - A
12. desabrido - B
13. enemigo - A
14. adverso - B
15. afable - A
16. accesible - B
17. estupendo - A
18. cercano - B
19. amigable - A
20. encantador - B
21. intratable - A
22. gentil - B
23. simpático - A
24. fascinante - B
25. contrario - A
26. ininteligible - B
27. inaccesible - A
28. arrebatador - B
29. incomprensible - A
30. fastidioso - B
31. rival - A
32. seductor - B
33. dificil - A
34. arisco - B
35. atrayente - A
36. desapacible - B
37. adorable - A
38. inalcanzable - B
39. descortés - A
40. adversario - B",03/09/26
