sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: huraño, solitario, adusto, abierto, reservado, acelerado, discreto, corto, extrovertido, guardado, tratable, cauto, cerrado, vehemente, conversador, introvertido, introverso, expresivo, misántropo, huidizo, retraído, intenso, cohibido, pasional, elocuente, comunicativo, apasionado, cauteloso, extravertido, locuaz, caluroso, tímido, expansivo, sociable, ardiente, sencillo, vergonzoso, esquivo, insociable, efusivo","Huraño, A
Solitario, A
Adusto, A
Abierto, B
Reservado, A
Acelerado, B
Discreto, A
Corto, B
Extrovertido, B
Guardado, A
Tratable, B
Cauto, A
Cerrado, A
Vehemente, B
Conversador, B
Introvertido, A
Introverso, A
Expresivo, B
Misántropo, A
Huidizo, A
Retraído, A
Intenso, B
Cohibido, A
Pasional, B
Elocuente, B
Comunicativo, B
Apasionado, B
Cauteloso, A
Extravertido, B
Locuaz, B
Caluroso, B
Tímido, A
Expansivo, B
Sociable, B
Ardiente, B
Sencillo, B
Vergonzoso, A
Esquivo, A
Insociable, A
Efusivo, B
",02/07/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: vergonzoso, reservado, intenso, ardiente, extrovertido, cauteloso, solitario, comunicativo, sencillo, pasional, abierto, insociable, huidizo, misántropo, locuaz, introverso, vehemente, apasionado, extravertido, adusto, retraído, huraño, introvertido, elocuente, cauto, expresivo, expansivo, caluroso, sociable, tímido, cerrado, corto, conversador, discreto, esquivo, cohibido, acelerado, tratable, guardado, efusivo","Vergonzoso, A
Reservado, B
Intenso, B
Ardiente, B
Extrovertido, A
Cauteloso, B
Solitario, B
Comunicativo, A
Sencillo, B
Pasional, B
Abierto, A
Insociable, B
Huidizo, B
Misántropo, B
Locuaz, A
Introverso, B
Vehemente, B
Apasionado, B
Extravertido, A
Adusto, B
Retraído, B
Huraño, B
Introvertido, B
Elocuente, B
Cauto, B
Expresivo, A
Expansivo, A
Caluroso, A
Sociable, A
Tímido, B
Cerrado, B
Corto, B
Conversador, A
Discreto, B
Esquivo, B
Cohibido, B
Acelerado, A
Tratable, A
Guardado, B
Efusivo, A
",02/07/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: corto, extrovertido, adusto, apasionado, guardado, sociable, insociable, expresivo, sencillo, abierto, tímido, reservado, locuaz, vergonzoso, comunicativo, tratable, introvertido, cohibido, vehemente, extravertido, cauteloso, expansivo, discreto, intenso, solitario, huidizo, efusivo, elocuente, ardiente, pasional, retraído, introverso, caluroso, misántropo, esquivo, acelerado, conversador, cauto, huraño, cerrado","Corto, A
Extrovertido, B
Adusto, A
Apasionado, B
Guardado, A
Sociable, B
Insociable, A
Expresivo, B
Sencillo, A
Abierto, B
Tímido, A
Reservado, A
Locuaz, B
Vergonzoso, A
Comunicativo, B
Tratable, B
Introvertido, A
Cohibido, A
Vehemente, B
Extravertido, B
Cauteloso, A
Expansivo, B
Discreto, A
Intenso, B
Solitario, A
Huidizo, A
Efusivo, B
Elocuente, B
Ardiente, B
Pasional, B
Retraído, A
Introverso, A
Caluroso, B
Misántropo, A
Esquivo, A
Acelerado, B
Conversador, B
Cauto, A
Huraño, A
Cerrado, A
",02/07/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: reservado, insociable, solitario, expresivo, misántropo, cerrado, introverso, extrovertido, intenso, retraído, acelerado, tímido, vehemente, conversador, expansivo, huidizo, tratable, introvertido, caluroso, abierto, corto, adusto, guardado, locuaz, sencillo, elocuente, efusivo, pasional, vergonzoso, sociable, extravertido, ardiente, cauteloso, cohibido, apasionado, comunicativo, esquivo, cauto, discreto, huraño","Reservado, B
Insociable, B
Solitario, B
Expresivo, A
Misántropo, B
Cerrado, B
Introvertido, B
Extrovertido, A
Intenso, A
Retraído, B
Acelerado, A
Tímido, A
Vehemente, A
Conversador, A
Expansivo, A
Huidizo, B
Tratable, A
Introvertido, B
Caluroso, A
Abierto, A
Corto, B
Adusto, B
Guardado, B
Locuaz, A
Sencillo, A
Elocuente, A
Efusivo, A
Pasional, A
Vergonzoso, A
Sociable, A
Extravertido, A
Ardiente, A
Cauteloso, B
Cohibido, B
Apasionado, A
Comunicativo, A
Esquivo, B
Cauto, B
Discreto, B
Huraño, B
",02/07/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: comunicativo, cauteloso, introverso, conversador, extrovertido, acelerado, pasional, esquivo, retraído, tratable, extravertido, apasionado, misántropo, expresivo, vehemente, intenso, tímido, abierto, cauto, cohibido, efusivo, discreto, introvertido, elocuente, sociable, corto, locuaz, caluroso, huraño, sencillo, expansivo, adusto, solitario, ardiente, cerrado, vergonzoso, guardado, insociable, reservado, huidizo","Comunicativo, A
Cauteloso, B
Introverso, B
Conversador, A
Extrovertido, A
Acelerado, B
Pasional, A
Esquivo, B
Retraído, B
Tratable, A
Extravertido, A
Apasionado, A
Misántropo, B
Expresivo, A
Vehemente, A
Intenso, A
Tímido, B
Abierto, A
Cauto, B
Cohibido, B
Efusivo, A
Discreto, B
Introvertido, B
Elocuente, A
Sociable, A
Corto, B
Locuaz, A
Caluroso, B
Huraño, B
Sencillo, A
Expansivo, A
Adusto, B
Solitario, B
Ardiente, A
Cerrado, B
Vergonzoso, B
Guardado, B
Insociable, B
Reservado, B
Huidizo, B
",02/07/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: cohibido, apasionado, vehemente, introvertido, elocuente, cauteloso, reservado, introverso, extrovertido, esquivo, caluroso, adusto, locuaz, vergonzoso, abierto, comunicativo, cauto, acelerado, sencillo, pasional, insociable, conversador, corto, huidizo, intenso, guardado, expresivo, cerrado, huraño, efusivo, ardiente, discreto, retraído, expansivo, extravertido, tratable, tímido, misántropo, solitario, sociable","Cohibido, B
Apasionado, B
Vehemente, B
Introvertido, B
Elocuente, B
Cauteloso, B
Reservado, B
Introverso, B
Extrovertido, A
Esquivo, B
Caluroso, A
Adusto, B
Locuaz, A
Vergonzoso, A
Abierto, A
Comunicativo, A
Cauto, B
Acelerado, A
Sencillo, A
Pasional, B
Insociable, B
Conversador, A
Corto, A
Huidizo, B
Intenso, B
Guardado, B
Expresivo, A
Cerrado, B
Huraño, B
Efusivo, A
Ardiente, B
Discreto, B
Retraído, B
Expansivo, A
Extravertido, A
Tratable, A
Tímido, A
Misántropo, B
Solitario, B
Sociable, A
",02/07/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: tratable, conversador, extrovertido, cerrado, pasional, reservado, insociable, sencillo, abierto, retraído, ardiente, caluroso, intenso, solitario, elocuente, introvertido, adusto, discreto, efusivo, expansivo, sociable, cauteloso, huidizo, huraño, vehemente, guardado, esquivo, locuaz, corto, extravertido, misántropo, expresivo, apasionado, tímido, cohibido, cauto, vergonzoso, comunicativo, acelerado, introverso","Tratable, A
Conversador, B
Extrovertido, B
Cerrado, A
Pasional, B
Reservado, A
Insociable, A
Sencillo, A
Abierto, B
Retraído, A
Ardiente, B
Caluroso, B
Intenso, B
Solitario, A
Elocuente, A
Introvertido, A
Adusto, A
Discreto, A
Efusivo, B
Expansivo, B
Sociable, B
Cauteloso, A
Huidizo, A
Huraño, A
Vehemente, B
Guardado, A
Esquivo, A
Locuaz, B
Corto, A
Extravertido, B
Misántropo, A
Expresivo, B
Apasionado, B
Tímido, A
Cohibido, A
Cauto, A
Vergonzoso, A
Comunicativo, B
Acelerado, B
Introverso, A
",02/07/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: expresivo, vergonzoso, insociable, sencillo, cerrado, introvertido, corto, abierto, comunicativo, conversador, huraño, locuaz, huidizo, retraído, ardiente, elocuente, reservado, introverso, esquivo, solitario, acelerado, caluroso, expansivo, cohibido, misántropo, apasionado, sociable, extravertido, pasional, cauteloso, tratable, cauto, vehemente, discreto, guardado, efusivo, extrovertido, intenso, tímido, adusto","Expresivo, B
Vergonzoso, A
Insociable, A
Sencillo, B
Cerrado, A
Introvertido, B
Corto, B
Abierto, A
Comunicativo, A
Conversador, A
Huraño, A
Locuaz, B
Huidizo, A
Retraído, B
Ardiente, B
Elocuente, B
Reservado, A
Introverso, B
Esquivo, A
Solitario, A
Acelerado, B
Caluroso, A
Expansivo, A
Cohibido, B
Misántropo, A
Apasionado, B
Sociable, A
Extravertido, A
Pasional, B
Cauteloso, B
Tratable, A
Cauto, B
Vehemente, B
Discreto, A
Guardado, A
Efusivo, A
Extrovertido, A
Intenso, B
Tímido, A
Adusto, B
",02/07/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: locuaz, introvertido, esquivo, pasional, conversador, cauteloso, comunicativo, sencillo, extravertido, reservado, cohibido, huraño, cauto, sociable, caluroso, apasionado, misántropo, abierto, acelerado, vergonzoso, retraído, discreto, insociable, guardado, solitario, elocuente, vehemente, expansivo, introverso, extrovertido, ardiente, intenso, huidizo, adusto, cerrado, tratable, corto, efusivo, expresivo, tímido","Locuaz, B
Introvertido, A
Esquivo, B
Pasional, A
Conversador, B
Cauteloso, A
Comunicativo, B
Sencillo, A
Extravertido, B
Reservado, A
Cohibido, A
Huraño, B
Cauto, A
Sociable, B
Caluroso, B
Apasionado, A
Misántropo, A
Abierto, B
Acelerado, B
Vergonzoso, A
Retraído, A
Discreto, A
Insociable, A
Guardado, A
Solitario, A
Elocuente, A
Vehemente, A
Expansivo, B
Introverso, A
Extrovertido, B
Ardiente, A
Intenso, A
Huidizo, B
Adusto, A
Cerrado, A
Tratable, B
Corto, B
Efusivo, B
Expresivo, B
Tímido, A
",02/07/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: discreto, adusto, intenso, sociable, cauteloso, misántropo, huraño, expresivo, introverso, cohibido, apasionado, tratable, extrovertido, conversador, corto, ardiente, vehemente, abierto, cerrado, acelerado, tímido, esquivo, elocuente, efusivo, extravertido, guardado, cauto, pasional, vergonzoso, caluroso, sencillo, insociable, introvertido, locuaz, expansivo, solitario, reservado, comunicativo, retraído, huidizo","Discreto, B
Adusto, B
Intenso, A
Sociable, A
Cauteloso, B
Misántropo, B
Huraño, B
Expresivo, A
Introverso, B
Cohibido, B
Apasionado, A
Tratable, A
Extrovertido, A
Conversador, A
Corto, B
Ardiente, A
Vehemente, A
Abierto, A
Cerrado, B
Acelerado, B
Tímido, B
Esquivo, B
Elocuente, A
Efusivo, A
Extravertido, A
Guardado, B
Cauto, B
Pasional, A
Vergonzoso, B
Caluroso, A
Sencillo, B
Insociable, B
Introvertido, B
Locuaz, A
Expansivo, A
Solitario, B
Reservado, B
Comunicativo, A
Retraído, B
Huidizo, B
",02/07/26
