sen_id,A,B,prompt,response
1,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: clinical, outgoing, clubby, extroverted, introverted, talkative, dry, asocial, jolly, remote, aloof, forthcoming, communicative, cool, lively, extraverted, boon, silent, standoffish, reserved, detached, social, cheerful, convivial, distant, jovial, sociable, clubbable, unsociable, professional, animated, antisocial, spirited, vivacious, withdrawn, shy, unsocial, timid, gregarious, offish. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","clinical B, outgoing B, clubby B, extroverted B, introverted A, talkative B, dry A, asocial A, jolly B, remote A, aloof A, forthcoming B, communicative B, cool A, lively B, extraverted B, boon B, silent A, standoffish A, reserved A, detached A, social B, cheerful B, convivial B, distant A, jovial B, sociable B, clubbable B, unsociable A, professional B, animated B, antisocial A, spirited B, vivacious B, withdrawn A, shy A, unsocial A, timid A, gregarious B, offish A"
2,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: offish, asocial, antisocial, outgoing, withdrawn, lively, jovial, clubbable, clubby, clinical, jolly, professional, talkative, cool, sociable, spirited, reserved, aloof, extroverted, vivacious, cheerful, distant, silent, social, forthcoming, extraverted, gregarious, unsocial, convivial, communicative, remote, unsociable, timid, boon, animated, standoffish, shy, detached, dry, introverted. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","offish A, asocial A, antisocial A, outgoing B, withdrawn A, lively B, jovial B, clubbable B, clubby B, clinical A, jolly B, professional B, talkative B, cool B, sociable B, spirited B, reserved A, aloof A, extroverted B, vivacious B, cheerful B, distant A, silent A, social B, forthcoming B, extraverted B, gregarious B, unsocial A, convivial B, communicative B, remote A, unsociable A, timid A, boon B, animated B, standoffish A, shy A, detached A, dry A, introverted A,"
3,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: unsocial, shy, communicative, distant, introverted, boon, detached, unsociable, forthcoming, clinical, dry, asocial, vivacious, offish, aloof, standoffish, timid, withdrawn, cheerful, remote, cool, clubby, animated, lively, sociable, silent, talkative, outgoing, social, jovial, antisocial, professional, convivial, extroverted, gregarious, reserved, extraverted, jolly, spirited, clubbable. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","unsocial B, shy B, communicative A, distant B, introverted B, boon A, detached B, unsociable B, forthcoming A, clinical B, dry B, asocial B, vivacious A, offish B, aloof B, standoffish B, timid B, withdrawn B, cheerful A, remote B, cool B, clubby A, animated A, lively A, sociable A, silent B, talkative A, outgoing A, social A, jovial A, antisocial B, professional A, convivial A, extroverted A, gregarious A, reserved B, extraverted A, jolly A, spirited A, clubbable A,"
4,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: animated, remote, introverted, communicative, forthcoming, convivial, silent, clubbable, dry, extraverted, social, extroverted, gregarious, spirited, aloof, withdrawn, unsociable, sociable, clubby, timid, offish, outgoing, talkative, clinical, jolly, professional, jovial, asocial, detached, cheerful, vivacious, standoffish, antisocial, shy, reserved, distant, lively, cool, boon, unsocial. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","animated B, remote A, introverted A, communicative B, forthcoming B, convivial B, silent A, clubbable B, dry A, extraverted B, social B, extroverted B, gregarious B, spirited B, aloof A, withdrawn A, unsociable A, sociable B, clubby B, timid A, offish A, outgoing B, talkative B, clinical A, jolly B, professional B, jovial B, asocial A, detached A, cheerful B, vivacious B, standoffish A, antisocial A, shy A, reserved A, distant A, lively B, cool A, boon B, unsocial A"
5,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cheerful, jolly, shy, lively, communicative, extroverted, forthcoming, aloof, professional, jovial, introverted, offish, social, outgoing, convivial, silent, sociable, distant, clubby, extraverted, boon, withdrawn, detached, talkative, reserved, clubbable, gregarious, remote, clinical, unsociable, dry, timid, unsocial, animated, vivacious, asocial, cool, antisocial, standoffish, spirited. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","cheerful A, jolly A, shy B, lively A, communicative A, extroverted A, forthcoming A, aloof B, professional A, jovial A, introverted B, offish B, social A, outgoing A, convivial A, silent B, sociable A, distant B, clubby A, extraverted A, boon A, withdrawn B, detached B, talkative A, reserved B, clubbable A, gregarious A, remote B, clinical B, unsociable B, dry B, timid B, unsocial B, animated A, vivacious A, asocial B, cool B, antisocial B, standoffish B, spirited A"
6,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: detached, dry, professional, introverted, asocial, lively, clinical, extroverted, withdrawn, aloof, antisocial, vivacious, social, convivial, gregarious, communicative, unsociable, animated, jolly, silent, spirited, sociable, clubby, remote, reserved, cheerful, clubbable, cool, timid, shy, unsocial, extraverted, boon, talkative, standoffish, jovial, outgoing, offish, forthcoming, distant. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","detached B, dry B, professional A, introverted B, asocial B, lively A, clinical B, extroverted A, withdrawn B, aloof B, antisocial B, vivacious A, social A, convivial A, gregarious A, communicative A, unsociable B, animated A, jolly A, silent B, spirited A, sociable A, clubby A, remote B, reserved B, cheerful A, clubbable A, cool B, timid B, shy B, unsocial B, extraverted A, boon A, talkative A, standoffish B, jovial A, outgoing A, offish B, forthcoming A, distant B,"
7,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: timid, aloof, offish, social, extroverted, convivial, asocial, communicative, unsociable, spirited, clubbable, talkative, clinical, forthcoming, jovial, silent, cool, vivacious, gregarious, sociable, professional, standoffish, clubby, withdrawn, dry, outgoing, extraverted, boon, cheerful, shy, animated, antisocial, jolly, distant, unsocial, lively, introverted, reserved, detached, remote. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","timid B, aloof B, offish B, social A, extroverted A, convivial A, asocial B, communicative A, unsociable B, spirited A, clubbable A, talkative A, clinical B, forthcoming A, jovial A, silent B, cool A, vivacious A, gregarious A, sociable A, professional A, standoffish B, clubby A, withdrawn B, dry B, outgoing A, extraverted A, boon A, cheerful A, shy B, animated A, antisocial B, jolly A, distant B, unsocial B, lively A, introverted B, reserved B, detached B, remote B"
8,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: forthcoming, clubbable, extroverted, unsocial, introverted, standoffish, reserved, detached, unsociable, lively, jovial, outgoing, talkative, clubby, distant, timid, spirited, boon, clinical, professional, cool, social, dry, extraverted, silent, vivacious, offish, remote, gregarious, antisocial, withdrawn, animated, aloof, cheerful, convivial, jolly, shy, asocial, sociable, communicative. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","forthcoming A, clubbable A, extroverted A, unsocial B, introverted B, standoffish B, reserved B, detached B, unsociable B, lively A, jovial A, outgoing A, talkative A, clubby A, distant B, timid B, spirited A, boon A, clinical B, professional B, cool B, social A, dry B, extraverted A, silent B, vivacious A, offish B, remote B, gregarious A, antisocial B, withdrawn B, animated A, aloof B, cheerful A, convivial A, jolly A, shy B, asocial B, sociable A, communicative A"
9,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: standoffish, clinical, reserved, asocial, aloof, professional, extroverted, vivacious, boon, outgoing, unsociable, gregarious, offish, convivial, antisocial, cheerful, silent, distant, spirited, remote, extraverted, jolly, lively, introverted, talkative, communicative, forthcoming, sociable, clubbable, cool, detached, clubby, dry, social, animated, withdrawn, jovial, timid, unsocial, shy. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","standoffish B, clinical B, reserved B, asocial B, aloof B, professional A, extroverted A, vivacious A, boon A, outgoing A, unsociable B, gregarious A, offish B, convivial A, antisocial B, cheerful A, silent B, distant B, spirited A, remote B, extraverted A, jolly A, lively A, introverted B, talkative A, communicative A, forthcoming A, sociable A, clubbable A, cool B, detached B, clubby A, dry B, social A, animated A, withdrawn B, jovial A, timid B, unsocial B, shy B,"
10,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: withdrawn, outgoing, extraverted, forthcoming, clubbable, clinical, unsocial, professional, introverted, convivial, clubby, gregarious, dry, asocial, extroverted, vivacious, distant, communicative, detached, shy, cool, remote, standoffish, silent, social, spirited, boon, antisocial, aloof, timid, talkative, jolly, jovial, unsociable, animated, sociable, cheerful, offish, reserved, lively. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","withdrawn B, outgoing A, extraverted A, forthcoming A, clubbable A, clinical B, unsocial B, professional A, introverted B, convivial A, clubby A, gregarious A, dry B, asocial B, extroverted A, vivacious A, distant B, communicative A, detached B, shy B, cool B, remote B, standoffish B, silent B, social A, spirited A, boon A, antisocial B, aloof B, timid B, talkative A, jolly A, jovial A, unsociable B, animated A, sociable A, cheerful A, offish B, reserved B, lively A,"
