sen_id,A,B,prompt,response,date
101,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: desabrido, desagradable, cautivador, accesible, simpático, cortés, atractivo, desfavorable, dulce, estupendo, arisco, atrayente, encantador, afable, ininteligible, adversario, magnífico, intratable, rival, agradable, enemigo, descortés, seductor, adorable, cercano, molesto, incomprensible, contrario, fascinante, dificil, hostil, cordial, arrebatador, amigable, inalcanzable, fastidioso, gentil, inaccesible, adverso, desapacible. A: La verdad no sabía que era tan cutre B: La verdad no sabía que estaba tan gacho","Desabrido, B, Desagradable, B, Cautivador, A, Accesible, A, Simpático, A, Cortés, A, Atractivo, A, Desfavorable, B, Dulce, A, Estupendo, A, Arisco, B, Atrayente, A, Encantador, A, Afable, A, Ininteligible, B, Adversario, B, Magnífico, A, Intratable, B, Rival, B, Agradable, A, Enemigo, B, Descortés, B, Seductor, A, Adorable, A, Cercano, A, Molesto, B, Incomprensible, B, Contrario, B, Fascinante, A, Difícil, B, Hostil, B, Cordial, A, Arrebatador, A, Amigable, A, Inalcanzable, B, Fastidioso, B, Gentil, A, Inaccesible, B, Adverso, B, Desapacible, B.
",02/11/26
102,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: hostil, estupendo, atractivo, cautivador, dificil, inalcanzable, cercano, adverso, amigable, incomprensible, accesible, cortés, simpático, fastidioso, agradable, arisco, adversario, encantador, molesto, dulce, desagradable, inaccesible, rival, desapacible, afable, magnífico, intratable, descortés, cordial, desfavorable, adorable, seductor, enemigo, gentil, arrebatador, fascinante, desabrido, atrayente, contrario, ininteligible. A: ¿Cual es el lugar más gacho al que te hayas metido? B: ¿Cual es el lugar más chungo al que te hayas metido?","Hostil, B.
Estupendo, A.
Atractivo, A.
Cautivador, A.
Difícil, B.
Inalcanzable, B.
Cercano, A.
Adverso, B.
Amigable, A.
Incomprensible, B.
Accesible, A.
Cortés, A.
Simpático, A.
Fastidioso, B.
Agradable, A.
Arisco, B.
Adversario, B.
Encantador, A.
Molesto, B.
Dulce, A.
Desagradable, B.
Inaccesible, B.
Rival, B.
Desapacible, B.
Afable, A.
Magnífico, A.
Intratable, B.
Descortés, B.
Cordial, A.
Desfavorable, B.
Adorable, A.
Seductor, A.
Enemigo, B.
Gentil, A.
Arrebatador, A.
Fascinante, A.
Desabrido, B.
Atrayente, A.
Contrario, B.
Ininteligible, B.",02/11/26
103,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: adorable, simpático, incomprensible, descortés, ininteligible, cercano, inaccesible, cautivador, desapacible, seductor, arrebatador, desagradable, atractivo, rival, hostil, contrario, amigable, fascinante, adverso, cortés, gentil, inalcanzable, cordial, desfavorable, enemigo, estupendo, adversario, accesible, dificil, atrayente, arisco, intratable, dulce, encantador, agradable, afable, molesto, desabrido, magnífico, fastidioso. A: ¿Qué te ha hecho cambiar de vida? B: ¿Qué te hizo cambiar de vida?","Adorable, B.
Simpático, B.
Incomprensible, A.
Descortés, A.
Ininteligible, A.
Cercano, B.
Inaccesible, A.
Cautivador, B.
Desapacible, A.
Seductor, B.
Arrebatador, B.
Desagradable, A.
Atractivo, B.
Rival, A.
Hostil, A.
Contrario, A.
Amigable, B.
Fascinante, B.
Adverso, A.
Cortés, B.
Gentil, B.
Inalcanzable, A.
Cordial, B.
Desfavorable, A.
Enemigo, A.
Estupendo, B.
Adversario, A.
Accesible, B.
Difícil, A.
Atrayente, B.
Arisco, A.
Intratable, A.
Dulce, B.
Encantador, B.
Agradable, B.
Afable, B.
Molesto, A.
Desabrido, A.
Magnífico, B.
Fastidioso, A.",02/11/26
104,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: amigable, dificil, rival, seductor, atrayente, magnífico, desagradable, desabrido, ininteligible, fastidioso, arisco, accesible, contrario, cordial, atractivo, adorable, inalcanzable, gentil, adversario, encantador, inaccesible, cercano, fascinante, arrebatador, estupendo, agradable, dulce, afable, enemigo, hostil, simpático, cautivador, incomprensible, desapacible, molesto, descortés, adverso, cortés, desfavorable, intratable. A: Era muy enojón, me enojaba muy rápido B: Era muy enfadadizo, me enfadaba muy rápido","Amigable, B
Dificil, A
Rival, A
Seductor, B
Atrayente, B
Magnífico, B
Desagradable, A
Desabrido, A
Ininteligible, A
Fastidioso, A
Arisco, A
Accesible, B
Contrario, A
Cordial, B
Atractivo, B
Adorable, B
Inalcanzable, A
Gentil, B
Adversario, A
Encantador, B
Inaccesible, A
Cercano, B
Fascinante, B
Arrebatador, B
Estupendo, B
Agradable, B
Dulce, B
Afable, B
Enemigo, A
Hostil, A
Simpático, B
Cautivador, B
Incomprensible, A
Desapacible, A
Molesto, A
Descortés, A
Adverso, A
Cortés, B
Desfavorable, A
Intratable, A",02/11/26
105,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cortés, adorable, inalcanzable, contrario, adversario, fastidioso, seductor, inaccesible, agradable, molesto, desapacible, encantador, afable, adverso, simpático, estupendo, hostil, rival, fascinante, enemigo, incomprensible, ininteligible, desfavorable, cordial, arrebatador, atractivo, desabrido, descortés, magnífico, amigable, gentil, arisco, atrayente, accesible, desagradable, cercano, dificil, cautivador, intratable, dulce. A: Ella ha sido la única persona que ha confiado en mí  B: Ella fue la única persona que confió en mí ","Cortés, A
Adorable, B
Inalcanzable, B
Contrario, A
Adversario, A
Fastidioso, B
Seductor, B
Inaccesible, B
Agradable, A
Molesto, B
Desapacible, A
Encantador, B
Afable, A
Adverso, A
Simpático, A
Estupendo, B
Hostil, A
Rival, A
Fascinante, B
Enemigo, A
Incomprensible, B
Ininteligible, B
Desfavorable, A
Cordial, A
Arrebatador, B
Atractivo, B
Desabrido, A
Descortés, B
Magnífico, B
Amigable, A
Gentil, A
Arisco, A
Atrayente, B
Accesible, A
Desagradable, B
Cercano, A
Dificil, B
Cautivador, B
Intratable, A
Dulce, B",02/11/26
106,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: estupendo, cortés, arisco, simpático, magnífico, atractivo, atrayente, incomprensible, cautivador, inaccesible, accesible, hostil, seductor, inalcanzable, arrebatador, molesto, dulce, desagradable, encantador, descortés, desfavorable, amigable, dificil, contrario, cercano, intratable, desapacible, gentil, desabrido, cordial, adverso, enemigo, fastidioso, fascinante, ininteligible, rival, adversario, agradable, adorable, afable. A: Hubo buen clima, pero ahora nos vino la ola de frío B: Hemos tenido un tiempo bastante bueno, pero ahora nos ha venido la ola de frío","Estupendo, B
Cortés, B
Arisco, A
Simpático, B
Magnífico, B
Atractivo, B
Atrayente, B
Incomprensible, A
Cautivador, B
Inaccesible, A
Accesible, B
Hostil, A
Seductor, B
Inalcanzable, A
Arrebatador, B
Molesto, A
Dulce, B
Desagradable, A
Encantador, B
Descortés, A
Desfavorable, A
Amigable, B
Difícil, A
Contrario, A
Cercano, B
Intratable, A
Desapacible, A
Gentil, B
Desabrido, A
Cordial, B
Adverso, A
Enemigo, A
Fastidioso, A
Fascinante, B
Ininteligible, A
Rival, A
Adversario, A
Agradable, B
Adorable, B
Afable, B",02/11/26
107,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: molesto, enemigo, ininteligible, desabrido, fastidioso, magnífico, incomprensible, desapacible, hostil, descortés, simpático, estupendo, adverso, adversario, contrario, cortés, dificil, inalcanzable, intratable, rival, amigable, fascinante, cercano, atractivo, encantador, dulce, atrayente, arisco, accesible, gentil, cautivador, seductor, inaccesible, desagradable, desfavorable, adorable, agradable, afable, arrebatador, cordial. A: ¿Tú recuerdas si eso también sucedía cuando tú eras pequeño?  B: ¿Te acuerdas si eso también pasaba cuando tú eras chico?","Molesto, A
Enemigo, A
Ininteligible, B
Desabrido, B
Fastidioso, A
Magnífico, B
Incomprensible, B
Desapacible, A
Hostil, A
Descortés, A
Simpático, B
Estupendo, B
Adverso, A
Adversario, A
Contrario, A
Cortés, B
Difícil, B
Inalcanzable, A
Intratable, A
Rival, A
Amigable, B
Fascinante, B
Cercano, B
Atractivo, B
Encantador, B
Dulce, B
Atrayente, B
Arisco, A
Accesible, B
Gentil, B
Cautivador, B
Seductor, B
Inaccesible, A
Desagradable, A
Desfavorable, A
Adorable, B
Agradable, B
Afable, B
Arrebatador, B
Cordial, B",02/11/26
108,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: inaccesible, arrebatador, agradable, cordial, magnífico, estupendo, desabrido, gentil, intratable, descortés, adverso, cortés, adversario, adorable, desapacible, atractivo, rival, dificil, incomprensible, afable, contrario, amigable, simpático, inalcanzable, atrayente, encantador, enemigo, desfavorable, fastidioso, ininteligible, cautivador, arisco, fascinante, desagradable, cercano, accesible, dulce, hostil, molesto, seductor. A: Cuando estabas en la escuela, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacían ustedes los días de nevada?  B: Cuando estabas en el colegio, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacíais vosotros los días de nevada? ","Inaccesible, B, Arrebatador, A, Agradable, B, Cordial, B, Magnífico, A, Estupendo, A, Desabrido, B, Gentil, B, Intratable, B, Descortés, B, Adverso, B, Cortés, B, Adversario, B, Adorable, A, Desapacible, B, Atractivo, A, Rival, B, Difícil, B, Incomprensible, B, Afable, B, Contrario, B, Amigable, B, Simpático, B, Inalcanzable, B, Atrayente, A, Encantador, A, Enemigo, B, Desfavorable, B, Fastidioso, B, Ininteligible, B, Cautivador, A, Arisco, B, Fascinante, A, Desagradable, B, Cercano, B, Accesible, A, Dulce, A, Hostil, B, Molesto, B, Seductor, A.
",02/11/26
109,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cautivador, molesto, atrayente, fastidioso, adverso, amigable, cortés, fascinante, accesible, hostil, inaccesible, atractivo, desfavorable, encantador, estupendo, ininteligible, cordial, dificil, arrebatador, rival, agradable, afable, simpático, enemigo, inalcanzable, adorable, desabrido, dulce, desapacible, cercano, desagradable, contrario, gentil, descortés, intratable, adversario, arisco, incomprensible, seductor, magnífico. A: Cogí al hermano de uno de mis amigos, que era pequeño, y lo metí en el coche B: Agarré al hermano de uno de mis amigos, que era chico, y lo metí en el carro","Cautivador, B
Molesto, B
Atrayente, B
Fastidioso, B
Adverso, A
Amigable, A
Cortés, A
Fascinante, B
Accesible, A
Hostil, A
Inaccesible, B
Atractivo, B
Desfavorable, A
Encantador, B
Estupendo, B
Ininteligible, A
Cordial, A
Difícil, A
Arrebatador, B
Rival, A
Agradable, A
Afable, A
Simpático, A
Enemigo, A
Inalcanzable, B
Adorable, B
Desabrido, A
Dulce, B
Desapacible, A
Cercano, A
Desagradable, A
Contrario, A
Gentil, A
Descortés, A
Intratable, A
Adversario, A
Arisco, A
Incomprensible, A
Seductor, B
Magnífico, B",02/11/26
110,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: magnífico, desabrido, cercano, cautivador, arisco, atractivo, enemigo, cordial, descortés, intratable, contrario, adversario, dificil, adverso, dulce, fascinante, desfavorable, incomprensible, seductor, inaccesible, simpático, desapacible, agradable, amigable, desagradable, afable, cortés, accesible, arrebatador, rival, gentil, atrayente, inalcanzable, hostil, molesto, encantador, fastidioso, adorable, estupendo, ininteligible. A: Cayó un rayo y encendió un depósito de llantas B: Ha caído un rayo y ha encendido un depósito de neumáticos","Magnífico, B
Desabrido, A
Cercano, A
Cautivador, B
Arisco, A
Atractivo, B
Enemigo, A
Cordial, B
Descortés, A
Intratable, A
Contrario, A
Adversario, A
Difícil, A
Adverso, A
Dulce, B
Fascinante, B
Desfavorable, A
Incomprensible, A
Seductor, B
Inaccesible, A
Simpático, B
Desapacible, A
Agradable, B
Amigable, B
Desagradable, A
Afable, B
Cortés, B
Accesible, B
Arrebatador, B
Rival, A
Gentil, B
Atrayente, B
Inalcanzable, A
Hostil, A
Molesto, A
Encantador, B
Fastidioso, A
Adorable, B
Estupendo, B
Ininteligible, A
",02/11/26
