sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: decidido, indeterminado, reflexivo, indeciso, ponderado, imperturbable, confiado, perplejo, impreciso, variable, inconstante, aplomado, tranquilo, audaz, incierto, inseguro, confuso, borroso, titubeante, vacilante, variante, circunspecto, inestable, vago, emprendedor, resuelto, irresoluto, seguro, movedizo, atrevido, grave, cambiante, valiente, mesurado, prudente, mudable, enérgico, sereno, dubitativo, lanzado. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","decidido, B  
indeterminado, A  
reflexivo, B  
indeciso, A  
ponderado, B  
imperturbable, B  
confiado, A  
perplejo, B  
impreciso, A  
variable, A  
inconstante, A  
apломado, B  
tranquilo, B  
audaz, A  
incierto, A  
inseguro, A  
confuso, A  
borroso, A  
titubeante, A  
vacilante, A  
variante, A  
circunspecto, B  
inestable, A  
vago, A  
emprendedor, A  
resuelto, B  
irresoluto, A  
seguro, A  
movedizo, A  
atrevido, A  
grave, B  
cambiante, A  
valiente, A  
mesurado, B  
prudente, B  
mudable, A  
enérgico, A  
sereno, B  
dubitativo, A  
lanzado, A",01/25/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: indeciso, incierto, sereno, lanzado, confuso, confiado, vacilante, variante, emprendedor, borroso, tranquilo, resuelto, inseguro, decidido, enérgico, ponderado, irresoluto, mesurado, reflexivo, cambiante, prudente, titubeante, dubitativo, variable, aplomado, grave, inconstante, mudable, seguro, audaz, imperturbable, circunspecto, valiente, indeterminado, perplejo, movedizo, atrevido, vago, impreciso, inestable. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","indeciso, A  
incierto, B  
sereno, B  
lanzado, A  
confuso, B  
confiado, A  
vacilante, A  
variante, B  
emprendedor, A  
borroso, B  
tranquilo, B  
resuelto, A  
inseguro, B  
decidido, A  
enérgico, A  
ponderado, B  
irresoluto, A  
mesurado, B  
reflexivo, B  
cambiante, B  
prudente, B  
titubeante, A  
dubitativo, B  
variable, B  
apломado, A  
grave, B  
inconstante, B  
mudable, B  
seguro, A  
audaz, A  
imperturbable, B  
circunspecto, B  
valiente, A  
indeterminado, B  
perplejo, B  
movedizo, B  
atrevido, A  
vago, B  
impreciso, B  
inestable, B",01/25/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: incierto, decidido, lanzado, circunspecto, inestable, mudable, sereno, tranquilo, variable, movedizo, irresoluto, reflexivo, imperturbable, impreciso, seguro, indeciso, audaz, resuelto, ponderado, dubitativo, cambiante, borroso, perplejo, mesurado, enérgico, indeterminado, confiado, aplomado, emprendedor, valiente, prudente, confuso, titubeante, inseguro, vago, variante, atrevido, grave, vacilante, inconstante. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","incierto, B  
decidido, A  
lanzado, A  
circunspecto, B  
inestable, B  
mudable, A  
sereno, A  
tranquilo, B  
variable, A  
movedizo, B  
irresoluto, B  
reflexivo, A  
imperturbable, A  
impreciso, B  
seguro, A  
indeciso, B  
audaz, A  
resuelto, A  
ponderado, B  
dubitativo, B  
cambiante, A  
borroso, B  
perplejo, B  
mesurado, A  
énérgico, A  
indeterminado, B  
confiado, A  
apломado, B  
emprendedor, A  
valiente, A  
prudente, B  
confuso, B  
titubeante, B  
inseguro, B  
vago, B  
variante, A  
atrevido, A  
grave, B  
vacilante, B  
inconstante, B",01/25/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: mesurado, perplejo, confiado, inseguro, variante, aplomado, vago, atrevido, emprendedor, imperturbable, sereno, vacilante, decidido, audaz, valiente, irresoluto, indeterminado, incierto, movedizo, ponderado, resuelto, indeciso, mudable, reflexivo, dubitativo, titubeante, inconstante, inestable, enérgico, circunspecto, grave, variable, lanzado, prudente, borroso, impreciso, confuso, tranquilo, seguro, cambiante. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","mesurado, B  
perplejo, A  
confiado, B  
inseguro, A  
variante, B  
apломado, A  
vago, B  
atrevido, B  
emprendedor, B  
imperturbable, A  
sereno, A  
vacilante, A  
decidido, B  
audaz, B  
valiente, B  
irresoluto, A  
indeterminado, A  
incierto, A  
movedizo, B  
ponderado, A  
resuelto, B  
indeciso, A  
mudable, B  
reflexivo, A  
dubitativo, A  
titubeante, A  
inconstante, B  
inestable, A  
enérgico, B  
circunspecto, A  
grave, A  
variable, B  
lanzado, B  
prudente, A  
borroso, A  
impreciso, A  
confuso, A  
tranquilo, A  
seguro, B  
cambiante, B",01/25/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: indeterminado, decidido, circunspecto, valiente, inestable, grave, reflexivo, movedizo, sereno, dubitativo, variable, imperturbable, emprendedor, aplomado, confiado, tranquilo, irresoluto, perplejo, vacilante, cambiante, impreciso, titubeante, resuelto, inconstante, atrevido, borroso, prudente, enérgico, seguro, indeciso, inseguro, lanzado, variante, audaz, mudable, confuso, ponderado, incierto, mesurado, vago. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","indeterminado, B  
decidido, A  
circunspecto, B  
valiente, A  
inestable, B  
grave, A  
reflexivo, B  
movedizo, B  
sereno, A  
dubitativo, B  
variable, B  
imperturbable, A  
emprendedor, A  
aplomado, A  
confiado, A  
tranquilo, A  
irresoluto, B  
perplejo, B  
vacilante, B  
cambiante, B  
impreciso, B  
titubeante, B  
resuelto, A  
inconstante, B  
atrevido, A  
borroso, B  
prudente, B  
enérgico, A  
seguro, A  
indeciso, B  
inseguro, B  
lanzado, A  
variante, B  
audaz, A  
mudable, B  
confuso, B  
ponderado, B  
incierto, B  
mesurado, B  
vago, B",01/25/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: indeciso, indeterminado, aplomado, prudente, movedizo, imperturbable, cambiante, emprendedor, inestable, sereno, inconstante, lanzado, borroso, circunspecto, enérgico, irresoluto, impreciso, variable, vago, resuelto, confiado, seguro, valiente, decidido, inseguro, titubeante, mudable, confuso, perplejo, variante, dubitativo, ponderado, grave, tranquilo, mesurado, atrevido, reflexivo, audaz, incierto, vacilante. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","indeciso, B  
indeterminado, A  
apломado, B  
prudente, A  
movedizo, B  
imperturbable, A  
cambiante, B  
emprendedor, A  
inestable, B  
sereno, A  
inconstante, B  
lanzado, A  
borroso, B  
circunspecto, A  
enérgico, B  
irresoluto, A  
impreciso, B  
variable, A  
vago, B  
resuelto, A  
confiado, B  
seguro, A  
valiente, B  
decidido, A  
inseguro, B  
titubeante, A  
mudable, B  
confuso, A  
perplejo, B  
variante, A  
dubitativo, B  
ponderado, A  
grave, B  
tranquilo, A  
mesurado, B  
atrevido, A  
reflexivo, B  
audaz, A  
incierto, B  
vacilante, A",01/25/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: indeciso, valiente, cambiante, circunspecto, enérgico, ponderado, vacilante, movedizo, reflexivo, mudable, perplejo, variante, variable, atrevido, incierto, audaz, emprendedor, borroso, confuso, decidido, resuelto, titubeante, aplomado, inseguro, grave, impreciso, dubitativo, imperturbable, indeterminado, seguro, confiado, tranquilo, irresoluto, vago, inestable, inconstante, sereno, lanzado, mesurado, prudente. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","indeciso, B  
valiente, A  
cambiante, B  
circunspecto, A  
enérgico, A  
ponderado, B  
vacilante, B  
movedizo, A  
reflexivo, A  
mudable, B  
perplejo, B  
variante, A  
variable, A  
atrevido, A  
incierto, B  
audaz, A  
emprendedor, A  
borroso, B  
confuso, B  
decidido, A  
resuelto, A  
titubeante, B  
apломado, A  
inseguro, B  
grave, A  
impreciso, B  
dubitativo, B  
imperturbable, A  
indeterminado, B  
seguro, A  
confiado, A  
tranquilo, A  
irresoluto, B  
vago, B  
inestable, B  
inconstante, B  
sereno, A  
lanzado, A  
mesurado, B  
prudente, A",01/25/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: ponderado, indeterminado, decidido, impreciso, titubeante, sereno, dubitativo, mudable, variante, emprendedor, lanzado, circunspecto, grave, irresoluto, mesurado, aplomado, audaz, inestable, inconstante, inseguro, reflexivo, confuso, cambiante, perplejo, enérgico, atrevido, valiente, confiado, variable, borroso, vacilante, tranquilo, imperturbable, vago, indeciso, prudente, seguro, movedizo, resuelto, incierto. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","ponderado, B  
indeterminado, A  
decidido, B  
impreciso, A  
titubeante, A  
sereno, B  
dubitativo, A  
mudable, A  
variante, A  
emprendedor, B  
lanzado, B  
circunspecto, A  
grave, B  
irresoluto, A  
mesurado, B  
apломado, B  
audaz, B  
inestable, A  
inconstante, A  
inseguro, A  
reflexivo, A  
confuso, A  
cambiante, A  
perplejo, A  
énérgico, B  
atrevido, B  
valiente, B  
confiado, B  
variable, A  
borroso, A  
vacilante, A  
tranquilo, B  
imperturbable, B  
vago, A  
indeciso, A  
prudente, B  
seguro, B  
movedizo, A  
resuelto, B  
incierto, A",01/25/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: emprendedor, mudable, atrevido, enérgico, ponderado, incierto, inseguro, cambiante, mesurado, imperturbable, titubeante, seguro, vacilante, dubitativo, valiente, perplejo, circunspecto, tranquilo, variante, vago, confuso, grave, prudente, irresoluto, aplomado, impreciso, movedizo, lanzado, indeciso, sereno, inestable, indeterminado, inconstante, confiado, variable, decidido, audaz, reflexivo, resuelto, borroso. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","emprendedor, B  
mudable, B  
atrevido, B  
enérgico, B  
ponderado, A  
incierto, A  
inseguro, A  
cambiante, B  
mesurado, A  
imperturbable, A  
titubeante, A  
seguro, A  
vacilante, A  
dubitativo, A  
valiente, B  
perplejo, A  
circunspecto, A  
tranquilo, A  
variante, B  
vago, B  
confuso, A  
grave, A  
prudente, A  
irresoluto, A  
apломado, A  
impreciso, A  
movedizo, B  
lanzado, B  
indeciso, A  
sereno, A  
inestable, B  
indeterminado, A  
inconstante, B  
confiado, A  
variable, B  
decidido, A  
audaz, B  
reflexivo, A  
resuelto, A  
borroso, A",01/25/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: circunspecto, tranquilo, indeciso, inseguro, lanzado, titubeante, vago, resuelto, enérgico, inconstante, incierto, movedizo, grave, prudente, imperturbable, ponderado, mesurado, mudable, audaz, vacilante, confuso, valiente, borroso, decidido, perplejo, inestable, reflexivo, seguro, indeterminado, cambiante, irresoluto, emprendedor, aplomado, impreciso, dubitativo, confiado, variable, variante, sereno, atrevido. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","circunspecto, B  
tranquilo, B  
indeciso, A  
inseguro, A  
lanzado, B  
titubeante, A  
vago, A  
resuelto, B  
enérgico, B  
inconstante, A  
incierto, A  
movedizo, A  
grave, B  
prudente, A  
imperturbable, B  
ponderado, A  
mesurado, A  
mudable, A  
audaz, B  
vacilante, A  
confuso, A  
valiente, B  
borroso, A  
decidido, B  
perplejo, A  
inestable, A  
reflexivo, A  
seguro, B  
indeterminado, A  
cambiante, A  
irresoluto, A  
emprendedor, B  
apломado, B  
impreciso, A  
dubitativo, A  
confiado, B  
variable, A  
variante, A  
sereno, B  
atrevido, B",01/25/26
