sen_id,A,B,prompt,response,date
51,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: icy, collegial, warm, uncaring, hospitable, friendly, cordial, heartless, sweet, brittle, uncordial, nice, amicable, cold, hard-eyed, genial, glacial, gelid, chilly, arctic, uninterested, loving, chummy, coldish, approachable, neighborly, merry, pitiless, companionable, hearty, frigid, gracious, warmhearted, comradely, unsympathetic, unfriendly, affectionate, unresponsive, antiseptic, cold-blooded. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","icy, B,  
collegial, B,  
warm, B,  
uncaring, B,  
hospitable, B,  
friendly, B,  
cordial, B,  
heartless, B,  
sweet, B,  
brittle, B,  
uncordial, B,  
nice, B,  
amicable, B,  
cold, B,  
hard-eyed, B,  
genial, B,  
glacial, B,  
gelid, B,  
chilly, B,  
arctic, B,  
uninterested, B,  
loving, B,  
chummy, B,  
coldish, B,  
approachable, B,  
neighborly, B,  
merry, B,  
pitiless, B,  
companionable, B,  
hearty, B,  
frigid, B,  
gracious, B,  
warmhearted, B,  
comradely, B,  
unsympathetic, B,  
unfriendly, B,  
affectionate, B,  
unresponsive, B,  
antiseptic, B,  
cold-blooded, B.",02/10/26
52,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: friendly, affectionate, frigid, brittle, merry, warm, chilly, sweet, unsympathetic, comradely, antiseptic, cold, glacial, hard-eyed, unfriendly, hospitable, uninterested, genial, gracious, chummy, gelid, amicable, companionable, arctic, icy, collegial, pitiless, heartless, cold-blooded, unresponsive, approachable, uncordial, cordial, coldish, uncaring, nice, loving, warmhearted, hearty, neighborly. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","friendly, B  
affectionate, B  
frigid, A  
brittle, A  
merry, B  
warm, B  
chilly, A  
sweet, B  
unsympathetic, A  
comradely, B  
antiseptic, A  
cold, A  
glacial, A  
hard-eyed, A  
unfriendly, A  
hospitable, B  
uninterested, A  
genial, B  
gracious, B  
chummy, B  
gelid, A  
amicable, B  
companionable, B  
arctic, A  
icy, A  
collegial, B  
pitiless, A  
heartless, A  
cold-blooded, A  
unresponsive, A  
approachable, B  
uncordial, A  
cordial, B  
coldish, A  
uncaring, A  
nice, B  
loving, B  
warmhearted, B  
hearty, B  
neighborly, B",02/10/26
53,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: hearty, warmhearted, coldish, cold-blooded, heartless, approachable, neighborly, merry, glacial, icy, collegial, sweet, chilly, unresponsive, arctic, warm, hospitable, friendly, nice, chummy, unsympathetic, antiseptic, hard-eyed, pitiless, companionable, cold, cordial, frigid, affectionate, gracious, uncordial, amicable, uninterested, loving, genial, gelid, comradely, brittle, unfriendly, uncaring. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","hearty, B  
warmhearted, B  
coldish, A  
cold-blooded, A  
heartless, A  
approachable, B  
neighborly, B  
merry, B  
glacial, A  
icy, A  
collegial, B  
sweet, B  
chilly, A  
unresponsive, A  
arctic, A  
warm, B  
hospitable, B  
friendly, B  
nice, B  
chummy, B  
unsympathetic, A  
antiseptic, A  
hard-eyed, A  
pitiless, A  
companionable, B  
cold, A  
cordial, B  
frigid, A  
affectionate, B  
gracious, B  
uncordial, A  
amicable, B  
uninterested, A  
loving, B  
genial, B  
gelid, A  
comradely, B  
brittle, A  
unfriendly, A  
uncaring, A",02/10/26
54,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: genial, chilly, unresponsive, hard-eyed, coldish, antiseptic, amicable, pitiless, warmhearted, merry, hospitable, frigid, comradely, affectionate, cold, chummy, neighborly, brittle, nice, unsympathetic, friendly, gracious, warm, companionable, uncaring, uninterested, hearty, unfriendly, uncordial, approachable, collegial, cold-blooded, glacial, arctic, icy, sweet, heartless, loving, gelid, cordial. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","genial, B  
chilly, A  
unresponsive, B  
hard-eyed, A  
coldish, B  
antiseptic, A  
amicable, B  
pitiless, A  
warmhearted, B  
merry, A  
hospitable, B  
frigid, A  
comradely, B  
affectionate, B  
cold, A  
chummy, B  
neighborly, B  
brittle, A  
nice, B  
unsympathetic, A  
friendly, B  
gracious, B  
warm, B  
companionable, B  
uncaring, A  
uninterested, A  
hearty, B  
unfriendly, A  
uncordial, A  
approachable, B  
collegial, B  
cold-blooded, A  
glacial, A  
arctic, A  
icy, A  
sweet, B  
heartless, A  
loving, B  
gelid, A  
cordial, B",02/10/26
55,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: cold, affectionate, hospitable, loving, arctic, pitiless, chummy, chilly, uninterested, unresponsive, amicable, antiseptic, warm, cold-blooded, approachable, friendly, warmhearted, hearty, collegial, cordial, gelid, gracious, frigid, neighborly, comradely, uncordial, companionable, coldish, sweet, icy, uncaring, genial, unsympathetic, hard-eyed, brittle, heartless, merry, unfriendly, nice, glacial. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","cold, B  
affectionate, A  
hospitable, A  
loving, A  
arctic, B  
pitiless, B  
chummy, A  
chilly, B  
uninterested, B  
unresponsive, B  
amicable, A  
antiseptic, B  
warm, A  
cold-blooded, B  
approachable, A  
friendly, A  
warmhearted, A  
hearty, A  
collegial, A  
cordial, A  
gelid, B  
gracious, A  
frigid, B  
neighborly, A  
comradely, A  
uncordial, B  
companionable, A  
coldish, B  
sweet, A  
icy, B  
uncaring, B  
genial, A  
unsympathetic, B  
hard-eyed, B  
brittle, B  
heartless, B  
merry, A  
unfriendly, B  
nice, A  
glacial, B",02/10/26
56,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: uncaring, warm, glacial, cordial, arctic, nice, unresponsive, approachable, antiseptic, icy, amicable, gelid, comradely, coldish, warmhearted, cold, hearty, chummy, hospitable, unsympathetic, unfriendly, heartless, neighborly, frigid, uncordial, collegial, loving, cold-blooded, genial, friendly, hard-eyed, gracious, merry, uninterested, chilly, brittle, sweet, companionable, affectionate, pitiless. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","uncaring, B  
warm, A  
glacial, B  
cordial, A  
arctic, B  
nice, A  
unresponsive, B  
approachable, A  
antiseptic, B  
icy, B  
amicable, A  
gelid, B  
comradely, A  
coldish, B  
warmhearted, A  
cold, B  
hearty, A  
chummy, A  
hospitable, A  
unsympathetic, B  
unfriendly, B  
heartless, B  
neighborly, A  
frigid, B  
uncordial, B  
collegial, A  
loving, A  
cold-blooded, B  
genial, A  
friendly, A  
hard-eyed, B  
gracious, A  
merry, A  
uninterested, B  
chilly, B  
brittle, B  
sweet, A  
companionable, A  
affectionate, A  
pitiless, B",02/10/26
57,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: frigid, merry, brittle, unfriendly, companionable, cordial, neighborly, icy, comradely, sweet, antiseptic, approachable, glacial, warm, uninterested, nice, unresponsive, chilly, hearty, gelid, cold-blooded, loving, uncordial, collegial, affectionate, uncaring, amicable, arctic, chummy, hard-eyed, unsympathetic, gracious, heartless, hospitable, pitiless, genial, cold, coldish, warmhearted, friendly. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","frigid, B,  
merry, A,  
brittle, B,  
unfriendly, B,  
companionable, A,  
cordial, A,  
neighborly, A,  
icy, B,  
comradely, A,  
sweet, A,  
antiseptic, B,  
approachable, A,  
glacial, B,  
warm, A,  
uninterested, B,  
nice, A,  
unresponsive, B,  
chilly, B,  
hearty, A,  
gelid, B,  
cold-blooded, B,  
loving, A,  
uncordial, B,  
collegial, A,  
affectionate, A,  
uncaring, B,  
amicable, A,  
arctic, B,  
chummy, A,  
hard-eyed, B,  
unsympathetic, B,  
gracious, A,  
heartless, B,  
hospitable, A,  
pitiless, B,  
genial, A,  
cold, B,  
coldish, B,  
warmhearted, A,  
friendly, A.",02/10/26
58,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: gelid, uncordial, cold, sweet, friendly, unsympathetic, heartless, pitiless, warm, hard-eyed, unresponsive, chummy, chilly, genial, icy, warmhearted, cordial, unfriendly, frigid, collegial, glacial, comradely, merry, arctic, approachable, uncaring, gracious, loving, uninterested, coldish, affectionate, hearty, nice, neighborly, companionable, amicable, cold-blooded, brittle, antiseptic, hospitable. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","gelid, B  
uncordial, A  
cold, A  
sweet, B  
friendly, B  
unsympathetic, A  
heartless, A  
pitiless, A  
warm, B  
hard-eyed, A  
unresponsive, A  
chummy, B  
chilly, A  
genial, B  
icy, A  
warmhearted, B  
cordial, B  
unfriendly, A  
frigid, A  
collegial, B  
glacial, A  
comradely, B  
merry, B  
arctic, A  
approachable, B  
uncaring, A  
gracious, B  
loving, B  
uninterested, A  
coldish, A  
affectionate, B  
hearty, B  
nice, B  
neighborly, B  
companionable, B  
amicable, B  
cold-blooded, A  
brittle, A  
antiseptic, A  
hospitable, B",02/10/26
59,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: loving, hospitable, uninterested, hard-eyed, amicable, approachable, friendly, coldish, cold, unresponsive, affectionate, pitiless, comradely, uncaring, hearty, sweet, merry, gracious, heartless, unfriendly, unsympathetic, chilly, uncordial, brittle, arctic, companionable, cold-blooded, cordial, frigid, gelid, glacial, genial, nice, warmhearted, antiseptic, collegial, chummy, icy, warm, neighborly. A: Menos mal que no lo he visto B: Menos mal que no lo ví","loving, B  
hospitable, B  
uninterested, A  
hard-eyed, A  
amicable, B  
approachable, B  
friendly, B  
coldish, A  
cold, A  
unresponsive, A  
affectionate, B  
pitiless, A  
comradely, B  
uncaring, A  
hearty, B  
sweet, B  
merry, B  
gracious, B  
heartless, A  
unfriendly, A  
unsympathetic, A  
chilly, A  
uncordial, A  
brittle, A  
arctic, A  
companionable, B  
cold-blooded, A  
cordial, B  
frigid, A  
gelid, A  
glacial, A  
genial, B  
nice, B  
warmhearted, B  
antiseptic, A  
collegial, B  
chummy, B  
icy, A  
warm, B  
neighborly, B",02/10/26
60,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: nice, frigid, unsympathetic, warm, glacial, merry, approachable, arctic, friendly, cold, neighborly, uninterested, antiseptic, pitiless, uncaring, chummy, uncordial, coldish, affectionate, gelid, comradely, heartless, hearty, cold-blooded, gracious, loving, amicable, sweet, unfriendly, hard-eyed, unresponsive, brittle, chilly, cordial, hospitable, companionable, collegial, warmhearted, icy, genial. A: Sí, fuí yo B:  Sí, he sido yo","nice, B  
frigid, B  
unsympathetic, B  
warm, B  
glacial, B  
merry, B  
approachable, B  
arctic, B  
friendly, B  
cold, B  
neighborly, B  
uninterested, B  
antiseptic, B  
pitiless, B  
uncaring, B  
chummy, B  
uncordial, B  
coldish, B  
affectionate, B  
gelid, B  
comradely, B  
heartless, B  
hearty, B  
cold-blooded, B  
gracious, B  
loving, B  
amicable, B  
sweet, B  
unfriendly, B  
hard-eyed, B  
unresponsive, B  
brittle, B  
chilly, B  
cordial, B  
hospitable, B  
companionable, B  
collegial, B  
warmhearted, B  
icy, B  
genial, B",02/10/26
61,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: friendly, uncaring, unsympathetic, glacial, hospitable, arctic, heartless, affectionate, loving, unresponsive, neighborly, cordial, antiseptic, brittle, chilly, chummy, companionable, warm, icy, hearty, cold-blooded, cold, amicable, gracious, uncordial, coldish, collegial, nice, gelid, unfriendly, frigid, sweet, merry, warmhearted, comradely, pitiless, uninterested, hard-eyed, genial, approachable. A: Me paso muchas horas con el ordenador B: Me paso muchas horas con la computadora","friendly, B,  
uncaring, B,  
unsympathetic, B,  
glacial, B,  
hospitable, B,  
arctic, B,  
heartless, B,  
affectionate, B,  
loving, B,  
unresponsive, B,  
neighborly, B,  
cordial, B,  
antiseptic, B,  
brittle, B,  
chilly, B,  
chummy, B,  
companionable, B,  
warm, B,  
icy, B,  
hearty, B,  
cold-blooded, B,  
cold, B,  
amicable, B,  
gracious, B,  
uncordial, B,  
coldish, B,  
collegial, B,  
nice, B,  
gelid, B,  
unfriendly, B,  
frigid, B,  
sweet, B,  
merry, B,  
warmhearted, B,  
comradely, B,  
pitiless, B,  
uninterested, B,  
hard-eyed, B,  
genial, B,  
approachable, B.",02/10/26
62,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: approachable, sweet, heartless, uncaring, hospitable, gracious, unresponsive, comradely, collegial, unfriendly, friendly, hard-eyed, amicable, companionable, icy, chummy, gelid, uninterested, merry, hearty, warmhearted, brittle, warm, arctic, unsympathetic, cordial, neighborly, nice, genial, glacial, cold, chilly, affectionate, cold-blooded, frigid, coldish, antiseptic, loving, pitiless, uncordial. A: Vienen muchos chamacos jóvenes B: Vienen muchos críos jóvenes","approachable, B  
sweet, B  
heartless, B  
uncaring, B  
hospitable, A  
gracious, A  
unresponsive, B  
comradely, A  
collegial, A  
unfriendly, B  
friendly, A  
hard-eyed, B  
amicable, A  
companionable, A  
icy, B  
chummy, A  
gelid, B  
uninterested, B  
merry, A  
hearty, A  
warmhearted, A  
brittle, B  
warm, A  
arctic, B  
unsympathetic, B  
cordial, A  
neighborly, A  
nice, A  
genial, A  
glacial, B  
cold, B  
chilly, B  
affectionate, A  
cold-blooded, B  
frigid, B  
coldish, B  
antiseptic, B  
loving, A  
pitiless, B  
uncordial, B",02/10/26
