sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: prudente, imperturbable, indeterminado, perplejo, lanzado, audaz, movedizo, indeciso, decidido, tranquilo, borroso, titubeante, valiente, dubitativo, reflexivo, mesurado, enérgico, aplomado, inseguro, confiado, cambiante, incierto, inestable, variable, irresoluto, variante, vacilante, mudable, sereno, circunspecto, confuso, seguro, atrevido, resuelto, ponderado, emprendedor, grave, impreciso, inconstante, vago","prudente, A  
imperturbable, A  
indeterminado, B  
perplejo, B  
lanzado, B  
audaz, A  
movedizo, B  
indeciso, B  
decidido, A  
tranquilo, A  
borroso, B  
titubeante, B  
valiente, A  
dubitativo, B  
reflexivo, A  
mesurado, A  
enérgico, A  
apломado, A  
inseguro, B  
confiado, A  
cambiante, B  
incierto, B  
inestable, B  
variable, B  
irresoluto, B  
variante, B  
vacilante, B  
mudable, B  
sereno, A  
circunspecto, A  
confuso, B  
seguro, A  
atrevido, A  
resuelto, A  
ponderado, A  
emprendedor, A  
grave, A  
impreciso, B  
inconstante, B  
vago, B",02/07/26
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: confuso, indeciso, seguro, prudente, ponderado, impreciso, grave, vago, reflexivo, movedizo, inestable, inseguro, resuelto, borroso, cambiante, incierto, variable, irresoluto, lanzado, indeterminado, confiado, aplomado, sereno, atrevido, audaz, titubeante, circunspecto, inconstante, variante, emprendedor, decidido, perplejo, vacilante, dubitativo, mesurado, tranquilo, imperturbable, mudable, enérgico, valiente","confuso, B  
indeciso, B  
seguro, A  
prudente, B  
ponderado, B  
impreciso, B  
grave, A  
vago, A  
reflexivo, B  
movedizo, A  
inestable, A  
inseguro, A  
resuelto, A  
borroso, B  
cambiante, A  
incierto, B  
variable, B  
irresoluto, B  
lanzado, A  
indeterminado, B  
confiado, A  
apломado, A  
sereno, B  
atrevido, A  
audaz, A  
titubeante, B  
circunspecto, B  
inconstante, A  
variante, B  
emprendedor, A  
decidido, A  
perplejo, B  
vacilante, B  
dubitativo, B  
mesurado, B  
tranquilo, B  
imperturbable, B  
mudable, A  
énérgico, A  
valiente, A",02/07/26
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: sereno, enérgico, irresoluto, incierto, atrevido, circunspecto, variable, resuelto, confiado, seguro, inseguro, borroso, emprendedor, inconstante, reflexivo, ponderado, dubitativo, decidido, indeciso, aplomado, imperturbable, mesurado, grave, inestable, titubeante, indeterminado, vacilante, confuso, movedizo, perplejo, audaz, impreciso, mudable, vago, valiente, lanzado, tranquilo, variante, prudente, cambiante","sereno, B  
énérgico, A  
irresoluto, B  
incierto, B  
atrevido, A  
circunspecto, A  
variable, B  
resuelto, A  
confiado, A  
seguro, A  
inseguro, B  
borroso, B  
emprendedor, A  
inconstante, B  
reflexivo, A  
ponderado, A  
dubitativo, B  
decidido, A  
indeciso, B  
apломado, A  
imperturbable, A  
mesurado, A  
grave, A  
inestable, B  
titubeante, B  
indeterminado, B  
vacilante, B  
confuso, B  
movedizo, B  
perplejo, B  
audaz, A  
impreciso, B  
mudable, B  
vago, B  
valiente, A  
lanzado, A  
tranquilo, A  
variante, B  
prudente, A  
cambiante, B",02/07/26
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: dubitativo, cambiante, valiente, incierto, circunspecto, resuelto, variable, ponderado, inestable, inseguro, seguro, mudable, borroso, perplejo, imperturbable, indeciso, atrevido, titubeante, vacilante, aplomado, mesurado, vago, emprendedor, reflexivo, inconstante, variante, lanzado, enérgico, grave, irresoluto, movedizo, impreciso, confiado, confuso, prudente, indeterminado, audaz, tranquilo, sereno, decidido","dubitativo, B  
cambiante, B  
valiente, A  
incierto, B  
circunspecto, A  
resuelto, A  
variable, B  
ponderado, A  
inestable, B  
inseguro, A  
seguro, A  
mudable, B  
borroso, B  
perplejo, B  
imperturbable, A  
indeciso, A  
atrevido, A  
titubeante, A  
vacilante, A  
apломado, A  
mesurado, A  
vago, B  
emprendedor, A  
reflexivo, A  
inconstante, B  
variante, B  
lanzado, A  
enérgico, A  
grave, A  
irresoluto, A  
movedizo, B  
impreciso, B  
confiado, A  
confuso, B  
prudente, A  
indeterminado, B  
audaz, A  
tranquilo, A  
sereno, A  
decidido, A",02/07/26
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: audaz, indeciso, sereno, decidido, ponderado, circunspecto, variante, seguro, indeterminado, inseguro, prudente, variable, emprendedor, aplomado, incierto, atrevido, vacilante, cambiante, impreciso, inestable, confiado, movedizo, reflexivo, confuso, valiente, enérgico, grave, inconstante, resuelto, borroso, mudable, imperturbable, vago, dubitativo, lanzado, mesurado, irresoluto, titubeante, tranquilo, perplejo","audaz, A  
indeciso, B  
sereno, A  
decidido, A  
ponderado, B  
circunspecto, A  
variante, B  
seguro, A  
indeterminado, B  
inseguro, B  
prudente, A  
variable, B  
emprendedor, A  
apломado, A  
incierto, B  
atrevido, A  
vacilante, B  
cambiante, B  
impreciso, B  
inestable, B  
confiado, A  
movedizo, B  
reflexivo, A  
confuso, B  
valiente, A  
énérgico, A  
grave, A  
inconstante, B  
resuelto, A  
borroso, B  
mudable, B  
imperturbable, A  
vago, B  
dubitativo, B  
lanzado, A  
mesurado, A  
irresoluto, B  
titubeante, B  
tranquilo, A  
perplejo, B",02/07/26
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: confuso, titubeante, variante, incierto, atrevido, mudable, sereno, valiente, enérgico, grave, inestable, aplomado, perplejo, vacilante, cambiante, emprendedor, impreciso, mesurado, inconstante, variable, movedizo, lanzado, vago, audaz, circunspecto, decidido, indeterminado, resuelto, tranquilo, indeciso, reflexivo, confiado, borroso, irresoluto, prudente, ponderado, seguro, dubitativo, inseguro, imperturbable","confuso, B  
titubeante, B  
variante, B  
incierto, B  
atrevido, A  
mudable, B  
sereno, B  
valiente, A  
enérgico, A  
grave, B  
inestable, B  
apломado, A  
perplejo, B  
vacilante, B  
cambiante, B  
emprendedor, A  
impreciso, B  
mesurado, B  
inconstante, B  
variable, B  
movedizo, B  
lanzado, A  
vago, B  
audaz, A  
circunspecto, B  
decidido, A  
indeterminado, B  
resuelto, A  
tranquilo, B  
indeciso, B  
reflexivo, B  
confiado, A  
borroso, B  
irresoluto, B  
prudente, B  
ponderado, B  
seguro, A  
dubitativo, B  
inseguro, B  
imperturbable, A",02/07/26
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: circunspecto, prudente, mesurado, borroso, aplomado, variante, lanzado, decidido, titubeante, seguro, resuelto, reflexivo, impreciso, sereno, variable, dubitativo, ponderado, mudable, irresoluto, confuso, tranquilo, enérgico, grave, vacilante, emprendedor, perplejo, incierto, indeciso, imperturbable, confiado, audaz, movedizo, valiente, vago, atrevido, inestable, inconstante, cambiante, inseguro, indeterminado","circunspecto, B  
prudente, A  
mesurado, A  
borroso, B  
apломado, B  
variante, B  
lanzado, B  
decidido, A  
titubeante, B  
seguro, A  
resuelto, A  
reflexivo, A  
impreciso, B  
sereno, A  
variable, B  
dubitativo, B  
ponderado, A  
mudable, B  
irresoluto, B  
confuso, B  
tranquilo, A  
enérgico, B  
grave, A  
vacilante, B  
emprendedor, B  
perplejo, B  
incierto, B  
indeciso, B  
imperturbable, A  
confiado, A  
atrevido, B  
movedizo, B  
valiente, A  
vago, B  
atrevido, B  
inestable, B  
inconstante, B  
cambiante, B  
inseguro, B  
indeterminado, B",02/07/26
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: inestable, titubeante, sereno, grave, indeciso, prudente, borroso, irresoluto, aplomado, ponderado, seguro, lanzado, confuso, variante, mesurado, decidido, valiente, perplejo, vacilante, tranquilo, vago, atrevido, indeterminado, variable, confiado, mudable, movedizo, impreciso, inconstante, cambiante, audaz, dubitativo, inseguro, circunspecto, emprendedor, enérgico, imperturbable, incierto, resuelto, reflexivo","inestable, B  
titubeante, A  
sereno, B  
grave, B  
indeciso, A  
prudente, B  
borroso, A  
irresoluto, A  
apломado, B  
ponderado, B  
seguro, B  
lanzado, A  
confuso, A  
variante, A  
mesurado, B  
decidido, B  
valiente, B  
perplejo, A  
vacilante, A  
tranquilo, B  
vago, A  
atrevido, A  
indeterminado, A  
variable, A  
confiado, B  
mudable, A  
movedizo, A  
impreciso, A  
inconstante, A  
cambiante, A  
audaz, A  
dubitativo, A  
inseguro, A  
circunspecto, B  
emprendedor, B  
enérgico, B  
imperturbable, B  
incierto, A  
resuelto, B  
reflexivo, B",02/07/26
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: confuso, inconstante, variable, grave, indeciso, mudable, enérgico, mesurado, seguro, inseguro, circunspecto, decidido, emprendedor, perplejo, imperturbable, vago, dubitativo, prudente, borroso, cambiante, lanzado, atrevido, inestable, tranquilo, sereno, resuelto, reflexivo, valiente, confiado, irresoluto, audaz, impreciso, ponderado, movedizo, variante, indeterminado, titubeante, vacilante, incierto, aplomado","confuso, B  
inconstante, B  
variable, B  
grave, A  
indeciso, B  
mudable, B  
enérgico, A  
mesurado, A  
seguro, A  
inseguro, A  
circunspecto, A  
decidido, A  
emprendedor, A  
perplejo, B  
imperturbable, A  
vago, B  
dubitativo, B  
prudente, A  
borroso, B  
cambiante, B  
lanzado, B  
atrevido, B  
inestable, B  
tranquilo, A  
sereno, A  
resuelto, A  
reflexivo, A  
valiente, A  
confiado, A  
irresoluto, B  
audaz, B  
impreciso, B  
ponderado, A  
movedizo, B  
variante, B  
indeterminado, B  
titubeante, B  
vacilante, B  
incierto, B  
apломado, A",02/07/26
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: inconstante, variante, grave, emprendedor, dubitativo, titubeante, movedizo, seguro, circunspecto, enérgico, confiado, tranquilo, variable, mudable, vago, atrevido, sereno, indeterminado, impreciso, cambiante, prudente, vacilante, confuso, resuelto, decidido, indeciso, inestable, imperturbable, mesurado, incierto, ponderado, inseguro, perplejo, valiente, lanzado, irresoluto, borroso, aplomado, audaz, reflexivo","inconstante, B  
variante, B  
grave, A  
emprendedor, B  
dubitativo, A  
titubeante, A  
movedizo, A  
seguro, B  
circunspecto, A  
enérgico, B  
confiado, B  
tranquilo, A  
variable, B  
mudable, A  
vago, A  
atrevido, B  
sereno, A  
indeterminado, A  
impreciso, A  
cambiante, B  
prudente, A  
vacilante, A  
confuso, A  
resuelto, B  
decidido, B  
indeciso, A  
inestable, A  
imperturbable, B  
mesurado, A  
incierto, A  
ponderado, A  
inseguro, A  
perplejo, A  
valiente, B  
lanzado, B  
irresoluto, A  
borroso, A  
apломado, B  
audaz, B  
reflexivo, A",02/07/26
