sen_id,A,B,prompt,response,date
51,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cambiante, irresoluto, tranquilo, enérgico, seguro, aplomado, variante, vacilante, atrevido, resuelto, sereno, borroso, emprendedor, inestable, valiente, dubitativo, inconstante, mesurado, confiado, ponderado, titubeante, mudable, prudente, grave, impreciso, vago, reflexivo, decidido, inseguro, incierto, lanzado, imperturbable, indeterminado, circunspecto, indeciso, perplejo, variable, confuso, audaz, movedizo. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","cambiante, B  
irresoluto, B  
tranquilo, B  
énérgico, A  
seguro, A  
apломado, A  
variante, B  
vacilante, B  
atrevido, A  
resuelto, A  
sereno, A  
borroso, B  
emprendedor, A  
inestable, B  
valiente, A  
dubitativo, B  
inconstante, B  
mesurado, A  
confiado, A  
ponderado, A  
titubeante, B  
mudable, B  
prudente, A  
grave, A  
impreciso, B  
vago, B  
reflexivo, A  
decidido, A  
inseguro, B  
incierto, B  
lanzado, A  
imperturbable, A  
indeterminado, B  
circunspecto, A  
indeciso, B  
perplejo, B  
variable, B  
confuso, B  
audaz, A  
movedizo, B",02/10/26
52,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vacilante, perplejo, mesurado, emprendedor, prudente, audaz, confuso, inconstante, circunspecto, incierto, tranquilo, impreciso, dubitativo, decidido, mudable, reflexivo, vago, inseguro, enérgico, seguro, atrevido, movedizo, inestable, aplomado, titubeante, variable, irresoluto, indeciso, imperturbable, lanzado, variante, grave, valiente, resuelto, confiado, borroso, cambiante, sereno, ponderado, indeterminado. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","vacilante, B  
perplejo, A  
mesurado, B  
emprendedor, A  
prudente, B  
audaz, A  
confuso, B  
inconstante, A  
circunspecto, B  
incierto, A  
tranquilo, B  
impreciso, A  
dubitativo, B  
decidido, A  
mudable, B  
reflexivo, A  
vago, B  
inseguro, A  
enérgico, B  
seguro, A  
atrevido, B  
movedizo, A  
inestable, B  
apломado, A  
titubeante, B  
variable, A  
irresoluto, B  
indeciso, A  
imperturbable, B  
lanzado, A  
variante, B  
grave, A  
valiente, B  
resuelto, A  
confiado, B  
borroso, A  
cambiante, B  
sereno, A  
ponderado, B  
indeterminado, A",02/10/26
53,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: variante, perplejo, indeciso, impreciso, tranquilo, irresoluto, decidido, audaz, inconstante, reflexivo, seguro, sereno, confuso, titubeante, borroso, resuelto, vacilante, vago, cambiante, movedizo, indeterminado, imperturbable, ponderado, prudente, lanzado, valiente, circunspecto, inestable, atrevido, mudable, emprendedor, mesurado, variable, inseguro, confiado, grave, dubitativo, aplomado, incierto, enérgico. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","variante, B  
perplejo, A  
indeciso, A  
impreciso, B  
tranquilo, B  
irresoluto, A  
decidido, B  
audaz, A  
inconstante, B  
reflexivo, B  
seguro, B  
sereno, B  
confuso, A  
titubeante, A  
borroso, B  
resuelto, B  
vacilante, A  
vago, A  
cambiante, B  
movedizo, B  
indeterminado, A  
imperturbable, B  
ponderado, B  
prudente, B  
lanzado, A  
valiente, A  
circunspecto, B  
inestable, A  
atrevido, A  
mudable, B  
emprendedor, A  
mesurado, B  
variable, B  
inseguro, A  
confiado, B  
grave, B  
dubitativo, A  
apломado, B  
incierto, A  
enérgico, A",02/10/26
54,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: mudable, sereno, irresoluto, inestable, seguro, reflexivo, borroso, inconstante, imperturbable, dubitativo, enérgico, valiente, movedizo, lanzado, aplomado, vacilante, audaz, cambiante, perplejo, vago, impreciso, variante, resuelto, confuso, ponderado, emprendedor, incierto, atrevido, mesurado, titubeante, confiado, circunspecto, indeterminado, prudente, grave, decidido, variable, tranquilo, inseguro, indeciso. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","mudable, B  
sereno, A  
irresoluto, B  
inestable, A  
seguro, B  
reflexivo, A  
borroso, B  
inconstante, A  
imperturbable, B  
dubitativo, A  
enérgico, B  
valiente, A  
movedizo, B  
lanzado, A  
apломado, B  
vacilante, A  
audaz, B  
cambiante, A  
perplejo, B  
vago, A  
impreciso, B  
variante, A  
resuelto, B  
confuso, A  
ponderado, B  
emprendedor, A  
incierto, B  
atrevido, A  
mesurado, B  
titubeante, A  
confiado, B  
circunspecto, A  
indeterminado, B  
prudente, A  
grave, B  
decidido, A  
variable, B  
tranquilo, A  
inseguro, B  
indeciso, A",02/10/26
55,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: prudente, lanzado, dubitativo, seguro, confiado, audaz, inestable, enérgico, movedizo, grave, variable, impreciso, irresoluto, reflexivo, tranquilo, ponderado, sereno, valiente, mesurado, inseguro, atrevido, inconstante, aplomado, imperturbable, circunspecto, indeciso, perplejo, titubeante, vacilante, vago, incierto, borroso, emprendedor, mudable, cambiante, indeterminado, variante, resuelto, confuso, decidido. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","prudente, B  
lanzado, A  
dubitativo, B  
seguro, A  
confiado, A  
audaz, A  
inestable, B  
enérgico, A  
movedizo, B  
grave, B  
variable, B  
impreciso, B  
irresoluto, B  
reflexivo, B  
tranquilo, B  
ponderado, B  
sereno, B  
valiente, A  
mesurado, B  
inseguro, B  
atrevido, A  
inconstante, B  
apломado, A  
imperturbable, B  
circunspecto, B  
indeciso, B  
perplejo, B  
titubeante, B  
vacilante, B  
vago, B  
incierto, B  
borroso, B  
emprendedor, A  
mudable, B  
cambiante, B  
indeterminado, B  
variante, B  
resuelto, A  
confuso, B  
decidido, A",02/10/26
56,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: irresoluto, resuelto, cambiante, vacilante, emprendedor, variante, aplomado, grave, reflexivo, enérgico, lanzado, ponderado, confuso, perplejo, imperturbable, mesurado, circunspecto, inconstante, valiente, atrevido, sereno, confiado, inseguro, indeciso, seguro, inestable, impreciso, tranquilo, decidido, dubitativo, prudente, movedizo, vago, indeterminado, variable, titubeante, audaz, incierto, mudable, borroso. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","irresoluto, B  
resuelto, A  
cambiante, B  
vacilante, B  
emprendedor, A  
variante, B  
apломado, A  
grave, A  
reflexivo, B  
enérgico, A  
lanzado, A  
ponderado, B  
confuso, B  
perplejo, B  
imperturbable, A  
mesurado, B  
circunspecto, B  
inconstante, B  
valiente, A  
atrevido, A  
sereno, A  
confiado, A  
inseguro, B  
indeciso, B  
seguro, A  
inestable, B  
impreciso, B  
tranquilo, A  
decidido, A  
dubitativo, B  
prudente, B  
movedizo, B  
vago, B  
indeterminado, B  
variable, B  
titubeante, B  
audaz, A  
incierto, B  
mudable, B  
borroso, B",02/10/26
57,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: audaz, imperturbable, prudente, borroso, inseguro, sereno, indeciso, circunspecto, mudable, irresoluto, variable, vacilante, atrevido, perplejo, reflexivo, mesurado, inestable, confiado, decidido, aplomado, lanzado, dubitativo, grave, cambiante, resuelto, valiente, seguro, impreciso, emprendedor, enérgico, confuso, indeterminado, ponderado, variante, vago, incierto, titubeante, movedizo, inconstante, tranquilo. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","audaz, B  
imperturbable, A  
prudente, A  
borroso, B  
inseguro, B  
sereno, A  
indeciso, B  
circunspecto, A  
mudable, B  
irresoluto, B  
variable, B  
vacilante, B  
atrevido, B  
perplejo, A  
reflexivo, A  
mesurado, A  
inestable, B  
confiado, A  
decidido, A  
apломado, A  
lanzado, B  
dubitativo, B  
grave, A  
cambiante, B  
resuelto, A  
valiente, B  
seguro, A  
impreciso, B  
emprendedor, B  
enérgico, B  
confuso, B  
indeterminado, B  
ponderado, A  
variante, B  
vago, B  
incierto, B  
titubeante, B  
movedizo, B  
inconstante, B  
tranquilo, A",02/10/26
58,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: emprendedor, imperturbable, indeciso, mudable, movedizo, incierto, mesurado, vacilante, variable, inseguro, enérgico, reflexivo, decidido, confuso, aplomado, indeterminado, lanzado, valiente, impreciso, atrevido, variante, dubitativo, irresoluto, tranquilo, grave, audaz, resuelto, inconstante, circunspecto, perplejo, confiado, inestable, seguro, borroso, ponderado, vago, titubeante, sereno, cambiante, prudente. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","emprendedor, A  
imperturbable, B  
indeciso, B  
mudable, A  
movedizo, B  
incierto, A  
mesurado, B  
vacilante, A  
variable, A  
inseguro, B  
enérgico, A  
reflexivo, B  
decidido, A  
confuso, B  
apломado, A  
indeterminado, B  
lanzado, A  
valiente, A  
impreso, B  
atrevido, A  
variante, A  
dubitativo, B  
irresoluto, B  
tranquilo, B  
grave, A  
audaz, A  
resuelto, A  
inconstante, B  
circunspecto, B  
perplejo, B  
confiado, A  
inestable, B  
seguro, A  
borroso, B  
ponderado, B  
vago, B  
titubeante, B  
sereno, B  
cambiante, A  
prudente, B",02/10/26
59,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: movedizo, sereno, mudable, aplomado, audaz, vacilante, mesurado, vago, reflexivo, inconstante, emprendedor, titubeante, confuso, grave, indeterminado, dubitativo, borroso, atrevido, cambiante, enérgico, variante, confiado, inseguro, indeciso, valiente, variable, decidido, incierto, prudente, resuelto, imperturbable, perplejo, circunspecto, ponderado, seguro, impreciso, lanzado, irresoluto, tranquilo, inestable. A: Menos mal que no lo he visto B: Menos mal que no lo ví","movedizo, B  
sereno, A  
mudable, B  
apломado, A  
audaz, B  
vacilante, A  
mesurado, A  
vago, B  
reflexivo, A  
inconstante, B  
emprendedor, B  
titubeante, A  
confuso, B  
grave, A  
indeterminado, B  
dubitativo, A  
borroso, B  
atrevido, B  
cambiante, B  
enérgico, B  
variante, B  
confiado, A  
inseguro, B  
indeciso, A  
valiente, B  
variable, B  
decidido, A  
incierto, B  
prudente, A  
resuelto, A  
imperturbable, A  
perplejo, B  
circunspecto, A  
ponderado, A  
seguro, A  
impreciso, B  
lanzado, B  
irresoluto, A  
tranquilo, A  
inestable, B",02/10/26
60,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: titubeante, atrevido, mudable, inestable, decidido, movedizo, prudente, grave, reflexivo, resuelto, vago, variable, circunspecto, inconstante, tranquilo, vacilante, inseguro, variante, perplejo, irresoluto, cambiante, ponderado, borroso, seguro, confuso, impreciso, imperturbable, incierto, valiente, lanzado, emprendedor, audaz, aplomado, mesurado, sereno, dubitativo, enérgico, confiado, indeterminado, indeciso. A: Sí, fuí yo B:  Sí, he sido yo","titubeante, B  
atrevido, A  
mudable, B  
inestable, B  
decidido, A  
movedizo, B  
prudente, A  
grave, A  
reflexivo, A  
resuelto, A  
vago, B  
variable, B  
circunspecto, A  
inconstante, B  
tranquilo, A  
vacilante, B  
inseguro, B  
variante, B  
perplejo, B  
irresoluto, B  
cambiante, B  
ponderado, A  
borroso, B  
seguro, A  
confuso, B  
impreciso, B  
imperturbable, A  
incierto, B  
valiente, A  
lanzado, A  
emprendedor, A  
audaz, A  
apломado, A  
mesurado, A  
sereno, A  
dubitativo, B  
énérgico, A  
confiado, A  
indeterminado, B  
indeciso, B",02/10/26
