PS,MS,English
¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor,¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor,What did you do today? Tell me - I worked and It was very hot
"He cambiado, porque la niña estaba en el colegio, pero ya no","Cambié, porque la niña estaba en la escuela, pero ya no","I changed, because the girl was in school, but not anymore"
Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal,Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas y así,Today I had to go to a town by car to deliver a few things and stuff
"Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo","Usually, if I'm alone or if there's a commotion, I don't leave work"
Le vamos a coger el gustillo,Le vamos a agarrar el gustito,We're going to take a liking to it
¿Y qué hacéis vosotros para combatir el calor?,¿Y qué hacen ustedes para combatir el calor?,And what do you (plural) do to fight the heat?
"¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente","¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","And what are the most important changes you remember in the city, from when you were little until now? Well, there's a whole lot of people"
"En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","En el descanso, ibas a comer la torta, o semillitas, o lo que fuera","During the break, you'd eat your sandwitch or sunflower seeds or whatever "
Eso es lo que hacen los niños. Hacer líos con tus amiguetes,Eso es lo que hacen los niños. Hacer desmadre con tus compas,That's what kids do. Make trouble with your pals
No hemos tenido jaleos con los del pueblo,No hemos tenido bronca con los del pueblo,We didn't have any trouble with the people from the town
¿Y vosotros cómo la bajasteis?,¿Y ustedes cómo la bajaron?,And how did you get it down?
"Cuando terminaba el colegio a las seis, estabas en la calle, habías hecho los deberes o habías merendado","Cuando terminaba la escuela a las seis, estabas en la calle, habías hecho la tarea o habías comido","When school was over, you were on the street, you had finished your homework, you had eaten (an afternoon snack)"
¿Qué sería bueno que se hiciese?,¿Qué sería bueno que se hiciera?,What would be a good thing to do?
¿Salís vosotros casi siempre con los mismos amigos? - Normalmente con un chaval que es con el que mejor me llevo,¿Salen ustedes casi siempre con los mismos amigos? - Normalmente con un chavo que es con el que mejor me llevo,Do you (plural) usually go out with the same friends? Usually with the guy who I'm closest to
¿Qué os gusta hacer cuando estáis en familia? - Pues charlar,¿Qué les gusta hacer cuando están en familia? - Pues platicar,"What do you like to do when you are together as a family? Well, talking"
"¿Vosotros ibais en coche, no?","¿Ustedes iban en carro, no?","You were going by car, right?"
Cogen el coche y se van a dormir a su casa,Agarraran el carro y se van a dormir a su casa,They take the car and they go home to sleep
,,
Está más guay. Así no sudas y luego puedes traerte una chaqueta,Está más chido. Así no sudas y luego puedes traerte una chamarra,It's cooler (as in awesome). That way you don't sweat and you can bring a jacket
Tan solo voy de paso en el autobús,Nomás voy de pasada en el camión ,I'm just passing through on the bus
¿Puedes revisar si sí está grabando?,¿Puedes checar si sí está grabando?,Can you check if it is recording?
"¡Ay, qué tonto!","¡Ay, qué menso!","Oh, how silly/dumb!"
¿Alguna vez han culpado de algo que tú has hecho?,¿Alguna vez te culparon por algo que tú no hiciste?,Have you ever been blamed for something you didn't do?
¿Alguna vez te han hecho llorar en el colegio o trabajo?,¿Alguna vez te hicieron llorar en la escuela o trabajo?,Did they ever make you cry at school or work?
Nunca había trabajado con ordenadores,Nunca había trabajado con computadoras,I had never worked with computers
En el cementerio están haciendo un puente,En el panteón están haciendo un puente,They're building a bridge on the cemetery
Ha mejorado - Se ha notado mucho,Mejoró - Se notó mucho,It improved - It's been very noticable
"Un día lo cojo con entusiasmo, al otro me mosqueo","Un día lo tomo con entusiasmo, al otro estoy de malas","One day I'm excited about it, the next I'm annoyed"
"Bueno, entonces me has dicho que te llamabas P","Bueno, entonces me dijiste que te llamabas P","Ok, so you told me your name was P"
"Se enfada de todo, pero como te vas a enfadar porque hace calor","Se enoja por todo, pero ni modo que te enojes porque hace calor","They get mad about everything, but how are you gonna get mad because it's hot"
"Estaba muy pequeña la casa, pero estaba muy guay","Estaba muy pequeña la casa, pero estaba muy chida","The house was very small, but it was very cool"
Lo que sea menos morcilla,Lo que sea menos moronga,Anything but blood sausage
Venden tostadas con judías ,Venden tostadas con frijoles,They sell toasts with beans
A veces le echo carne picada,A veces le echo carne molida,Sometimes I add ground meat
"¿Qué tal te llevas con tus vecinos? - Bien, sales y charlas y vacilas y todo eso ","¿Qué tal te llevas con tus vecinos? - Bien, sales y platicas y echas carrilla y todo eso ","How do you get allong with your neighbours? Good, you go out and chat with them and joke around"
Ya ha pasado mucho tiempo,Ya pasó mucho tiempo,A lot of time has passed
"Me gustaba leer desde muy pequeño, pero no sé por qué lo he dejado","Me gustaba leer desde muy chiquito, pero no sé por qué lo dejé","I liked reading since I was little, but I don't know why stopped"
Se ve muy joven porque a él todo le da igual,Se ve muy joven porque a él todo le vale,He looks very young he doesn't really care about anything
Para coger el hilo de la clase otra vez ,Para agarrarle la onda a la clase otra vez,To get te hang of class again
,,
Estaba bonito porque no había coches,Estaba bonito porque no había carros,It was pretty because there were no cars
"Quieres dormir, pero no puedes porque pasasan autobuses ","Quieres dormir, pero no puedes porque pasasan camiones","You want to sleep, but you can't because there's busses passing through"
Cuando yo era niño casi no había campos de fútbol,Cuando yo era niño casi no había canchas de fútbol,"When I was a kid, there were almost no football pitches"
"Ahora tenemos oportunidad de ir al estadio, pero antes no","Ahora tenemos chance de ir al estadio, pero antes no","Now we have the chance to go to the stadium, but not before"
¿Cómo consideras que es tu mamá? - Es guay,¿Cómo consideras que es tu mamá? - Es buena onda,What do you think your mum is like? She is cool
"Los críos ya no quieren un cochecito madera, quieren un coche de plástico y con control remoto ","Los morros ya no quieren un carrito de madera, quieren un carro de plástico y con control remoto ","Kids nowdays don't want a wooden toy car, they want a plastic car with remote control"
Ahora ya tan solo le mueves al coche y se va para donde tú quieras,Ahorita ya nomás le mueves al carro y se va para donde tú quieras,Now you just move the car and it goes wherever you want it to
"Me la paso aquí y allá, charlando con mis colegas","Me la paso aquí y allá, cotorreando con mis compas","I go from here to there, chatting with frends "
"Ha causado mucho sufrimiento para mi  jefe, que es lo que más me entristecía","Causó mucho sufrimiento para mi  jefe, que es lo que más me agüitaba","It caused a lot of suffering for my boss, which is what upset me the most"
"Yo te conozco, tronco ¡Qué te vaya bien!","Yo te conozco, carnal ¡Qué te vaya bien!","I know you, bro. Have a good time! "
"Yo me quedaba aquí, haciendo los deberes","Yo me quedaba aquí, haciendo la tarea","I'd stay here, doing homework"
A mí la verdad es que no se me ha dado muy bien el colegio,A mí la neta es que no se me dió muy bien la escuela,"Truth is, I was not very good at school"
A mi hermano le gustaba conducir ,A mi hermano le gustaba manejar,My brother liked to drive
cuéntame ¿Qué  hicisteis?,Cuéntame ¿Qué  hicieron?,Tell me. What did you (plural) do?
"¿De pequeño, vosotros que haciais durante las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais?","¿De niño, ustedes que hacian durante las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?",And holidays? Would you go somewhere or where would you spend them? 
"Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogiamos el autobús a las seis de la mañana","Como mi padre no tuvo coche hasta que era bastante mayor, nos ibamos camión a las seis de la mañana ","Since my father didn't have a car untill he was quite old, we'd take the bus at six in the morning"
Hoy en día coges el coche y en dos minutos estás allí,Hoy en día agarras el carro y en dos minutos estás allí,"Nowdays, you take the car and in two minutes you're there"
Coges un autobús y en menos de una hora te has atravesado la ciudad entera,Agarras un camión y en menos de una hora te has atravesado la ciudad entera,You take a bus and in less than an hour you've crossed the entire city
"Cogía mi lápiz, mi boli, y apuntaba las recetas","Agarraba mi lápiz, mi pluma, y apuntaba las recetas","I'd take my pencil, my pen, and I'd write down the recipes "
¿Qué fiestas locales celebráis vosotros?,¿Qué fiestas locales celebran ustedes?,Which local holidays do you (plural) celebrate?
Menos mal que no lo he visto,Menos mal que no lo ví,Thankfully I didn't see it
" Sí, he sido yo","Sí, fuí yo","Yes, it was me"
Me paso muchas horas con el ordernador,Me paso muchas horas con la computadora,I spend many hours on the computer
Vienen muchos críos jóvenes,Vienen muchos chamacos jóvenes,A lot of young kids come here
Yo casi nunca usaba chaqueta,Yo casi nunca usaba chamarra,I almost never wore a jacket
"Y en un espacio de quince minutos, ha dejado de llover","Y en un espacio de quince minutos, dejó de llover","And in a fifteen minutes span, it stopped raining"
Salgo y camino un par de manzanas,Salgo y camino un par de cuadras,I go out and walk a couple of blocks
Tengo colegas caquí,Tengo compas aqui,I have friends here
A veces nos bebemos una birra o algo,A veces nos tomamos una cheve o algo,Sometimes we drink a beer or something
Vamos a ver qué tal,Vamos a ver qué onda,We're going to see what's up
Esa ha estado guay,Esa estuvo chida,That one was cool
¿Dónde queda un quiosco de periódicos por aquí? - A dos manzanas,¿Dónde queda un puesto de periódicos por aquí? - A dos cuadras,Where's a newspaper stand around here? Two blocks away
¿De  aquí? He tardado diez minutos,¿De  aquí? Tardé diez minutos,From here? It took me ten minutes
"Cuando tengo que venir, pues vengo andando","Cuando tengo que venir, pues vengo caminando","When I have to come, well, I walk"
