sen_id,A,B,prompt,response,date
101,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: remote, aloof, introverted, convivial, outgoing, cool, distant, sociable, extroverted, vivacious, spirited, talkative, silent, shy, antisocial, professional, offish, jovial, extraverted, dry, clubby, jolly, standoffish, withdrawn, social, clubbable, unsociable, clinical, boon, unsocial, animated, reserved, detached, asocial, gregarious, lively, communicative, forthcoming, cheerful, timid. A: La verdad no sabía que era tan cutre B: La verdad no sabía que estaba tan gacho","Here's the list of adjectives paired with either writer A or B:

remote, A
aloof, A
introverted, A
convivial, B
outgoing, B
cool, B
distant, A
sociable, B
extroverted, B
vivacious, B
spirited, B
talkative, B
silent, A
shy, A
antisocial, A
professional, A
offish, A
jovial, B
extraverted, B
dry, A
clubby, B
jolly, B
standoffish, A
withdrawn, A
social, B
clubbable, B
unsociable, A
clinical, A
boon, B
unsocial, A
animated, B
reserved, A
detached, A
asocial, A
gregarious, B
lively, B
communicative, B
forthcoming, B
cheerful, B
timid, A",02/11/26
102,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: silent, unsocial, gregarious, remote, sociable, reserved, withdrawn, jolly, clinical, offish, outgoing, aloof, communicative, cool, introverted, dry, talkative, asocial, shy, convivial, vivacious, forthcoming, cheerful, unsociable, extraverted, clubby, boon, antisocial, animated, clubbable, jovial, lively, standoffish, distant, professional, social, detached, timid, spirited, extroverted. A: ¿Cual es el lugar más gacho al que te hayas metido? B: ¿Cual es el lugar más chungo al que te hayas metido?","Here's the list of adjectives paired with either writer A or B:

silent, A
unsocial, B
gregarious, B
remote, A
sociable, B
reserved, A
withdrawn, A
jolly, B
clinical, A
offish, B
outgoing, B
aloof, A
communicative, B
cool, A
introverted, A
dry, A
talkative, B
asocial, B
shy, A
convivial, B
vivacious, B
forthcoming, B
cheerful, B
unsociable, B
extraverted, B
clubby, B
boon, B
antisocial, B
animated, B
clubbable, B
jovial, B
lively, B
standoffish, A
distant, A
professional, A
social, B
detached, A
timid, A
spirited, B
extroverted, B",02/11/26
103,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: introverted, talkative, silent, sociable, extraverted, animated, withdrawn, spirited, dry, clinical, reserved, detached, asocial, cool, unsociable, jolly, vivacious, communicative, aloof, timid, outgoing, antisocial, distant, standoffish, offish, gregarious, extroverted, cheerful, unsocial, professional, convivial, clubbable, jovial, boon, shy, lively, clubby, remote, forthcoming, social. A: ¿Qué te ha hecho cambiar de vida? B: ¿Qué te hizo cambiar de vida?","Here's the list of adjectives paired with either writer A or B:

introverted, A
talkative, B
silent, A
sociable, B
extraverted, B
animated, B
withdrawn, A
spirited, B
dry, A
clinical, A
reserved, A
detached, A
asocial, A
cool, B
unsociable, A
jolly, B
vivacious, B
communicative, B
aloof, A
timid, A
outgoing, B
antisocial, A
distant, A
standoffish, A
offish, A
gregarious, B
extroverted, B
cheerful, B
unsocial, A
professional, A
convivial, B
clubbable, B
jovial, B
boon, B
shy, A
lively, B
clubby, B
remote, A
forthcoming, B
social, B",02/11/26
104,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: withdrawn, cool, asocial, extraverted, social, clubby, standoffish, cheerful, dry, sociable, detached, unsociable, jolly, jovial, clinical, boon, forthcoming, shy, distant, professional, remote, timid, clubbable, extroverted, communicative, aloof, reserved, convivial, outgoing, animated, gregarious, spirited, introverted, antisocial, vivacious, offish, lively, unsocial, silent, talkative. A: Era muy enojón, me enojaba muy rápido B: Era muy enfadadizo, me enfadaba muy rápido","withdrawn, B
cool, B
asocial, B
extraverted, A
social, A
clubby, A
standoffish, B
cheerful, A
dry, B
sociable, A
detached, B
unsociable, B
jolly, A
jovial, A
clinical, B
boon, A
forthcoming, A
shy, B
distant, B
professional, B
remote, B
timid, B
clubbable, A
extroverted, A
communicative, A
aloof, B
reserved, B
convivial, A
outgoing, A
animated, A
gregarious, A
spirited, A
introverted, B
antisocial, B
vivacious, A
offish, B
lively, A
unsocial, B
silent, B
talkative, A",02/11/26
105,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: sociable, timid, clinical, remote, jolly, reserved, animated, lively, cheerful, unsociable, spirited, antisocial, social, distant, cool, gregarious, dry, introverted, talkative, clubbable, withdrawn, asocial, vivacious, convivial, forthcoming, unsocial, jovial, offish, extraverted, shy, clubby, silent, professional, detached, standoffish, boon, communicative, outgoing, extroverted, aloof. A: Ella ha sido la única persona que ha confiado en mí  B: Ella fue la única persona que confió en mí ","Here's the list of adjectives paired with either writer A or B:

sociable, A
timid, B
clinical, A
remote, B
jolly, A
reserved, B
animated, A
lively, A
cheerful, A
unsociable, B
spirited, A
antisocial, B
social, A
distant, B
cool, A
gregarious, A
dry, A
introverted, B
talkative, A
clubbable, A
withdrawn, B
asocial, B
vivacious, A
convivial, A
forthcoming, A
unsocial, B
jovial, A
offish, B
extraverted, A
shy, B
clubby, A
silent, B
professional, A
detached, B
standoffish, B
boon, A
communicative, A
outgoing, A
extroverted, A
aloof, B",02/11/26
106,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: sociable, talkative, spirited, social, silent, detached, unsocial, clinical, extraverted, gregarious, cheerful, lively, shy, remote, outgoing, communicative, forthcoming, timid, vivacious, boon, reserved, antisocial, jovial, extroverted, animated, standoffish, aloof, introverted, asocial, unsociable, jolly, professional, clubby, distant, offish, dry, clubbable, cool, convivial, withdrawn. A: Hubo buen clima, pero ahora nos vino la ola de frío B: Hemos tenido un tiempo bastante bueno, pero ahora nos ha venido la ola de frío","Here's the list of adjectives paired with either writer A or B, as requested:

sociable, B
talkative, B
spirited, B
social, B
silent, A
detached, A
unsocial, A
clinical, A
extraverted, B
gregarious, B
cheerful, B
lively, B
shy, A
remote, A
outgoing, B
communicative, B
forthcoming, B
timid, A
vivacious, B
boon, B
reserved, A
antisocial, A
jovial, B
extroverted, B
animated, B
standoffish, A
aloof, A
introverted, A
asocial, A
unsociable, A
jolly, B
professional, A
clubby, B
distant, A
offish, A
dry, A
clubbable, B
cool, B
convivial, B
withdrawn, A",02/11/26
107,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: extraverted, unsociable, unsocial, antisocial, communicative, introverted, aloof, reserved, convivial, remote, clubby, dry, animated, asocial, forthcoming, timid, sociable, jolly, shy, social, boon, cool, extroverted, distant, cheerful, standoffish, detached, silent, clubbable, outgoing, gregarious, vivacious, lively, talkative, offish, spirited, withdrawn, professional, jovial, clinical. A: ¿Tú recuerdas si eso también sucedía cuando tú eras pequeño?  B: ¿Te acuerdas si eso también pasaba cuando tú eras chico?","Here's the list of adjectives paired with either writer A or B, based on the provided dialogue:

extraverted, B
unsociable, A
unsocial, A
antisocial, A
communicative, B
introverted, A
aloof, A
reserved, A
convivial, B
remote, A
clubby, B
dry, A
animated, B
asocial, A
forthcoming, B
timid, A
sociable, B
jolly, B
shy, A
social, B
boon, B
cool, B
extroverted, B
distant, A
cheerful, B
standoffish, A
detached, A
silent, A
clubbable, B
outgoing, B
gregarious, B
vivacious, B
lively, B
talkative, B
offish, A
spirited, B
withdrawn, A
professional, A
jovial, B
clinical, A",02/11/26
108,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: outgoing, reserved, shy, spirited, withdrawn, professional, convivial, detached, social, forthcoming, standoffish, lively, cheerful, timid, offish, asocial, dry, vivacious, animated, cool, communicative, jovial, extroverted, extraverted, boon, clinical, antisocial, unsociable, distant, clubby, gregarious, talkative, silent, unsocial, sociable, clubbable, aloof, remote, jolly, introverted. A: Cuando estabas en la escuela, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacían ustedes los días de nevada?  B: Cuando estabas en el colegio, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacíais vosotros los días de nevada? ","Here's the list of adjectives paired with either writer A or B:

outgoing, A
reserved, B
shy, B
spirited, A
withdrawn, B
professional, A
convivial, A
detached, B
social, A
forthcoming, A
standoffish, B
lively, A
cheerful, A
timid, B
offish, B
asocial, B
dry, B
vivacious, A
animated, A
cool, B
communicative, A
jovial, A
extroverted, A
extraverted, A
boon, A
clinical, B
antisocial, B
unsociable, B
distant, B
clubby, A
gregarious, A
talkative, A
silent, B
unsocial, B
sociable, A
clubbable, A
aloof, B
remote, B
jolly, A
introverted, B",02/11/26
109,PS,MS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: animated, reserved, dry, asocial, silent, clinical, timid, talkative, outgoing, antisocial, remote, standoffish, withdrawn, spirited, communicative, extroverted, unsociable, clubby, gregarious, jolly, cheerful, lively, cool, shy, boon, forthcoming, clubbable, extraverted, unsocial, jovial, aloof, introverted, distant, convivial, sociable, detached, vivacious, offish, social, professional. A: Cogí al hermano de uno de mis amigos, que era pequeño, y lo metí en el coche B: Agarré al hermano de uno de mis amigos, que era chico, y lo metí en el carro","animated, B
reserved, A
dry, B
asocial, A
silent, A
clinical, B
timid, A
talkative, B
outgoing, B
antisocial, A
remote, A
standoffish, A
withdrawn, A
spirited, B
communicative, B
extroverted, B
unsociable, A
clubby, B
gregarious, B
jolly, B
cheerful, B
lively, B
cool, B
shy, A
boon, B
forthcoming, B
clubbable, B
extraverted, B
unsocial, A
jovial, B
aloof, A
introverted, A
distant, A
convivial, B
sociable, B
detached, A
vivacious, B
offish, A
social, B
professional, B",02/11/26
110,MS,PS,"Here is a list of adjectives. For each adjective, choose a writer - A o B - and write it next to the adjective without further explanation. Put a comma after each writer. The adjectives are: antisocial, outgoing, clinical, convivial, vivacious, introverted, communicative, clubby, lively, social, gregarious, distant, timid, aloof, spirited, dry, sociable, unsocial, offish, cheerful, cool, professional, jovial, extroverted, asocial, remote, withdrawn, silent, talkative, animated, standoffish, shy, boon, forthcoming, clubbable, extraverted, unsociable, jolly, reserved, detached. A: Cayó un rayo y encendió un depósito de llantas B: Ha caído un rayo y ha encendido un depósito de neumáticos","Here's the list of adjectives paired with either writer A or B, as requested:

Antisocial, A
Outgoing, B
Clinical, A
Convivial, B
Vivacious, B
Introverted, A
Communicative, B
Clubby, A
Lively, B
Social, B
Gregarious, B
Distant, A
Timid, A
Aloof, A
Spirited, B
Dry, A
Professional, A
Jovial, B
Extroverted, B
Asocial, A
Remote, A
Withdrawn, A
Silent, A
Talkative, B
Animated, B
Standoffish, A
Shy, A
Boon, B
Forthcoming, B
Clubbable, B
Extraverted, B
Unsocial, A
Jolly, B
Reserved, A
Detached, A",02/11/26
