sen_id,A,B,prompt,response
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: pasional, acelerado, extravertido, expansivo, abierto, tratable, reservado, expresivo, conversador, cauteloso, intenso, caluroso, sencillo, vehemente, solitario, misántropo, ardiente, huraño, sociable, insociable, introverso, adusto, guardado, elocuente, discreto, vergonzoso, esquivo, cauto, efusivo, apasionado, corto, extrovertido, introvertido, cerrado, tímido, retraído, cohibido, huidizo, locauz, comunicativo. A: ¿Qué has hecho hoy? Cuéntame - Currar y pasar mucho calor B: ¿Qué hiciste hoy? Cuéntame - Chambear y pasar mucho calor","pasional B, acelerado A, extravertido B, expansivo B, abierto B, tratable B, reservado A, expresivo B, conversador B, cauteloso B, intenso B, caluroso B, sencillo B, vehemente B, solitario A, misántropo A, ardiente B, huraño A, sociable B, insociable A, introverso A, adusto A, guardado A, elocuente B, discreto B, vergonzoso A, esquivo A, cauto B, efusivo B, apasionado B, corto A, extrovertido B, introvertido A, cerrado A, tímido A, retraído A, cohibido A, huidizo A, locauz B, comunicativo B,"
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: elocuente, esquivo, introvertido, solitario, misántropo, ardiente, cohibido, apasionado, discreto, extrovertido, efusivo, cerrado, tímido, adusto, sociable, vergonzoso, extravertido, pasional, sencillo, corto, huraño, huidizo, comunicativo, tratable, cauteloso, cauto, retraído, caluroso, introverso, expresivo, insociable, abierto, vehemente, expansivo, locauz, reservado, guardado, intenso, acelerado, conversador. A: Cambié, porque la niña estaba en la escuela, pero ya no B: He cambiado, porque la niña estaba en el colegio, pero ya no","elocuente B, esquivo A, introvertido A, solitario A, misántropo A, ardiente B, cohibido A, apasionado B, discreto B, extrovertido B, efusivo B, cerrado A, tímido A, adusto A, sociable B, vergonzoso A, extravertido B, pasional B, sencillo B, corto A, huraño A, huidizo A, comunicativo B, tratable B, cauteloso B, cauto B, retraído A, caluroso B, introverso A, expresivo B, insociable A, abierto B, vehemente B, expansivo B, locauz B, reservado B, guardado B, intenso B, acelerado A, conversador B"
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: comunicativo, cerrado, cohibido, extrovertido, corto, misántropo, introverso, guardado, efusivo, caluroso, extravertido, ardiente, tímido, esquivo, solitario, introvertido, vehemente, vergonzoso, discreto, sencillo, expansivo, huidizo, huraño, insociable, cauto, cauteloso, tratable, apasionado, retraído, acelerado, expresivo, intenso, abierto, locauz, pasional, adusto, conversador, elocuente, sociable, reservado. A: Hoy me ha tocado irme con el coche a un pueblo a repartir algunas cosillas y tal B: Hoy me tocó irme con el carro a un pueblo a repartir algunas cositas","comunicativo: A, cerrado: B, cohibido: B, extrovertido: A, corto: B, misántropo: B, introverso: B, guardado: B, efusivo: A, caluroso: A, extravertido: A, ardiente: A, tímido: B, esquivo: B, solitario: B, introvertido: B, vehemente: A, vergonzoso: B, discreto: A, sencillo: A, expansivo: A, huidizo: B, huraño: B, insociable: B, cauto: A, cauteloso: A, tratable: A, apasionado: A, retraído: B, acelerado: A, expresivo: A, intenso: A, abierto: A, locauz: A, pasional: A, adusto: B, conversador: A, elocuente: A, sociable: A, reservado: B,"
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: guardado, vehemente, discreto, introvertido, extravertido, expresivo, retraído, cauteloso, sencillo, elocuente, sociable, intenso, comunicativo, tímido, cerrado, pasional, insociable, locauz, huraño, vergonzoso, corto, reservado, cohibido, solitario, esquivo, conversador, adusto, introverso, abierto, efusivo, apasionado, caluroso, extrovertido, tratable, huidizo, acelerado, cauto, ardiente, misántropo, expansivo. A: Normalmente, si estoy solo o si hay alboroto, pues no salgo del trabajo B: Normalmente, si estoy solo o si tengo jaleo, pues no salgo del trabajo","guardado A, vehemente B, discreto A, introvertido A, extravertido B, expresivo B, retraído A, cauteloso A, sencillo A, elocuente B, sociable B, intenso B, comunicativo B, tímido A, cerrado A, pasional B, insociable A, locauz B, huraño A, vergonzoso A, corto A, reservado A, cohibido A, solitario A, esquivo A, conversador B, adusto A, introverso A, abierto B, efusivo B, apasionado B, caluroso B, extrovertido B, tratable B, huidizo A, acelerado B, cauto A, ardiente B, misántropo A, expansivo B,"
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: locauz, corto, conversador, pasional, comunicativo, acelerado, solitario, cauteloso, extravertido, efusivo, esquivo, adusto, elocuente, huraño, reservado, abierto, ardiente, tímido, vehemente, introverso, tratable, expresivo, introvertido, vergonzoso, discreto, guardado, retraído, intenso, huidizo, cohibido, cerrado, sociable, extrovertido, insociable, expansivo, misántropo, apasionado, caluroso, cauto, sencillo. A: Le vamos a coger el gustillo B: Le vamos a agarrar el gustito","locauz B, corto A, conversador B, pasional B, comunicativo B, acelerado A, solitario A, cauteloso B, extravertido B, efusivo B, esquivo A, adusto A, elocuente B, huraño A, reservado A, abierto B, ardiente B, tímido A, vehemente B, introverso A, tratable B, expresivo B, introvertido A, vergonzoso A, discreto B, guardado A, retraído A, intenso B, huidizo A, cohibido A, cerrado A, sociable B, extrovertido B, insociable A, expansivo B, misántropo A, apasionado B, caluroso B, cauto B, sencillo B,"
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: retraído, acelerado, reservado, cauto, elocuente, expresivo, introvertido, ardiente, misántropo, vergonzoso, intenso, expansivo, esquivo, abierto, tímido, sociable, apasionado, pasional, efusivo, huidizo, extrovertido, guardado, insociable, adusto, cauteloso, extravertido, vehemente, conversador, locauz, discreto, comunicativo, cohibido, corto, tratable, caluroso, sencillo, solitario, introverso, huraño, cerrado. A: ¿Y qué hacen ustedes para combatir el calor? B: ¿Y qué hacéis vosotros para combatir el calor?","retraído A, acelerado A, reservado B, cauto B, elocuente B, expresivo B, introvertido A, ardiente B, misántropo A, vergonzoso A, intenso B, expansivo B, esquivo A, abierto B, tímido A, sociable B, apasionado B, pasional B, efusivo B, huidizo A, extrovertido B, guardado B, insociable A, adusto A, cauteloso B, extravertido B, vehemente B, conversador B, locauz B, discreto B, comunicativo B, cohibido A, corto A, tratable B, caluroso B, sencillo B, solitario A, introverso A, huraño A, cerrado A,"
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sociable, tímido, efusivo, adusto, intenso, ardiente, pasional, introvertido, cerrado, elocuente, retraído, solitario, caluroso, abierto, insociable, esquivo, huraño, acelerado, guardado, extrovertido, introverso, vehemente, expansivo, conversador, cauteloso, expresivo, reservado, sencillo, extravertido, corto, huidizo, locauz, discreto, cohibido, comunicativo, cauto, misántropo, tratable, apasionado, vergonzoso. A: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras pequeño a ahora? - Pues el mogollón de gente B: ¿Y qué cambios más importantes recuerdas tú en la ciudad, desde que eras chico a ahora? - Pues el montón de gente","sociable A, tímido B, efusivo A, adusto B, intenso A, ardiente A, pasional A, introvertido B, cerrado B, elocuente A, retraído B, solitario B, caluroso A, abierto A, insociable B, esquivo B, huraño B, acelerado A, guardado B, extrovertido A, introverso B, vehemente A, expansivo A, conversador A, cauteloso B, expresivo A, reservado B, sencillo B, extravertido A, corto B, huidizo B, locauz A, discreto B, cohibido B, comunicativo A, cauto B, misántropo B, tratable A, apasionado A, vergonzoso B"
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: pasional, cauto, huraño, guardado, cerrado, ardiente, abierto, apasionado, conversador, corto, caluroso, huidizo, vergonzoso, elocuente, efusivo, comunicativo, locauz, extravertido, introverso, retraído, cohibido, cauteloso, tímido, intenso, vehemente, adusto, esquivo, expansivo, misántropo, reservado, discreto, expresivo, insociable, sociable, tratable, solitario, introvertido, acelerado, extrovertido, sencillo. A: En el descanso, ibas a comer la torta, o semillitas, o lo que fuera B: En el descanso, ibas a comer el bocata, o pipas, o lo que fuera","pasional A,; cauto A,; huraño B,; guardado B,; cerrado B,; ardiente A,; abierto A,; apasionado A,; conversador A,; corto B,; caluroso A,; huidizo B,; vergonzoso B,; elocuente A,; efusivo A,; comunicativo A,; locauz A,; extravertido A,; introverso B,; retraído B,; cohibido B,; cauteloso A,; tímido B,; intenso A,; vehemente A,; adusto B,; esquivo B,; expansivo A,; misántropo B,; reservado B,; discreto A,; expresivo A,; insociable B,; sociable A,; tratable A,; solitario B,; introvertido B,; acelerado A,; extrovertido A,; sencillo A,"
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cauto, adusto, tímido, extrovertido, expansivo, acelerado, cohibido, apasionado, intenso, reservado, introverso, insociable, abierto, vergonzoso, conversador, huraño, pasional, expresivo, ardiente, extravertido, misántropo, elocuente, caluroso, locauz, tratable, guardado, solitario, esquivo, retraído, introvertido, efusivo, cauteloso, vehemente, sencillo, discreto, comunicativo, sociable, corto, cerrado, huidizo. A: Hacer líos con tus amiguetes B: Hacer desmadre con tus compas","cauto B, adusto A, tímido A, extrovertido B, expansivo B, acelerado B, cohibido A, apasionado B, intenso B, reservado A, introverso A, insociable A, abierto B, vergonzoso A, conversador B, huraño A, pasional B, expresivo B, ardiente B, extravertido B, misántropo A, elocuente B, caluroso B, locauz B, tratable B, guardado A, solitario A, esquivo A, retraído A, introvertido A, efusivo B, cauteloso B, vehemente B, sencillo B, discreto B, comunicativo B, sociable B, corto A, cerrado A, huidizo A,"
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: vehemente, comunicativo, insociable, huraño, solitario, cauteloso, vergonzoso, locauz, introverso, tratable, cohibido, adusto, tímido, discreto, esquivo, huidizo, misántropo, cerrado, abierto, elocuente, extrovertido, sencillo, intenso, introvertido, expresivo, apasionado, conversador, pasional, sociable, cauto, expansivo, corto, retraído, ardiente, reservado, extravertido, guardado, efusivo, acelerado, caluroso. A: No hemos tenido bronca con los del pueblo B: No hemos tenido jaleos con los del pueblo","vehemente B, comunicativo B, insociable A, huraño A, solitario A, cauteloso A, vergonzoso A, locauz B, introverso A, tratable B, cohibido A, adusto A, tímido A, discreto A, esquivo A, huidizo A, misántropo A, cerrado A, abierto B, elocuente B, extrovertido B, sencillo A, intenso B, introvertido A, expresivo B, apasionado B, conversador B, pasional B, sociable B, cauto A, expansivo B, corto A, retraído A, ardiente B, reservado A, extravertido B, guardado A, efusivo B, acelerado B, caluroso B"
