sen_id,A,B,prompt,response,date
1,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: impreciso, dubitativo, grave, irresoluto, decidido, prudente, sereno, resuelto, lanzado, variante, emprendedor, tranquilo, cambiante, confuso, indeciso, valiente, confiado, seguro, audaz, titubeante, reflexivo, mesurado, inconstante, variable, movedizo, incierto, atrevido, ponderado, vago, mudable, vacilante, perplejo, enérgico, aplomado, inseguro, borroso, inestable, indeterminado, imperturbable, circunspecto","Aquí te dejo la lista de adjetivos con los escritores A y B:

1. impreciso - A, B
2. dubitativo - A, B
3. grave - A, B
4. irresoluto - A, B
5. decidido - B, A
6. prudente - A, B
7. sereno - B, A
8. resuelto - B, A
9. lanzado - B, A
10. variante - B, A
11. emprendedor - B, A
12. tranquilo - B, A
13. cambiante - B, A
14. confuso - A, B
15. indeciso - A, B
16. valiente - A, B
17. confiado - B, A
18. seguro - B, A
19. audaz - B, A
20. titubeante - A, B
21. reflexivo - A, B
22. mesurado - A, B
23. inconstante - B, A
24. variable - B, A
25. movedizo - B, A
26. incierto - A, B
27. atrevido - B, A
28. ponderado - A, B
29. vago - A, B
30. mudable - B, A
31. vacilante - A, B
32. perplejo - A, B
33. enérgico - B, A
34. aplomado - B, A
35. inseguro - A, B
36. borroso - A, B
37. inestable - B, A
38. indeterminado - A, B
39. imperturbable - B, A
40. circunspecto - A, B",03/10/26
2,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: valiente, impreciso, prudente, ponderado, inseguro, incierto, inestable, imperturbable, decidido, circunspecto, mudable, borroso, mesurado, resuelto, vago, atrevido, sereno, indeterminado, aplomado, grave, movedizo, irresoluto, perplejo, cambiante, confuso, variable, emprendedor, confiado, indeciso, variante, inconstante, lanzado, titubeante, audaz, dubitativo, enérgico, seguro, reflexivo, tranquilo, vacilante","Aquí te dejo la lista de adjetivos con los escritores A y B:

1. Valiente - Carlos Fuentes, Camilo José Cela
2. Impreciso - Carlos Fuentes, Camilo José Cela
3. Prudente - Carlos Fuentes, Camilo José Cela
4. Ponderado - Carlos Fuentes, Camilo José Cela
5. Inseguro - Carlos Fuentes, Camilo José Cela
6. Incierto - Carlos Fuentes, Camilo José Cela
7. Inestable - Carlos Fuentes, Camilo José Cela
8. Imperturbable - Carlos Fuentes, Camilo José Cela
9. Decidido - Carlos Fuentes, Camilo José Cela
10. Circunspecto - Carlos Fuentes, Camilo José Cela
11. Mudable - Carlos Fuentes, Camilo José Cela
12. Borroso - Carlos Fuentes, Camilo José Cela
13. Mesurado - Carlos Fuentes, Camilo José Cela
14. Resuelto - Carlos Fuentes, Camilo José Cela
15. Vago - Carlos Fuentes, Camilo José Cela
16. Atrevido - Carlos Fuentes, Camilo José Cela
17. Sereno - Carlos Fuentes, Camilo José Cela
18. Indeterminado - Carlos Fuentes, Camilo José Cela
19. Aplomado - Carlos Fuentes, Camilo José Cela
20. Grave - Carlos Fuentes, Camilo José Cela
21. Movedizo - Carlos Fuentes, Camilo José Cela
22. Irresoluto - Carlos Fuentes, Camilo José Cela
23. Perplejo - Carlos Fuentes, Camilo José Cela
24. Cambiante - Carlos Fuentes, Camilo José Cela
25. Confuso - Carlos Fuentes, Camilo José Cela
26. Variable - Carlos Fuentes, Camilo José Cela
27. Emprendedor - Carlos Fuentes, Camilo José Cela
28. Confiado - Carlos Fuentes, Camilo José Cela
29. Indeciso - Carlos Fuentes, Camilo José Cela
30. Variante - Carlos Fuentes, Camilo José Cela
31. Inconstante - Carlos Fuentes, Camilo José Cela
32. Lanzado - Carlos Fuentes, Camilo José Cela
33. Titubeante - Carlos Fuentes, Camilo José Cela
34. Audaz - Carlos Fuentes, Camilo José Cela
35. Dubitativo - Carlos Fuentes, Camilo José Cela
36. Enérgico - Carlos Fuentes, Camilo José Cela
37. Seguro - Carlos Fuentes, Camilo José Cela
38. Reflexivo - Carlos Fuentes, Camilo José Cela
39. Tranquilo - Carlos Fuentes, Camilo José Cela
40. Vacilante - Carlos Fuentes, Camilo José Cela",03/10/26
3,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: lanzado, atrevido, ponderado, grave, variante, aplomado, imperturbable, resuelto, titubeante, impreciso, incierto, perplejo, indeterminado, emprendedor, indeciso, prudente, enérgico, confiado, reflexivo, movedizo, inestable, borroso, irresoluto, circunspecto, seguro, vago, valiente, audaz, vacilante, tranquilo, confuso, inseguro, variable, mudable, dubitativo, cambiante, mesurado, sereno, inconstante, decidido","Aquí te presento la lista de adjetivos con el escritor correspondiente:

1. lanzado - A, B
2. atrevido - B, A
3. ponderado - A, B
4. grave - A, B
5. variante - B, A
6. aplomado - A, B
7. imperturbable - B, A
8. resuelto - A, B
9. titubeante - B, A
10. impreciso - A, B
11. incierto - A, B
12. perplejo - B, A
13. indeterminado - A, B
14. emprendedor - B, A
15. indeciso - A, B
16. prudente - A, B
17. enérgico - B, A
18. confiado - A, B
19. reflexivo - A, B
20. movedizo - B, A
21. inestable - A, B
22. borroso - B, A
23. irresoluto - A, B
24. circunspecto - A, B
25. seguro - A, B
26. vago - B, A
27. valiente - A, B
28. audaz - B, A
29. vacilante - A, B
30. tranquilo - B, A
31. confuso - A, B
32. inseguro - B, A
33. variable - A, B
34. mudable - B, A
35. dubitativo - A, B
36. cambiante - B, A
37. mesurado - A, B
38. sereno - B, A
39. inconstante - A, B
40. decidido - B, A",03/10/26
4,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: lanzado, resuelto, perplejo, audaz, confiado, incierto, vacilante, grave, impreciso, ponderado, circunspecto, seguro, aplomado, vago, prudente, emprendedor, inestable, borroso, dubitativo, confuso, atrevido, variante, mudable, enérgico, valiente, reflexivo, decidido, movedizo, imperturbable, sereno, indeciso, inconstante, titubeante, tranquilo, mesurado, inseguro, cambiante, variable, indeterminado, irresoluto","Aquí tienes la lista de adjetivos con los escritores A y B:

1. lanzado - A, B
2. resuelto - A, B
3. perplejo - A, B
4. audaz - A, B
5. confiado - A, B
6. incierto - A, B
7. vacilante - A, B
8. grave - A, B
9. impreciso - A, B
10. ponderado - A, B
11. circunspecto - A, B
12. seguro - A, B
13. aplomado - A, B
14. vago - A, B
15. prudente - A, B
16. emprendedor - A, B
17. inestable - A, B
18. borroso - A, B
19. dubitativo - A, B
20. confuso - A, B
21. atrevido - A, B
22. variante - A, B
23. mudable - A, B
24. enérgico - A, B
25. valiente - A, B
26. reflexivo - A, B
27. decidido - A, B
28. movedizo - A, B
29. imperturbable - A, B
30. sereno - A, B
31. indeciso - A, B
32. inconstante - A, B
33. titubeante - A, B
34. tranquilo - A, B
35. mesurado - A, B
36. inseguro - A, B
37. cambiante - A, B
38. variable - A, B
39. indeterminado - A, B
40. irresoluto - A, B",03/10/26
5,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: reflexivo, valiente, tranquilo, circunspecto, prudente, confiado, decidido, vago, borroso, dubitativo, mesurado, enérgico, mudable, impreciso, ponderado, resuelto, indeciso, grave, indeterminado, perplejo, inconstante, sereno, inestable, variante, irresoluto, audaz, cambiante, variable, imperturbable, seguro, aplomado, inseguro, lanzado, incierto, emprendedor, confuso, movedizo, vacilante, atrevido, titubeante","Aquí te dejo la lista con los escritores correspondientes a cada adjetivo:

1. Reflexivo - A, B
2. Valiente - A, B
3. Tranquilo - A, B
4. Circunspecto - A, B
5. Prudente - A, B
6. Confiado - B, A
7. Decidido - A, B
8. Vago - B, A
9. Borroso - B, A
10. Dubitativo - A, B
11. Mesurado - A, B
12. Energico - B, A
13. Mudable - A, B
14. Impreciso - B, A
15. Ponderado - A, B
16. Resuelto - A, B
17. Indeciso - B, A
18. Grave - A, B
19. Indeterminado - B, A
20. Perplejo - A, B
21. Inconstante - A, B
22. Sereno - A, B
23. Inestable - A, B
24. Variante - B, A
25. Irresoluto - A, B
26. Audaz - B, A
27. Cambiante - A, B
28. Variable - A, B
29. Imperturbable - A, B
30. Seguro - B, A
31. Aplomado - A, B
32. Inseguro - B, A
33. Lanzado - B, A
34. Incierto - A, B
35. Emprendedor - B, A
36. Confuso - B, A
37. Movedizo - A, B
38. Vacilante - A, B
39. Atrevido - B, A
40. Titubeante - A, B",03/10/26
6,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: aplomado, indeterminado, titubeante, tranquilo, perplejo, ponderado, incierto, vago, inestable, resuelto, reflexivo, variante, irresoluto, atrevido, emprendedor, seguro, decidido, circunspecto, mesurado, variable, confiado, indeciso, borroso, impreciso, confuso, lanzado, grave, cambiante, inconstante, valiente, vacilante, prudente, audaz, dubitativo, mudable, imperturbable, inseguro, sereno, enérgico, movedizo","Aplomado, A; indeterminado, B; titubeante, A; tranquilo, B; perplejo, A; ponderado, B; incierto, A; vago, B; inestable, A; resuelto, B; reflexivo, A; variante, B; irresoluto, A; atrevido, B; emprendedor, A; seguro, B; decidido, A; circunspecto, B; mesurado, A; variable, B; confiado, A; indeciso, B; borroso, A; impreciso, B; confuso, A; lanzado, B; grave, A; cambiante, B; inconstante, A; valiente, B; vacilante, A; prudente, B; audaz, A; dubitativo, B; mudable, A; imperturbable, B; inseguro, A; sereno, B; enérgico, A; movedizo, B.",03/10/26
7,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: lanzado, confuso, aplomado, valiente, variable, enérgico, tranquilo, mesurado, grave, reflexivo, vacilante, imperturbable, emprendedor, indeciso, mudable, impreciso, incierto, inconstante, prudente, irresoluto, titubeante, perplejo, seguro, borroso, cambiante, circunspecto, indeterminado, audaz, resuelto, ponderado, sereno, vago, atrevido, decidido, variante, dubitativo, inestable, confiado, inseguro, movedizo","Aquí tienes la lista con los escritores seleccionados:

Lanzado - A, B
Confuso - B, A
Aplomado - A, B
Valiente - A, B
Variable - B, A
Enérgico - A, B
Tranquilo - B, A
Mesurado - A, B
Grave - B, A
Reflexivo - A, B
Vacilante - B, A
Imperturbable - A, B
Emprendedor - B, A
Indeciso - B, A
Mudable - B, A
Impreciso - A, B
Incierto - B, A
Inconstante - B, A
Prudente - A, B
Irresoluto - B, A
Titubeante - B, A
Perplejo - B, A
Seguro - A, B
Borroso - A, B
Cambiante - B, A
Circunspecto - A, B
Indeterminado - B, A
Audaz - A, B
Resuelto - A, B
Ponderado - A, B
Sereno - B, A
Vago - B, A
Atrevido - A, B
Decidido - A, B
Variante - B, A
Dubitativo - B, A
Inestable - B, A
Confiado - A, B
Inseguro - B, A
Movedizo - A, B",03/10/26
8,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: prudente, aplomado, variante, dubitativo, borroso, imperturbable, movedizo, indeterminado, grave, inconstante, atrevido, confiado, irresoluto, confuso, lanzado, impreciso, sereno, seguro, resuelto, mesurado, inestable, vacilante, mudable, titubeante, cambiante, incierto, perplejo, ponderado, reflexivo, tranquilo, enérgico, emprendedor, vago, valiente, variable, audaz, indeciso, inseguro, decidido, circunspecto","Aquí tienes la lista con los escritores A y B:

1. prudente - Carlos Fuentes, Eduardo Mendoza
2. aplomado - Carlos Fuentes, Eduardo Mendoza
3. variante - Carlos Fuentes, Eduardo Mendoza
4. dubitativo - Carlos Fuentes, Eduardo Mendoza
5. borroso - Carlos Fuentes, Eduardo Mendoza
6. imperturbable - Carlos Fuentes, Eduardo Mendoza
7. movedizo - Carlos Fuentes, Eduardo Mendoza
8. indeterminado - Carlos Fuentes, Eduardo Mendoza
9. grave - Carlos Fuentes, Eduardo Mendoza
10. inconstante - Carlos Fuentes, Eduardo Mendoza
11. atrevido - Carlos Fuentes, Eduardo Mendoza
12. confiado - Carlos Fuentes, Eduardo Mendoza
13. irresoluto - Carlos Fuentes, Eduardo Mendoza
14. confuso - Carlos Fuentes, Eduardo Mendoza
15. lanzado - Carlos Fuentes, Eduardo Mendoza
16. impreciso - Carlos Fuentes, Eduardo Mendoza
17. sereno - Carlos Fuentes, Eduardo Mendoza
18. seguro - Carlos Fuentes, Eduardo Mendoza
19. resuelto - Carlos Fuentes, Eduardo Mendoza
20. mesurado - Carlos Fuentes, Eduardo Mendoza
21. inestable - Carlos Fuentes, Eduardo Mendoza
22. vacilante - Carlos Fuentes, Eduardo Mendoza
23. mudable - Carlos Fuentes, Eduardo Mendoza
24. titubeante - Carlos Fuentes, Eduardo Mendoza
25. cambiante - Carlos Fuentes, Eduardo Mendoza
26. incierto - Carlos Fuentes, Eduardo Mendoza
27. perplejo - Carlos Fuentes, Eduardo Mendoza
28. ponderado - Carlos Fuentes, Eduardo Mendoza
29. reflexivo - Carlos Fuentes, Eduardo Mendoza
30. tranquilo - Carlos Fuentes, Eduardo Mendoza
31. enérgico - Eduardo Mendoza, Carlos Fuentes
32. emprendedor - Eduardo Mendoza, Carlos Fuentes
33. vago - Eduardo Mendoza, Carlos Fuentes
34. valiente - Eduardo Mendoza, Carlos Fuentes
35. variable - Eduardo Mendoza, Carlos Fuentes
36. audaz - Eduardo Mendoza, Carlos Fuentes
37. indeciso - Eduardo Mendoza, Carlos Fuentes
38. inseguro - Eduardo Mendoza, Carlos Fuentes
39. decidido - Eduardo Mendoza, Carlos Fuentes
40. circunspecto - Eduardo Mendoza, Carlos Fuentes",03/10/26
9,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: aplomado, mudable, mesurado, cambiante, valiente, enérgico, titubeante, borroso, dubitativo, incierto, variable, reflexivo, perplejo, ponderado, confiado, vacilante, decidido, prudente, vago, imperturbable, grave, indeciso, tranquilo, inestable, impreciso, confuso, inconstante, atrevido, irresoluto, indeterminado, inseguro, circunspecto, seguro, resuelto, lanzado, movedizo, audaz, emprendedor, variante, sereno","Aquí te dejo la lista de adjetivos con el escritor correspondiente:

1. Aplomado - A
2. Mudable - B
3. Mesurado - A
4. Cambiante - B
5. Valiente - A
6. Enérgico - B
7. Titubeante - A
8. Borroso - B
9. Dubitativo - A
10. Incierto - B
11. Variable - A
12. Reflexivo - B
13. Perplejo - A
14. Ponderado - B
15. Confiado - A
16. Vacilante - B
17. Decidido - A
18. Prudente - B
19. Vago - A
20. Imperturbable - B
21. Grave - A
22. Indeciso - B
23. Tranquilo - A
24. Inestable - B
25. Impreciso - A
26. Confuso - B
27. Inconstante - A
28. Atrevido - B
29. Irresoluto - A
30. Indeterminado - B
31. Inseguro - A
32. Circunspecto - B
33. Seguro - A
34. Resuelto - B
35. Lanzado - A
36. Movedizo - B
37. Audaz - A
38. Emprendedor - B
39. Variante - A
40. Sereno - B",03/10/26
10,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: tranquilo, inconstante, enérgico, resuelto, cambiante, circunspecto, decidido, variable, confiado, inseguro, sereno, titubeante, vago, reflexivo, indeciso, imperturbable, irresoluto, movedizo, aplomado, indeterminado, variante, confuso, inestable, emprendedor, dubitativo, mudable, seguro, grave, lanzado, incierto, ponderado, impreciso, audaz, prudente, perplejo, atrevido, borroso, vacilante, valiente, mesurado","Aquí tienes la lista con los escritores correspondientes:

1. tranquilo - A, B
2. inconstante - A, B
3. enérgico - A, B
4. resuelto - A, B
5. cambiante - A, B
6. circunspecto - A, B
7. decidido - A, B
8. variable - A, B
9. confiado - A, B
10. inseguro - A, B
11. sereno - A, B
12. titubeante - A, B
13. vago - A, B
14. reflexivo - A, B
15. indeciso - A, B
16. imperturbable - A, B
17. irresoluto - A, B
18. movedizo - A, B
19. aplomado - A, B
20. indeterminado - A, B
21. variante - A, B
22. confuso - A, B
23. inestable - A, B
24. emprendedor - A, B
25. dubitativo - A, B
26. mudable - A, B
27. seguro - A, B
28. grave - A, B
29. lanzado - A, B
30. incierto - A, B
31. ponderado - A, B
32. impreciso - A, B
33. audaz - A, B
34. prudente - A, B
35. perplejo - A, B
36. atrevido - A, B
37. borroso - A, B
38. vacilante - A, B
39. valiente - A, B
40. mesurado - A, B",03/10/26
