sen_id,A,B,prompt,response,date
51,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: caluroso, sencillo, conversador, solitario, cauto, tratable, efusivo, extrovertido, retraído, discreto, misántropo, comunicativo, cerrado, tímido, cauteloso, cohibido, corto, expresivo, ardiente, esquivo, expansivo, reservado, vergonzoso, introverso, adusto, introvertido, huidizo, abierto, insociable, acelerado, vehemente, elocuente, guardado, sociable, pasional, apasionado, extravertido, huraño, intenso, locuaz. A: A mi hermano le gustaba conducir  B: A mi hermano le gustaba manejar","Caluroso, A
Sencillo, A
Conversador, B
Solitario, B
Cauto, A
Tratable, A
Efusivo, B
Extrovertido, B
Retraído, B
Discreto, A
Misántropo, B
Comunicativo, B
Cerrado, A
Tímido, B
Cauteloso, A
Cohibido, B
Corto, A
Expresivo, B
Ardiente, A
Esquivo, B
Expansivo, B
Reservado, A
Vergonzoso, B
Introverso, B
Adusto, B
Introvertido, B
Huidizo, B
Abierto, A
Insociable, B
Acelerado, A
Vehemente, B
Elocuente, B
Guardado, A
Sociable, A
Pasional, A
Apasionado, A
Extravertido, B
Huraño, B
Intenso, A
Locuaz, B
",02/10/26
52,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sencillo, tímido, insociable, cohibido, cauteloso, sociable, intenso, abierto, expresivo, introverso, expansivo, pasional, apasionado, ardiente, efusivo, huidizo, huraño, vehemente, adusto, elocuente, reservado, locuaz, extravertido, guardado, misántropo, introvertido, discreto, vergonzoso, comunicativo, solitario, conversador, acelerado, extrovertido, esquivo, retraído, caluroso, cerrado, cauto, corto, tratable. A: Cuéntame ¿Qué  hicieron? B: cuéntame ¿Qué  hicisteis?","sencillo, A
tímido, B
insociable, B
cohibido, B
cauteloso, A
sociable, A
intenso, B
abierto, A
expresivo, B
introverso, B
expansivo, A
pasional, B
apasionado, B
ardiente, B
efusivo, A
huidizo, B
huraño, B
vehemente, B
adusto, A
elocuente, A
reservado, B
locuaz, A
extravertido, A
guardado, B
misántropo, B
introvertido, B
discreto, A
vergonzoso, B
comunicativo, A
solitario, B
conversador, A
acelerado, A
extrovertido, A
esquivo, B
retraído, B
caluroso, B
cerrado, A
cauto, A
corto, A
tratable, A
",02/10/26
53,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: efusivo, retraído, extravertido, expansivo, introverso, locuaz, cauto, sociable, huidizo, elocuente, conversador, tímido, sencillo, vehemente, reservado, cerrado, abierto, adusto, pasional, guardado, ardiente, caluroso, intenso, esquivo, misántropo, cohibido, apasionado, solitario, insociable, corto, vergonzoso, acelerado, extrovertido, huraño, tratable, expresivo, discreto, cauteloso, introvertido, comunicativo. A: ¿Y las vacaciones? ¿Os ibais por ahí a algún sitio o dónde las pasabais? B: ¿Y las vacaciones? ¿Se iban por ahí a algún sitio o dónde las pasaban?","Efusivo, A
Retraído, B
Extravertido, A
Expansivo, A
Introverso, B
Locuaz, A
Cauto, B
Sociable, A
Huidizo, B
Elocuente, A
Conversador, A
Tímido, B
Sencillo, B
Vehemente, A
Reservado, B
Cerrado, B
Abierto, A
Adusto, B
Pasional, A
Guardado, B
Ardiente, A
Caluroso, A
Intenso, A
Esquivo, B
Misántropo, B
Cohibido, B
Apasionado, A
Solitario, B
Insociable, B
Corto, B
Vergonzoso, B
Acelerado, A
Extrovertido, A
Huraño, B
Tratable, A
Expresivo, A
Discreto, B
Cauteloso, B
Introvertido, B
Comunicativo, A",02/10/26
54,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: esquivo, solitario, cauteloso, conversador, adusto, ardiente, misántropo, acelerado, expansivo, introverso, cohibido, reservado, cerrado, apasionado, comunicativo, corto, retraído, pasional, caluroso, vehemente, guardado, extrovertido, sociable, tratable, locuaz, elocuente, intenso, expresivo, huidizo, huraño, efusivo, introvertido, tímido, vergonzoso, extravertido, sencillo, cauto, abierto, insociable, discreto. A: Como mi padre no tuvo carro hasta ya bastante mayor, pues tomabamos el camión a las seis de la mañana B: Como mi padre no ha tenido coche hasta ya bastante mayor, pues cogíamos el autobús a las seis de la mañana","Esquivo, B
Solitario, A
Cauteloso, B
Conversador, A
Adusto, B
Ardiente, A
Misántropo, B
Acelerado, A
Expansivo, B
Introverso, A
Cohibido, B
Reservado, A
Cerrado, B
Apasionado, A
Comunicativo, B
Corto, A
Retraído, B
Pasional, A
Caluroso, B
Vehemente, A
Guardado, B
Extrovertido, A
Sociable, B
Tratable, A
Locuaz, B
Elocuente, A
Intenso, B
Expresivo, A
Huidizo, B
Huraño, A
Efusivo, B
Introvertido, A
Tímido, B
Vergonzoso, A
Extravertido, B
Sencillo, A
Cauto, B
Abierto, A
Insociable, B
Discreto, A",02/10/26
55,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: locuaz, tratable, esquivo, cauteloso, expansivo, apasionado, sencillo, corto, introverso, insociable, introvertido, cohibido, discreto, ardiente, tímido, acelerado, pasional, misántropo, huraño, retraído, efusivo, conversador, vergonzoso, cerrado, abierto, elocuente, caluroso, vehemente, extrovertido, intenso, adusto, comunicativo, solitario, expresivo, extravertido, cauto, reservado, huidizo, guardado, sociable. A: Hoy en día coges el coche y en dos minutos estás allí B: Hoy en día agarras el carro y en dos minutos estás allí","Locuaz, B
Tratable, A
Esquivo, B
Cauteloso, A
Expansivo, B
Apasionado, A
Sencillo, A
Corto, B
Introverso, B
Insociable, B
Introvertido, B
Cohibido, B
Discreto, A
Ardiente, A
Tímido, B
Acelerado, B
Pasional, A
Misántropo, B
Huraño, B
Retraído, B
Efusivo, B
Conversador, B
Vergonzoso, B
Cerrado, B
Abierto, A
Elocuente, B
Caluroso, A
Vehemente, A
Extrovertido, A
Intenso, A
Adusto, B
Comunicativo, B
Solitario, B
Expresivo, B
Extravertido, A
Cauto, A
Reservado, B
Huidizo, B
Guardado, B
Sociable, A",02/10/26
56,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: cohibido, expresivo, extravertido, ardiente, expansivo, retraído, vergonzoso, apasionado, misántropo, cerrado, conversador, acelerado, corto, comunicativo, huidizo, insociable, introverso, abierto, extrovertido, caluroso, tímido, pasional, elocuente, reservado, intenso, cauto, adusto, esquivo, vehemente, tratable, discreto, sencillo, cauteloso, huraño, solitario, introvertido, efusivo, sociable, guardado, locuaz. A: Agarras un camión y en menos de una hora te has atravesado la ciudad entera B: Coges un autobús y en menos de una hora te has atravesado la ciudad entera","Cohibido, B
Expresivo, A
Extravertido, B
Ardiente, A
Expansivo, B
Retraído, B
Vergonzoso, B
Apasionado, A
Misántropo, B
Cerrado, B
Conversador, B
Acelerado, A
Corto, A
Comunicativo, B
Huidizo, B
Insociable, B
Introvertido, B
Abierto, B
Extrovertido, B
Caluroso, A
Tímido, B
Pasional, A
Elocuente, A
Reservado, B
Intenso, A
Cauto, B
Adusto, B
Esquivo, B
Vehemente, A
Tratable, B
Discreto, B
Sencillo, B
Cauteloso, B
Huraño, B
Solitario, B
Introvertido, B
Efusivo, B
Sociable, B
Guardado, B
Locuaz, B",02/10/26
57,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sencillo, apasionado, conversador, extrovertido, misántropo, solitario, acelerado, efusivo, introvertido, vergonzoso, ardiente, pasional, esquivo, caluroso, cohibido, introverso, vehemente, retraído, tímido, huraño, expresivo, locuaz, adusto, cerrado, comunicativo, tratable, reservado, intenso, guardado, insociable, cauteloso, sociable, corto, discreto, elocuente, expansivo, cauto, abierto, huidizo, extravertido. A: Cogía mi lápiz, mi boli, y apuntaba las recetas B: Agarraba mi lápiz, mi pluma, y apuntaba las recetas","Sencillo, B
Apasionado, B
Conversador, A
Extrovertido, A
Misántropo, B
Solitario, B
Acelerado, B
Efusivo, A
Introvertido, B
Vergonzoso, B
Ardiente, B
Pasional, B
Esquivo, B
Caluroso, A
Cohibido, B
Introverso, B
Vehemente, B
Retraído, B
Tímido, B
Huraño, B
Expresivo, A
Locuaz, A
Adusto, B
Cerrado, B
Comunicativo, A
Tratable, A
Reservado, B
Intenso, B
Guardado, B
Insociable, B
Cauteloso, B
Sociable, A
Corto, B
Discreto, B
Elocuente, A
Expansivo, A
Cauto, B
Abierto, A
Huidizo, B
Extravertido, A",02/10/26
58,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: apasionado, abierto, corto, tímido, elocuente, insociable, extrovertido, extravertido, ardiente, vehemente, expansivo, guardado, vergonzoso, acelerado, sencillo, locuaz, solitario, discreto, efusivo, tratable, introverso, huraño, adusto, caluroso, cauteloso, pasional, huidizo, intenso, reservado, conversador, retraído, esquivo, comunicativo, sociable, expresivo, misántropo, cohibido, cauto, cerrado, introvertido. A: ¿Qué fiestas locales celebran ustedes? B: ¿Qué fiestas locales celebráis vosotros?","apasionado, A
abierto, B
corto, A
tímido, B
elocuente, A
insociable, B
extrovertido, A
extravertido, A
ardiente, A
vehemente, A
expansivo, A
guardado, B
vergonzoso, B
acelerado, A
sencillo, B
locuaz, A
solitario, B
discreto, B
efusivo, A
tratable, A
introverso, B
huraño, B
adusto, B
caluroso, A
cauteloso, B
pasional, A
huidizo, B
intenso, A
reservado, B
conversador, A
retraído, B
esquivo, B
comunicativo, A
sociable, A
expresivo, A
misántropo, B
cohibido, B
cauto, B
cerrado, B
introvertido, B",02/10/26
59,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: extrovertido, introvertido, retraído, caluroso, intenso, abierto, corto, pasional, guardado, conversador, insociable, vehemente, extravertido, reservado, cohibido, efusivo, cauto, introverso, adusto, cerrado, solitario, elocuente, tímido, locuaz, comunicativo, huidizo, huraño, apasionado, acelerado, ardiente, vergonzoso, cauteloso, sencillo, expresivo, misántropo, esquivo, sociable, discreto, expansivo, tratable. A: Menos mal que no lo he visto B: Menos mal que no lo ví","Extrovertido, A
Introvertido, B
Retraído, B
Caluroso, A
Intenso, B
Abierto, A
Corto, A
Pasional, B
Guardado, B
Conversador, A
Insociable, B
Vehemente, B
Extravertido, A
Reservado, B
Cohibido, B
Efusivo, A
Cauto, B
Introverso, B
Adusto, B
Cerrado, B
Solitario, B
Elocuente, A
Tímido, B
Locuaz, A
Comunicativo, A
Huidizo, B
Huraño, B
Apasionado, B
Acelerado, A
Ardiente, B
Vergonzoso, B
Cauteloso, B
Sencillo, A
Expresivo, A
Misántropo, B
Esquivo, B
Sociable, A
Discreto, B
Expansivo, A
Tratable, A",02/10/26
60,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: insociable, cerrado, discreto, expansivo, abierto, huraño, elocuente, caluroso, sencillo, huidizo, sociable, acelerado, tímido, expresivo, apasionado, corto, adusto, cauteloso, vehemente, vergonzoso, esquivo, cauto, misántropo, guardado, tratable, comunicativo, introvertido, extravertido, retraído, extrovertido, ardiente, intenso, locuaz, introverso, pasional, efusivo, conversador, solitario, cohibido, reservado. A: Sí, fuí yo B:  Sí, he sido yo","Insociable, B
Cerrado, B
Discreto, A
Expansivo, B
Abierto, B
Huraño, B
Elocuente, A
Caluroso, B
Sencillo, A
Huidizo, B
Sociable, B
Acelerado, B
Tímido, B
Expresivo, A
Apasionado, B
Corto, A
Adusto, B
Cauteloso, A
Vehemente, B
Vergonzoso, B
Esquivo, B
Cauto, A
Misántropo, B
Guardado, B
Tratable, B
Comunicativo, B
Introvertido, B
Extravertido, B
Retraído, B
Extrovertido, B
Ardiente, B
Intenso, B
Locuaz, B
Introverso, B
Pasional, B
Efusivo, B
Conversador, B
Solitario, B
Cohibido, B
Reservado, B",02/10/26
