sen_id,A,B,prompt,response,date
101,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: tímido, corto, adusto, conversador, cohibido, huraño, pasional, efusivo, intenso, solitario, reservado, huidizo, vergonzoso, caluroso, introverso, misántropo, discreto, sociable, introvertido, vehemente, apasionado, guardado, comunicativo, expansivo, esquivo, locuaz, tratable, ardiente, extrovertido, extravertido, elocuente, retraído, abierto, acelerado, cauto, cerrado, expresivo, sencillo, insociable, cauteloso. A: La verdad no sabía que era tan cutre B: La verdad no sabía que estaba tan gacho","tímido, B  
corto, A  
adusto, B  
conversador, A  
cohibido, B  
huraño, B  
pasional, A  
efusivo, A  
intenso, A  
solitario, B  
reservado, B  
huidizo, B  
vergonzoso, B  
caluroso, A  
introverso, B  
misántropo, B  
discreto, A  
sociable, A  
introvertido, B  
vehemente, A  
apasionado, A  
guardado, A  
comunicativo, A  
expansivo, A  
esquivo, B  
locuaz, A  
tratable, A  
ardiente, A  
extrovertido, A  
extravertido, A  
elocuente, A  
retraído, B  
abierto, A  
acelerado, A  
cauto, A  
cerrado, B  
expresivo, A  
sencillo, A  
insociable, B  
cauteloso, A",02/12/26
102,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: extravertido, cohibido, conversador, discreto, elocuente, locuaz, reservado, apasionado, cauteloso, tratable, ardiente, adusto, tímido, misántropo, insociable, abierto, cerrado, sencillo, caluroso, efusivo, esquivo, huraño, cauto, vergonzoso, expresivo, expansivo, guardado, pasional, solitario, huidizo, sociable, introvertido, vehemente, introverso, corto, retraído, intenso, extrovertido, comunicativo, acelerado. A: ¿Cual es el lugar más gacho al que te hayas metido? B: ¿Cual es el lugar más chungo al que te hayas metido?","extravertido, A  
cohibido, B  
conversador, A  
discreto, B  
elocuente, A  
locuaz, A  
reservado, B  
apasionado, A  
cauteloso, B  
tratable, B  
ardiente, A  
adusto, B  
tímido, B  
misántropo, B  
insociable, B  
abierto, A  
cerrado, B  
sencillo, B  
caluroso, A  
efusivo, A  
esquivo, B  
huraño, B  
cauto, B  
vergonzoso, B  
expresivo, A  
expansivo, A  
guardado, B  
pasional, A  
solitario, B  
huidizo, B  
sociable, A  
introvertido, B  
vehemente, A  
introverso, B  
corto, B  
retraído, B  
intenso, A  
extrovertido, A  
comunicativo, A  
acelerado, B",02/12/26
103,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sencillo, solitario, extravertido, vehemente, huraño, tímido, comunicativo, huidizo, locuaz, introvertido, ardiente, intenso, retraído, caluroso, conversador, apasionado, esquivo, extrovertido, reservado, cauteloso, adusto, elocuente, introverso, insociable, abierto, cauto, corto, discreto, pasional, acelerado, efusivo, cohibido, tratable, cerrado, vergonzoso, misántropo, sociable, expresivo, guardado, expansivo. A: ¿Qué te ha hecho cambiar de vida? B: ¿Qué te hizo cambiar de vida?","sencillo, A  
solitario, B  
extravertido, A  
vehemente, B  
huraño, A  
tímido, B  
comunicativo, A  
huidizo, B  
locuaz, A  
introvertido, B  
ardiente, A  
intenso, B  
retraído, A  
caluroso, B  
conversador, A  
apasionado, B  
esquivo, A  
extrovertido, B  
reservado, A  
cauto, B  
corto, A  
discreto, B  
pasional, A  
acelerado, B  
efusivo, A  
cohibido, B  
tratable, A  
cerrado, B  
vergonzoso, A  
misántropo, B  
sociable, A  
expresivo, B  
guardado, A  
expansivo, B",02/12/26
104,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: extravertido, cerrado, pasional, guardado, introvertido, acelerado, comunicativo, misántropo, huidizo, elocuente, cohibido, expansivo, cauteloso, discreto, sencillo, conversador, corto, sociable, solitario, caluroso, locuaz, efusivo, introverso, vergonzoso, ardiente, huraño, adusto, tímido, esquivo, insociable, expresivo, extrovertido, intenso, abierto, retraído, reservado, apasionado, cauto, vehemente, tratable. A: Era muy enojón, me enojaba muy rápido B: Era muy enfadadizo, me enfadaba muy rápido","extravertido, B  
cerrado, A  
pasional, B  
guardado, A  
introvertido, A  
acelerado, A  
comunicativo, B  
misántropo, A  
huidizo, A  
elocuente, B  
cohibido, A  
expansivo, B  
cauteloso, A  
discreto, A  
sencillo, A  
conversador, B  
corto, A  
sociable, B  
solitario, A  
caluroso, A  
locuaz, B  
efusivo, B  
introverso, A  
vergonzoso, A  
ardiente, B  
huraño, A  
adusto, A  
tímido, A  
esquivo, A  
insociable, A  
expresivo, B  
extrovertido, B  
intenso, B  
abierto, B  
retraído, A  
reservado, A  
apasionado, B  
cauto, A  
vehemente, B  
tratable, B",02/12/26
105,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: corto, abierto, comunicativo, conversador, retraído, pasional, cauto, elocuente, cerrado, discreto, extrovertido, cohibido, vehemente, efusivo, tratable, misántropo, reservado, locuaz, sencillo, huraño, insociable, adusto, introvertido, extravertido, apasionado, acelerado, introverso, caluroso, sociable, cauteloso, vergonzoso, intenso, tímido, ardiente, huidizo, expresivo, expansivo, solitario, esquivo, guardado. A: Ella ha sido la única persona que ha confiado en mí  B: Ella fue la única persona que confió en mí ","corto, B  
abierto, A  
comunicativo, A  
conversador, A  
retraído, B  
pasional, A  
cauto, B  
elocuente, A  
cerrado, B  
discreto, B  
extrovertido, A  
cohibido, B  
vehemente, A  
efusivo, A  
tratable, A  
misántropo, B  
reservado, B  
locuaz, A  
sencillo, A  
huraño, B  
insociable, B  
adusto, B  
introvertido, B  
extravertido, A  
apasionado, A  
acelerado, B  
introverso, B  
caluroso, A  
sociable, A  
cauteloso, B  
vergonzoso, B  
intenso, A  
tímido, B  
ardiente, A  
huidizo, B  
expresivo, A  
expansivo, A  
solitario, B  
esquivo, B  
guardado, B",02/12/26
106,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: retraído, solitario, extravertido, caluroso, acelerado, ardiente, cohibido, pasional, extrovertido, reservado, esquivo, tímido, abierto, elocuente, vergonzoso, efusivo, cerrado, adusto, misántropo, apasionado, insociable, sociable, introvertido, comunicativo, guardado, cauteloso, locuaz, sencillo, huraño, vehemente, expresivo, conversador, huidizo, tratable, intenso, cauto, corto, expansivo, discreto, introverso. A: Hubo buen clima, pero ahora nos vino la ola de frío B: Hemos tenido un tiempo bastante bueno, pero ahora nos ha venido la ola de frío","retraído, B  
solitario, B  
extravertido, A  
caluroso, A  
acelerado, B  
ardiente, A  
cohibido, B  
pasional, A  
extrovertido, A  
reservado, B  
esquivo, B  
tímido, B  
abierto, A  
elocuente, A  
vergonzoso, B  
efusivo, A  
cerrado, B  
adusto, B  
misántropo, B  
apasionado, A  
insociable, B  
sociable, A  
introvertido, B  
comunicativo, A  
guardado, B  
cauteloso, B  
locuaz, A  
sencillo, B  
huraño, B  
vehemente, A  
expresivo, A  
conversador, A  
huidizo, B  
tratable, B  
intenso, A  
cauto, B  
corto, B  
expansivo, A  
discreto, B  
introverso, B",02/12/26
107,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: sencillo, adusto, huidizo, efusivo, locuaz, reservado, tímido, solitario, esquivo, apasionado, discreto, expansivo, extrovertido, sociable, comunicativo, introverso, huraño, expresivo, tratable, extravertido, misántropo, intenso, cerrado, retraído, acelerado, abierto, elocuente, cauto, vehemente, introvertido, cauteloso, pasional, cohibido, corto, conversador, caluroso, vergonzoso, insociable, guardado, ardiente. A: ¿Tú recuerdas si eso también sucedía cuando tú eras pequeño?  B: ¿Te acuerdas si eso también pasaba cuando tú eras chico?","sencillo, B  
adusto, A  
huidizo, B  
efusivo, A  
locuaz, A  
reservado, B  
tímido, B  
solitario, B  
esquivo, B  
apasionado, A  
discreto, B  
expansivo, A  
extrovertido, A  
sociable, A  
comunicativo, A  
introverso, B  
huraño, B  
expresivo, A  
tratable, B  
extravertido, A  
misántropo, B  
intenso, A  
cerrado, B  
retraído, B  
acelerado, A  
abierto, A  
elocuente, A  
cauto, B  
vehemente, A  
introvertido, B  
cauteloso, B  
pasional, A  
cohibido, B  
corto, B  
conversador, A  
caluroso, A  
vergonzoso, B  
insociable, B  
guardado, B  
ardiente, A",02/12/26
108,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: guardado, vergonzoso, solitario, intenso, cauteloso, expresivo, retraído, expansivo, caluroso, extravertido, reservado, ardiente, tímido, vehemente, huidizo, pasional, adusto, tratable, huraño, sociable, apasionado, misántropo, sencillo, acelerado, locuaz, cerrado, insociable, efusivo, esquivo, cohibido, introverso, discreto, comunicativo, abierto, elocuente, introvertido, extrovertido, corto, conversador, cauto. A: Cuando estabas en la escuela, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacían ustedes los días de nevada?  B: Cuando estabas en el colegio, cuando caía alguna nevada era el día que mejor te lo pasabas. - ¿Qué hacíais vosotros los días de nevada? ","guardado, B  
vergonzoso, A  
solitario, B  
intenso, A  
cauteloso, B  
expresivo, A  
retraído, B  
expansivo, A  
caluroso, B  
extravertido, A  
reservado, B  
ardiente, A  
tímido, B  
vehemente, A  
huidizo, B  
pasional, A  
adusto, B  
tratable, A  
huraño, B  
sociable, A  
apasionado, B  
misántropo, B  
sencillo, A  
acelerado, B  
locuaz, A  
cerrado, B  
insociable, B  
efusivo, A  
esquivo, B  
cohibido, A  
introverso, B  
discreto, A  
comunicativo, A  
abierto, A  
elocuente, A  
introvertido, B  
extrovertido, A  
corto, B  
conversador, A  
cauto, B",02/12/26
109,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: huraño, introverso, esquivo, tímido, retraído, vergonzoso, insociable, discreto, cohibido, elocuente, caluroso, introvertido, guardado, solitario, extravertido, corto, reservado, apasionado, locuaz, abierto, huidizo, cauteloso, cauto, misántropo, conversador, acelerado, pasional, sencillo, expresivo, extrovertido, sociable, comunicativo, adusto, ardiente, vehemente, tratable, intenso, cerrado, efusivo, expansivo. A: Cogí al hermano de uno de mis amigos, que era pequeño, y lo metí en el coche B: Agarré al hermano de uno de mis amigos, que era chico, y lo metí en el carro","huraño, B  
introverso, B  
esquivo, B  
tímido, A  
retraído, B  
vergonzoso, A  
insociable, B  
discreto, A  
cohibido, A  
elocuente, B  
caluroso, B  
introvertido, B  
guardado, A  
solitario, B  
extravertido, B  
corto, A  
reservado, A  
apasionado, B  
locuaz, B  
abierto, B  
huidizo, A  
cauteloso, B  
cauto, A  
misántropo, B  
conversador, B  
acelerado, A  
pasional, B  
sencillo, A  
expresivo, B  
extrovertido, B  
sociable, B  
comunicativo, B  
adusto, A  
ardiente, B  
vehemente, B  
tratable, A  
intenso, B  
cerrado, A  
efusivo, B  
expansivo, B",02/12/26
110,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. Pon una coma despues de cada escritor. Los adjetivos son: insociable, efusivo, elocuente, conversador, huraño, esquivo, apasionado, extravertido, reservado, intenso, sociable, solitario, discreto, adusto, huidizo, tímido, corto, abierto, acelerado, extrovertido, caluroso, guardado, vergonzoso, misántropo, pasional, sencillo, introvertido, cohibido, expresivo, cauteloso, vehemente, tratable, ardiente, locuaz, cerrado, comunicativo, retraído, introverso, cauto, expansivo. A: Cayó un rayo y encendió un depósito de llantas B: Ha caído un rayo y ha encendido un depósito de neumáticos","insociable, B  
efusivo, A  
elocuente, B  
conversador, A  
huraño, B  
esquivo, A  
apasionado, B  
extravertido, A  
reservado, B  
intenso, A  
sociable, A  
solitario, B  
discreto, A  
adusto, B  
huidizo, A  
tímido, B  
corto, A  
abierto, A  
acelerado, B  
extrovertido, A  
caluroso, B  
guardado, A  
vergonzoso, B  
misántropo, B  
pasional, A  
sencillo, B  
introvertido, B  
cohibido, A  
expresivo, A  
cauteloso, B  
vehemente, A  
tratable, B  
ardiente, A  
locuaz, A  
cerrado, B  
comunicativo, A  
retraído, B  
introverso, B  
cauto, B  
expansivo, A",02/12/26
