sen_id,A,B,prompt,response,date
1,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: educado, tosco, benévolo, obsequioso, basto, atento, caballeroso, cariñoso, rudo, complaciente, maleducado, zafio, agrio, patán, grosero, generoso, correcto, amable, ordinario, hosco, seco, respetuoso, galante, difícil, bronco, benigno, delicado, vulgar, soez, antipático, solícito, áspero, comedido, bondadoso, violento, afectuoso, servicial, desatento, considerado, brusco","Aquí te dejo la lista con los escritores asociados a cada adjetivo:

1. educado - A, B
2. tosco - B
3. benévolo - A
4. obsequioso - B
5. basto - B
6. atento - A
7. caballeroso - A
8. cariñoso - B
9. rudo - B
10. complaciente - B
11. maleducado - B
12. zafio - B
13. agrio - B
14. patán - B
15. grosero - B
16. generoso - A
17. correcto - A
18. amable - A
19. ordinario - B
20. hosco - B
21. seco - B
22. respetuoso - A
23. galante - A
24. difícil - B
25. bronco - B
26. benigno - A
27. delicado - A
28. vulgar - B
29. soez - B
30. antipático - B
31. solícito - A
32. áspero - B
33. comedido - A
34. bondadoso - A
35. violento - B
36. afectuoso - B
37. servicial - A
38. desatento - B
39. considerado - A
40. brusco - B",03/10/26
2,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: caballeroso, ordinario, patán, difícil, bronco, hosco, respetuoso, afectuoso, cariñoso, tosco, benévolo, agrio, galante, antipático, violento, educado, vulgar, correcto, considerado, basto, grosero, maleducado, servicial, rudo, desatento, delicado, benigno, zafio, soez, solícito, bondadoso, seco, complaciente, obsequioso, amable, áspero, comedido, brusco, generoso, atento","Aquí tienes la lista de adjetivos con el escritor correspondiente:

1. caballeroso - A, B
2. ordinario - B
3. patán - A
4. difícil - B
5. bronco - A
6. hosco - A
7. respetuoso - B
8. afectuoso - A
9. cariñoso - A
10. tosco - B
11. benévolo - B
12. agrio - A
13. galante - B
14. antipático - A
15. violento - A
16. educado - B
17. vulgar - B
18. correcto - B
19. considerado - B
20. basto - A
21. grosero - A
22. maleducado - A
23. servicial - B
24. rudo - A
25. desatento - B
26. delicado - B
27. benigno - B
28. zafio - A
29. soez - A
30. solícito - B
31. bondadoso - B
32. seco - B
33. complaciente - B
34. obsequioso - A
35. amable - B
36. áspero - A
37. comedido - B
38. brusco - A
39. generoso - B
40. atento - B",03/10/26
3,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: violento, antipático, desatento, solícito, benigno, maleducado, vulgar, áspero, servicial, basto, correcto, respetuoso, caballeroso, agrio, bondadoso, complaciente, comedido, afectuoso, amable, obsequioso, zafio, galante, educado, seco, atento, generoso, difícil, ordinario, rudo, brusco, benévolo, considerado, patán, soez, bronco, tosco, grosero, delicado, hosco, cariñoso","Aquí te dejo la lista con los escritores asociados a cada adjetivo:

1. violento - A, B
2. antipático - A, B
3. desatento - B, A
4. solícito - A, B
5. benigno - A, B
6. maleducado - B, A
7. vulgar - B, A
8. áspero - A, B
9. servicial - B, A
10. basto - A, B
11. correcto - A, B
12. respetuoso - A, B
13. caballeroso - A, B
14. agrio - B, A
15. bondadoso - A, B
16. complaciente - B, A
17. comedido - A, B
18. afectuoso - A, B
19. amable - A, B
20. obsequioso - B, A
21. zafio - A, B
22. galante - A, B
23. educado - A, B
24. seco - A, B
25. atento - A, B
26. generoso - A, B
27. difícil - A, B
28. ordinario - B, A
29. rudo - A, B
30. brusco - A, B
31. benévolo - A, B
32. considerado - A, B
33. patán - A, B
34. soez - B, A
35. bronco - A, B
36. tosco - A, B
37. grosero - B, A
38. delicado - A, B
39. hosco - A, B
40. cariñoso - A, B",03/10/26
4,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: correcto, respetuoso, bondadoso, comedido, benévolo, maleducado, obsequioso, áspero, basto, complaciente, agrio, caballeroso, bronco, rudo, delicado, generoso, atento, hosco, difícil, zafio, tosco, galante, desatento, afectuoso, amable, educado, seco, grosero, cariñoso, considerado, servicial, patán, solícito, antipático, soez, benigno, vulgar, ordinario, violento, brusco","Aquí te dejo la lista con los escritores seleccionados:

1. correcto - A, B
2. respetuoso - A, B
3. bondadoso - A, B
4. comedido - A, B
5. benévolo - A, B
6. maleducado - B, A
7. obsequioso - B, A
8. áspero - A, B
9. basto - A, B
10. complaciente - A, B
11. agrio - A, B
12. caballeroso - A, B
13. bronco - A, B
14. rudo - A, B
15. delicado - B, A
16. generoso - A, B
17. atento - A, B
18. hosco - B, A
19. difícil - B, A
20. zafio - A, B
21. tosco - A, B
22. galante - B, A
23. desatento - B, A
24. afectuoso - A, B
25. amable - B, A
26. educado - B, A
27. seco - B, A
28. grosero - A, B
29. cariñoso - A, B
30. considerado - A, B
31. servicial - A, B
32. patán - A, B
33. solícito - A, B
34. antipático - B, A
35. soez - A, B
36. benigno - A, B
37. vulgar - B, A
38. ordinario - B, A
39. violento - B, A
40. brusco - A, B",03/10/26
5,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: afectuoso, rudo, grosero, vulgar, benigno, educado, generoso, zafio, comedido, delicado, caballeroso, atento, servicial, patán, bronco, benévolo, galante, maleducado, antipático, considerado, desatento, agrio, soez, brusco, basto, seco, amable, correcto, bondadoso, cariñoso, solícito, áspero, complaciente, obsequioso, violento, ordinario, difícil, hosco, respetuoso, tosco","Aquí te presento la lista con el escritor correspondiente a cada adjetivo:

1. Afectuoso - A
2. Rudo - B
3. Grosero - B
4. Vulgar - B
5. Benigno - A
6. Educado - A
7. Generoso - A
8. Zafio - B
9. Comedido - A
10. Delicado - A
11. Caballeroso - A
12. Atento - A
13. Servicial - A
14. Patán - B
15. Bronco - B
16. Benévolo - A
17. Galante - A
18. Maleducado - B
19. Antipático - B
20. Considerado - A
21. Desatento - B
22. Agrio - B
23. Soez - B
24. Brusco - B
25. Basto - B
26. Seco - B
27. Amable - A
28. Correcto - A
29. Bondadoso - A
30. Cariñoso - A
31. Solícito - A
32. Áspero - B
33. Complaciente - B
34. Obsequioso - B
35. Violento - B
36. Ordinario - B
37. Difícil - B
38. Hosco - B
39. Respetuoso - A
40. Tosco - B",03/10/26
6,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: benévolo, soez, servicial, brusco, difícil, bondadoso, rudo, antipático, delicado, amable, vulgar, galante, caballeroso, zafio, afectuoso, solícito, maleducado, cariñoso, basto, comedido, grosero, desatento, considerado, bronco, respetuoso, hosco, obsequioso, complaciente, ordinario, áspero, atento, tosco, seco, violento, educado, patán, benigno, correcto, generoso, agrio","Aquí te presento la lista de adjetivos con los escritores correspondientes:

1. Benévolo - A, B
2. Soez - B
3. Servicial - A, B
4. Brusco - B
5. Difícil - A, B
6. Bondadoso - A, B
7. Rudo - B
8. Antipático - A, B
9. Delicado - B
10. Amable - A, B
11. Vulgar - B
12. Galante - B
13. Caballeroso - A, B
14. Zafio - B
15. Afectuoso - A, B
16. Solícito - A, B
17. Maleducado - B
18. Cariñoso - A, B
19. Basto - B
20. Comedido - B
21. Grosero - B
22. Desatento - A, B
23. Considerado - A, B
24. Bronco - B
25. Respetuoso - A, B
26. Hosco - B
27. Obsequioso - B
28. Complaciente - B
29. Ordinario - B
30. Áspero - B
31. Atento - A, B
32. Tosco - B
33. Seco - B
34. Violento - B
35. Educado - A, B
36. Patán - B
37. Benigno - A, B
38. Correcto - B
39. Generoso - A, B
40. Agrio - B",03/10/26
7,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: basto, amable, atento, vulgar, patán, violento, difícil, seco, bondadoso, antipático, desatento, brusco, grosero, maleducado, benigno, generoso, delicado, hosco, rudo, respetuoso, correcto, caballeroso, zafio, complaciente, solícito, benévolo, afectuoso, educado, comedido, servicial, áspero, galante, cariñoso, tosco, bronco, ordinario, soez, obsequioso, agrio, considerado","Aquí te dejo la lista con los adjetivos y los escritores correspondientes:

1. Basto - A, B
2. Amable - A, B
3. Atento - A, B
4. Vulgar - B
5. Patán - B
6. Violento - A
7. Difícil - A
8. Seco - A
9. Bondadoso - B
10. Antipático - A
11. Desatento - B
12. Brusco - A
13. Grosero - B
14. Maleducado - B
15. Benigno - B
16. Generoso - B
17. Delicado - A
18. Hosco - A
19. Rudo - B
20. Respetuoso - A
21. Correcto - A
22. Caballeroso - A
23. Zafio - B
24. Complaciente - B
25. Solícito - A
26. Benévolo - A
27. Afectuoso - B
28. Educado - A
29. Comedido - A
30. Servicial - B
31. Áspero - A
32. Galante - A
33. Cariñoso - B
34. Tosco - B
35. Bronco - B
36. Ordinario - B
37. Soez - B
38. Obsequioso - B
39. Agrio - A
40. Considerado - A",03/10/26
8,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: galante, soez, tosco, solícito, caballeroso, grosero, generoso, violento, ordinario, bronco, benigno, seco, difícil, áspero, brusco, complaciente, comedido, zafio, considerado, bondadoso, agrio, respetuoso, desatento, vulgar, delicado, correcto, patán, servicial, atento, amable, hosco, antipático, maleducado, obsequioso, educado, afectuoso, benévolo, rudo, cariñoso, basto","Aquí te dejo la lista con los escritores asociados a cada adjetivo:

1. galante - A, B
2. soez - B, A
3. tosco - A, B
4. solícito - B, A
5. caballeroso - A, B
6. grosero - B, A
7. generoso - A, B
8. violento - B, A
9. ordinario - B, A
10. bronco - A, B
11. benigno - B, A
12. seco - A, B
13. difícil - B, A
14. áspero - A, B
15. brusco - B, A
16. complaciente - B, A
17. comedido - B, A
18. zafio - A, B
19. considerado - B, A
20. bondadoso - A, B
21. agrio - B, A
22. respetuoso - B, A
23. desatento - B, A
24. vulgar - B, A
25. delicado - B, A
26. correcto - B, A
27. patán - A, B
28. servicial - A, B
29. atento - B, A
30. amable - A, B
31. hosco - B, A
32. antipático - B, A
33. maleducado - B, A
34. obsequioso - B, A
35. educado - B, A
36. afectuoso - A, B
37. benévolo - A, B
38. rudo - A, B
39. cariñoso - A, B
40. basto - A, B",03/10/26
9,PS,MS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma después de cada escritor. Los adjetivos son son: agrio, zafio, bondadoso, seco, basto, servicial, soez, patán, tosco, atento, desatento, benigno, áspero, vulgar, considerado, benévolo, antipático, solícito, difícil, generoso, bronco, ordinario, cariñoso, respetuoso, correcto, brusco, violento, obsequioso, educado, maleducado, afectuoso, complaciente, grosero, delicado, caballeroso, hosco, comedido, amable, rudo, galante","Aquí tienes la lista con los escritores A y B:

1. agrio - A - B
2. zafio - A - B
3. bondadoso - A - B
4. seco - A - B
5. basto - A - B
6. servicial - A - B
7. soez - A - B
8. patán - A - B
9. tosco - A - B
10. atento - A - B
11. desatento - A - B
12. benigno - A - B
13. áspero - A - B
14. vulgar - A - B
15. considerado - A - B
16. benévolo - A - B
17. antipático - A - B
18. solícito - A - B
19. difícil - A - B
20. generoso - A - B
21. bronco - A - B
22. ordinario - A - B
23. cariñoso - A - B
24. respetuoso - A - B
25. correcto - A - B
26. brusco - A - B
27. violento - A - B
28. obsequioso - A - B
29. educado - A - B
30. maleducado - A - B
31. afectuoso - A - B
32. complaciente - A - B
33. grosero - A - B
34. delicado - A - B
35. caballeroso - A - B
36. hosco - A - B
37. comedido - A - B
38. amable - A - B
39. rudo - A - B
40. galante - A - B",03/10/26
10,MS,PS,"Aquí tienes una lista de adjetivos. Por cada adjetivos, escoge un escritor - A o B - y escríbelo junto al adjetivo sin explicación adicional.  El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma después de cada escritor. Los adjetivos son son: comedido, generoso, antipático, benévolo, soez, galante, desatento, educado, maleducado, tosco, servicial, brusco, obsequioso, patán, delicado, solícito, considerado, áspero, agrio, amable, atento, basto, afectuoso, difícil, cariñoso, seco, grosero, benigno, bronco, correcto, violento, ordinario, bondadoso, complaciente, caballeroso, respetuoso, vulgar, rudo, zafio, hosco","Aquí tienes la lista con los escritores correspondientes a cada adjetivo:

1. comedido - A, B
2. generoso - A, B
3. antipático - B
4. benévolo - A, B
5. soez - B
6. galante - A
7. desatento - B
8. educado - A, B
9. maleducado - B
10. tosco - B
11. servicial - A, B
12. brusco - B
13. obsequioso - B
14. patán - A
15. delicado - A
16. solícito - A, B
17. considerado - A, B
18. áspero - B
19. agrio - B
20. amable - A, B
21. atento - A, B
22. basto - B
23. afectuoso - A
24. difícil - B
25. cariñoso - A
26. seco - B
27. grosero - B
28. benigno - A
29. bronco - B
30. correcto - A, B
31. violento - B
32. ordinario - B
33. bondadoso - A, B
34. complaciente - B
35. caballeroso - A
36. respetuoso - A, B
37. vulgar - B
38. rudo - B
39. zafio - B
40. hosco - B",03/10/26
