sen_id,A,B,prompt,response,date
1,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: mudable, resuelto, reflexivo, borroso, vacilante, lanzado, seguro, ponderado, titubeante, inseguro, mesurado, irresoluto, vago, confiado, cambiante, enérgico, impreciso, indeterminado, atrevido, incierto, dubitativo, variante, variable, aplomado, confuso, circunspecto, inestable, sereno, audaz, movedizo, prudente, emprendedor, valiente, perplejo, decidido, grave, inconstante, indeciso, tranquilo, imperturbable","mudable A, resuelto A, reflexivo A, borroso A, vacilante A, lanzado B, seguro A, ponderado A, titubeante A, inseguro A, mesurado A, irresoluto A, vago B, confiado B, cambiante A, enérgico A, impreciso A, indeterminado A, atrevido B, incierto A, dubitativo A, variante A, variable A, aplomado A, confuso A, circunspecto A, inestable A, sereno A, audaz A, movedizo A, prudente A, emprendedor B, valiente A, perplejo A, decidido A, grave A, inconstante A, indeciso A, tranquilo A, imperturbable A,",08-02-2026
2,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: incierto, vacilante, lanzado, seguro, vago, audaz, mesurado, borroso, inseguro, indeciso, titubeante, cambiante, inestable, imperturbable, perplejo, confuso, irresoluto, reflexivo, impreciso, confiado, dubitativo, prudente, circunspecto, variable, valiente, movedizo, tranquilo, atrevido, indeterminado, variante, mudable, resuelto, emprendedor, enérgico, decidido, sereno, aplomado, inconstante, grave, ponderado","incierto B, vacilante B, lanzado A, seguro A, vago A, audaz B, mesurado B, borroso B, inseguro B, indeciso B, titubeante B, cambiante B, inestable B, imperturbable B, perplejo B, confuso B, irresoluto B, reflexivo B, impreciso B, confiado A, dubitativo B, prudente B, circunspecto B, variable B, valiente A, movedizo B, tranquilo A, atrevido A, indeterminado B, variante B, mudable B, resuelto B, emprendedor A, enérgico A, decidido A, sereno B, aplomado B, inconstante B, grave B, ponderado B,",08-02-2026
3,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: aplomado, variante, vago, enérgico, indeciso, tranquilo, prudente, sereno, inconstante, valiente, reflexivo, indeterminado, dubitativo, movedizo, impreciso, cambiante, perplejo, mudable, atrevido, seguro, mesurado, audaz, resuelto, imperturbable, emprendedor, borroso, confiado, inseguro, vacilante, titubeante, decidido, confuso, inestable, lanzado, grave, circunspecto, incierto, irresoluto, variable, ponderado","aplomado A, variante A, vago B, enérgico B, indeciso A, tranquilo B, prudente A, sereno A, inconstante A, valiente B, reflexivo A, indeterminado A, dubitativo A, movedizo A, impreciso A, cambiante A, perplejo A, mudable A, atrevido B, seguro B, mesurado A, audaz A, resuelto A, imperturbable A, emprendedor B, borroso A, confiado B, inseguro B, vacilante A, titubeante A, decidido B, confuso B, inestable A, lanzado B, grave A, circunspecto A, incierto A, irresoluto A, variable A, ponderado A,",08-02-2026
4,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: incierto, emprendedor, enérgico, perplejo, audaz, variable, atrevido, confuso, vago, decidido, ponderado, movedizo, cambiante, tranquilo, reflexivo, valiente, resuelto, irresoluto, circunspecto, mudable, inestable, grave, inseguro, indeterminado, vacilante, dubitativo, sereno, lanzado, aplomado, impreciso, indeciso, confiado, variante, prudente, imperturbable, seguro, mesurado, borroso, titubeante, inconstante","incierto - B, emprendedor - A, enérgico - A, perplejo - B, audaz - B, variable - B, atrevido - A, confuso - A, vago - A, decidido - A, ponderado - B, movedizo - B, cambiante - B, tranquilo - A, reflexivo - B, valiente - A, resuelto - B, irresoluto - B, circunspecto - B, mudable - B, inestable - B, grave - B, inseguro - A, indeterminado - B, vacilante - B, dubitativo - B, sereno - B, lanzado - A, aplomado - B, impreciso - B, indeciso - A, confiado - A, variante - B, prudente - B, imperturbable - B, seguro - A, mesurado - B, borroso - B, titubeante - B, inconstante - B,",08-02-2026
5,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: mesurado, vago, atrevido, imperturbable, movedizo, indeciso, decidido, circunspecto, grave, inestable, indeterminado, reflexivo, dubitativo, audaz, tranquilo, emprendedor, vacilante, variante, seguro, lanzado, resuelto, titubeante, enérgico, borroso, irresoluto, inconstante, sereno, valiente, impreciso, confiado, ponderado, prudente, inseguro, cambiante, mudable, aplomado, confuso, perplejo, variable, incierto","mesurado A, vago B, atrevido B, imperturbable A, movedizo A, indeciso A, decidido A, circunspecto A, grave A, inestable A, indeterminado A, reflexivo A, dubitativo A, audaz A, tranquilo B, emprendedor B, vacilante A, variante A, seguro B, lanzado B, resuelto A, titubeante A, enérgico A, borroso A, irresoluto A, inconstante A, sereno A, valiente B, impreciso A, confiado B, ponderado A, prudente A, inseguro A, cambiante A, mudable A, aplomado A, confuso A, perplejo A, variable A, incierto A,",08-02-2026
6,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: confiado, seguro, incierto, resuelto, cambiante, irresoluto, aplomado, audaz, grave, mudable, atrevido, enérgico, impreciso, borroso, tranquilo, indeterminado, inconstante, circunspecto, indeciso, dubitativo, lanzado, perplejo, imperturbable, valiente, inseguro, emprendedor, mesurado, sereno, variante, movedizo, prudente, reflexivo, titubeante, decidido, vago, vacilante, ponderado, confuso, variable, inestable","confiado A, seguro A, incierto B, resuelto B, cambiante B, irresoluto B, aplomado B, audaz B, grave B, mudable B, atrevido A, enérgico A, impreciso B, borroso B, tranquilo A, indeterminado B, inconstante B, circunspecto B, indeciso B, dubitativo B, lanzado A, perplejo B, imperturbable B, valiente A, inseguro A, emprendedor A, mesurado B, sereno B, variante B, movedizo B, prudente B, reflexivo B, titubeante B, decidido A, vago A, vacilante B, ponderado B, confuso B, variable B, inestable B",08-02-2026
7,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: indeciso, reflexivo, emprendedor, inseguro, mesurado, mudable, cambiante, aplomado, borroso, ponderado, audaz, inconstante, indeterminado, tranquilo, dubitativo, inestable, seguro, imperturbable, confuso, resuelto, sereno, variable, vacilante, valiente, circunspecto, irresoluto, atrevido, titubeante, decidido, grave, movedizo, lanzado, vago, impreciso, confiado, prudente, enérgico, incierto, perplejo, variante","indeciso A, reflexivo A, emprendedor B, inseguro A, mesurado A, mudable A, cambiante A, aplomado A, borroso A, ponderado A, audaz A, inconstante A, indeterminado A, tranquilo A, dubitativo A, inestable A, seguro A, imperturbable A, confuso A, resuelto A, sereno A, variable A, vacilante A, valiente A, circunspecto A, irresoluto A, atrevido A, titubeante A, decidido A, grave A, movedizo A, lanzado B, vago A, impreciso A, confiado A, prudente A, enérgico A, incierto A, perplejo A, variante A,",08-02-2026
8,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: audaz, perplejo, atrevido, vago, imperturbable, prudente, lanzado, confiado, seguro, inconstante, valiente, variante, titubeante, tranquilo, decidido, variable, dubitativo, inestable, aplomado, incierto, movedizo, indeciso, borroso, vacilante, grave, irresoluto, ponderado, emprendedor, cambiante, sereno, mesurado, mudable, circunspecto, reflexivo, indeterminado, resuelto, confuso, enérgico, impreciso, inseguro","audaz B, perplejo B, atrevido A, vago A, imperturbable B, prudente B, lanzado A, confiado A, seguro A, inconstante B, valiente A, variante B, titubeante B, tranquilo A, decidido A, variable B, dubitativo B, inestable B, aplomado B, incierto B, movedizo B, indeciso B, borroso B, vacilante B, grave B, irresoluto B, ponderado B, emprendedor A, cambiante B, sereno B, mesurado B, mudable B, circunspecto B, reflexivo B, indeterminado B, resuelto A, confuso A, enérgico A, impreciso B, inseguro A,",08-02-2026
9,PS,MS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español peninsular y el escritor B usa español mexicano. Pon una coma despues de cada escritor. Los adjetivos son son: lanzado, inconstante, sereno, decidido, impreciso, audaz, reflexivo, tranquilo, ponderado, enérgico, seguro, inestable, irresoluto, confuso, incierto, dubitativo, valiente, prudente, atrevido, grave, perplejo, imperturbable, variable, indeciso, inseguro, cambiante, resuelto, mudable, confiado, movedizo, circunspecto, emprendedor, mesurado, vago, vacilante, borroso, indeterminado, titubeante, variante, aplomado","lanzado B, inconstante A, sereno A, decidido A, impreciso A, audaz A, reflexivo A, tranquilo A, ponderado A, enérgico A, seguro B, inestable A, irresoluto A, confuso A, incierto A, dubitativo A, valiente A, prudente A, atrevido B, grave A, perplejo A, imperturbable A, variable A, indeciso A, inseguro A, cambiante A, resuelto A, mudable A, confiado B, movedizo A, circunspecto A, emprendedor B, mesurado A, vago A, vacilante A, borroso A, indeterminado A, titubeante A, variante A, aplomado A",08-02-2026
10,MS,PS,"Aqui tienes una lista de adjetivos. Por cada adjetivo, escoge un escritor - A o B - y escribelo junto al adjetivo sin explicacin adicional. El escritor A usa español mexicano y el escritor B usa español peninsular. Pon una coma despues de cada escritor. Los adjetivos son son: sereno, cambiante, ponderado, mesurado, circunspecto, audaz, variable, movedizo, irresoluto, grave, dubitativo, resuelto, vago, borroso, reflexivo, valiente, vacilante, variante, confuso, incierto, titubeante, decidido, confiado, impreciso, lanzado, mudable, tranquilo, inconstante, enérgico, imperturbable, indeciso, prudente, emprendedor, inestable, aplomado, seguro, indeterminado, atrevido, inseguro, perplejo","sereno, B, cambiante, A, ponderado, B, mesurado, B, circunspecto, B, audaz, A, variable, A, movedizo, A, irresoluto, B, grave, B, dubitativo, B, resuelto, A, vago, B, borroso, A, reflexivo, B, valiente, A, vacilante, B, variante, A, confuso, A, incierto, B, titubeante, A, decidido, A, confiado, A, impreciso, B, lanzado, A, mudable, B, tranquilo, B, inconstante, B, enérgico, A, imperturbable, B, indeciso, B, prudente, B, emprendedor, A, inestable, A, aplomado, B, seguro, B, indeterminado, B, atrevido, A, inseguro, A, perplejo, B,",08-02-2026
